Física
Cosmogonia
Derradeiro destino do universo
Formação e evolução do Sistema Solar
Dinâmica estelar
Evolução estelar
Formação e evolução de galáxias
Magnetoidrodinâmica
Universo observável
Matéria
Raios cósmicos
Relatividade geral
Cosmologia física
Teoria de cordas
Astrofísica de partículas
Cosmologia
História da astronomia
História da física
Astronomia babilônica
Mesopotâmia
Rio Tigre
Eufrates
Iraque
Século XXXV a.C.
Sumérios
Observação
Astrologia
Estação do ano
Primeiro milénio a.C.
Lua
Planeta
Sol
Lunação
Mês sinódico
Ano trópico
Eclíptica
Constelações
Zodíaco
Astronomia na Grécia Antiga
Esfera celeste
Grécia antiga
Escola Jônica
Tales de Mileto
Abóbada celeste
Eclipse solar
585 a.C.
Anaximandro de Mileto
Matemática
Geometria
Ápeiron
Terra
Aristarco de Samos
270 a.C.
Nicolau Copérnico
Modelo heliocêntrico
Sistema Solar
Trigonometria
Eratóstenes
Século III a.C.
Astrometria
Ilha de Rodes
Astrônomo
Hiparco de Niceia
Brilho aparente
Magnitude aparente
Johannes Kepler
Tycho Brahe
Leis de Kepler
Órbita
Planetas
Copérnico
Lei da gravitação universal
Físico
Ingleses
Philosophiae naturalis principia mathematica
Cálculo diferencial
Variação com o inverso do quadrado
Constante da gravitação universal
1797
1798
Henry Cavendish
Experiência de Cavendish
Teoria da relatividade restrita
Alemanha
1915
Gravidade
Equivalência massa-energia
Nucleossíntese estelar
Arthur Eddington
Fusão nuclear
Isótopo
Hidrogênio
Hans Bethe
Lei de Hubble-Homason
1912
Norte-americano
Vesto Slipher
Espectro eletromagnético
Galáxia de Andrômeda
Nebulosa
Comprimento de onda
Azul
Relatividade restrita
Desvio para o vermelho
Cefeida
Observatório Monte Wilson
Edwin Hubble
Milton Homason
Galáxia
Via Láctea
Lei de Hubble-Humason
Constante de Hubble
Pontos de Lagrange
Mecânica celeste
Planetologia
Estrela compacta
Redshift
Efeito Doppler relativístico
Efeito Doppler
Onda eletromagnética
Transformações de Lorentz
Willem de Sitter
Espectrometria
Espectrofotômetro
Direção
Velocidade
Luz
Espectro (física)
Acelerador de partículas
Partícula
Microcosmo
Telescópio óptico
Radiotelescópio
Aglomerado estelar
Aglomerado estelar aberto
Análise espectrográfica
Big Bang
Big Crunch
Big Splash
Caudas cometárias
Ciclo solar
Cinturão de Kuiper
Cometa
Estrela de nêutrons
Expansão do universo
Nuvens de Magalhães
Wikimedia
Símbolos astronômicos
Astronomia amadora
Astronomia observacional
Observatório espacial
Astronomia galáctica
Astronomia extragaláctica
Radioastronomia
Astronomia infravermelha
Astronomia óptica
Astronomia ultravioleta
Astronomia de raios-X
Astronomia de raios gama
Astronomia de neutrinos
Raio cósmico
Astronomia de onda gravitacional
Astronomia de radar
Astronomia esférica
Astronomia chinesa
Astronomia indiana
Astronomia islâmica
Astronomia tibetana
Astronomia estelar
Estrutura em grande escala do universo
Astrobiologia
Astroquímica
Cosmoquímica
Arqueoastronomia
Telescópio
Telescópio refractor
Observatório
Telescópio ótico
Gran Telescopio Canarias
Telescópio espacial Hubble
Observatório W. M. Keck
Grande telescópio binocular
Grande Telescópio do Sul da África
Very Large Telescope
Binóculo
Fotometria (astronomia)
Planetário
Astrogeologia
Cosmologia quântica
Fenomenologia (física de partículas)
Física computacional
Física clássica
Mecânica de meios contínuos
Mecânica dos sólidos
Mecânica dos fluidos
Acústica
Eletrostática
Magnetostática
Plasma
Física de aceleradores
Mecânica estatística
Física mesoscópica
Matéria mole
Física do estado sólido
Física moderna
Eletrodinâmica quântica
Gravitação quântica
Informação quântica
Mecânica relativista
Cromodinâmica quântica
Física atômica
Física molecular
Ótica
Fotônica
Óptica quântica
Astrofísica nuclear
Física solar
Heliofísica
Física espacial
Agrofísica
Física médica
Neurofísica
Engenharia física
Meteorologia física
Física matemática
Físico-química
Física química
Computador quântico
Sociofísica
Econofísica
Nobel de Física
Teoria de tudo
Exobiologia
Astrodinâmica
Tesauro de Arte e Arquitetura
Biblioteca Nacional Central de Florença
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Encyclopædia Britannica
Gemeinsame Normdatei
JSTOR
Número de controle da Biblioteca do Congresso
Biblioteca Nacional da Dieta
Biblioteca Técnica Nacional de Praga
Enciclopédia Treccani
