Circa
Alain de Lille
"Filipe, o Chanceler"
Roberto Grosseteste
Alexandre de Hales
Pedro de Maricourt
Roger Bacon
Henri de Gante
Raimundo Lúlio
Arnaldo de Vilanova
Gil de Roma
Teodorico de Freiberg
Hervé de Nédéllec
Meister Eckhart
Dante Alighieri
Marsílio de Pádua
Gersónides
João Baconthorpe
Thomas Bradwardine
Richard FitzRalph
William de Heytesbury
Alberto da Saxônia (filósofo)
Nicolau de Oresme
John Wycliffe
Antipapa Alexandre V
Pierre d'Ailly
Jerônimo de Praga
Caetano de Thiene
Nicolau de Cusa
Dionísio Cartuxo
Literatura persa
Inscrição de Beistum
Dencarde
As Capitais Provinciais do Irã
Criação Original
Julgamentos do Espírito e Sabedoria
Épica dos Reis
Unsuri
Nizã Almulque
Xabadim Surauardi
Farid al-Din Attar
Anvari
Nizami Ganjavi
Facradim Arrazi
Xamece de Tabriz
Rumi
Khwaju Kermani
Hafez
Fuzûlî
Hushang Ebtehaj
Ahmad NikTalab
Sohrab Sepehri
Mohammad-Hossein Shahriar
Ahmad Shamlou
Sadriddin Ayni
Iskandar Khatloni
Abolqasem Lahouti
Simin Daneshvar
Mahmoud Dowlatabadi
Jalal Al-e-Ahmad
Asghar Farhadi
Hamid Farrokhnezhad
Farrokh Ghaffari
Bahman Ghobadi
Ali Hatami
Samuel Khachikian
Abbas Kiarostami
Majid Majidi
Mohsen Makhmalbaf
Dariush Mehrjui
Jafar Panahi
Babak NickTalab
Poopak NikTalab
Ali-Akbar Dehkhoda
Ali Latifiyan
Tajiquistão
Axiologia
Filosofia da lógica
Filosofia da matemática
História da lógica
Lógica filosófica
Lógica informal
Lógica matemática
Lógica na ciência da computação
Metalógica
Metamatemática
Pensamento crítico
Semântica formal (lógica)
Teoria da argumentação
Teoria da computabilidade
Teoria das provas
Teoria dos conjuntos
Teoria dos modelos
A priori e A posteriori
Absurdo
Analogia
Antinomia
Axioma
Certeza
Conceito
Convicção
Cosmovisão
Crença
Declaração (lógica)
Dedução
Definição
Descrição
Dilema
Escopo
Falácia
Forma lógica
Fórmula (lógica)
Inferência
Lema (filosofia)
Meio termo
Metateoria
Método indutivo
Mundo possível
Nome
Ônus da prova
Organon
Paradoxo
Premissa
Probabilidade
Raciocínio
Raciocínio dedutivo
Razão
Refutação
Semântica
Sentença (lógica matemática)
Silogismo
Sintaxe (lógica)
Sistema formal
Substituição (lógica)
Validade
Verdade
Verdade lógica
Análise filosófica
Ambiguidade
Argumento
Evidência
Explicação
Poder explicativo
Investigação
Opinião
Navalha de Ockham
Propaganda
Prudência
Relevância
Retórica
Rigor
Vagueza
Atomismo lógico
Construtivismo (matemática)
Finitismo
Intuicionismo
Logicismo
Nominalismo
Pragmatismo
Realismo filosófico
Realismo platônico
Teorema de Cantor
Entscheidungsproblem
Tese de Church-Turing
Consistência
Método efetivo
Fundamentos da matemática
Teorema da completude de Gödel
Teoremas da incompletude de Gödel
Completude (lógica)
Interpretação (lógica)
Teorema de Löwenheim–Skolem
Metateorema
Independência (lógica matemática)
Distinção uso–menção
Linguagem formal
Regra de formação
Sistema dedutivo
Prova formal
Semântica formal(lógica)
Conjunto
Elemento (matemática)
Classe (teoria dos conjuntos)
Lógica clássica
Dedução natural
Regra de inferência
Teorema
Sistema axiomático
Teoria dos tipos
Símbolo (formal)
Teoria (lógica matemática)
Lógica aristotélica
Proposição
Quadrado das oposições
Diagrama de Venn
Cálculo proposicional
Lógica booliana
Função booliana
Conectivo lógico
Tabela verdade
Lógica de predicados
Lógica de primeira ordem
Quantificação
Predicado (lógica matemática)
Lógica de segunda ordem
Conjunto (matemática)
Conjunto vazio
Enumeração
Conjunto finito
Função (matemática)
Subconjunto
Conjunto de partes
Conjunto contável
Conjunto recursivo
Domínio de uma função
Par ordenado
Estrutura (lógica matemática)
Teoria do modelo finito
Teoria da prova
Recursão
Problema de decisão
Função computável
Função recursiva primitiva
Lógica não clássica
Lógica modal
Operador modal
Lógica deôntica
Lógica doxástica
Lógica temporal
Análise construtiva
Aritmética de Heyting
Lógica difusa
Grau de verdade
Conjunto difuso
Elemento infinito difuso
Lógica subestrutural
Regra estrutural
Lógica linear
Lógica paraconsistente
Dialeteísmo
Lógica de descrição
Ontologia
Alan Ross Anderson
Aristóteles
Alexander Bain
Jon Barwise
Paul Bernays
George Boole
George Boolos
Georg Cantor
Rudolf Carnap
Alonzo Church
Crísipo de Solos
Haskell Curry
Dignāga
Augustus De Morgan
Gottlob Frege
Peter Geach
Gerhard Gentzen
Kanada
Kurt Gödel
David Hilbert
Ibn Taymiyyah
Stephen Cole Kleene
Saul Kripke
Gottfried Wilhelm Leibniz
Leopold Löwenheim
Mozi
Nagarjuna
Pāṇini
Giuseppe Peano
Charles Sanders Peirce
Hilary Putnam
Willard van Orman Quine
Bertrand Russell
Ernst Schröder
Duns Scotus
Thoralf Skolem
Raymond Smullyan
Shahab al-Din Suhrawardi
Alfred Tarski
Alan Turing
Alfred North Whitehead
William of Ockham
Ludwig Wittgenstein
Lotfi Asker Zadeh
Ernst Zermelo
F. C. S. Schiller
Lista de regras de inferência
Lista de paradoxos
Lista de símbolos lógicos
Base Virtual Internacional de Autoridade
Biblioteca Apostólica Vaticana
Bibsys
Museu Britânico
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Catálogo de autoridades de nomes e títulos da Catalunha
Consortium of European Research Libraries
CiNii
Bibliotheca Alexandrina
Faceted Application of Subject Terminology
Gemeinsame Normdatei
Projeto Gutenberg
Istituto centrale per il catalogo unico delle biblioteche italiane e per le informazioni bibliografiche
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
LibriVox
Biblioteca Nacional da Dieta
Biblioteca Nacional da Austrália
Biblioteca Nacional da Grécia
Notable Names Database
National Portrait Gallery
Biblioteca Real dos Países Baixos
Sistema Universitário de Documentação
Enciclopédia Treccani
Biblioteca Nacional do Brasil
Biblioteca Nacional de Portugal
Open Library
Pontifícia Universidade São Tomás de Aquino
École Biblique
Palazzo Castellani (Florença)
Biblioteca Nacional da Polónia
