Justus Sustermans
Henri Poincaré
Herbert Spencer
Hugo de São Vitor
Immanuel Kant
Imre Lakatos
John Dewey
John Stuart Mill
Jürgen Habermas
Karl Pearson
Karl Popper
Karl Jaspers
Mário Bunge
Otto Neurath
Pierre Gassendi
Platão
Roger Bacon
Rudolf Carnap
Thomas Hobbes
Willard van Orman Quine
Wilhelm Windelband
Wilhelm Wundt
William of Ockham
William Whewell
Lista de filósofos da ciência
Análise (filosofia)
Analítico
A priori
Inteligência artificial
Causalidade
Círculo de Viena
Comprovação científica
Construto
Estoicismo
Experiência científica
Realidade
Falsificabilidade
Filosofia da natureza
Hipótese de Ortega
Ignoramus et ignorabimus
Investigação
Materialismo
Objetividade
Observação
Paradigma
Poder explicativo
Problema da indução
Problema da demarcação
Revolução científica
Teoria científica
Antirrealismo
Cepticismo
Cientificismo
Contextualismo
Determinismo
Empiricismo
Falibilismo
Fundacionalismo
Infinitismo
Instrumentalismo
Positivismo
Pragmatismo
Racionalismo
Reducionismo
Realismo científico
Uniformitarismo
Vitalismo
Epistemologia
Filosofia das ciências sociais
Filosofia da biologia
Filosofia da química
Filosofia da física
Filosofia do tempo
Filosofia da mente
Filosofia da inteligência artificial
Filosofia da informação
Filosofia da percepção
Filosofia da ciência da computação
Pseudociência
Lista de cientistas cujos nomes são utilizados como unidades não SI
John Napier
Evangelista Torricelli
René-Antoine Ferchault de Réaumur
Gabriel Fahrenheit
Johann Heinrich Lambert
John Dalton
Hans Christian Ørsted
Carl Friedrich Gauss
Jean Léonard Marie Poiseuille
Anders Jonas Ångström
George Gabriel Stokes
William John Macquorn Rankine
James Clerk Maxwell
Samuel Pierpont Langley
Wilhelm Conrad Röntgen
Alexander Graham Bell
Loránd Eötvös
Heinrich Kayser
John William Strutt
Pierre Curie
Marie Curie
Peter Debye
Joseph John Thomson
Base Virtual Internacional de Autoridade
Biblioteca Apostólica Vaticana
Bibsys
Museu Britânico
Biblioteca Nacional do Chile
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Biblioteca Virtual Miguel de Cervantes
Catálogo de autoridades de nomes e títulos da Catalunha
Consortium of European Research Libraries
CiNii
Biblioteca Digital para a Literatura Holandesa
Discogs
Universidade de Oxford
Encyclopædia Britannica
Bibliotheca Alexandrina
Faceted Application of Subject Terminology
Gemeinsame Normdatei
Istituto centrale per il catalogo unico delle biblioteche italiane e per le informazioni bibliografiche
International Standard Name Identifier
KulturNav
Número de controle da Biblioteca do Congresso
LibriVox
MusicBrainz
Biblioteca Central Nacional
Biblioteca Nacional da Dieta
Biblioteca Nacional da Austrália
Biblioteca Nacional da China
Biblioteca Nacional da Grécia
Biblioteca Nacional da Roménia
Notable Names Database
Biblioteca Real dos Países Baixos
Persée (portal)
Biblioteca do Estado Russo
Sistema Universitário de Documentação
Enciclopédia Treccani
WikiTree
Biblioteca Nacional do Brasil
Biblioteca Nacional de Portugal
Union List of Artist Names
IMDb
Open Library
Biblioteca Nacional de Israel
Pontifícia Universidade São Tomás de Aquino
Biblioteca Nacional da Polónia
Rijksmuseum
Biblioteca Nacional da Eslováquia
Universidade Pontifícia de Salamanca
AlloCiné
