Godfrey Kneller
Edgar Douglas Adrian
Cyril Norman Hinshelwood
Howard Florey
Patrick Maynard Stuart Blackett
Alan Hodgkin
Alexander Todd
Andrew Huxley
George Porter
Michael Atiyah
Aaron Klug
Século XXI
Robert May
Martin Rees
Paul Nurse
Venkatraman Ramakrishnan
Lista de unidades epônimas do Sistema Internacional de Unidades
André-Marie Ampère
Anders Celsius
Charles Augustin de Coulomb
Alessandro Volta
Georg Simon Ohm
Joseph Henry
Wilhelm Eduard Weber
Werner von Siemens
James Prescott Joule
Antoine Henri Becquerel
Nikola Tesla
Heinrich Hertz
Rolf Sievert
Louis Harold Gray
Lista de cientistas cujos nomes são utilizados em constantes físicas
Constante física
Amedeo Avogadro
Johann Josef Loschmidt
Johann Jakob Balmer
Joseph Stefan
Ludwig Boltzmann
Johannes Rydberg
Max Planck
Wilhelm Wien
Otto Sackur
Niels Bohr
Edwin Powell Hubble
Hugo Tetrode
Douglas Hartree
Enrico Fermi
Brian David Josephson
Klaus von Klitzing
Lista de cientistas cujos nomes são utilizados como unidades do SI
Lista de cientistas cujos nomes são utilizados como unidades não SI
Iatroquímica
Alquimia e química no Islã medieval
História da Química
Alquimia chinesa
Alkahest
Astrologia e alquimia
Elixir da Longa Vida
Hermes Trismegisto
Homúnculo
Imaginação ativa
Metais inferiores
Ouroboros
Poção
Poimandres
Quatro elementos
Simbologia
Taoismo
Obra-prima
Nigredo
Albedo (alquimia)
Citrinitas
Rubedo
Calcinação
Congelação
Destilação
Fermentação
Filtração
Solução
Sublimação (transição de fase)
Transmutação
Agastya
Albert Poisson
Albertus Magnus
Eugène Canseliet
Fulcanelli
Ge Hong
Jabir ibne Haiane
Heinrich Cornelius Agrippa
Johann Conrad Dippel
John Dee
Louis d'Estissac
"Maria, a Judia"
Michael Maier
Michał Sędziwój
Nicolas Flamel
Ostanes
Paracelso
Muhammad ibn Zakariya al-Razi
Wei Boyang
Aurora Consurgens (livro)
Baopozi
Corpus Hermeticum
Mutus Liber
O Parentesco dos Três
Papyrus Graecus Holmiensis
Picatrix
Secretum secretorum
Splendor Solis
Tábua de esmeralda
Turba Philosophorum
Base Virtual Internacional de Autoridade
Biblioteca Apostólica Vaticana
Bibsys
Museu Britânico
Biblioteca Nacional da República Argentina
Biblioteca Nacional do Chile
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Catálogo de autoridades de nomes e títulos da Catalunha
Consortium of European Research Libraries
CiNii
Biblioteca Digital para a Literatura Holandesa
Universidade de Oxford
Bibliotheca Alexandrina
Faceted Application of Subject Terminology
Gemeinsame Normdatei
Projeto Gutenberg
Istituto centrale per il catalogo unico delle biblioteche italiane e per le informazioni bibliografiche
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
Biblioteca Central Nacional
Biblioteca Nacional da Dieta
Biblioteca Nacional da Austrália
Biblioteca Nacional da China
Biblioteca Nacional da Grécia
Notable Names Database
Biblioteca Real dos Países Baixos
Oxford University Press
ORCID
Biblioteca do Estado Russo
Scopus (base de dados bibliográfica)
Sistema Universitário de Documentação
Museu da Nova Zelândia Te Papa Tongarewa
Enciclopédia Treccani
WikiTree
Biblioteca Nacional do Brasil
Biblioteca Nacional de Portugal
Union List of Artist Names
IMDb
Open Library
Biblioteca Nacional de Israel
Pontifícia Universidade São Tomás de Aquino
Palazzo Castellani (Florença)
Biblioteca Nacional da Polónia
Universidade Pontifícia de Salamanca
