Lísipo
Situações e Nomes dos Ventos
"Sobre Melisso, Xenófanes e Górgias"
Magna moralia
Ética a Eudemo
Das Virtudes e Vícios
Economia (Aristóteles)
Constituição dos Atenienses
Retórica a Alexandre
Protéptico
Filosofia da ciência
Alfred North Whitehead
Augusto Comte
Averróis
Carl Gustav Hempel
Charles Sanders Peirce
Daniel Dennett
Epicurismo
Friedrich Wilhelm Joseph von Schelling
Henri Poincaré
Herbert Spencer
Hugo de São Vitor
Immanuel Kant
Imre Lakatos
Isaac Newton
John Dewey
John Stuart Mill
Jürgen Habermas
Karl Pearson
Karl Popper
Karl Jaspers
Mário Bunge
Otto Neurath
Paul Feyerabend
Pierre Duhem
Pierre Gassendi
René Descartes
Roger Bacon
Rudolf Carnap
Thomas Hobbes
Thomas Kuhn
Willard van Orman Quine
Wilhelm Windelband
Wilhelm Wundt
William of Ockham
William Whewell
Lista de filósofos da ciência
Análise (filosofia)
Analítico
A priori
Inteligência artificial
Causalidade
Círculo de Viena
Comprovação científica
Construto
Estoicismo
Experiência científica
Realidade
Falsificabilidade
Filosofia da natureza
Hipótese de Ortega
Ignoramus et ignorabimus
Investigação
Materialismo
Objetividade
Observação
Paradigma
Poder explicativo
Problema da indução
Problema da demarcação
Método científico
Revolução científica
Teoria científica
Antirrealismo
Cepticismo
Cientificismo
Contextualismo
Determinismo
Empiricismo
Falibilismo
Fundacionalismo
Infinitismo
Instrumentalismo
Positivismo
Pragmatismo
Racionalismo
Reducionismo
Realismo científico
Uniformitarismo
Vitalismo
Epistemologia
História da ciência
Filosofia das ciências sociais
Filosofia da biologia
Filosofia da química
Filosofia da física
Filosofia do tempo
Filosofia da mente
Filosofia da inteligência artificial
Filosofia da informação
Filosofia da percepção
Filosofia da ciência da computação
Pseudociência
Axiologia
Filosofia da lógica
Filosofia da matemática
História da lógica
Lógica filosófica
Lógica informal
Lógica matemática
Lógica na ciência da computação
Metalógica
Metamatemática
Pensamento crítico
Semântica formal (lógica)
Teoria da argumentação
Teoria da computabilidade
Teoria das provas
Teoria dos conjuntos
Teoria dos modelos
A priori e A posteriori
Absurdo
Analogia
Antinomia
Axioma
Certeza
Conceito
Convicção
Cosmovisão
Crença
Declaração (lógica)
Dedução
Definição
Descrição
Dilema
Escopo
Falácia
Forma lógica
Fórmula (lógica)
Inferência
Lema (filosofia)
Meio termo
Metateoria
Método indutivo
Mundo possível
Nome
Ônus da prova
Paradoxo
Premissa
Probabilidade
Raciocínio
Raciocínio dedutivo
Refutação
Semântica
Sentença (lógica matemática)
Sintaxe (lógica)
Sistema formal
Substituição (lógica)
Validade
Verdade
Verdade lógica
Análise filosófica
Ambiguidade
Argumento
Evidência
Explicação
Opinião
Navalha de Ockham
Propaganda
Prudência
Relevância
Rigor
Vagueza
Atomismo lógico
Construtivismo (matemática)
Finitismo
Intuicionismo
Logicismo
Nominalismo
Realismo filosófico
Realismo platônico
Teorema de Cantor
Entscheidungsproblem
Tese de Church-Turing
Consistência
Método efetivo
Fundamentos da matemática
Teorema da completude de Gödel
Teoremas da incompletude de Gödel
Completude (lógica)
Interpretação (lógica)
Teorema de Löwenheim–Skolem
Metateorema
Independência (lógica matemática)
Distinção uso–menção
Linguagem formal
Regra de formação
Sistema dedutivo
Prova formal
Semântica formal(lógica)
Conjunto
Elemento (matemática)
Classe (teoria dos conjuntos)
Lógica clássica
Dedução natural
Regra de inferência
Teorema
Sistema axiomático
Teoria dos tipos
Símbolo (formal)
Teoria (lógica matemática)
Proposição
Quadrado das oposições
Diagrama de Venn
Cálculo proposicional
Lógica booliana
Função booliana
Conectivo lógico
Tabela verdade
Lógica de predicados
Lógica de primeira ordem
Quantificação
Predicado (lógica matemática)
Lógica de segunda ordem
Conjunto (matemática)
Conjunto vazio
Enumeração
Conjunto finito
Função (matemática)
Subconjunto
Conjunto de partes
Conjunto contável
Conjunto recursivo
Domínio de uma função
Par ordenado
Estrutura (lógica matemática)
Teoria do modelo finito
Teoria da prova
Recursão
Problema de decisão
Função computável
Função recursiva primitiva
Lógica não clássica
Lógica modal
Operador modal
Lógica deôntica
Lógica doxástica
Lógica temporal
Análise construtiva
Aritmética de Heyting
Lógica difusa
Grau de verdade
Conjunto difuso
Elemento infinito difuso
Lógica subestrutural
Regra estrutural
Lógica linear
Lógica paraconsistente
Dialeteísmo
Lógica de descrição
Alfarábi
Alan Ross Anderson
Algazali
Facradim Arrazi
Alexander Bain
Jon Barwise
Paul Bernays
George Boolos
Georg Cantor
Alonzo Church
Crísipo de Solos
Haskell Curry
Dignāga
Augustus De Morgan
Peter Geach
Gerhard Gentzen
Kanada
Kurt Gödel
David Hilbert
Ibn al-Nafis
Abzeme
Ibn Taymiyyah
Stephen Cole Kleene
Saul Kripke
Gottfried Wilhelm Leibniz
Leopold Löwenheim
Mozi
Nagarjuna
Pāṇini
Giuseppe Peano
Hilary Putnam
Ernst Schröder
Duns Scotus
Thoralf Skolem
Raymond Smullyan
Shahab al-Din Suhrawardi
Alfred Tarski
Alan Turing
Ludwig Wittgenstein
Lotfi Asker Zadeh
Ernst Zermelo
F. C. S. Schiller
Lista de regras de inferência
Lista de paradoxos
Lista de símbolos lógicos
Base Virtual Internacional de Autoridade
Biblioteca Apostólica Vaticana
Bibsys
Museu Britânico
Biblioteca Nacional da República Argentina
Biblioteca Nacional do Chile
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Biblioteca Virtual Miguel de Cervantes
Catálogo de autoridades de nomes e títulos da Catalunha
Consortium of European Research Libraries
CiNii
Encyclopædia Britannica
Bibliotheca Alexandrina
Faceted Application of Subject Terminology
Gemeinsame Normdatei
Istituto centrale per il catalogo unico delle biblioteche italiane e per le informazioni bibliografiche
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
LibriVox
MusicBrainz
Biblioteca Central Nacional
Biblioteca Nacional da Dieta
Biblioteca Nacional da Austrália
Biblioteca Nacional da China
Biblioteca Nacional da Grécia
Notable Names Database
Biblioteca Real dos Países Baixos
ORCID
Biblioteca do Estado Russo
Scopus (base de dados bibliográfica)
Sistema Universitário de Documentação
Enciclopédia Treccani
Biblioteca Nacional do Brasil
Biblioteca Nacional de Portugal
Union List of Artist Names
IMDb
Biblioteca Nacional de Israel
Pontifícia Universidade São Tomás de Aquino
Palazzo Castellani (Florença)
Biblioteca Nacional da Polónia
Biblioteca Nacional do País de Gales
Rijksmuseum
Escola Arqueológica Italiana de Atenas
Biblioteca Nacional da Eslováquia
Universidade Pontifícia de Salamanca
