30 de maio
Agência Espacial Federal Russa
Moscou
Banda S
Banda Ku
Órbita geoestacionária
Houston
Rede sem fio
Radiofrequência
Ultra high frequency
Laser
Global Positioning System
Centro Espacial Lyndon Johnson
Texas
Centro de Voos Espaciais Marshall
Huntsville (Alabama)
Alabama
Korolev (Rússia)
Oberpfaffenhofen
Toulouse
Veículo de Transferência Automatizado
Tsukuba
Módulo de Experiências Japonês
Veículo de Transferência H-II
Saint-Hubert
Quebec
Sistema de Serviço Móvel
Lista de expedições à Estação Espacial Internacional
Lista de voos tripulados para a ISS
Lista de voos não tripulados para a ISS
Paolo Nespoli
Dragon (espaçonave)
SpaceX
Cygnus (espaçonave)
UTC
Zvezda (módulo da ISS)
Soyuz MS
Soyuz MS-23
Poisk (módulo da ISS)
Crew Dragon Endeavour
SpaceX Crew-6
Harmony (módulo da ISS)
STS-116
Robert Curbeam
Christer Fuglesang
Nova Zelândia
Pirs
Quest Joint Airlock
Orlan
Expedição 12
Detrito espacial
Velocidade orbital
Energia cinética
Garatéa-L
Salyut
Tiangong 1
Physical Review Letters
Bibcode
PubMed Identifier
Digital object identifier
BBC News
The New York Times
International Standard Book Number
International Standard Serial Number
EADS Astrium
Wikimedia
União Europeia
Destiny (módulo da ISS)
Columbus (módulo da ISS)
Unity (módulo da ISS)
Tranquility (módulo da ISS)
Quest (módulo da ISS)
Rassvet (módulo da ISS)
Cúpula (módulo da ISS)
Integrated Truss Structure
Bigelow Expandable Activity Module
Nauka (módulo da ISS)
Prichal (módulo da ISS)
Canadarm2
Dextre
Kibō (módulo da ISS)
External Stowage Platform
Braço Robótico Europeu
Neutron Star Interior Composition Explorer
Pirs (módulo da ISS)
Módulo de Controlo Interno
Módulo de Propulsão
Módulo CAM
Módulo Habitacional
Módulo SPP
Módulo de Embarque Universal
Módulo de Investigação (ISS)
Prémios Princesa das Astúrias
José López Portillo
Enrique Valentín Iglesias García
Belisario Betancur
Grupo de Contadora
Raúl Alfonsín
Universidade de Salamanca
Universidade de Coimbra
Javier Pérez de Cuéllar
Óscar Arias
Jacques Delors
Mikhail Gorbatchov
Hans-Dietrich Genscher
Alto-comissariado das Nações Unidas para os Refugiados
Frederik Willem de Klerk
Nelson Mandela
Força de Proteção das Nações Unidas
Yitzhak Rabin
Yasser Arafat
Mário Soares
Helmut Kohl
Unidade Revolucionária Nacional Guatemalteca
Emma Bonino
Graça Machel
Fatiha Boudiaf
Rigoberta Menchú
Pedro Duque
John Glenn
Chiaki Mukai
Valeri Polyakov
Fernando Henrique Cardoso
Comitê Científico sobre Pesquisa Antártica
Luiz Inácio Lula da Silva
Programa Erasmus
Simone Veil
Fundação Bill e Melinda Gates
Al Gore
Centro de Investigação em Saúde de Manhiça
Moçambique
Tanzânia
Mali
Gana
Organização Mundial da Saúde
Bill Drayton
Movimento Internacional da Cruz Vermelha e do Crescente Vermelho
Sociedade Max Planck
Programa Fulbright
Wikipédia
Convenção-Quadro das Nações Unidas sobre a Mudança do Clima
Acordo de Paris (2015)
The Hispanic Society of America
Sal Khan
Khan Academy
GAVI Alliance
Camfed
Ellen MacArthur
Iniciativa Medicamentos para Doenças Negligenciadas
Espaço sideral
Aleksei Ovchinin
Ivan Vagner
Donald Pettit
SpaceX Crew-9
Nick Hague
Alexandr Gorbunov
Barry Wilmore
Sunita Williams
Estação Espacial Tiangong
Lista de expedições à Estação Espacial Tiangong
China
Cai Xuzhe
Lista de voos espaciais tripulados
Lista de expedições visitantes à Estação Espacial Internacional
Lista de visitas da Estação Espacial Internacional
Missão de um ano na ISS
Lista de voos tripulados para a Estação Espacial Tiangong
Velocidade da luz
Barreira do som
Recorde de velocidade em terra
Recorde de velocidade terrestre de motocicletas
Flâmula Azul
Voyager 1
Apollo 13
Opportunity (sonda espacial)
Parker (sonda espacial)
Batiscafo Trieste
Voyager 2
Gennady Padalka
Federação Aeronáutica Internacional
Base Virtual Internacional de Autoridade
Bibsys
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Catálogo de autoridades de nomes e títulos da Catalunha
Encyclopædia Britannica
Gemeinsame Normdatei
Global Research Identifier Database
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
MusicBrainz
Biblioteca Nacional da Austrália
NSSDC ID
