Who
Conselho Económico e Social das Nações Unidas
Status Consultivo
Comissão das Nações Unidas para o Desenvolvimento Sustentável
Comissão Estatística das Nações Unidas
Comissão das Nações Unidas de Desenvolvimento Social
Fórum das Nações Unidas para as Florestas
Comissão Econômica para a América Latina e o Caribe
Comissão Econômica das Nações Unidas para a África
Comissão Económica das Nações Unidas para a Europa
Comissão Econômica e Social para a Ásia e o Pacífico
Lista de agências especializadas da Organização das Nações Unidas
Grupo Banco Mundial
Organização Mundial do Comércio
"Organização das Nações Unidas para a Educação, a Ciência e a Cultura"
Agência Internacional de Energia Atómica
Fundo Internacional de Desenvolvimento Agrícola
Organização Internacional para as Migrações
Organização da Aviação Civil Internacional
Organização das Nações Unidas para Alimentação e Agricultura
Organização das Nações Unidas para o Desenvolvimento Industrial
Organização Internacional do Trabalho
Organização Marítima Internacional
Organização Meteorológica Mundial
Organização Mundial de Turismo
Organização Mundial da Propriedade Intelectual
Organização para a Proibição de Armas Químicas
União Internacional de Telecomunicações
União Postal Universal
Secretariado das Nações Unidas
Secretário-geral das Nações Unidas
Sede da Organização das Nações Unidas
Escritório das Nações Unidas em Genebra
Escritório das Nações Unidas em Nairóbi
Escritório das Nações Unidas em Viena
Escritório do Alto-comissário das Nações Unidas para os Direitos Humanos
Escritório das Nações Unidas para Assuntos de Desarmamento
Escritório de Serviços de Supervisão Interna das Nações Unidas
Departamento de Assuntos Econômicos e Sociais das Nações Unidas
Departamento de Assuntos Políticos e de Consolidação da Paz das Nações Unidas
Conselho de Tutela das Nações Unidas
Protetorado das Nações Unidas
Lista das Nações Unidas de territórios não autônomos
Tribunal Internacional de Justiça
Declaração das Nações Unidas
Carta das Nações Unidas
Resolução das Nações Unidas
Lista de anos internacionais da Organização das Nações Unidas
Objetivos de Desenvolvimento do Milênio
Objetivos de Desenvolvimento Sustentável
Convenção da ONU sobre Armas Convencionais
Convenção das Nações Unidas contra a Corrupção
Convenção das Nações Unidas para a Venda Internacional de Mercadorias
Convenção das Nações Unidas para o Combate à Desertificação
Convenção das Nações Unidas relativa ao Estatuto dos Refugiados
Convenção de Londres
Convenção de Modificação Ambiental
Convenção de Viena para a Proteção da Camada de Ozônio
Convenção internacional sobre a eliminação de todas as formas de discriminação racial
Convenção internacional sobre os direitos da criança
Convenção Internacional sobre os Direitos das Pessoas com Deficiência
Convenção das Nações Unidas sobre o Direito do Mar
Convenção sobre a eliminação de todas as formas de discriminação contra as mulheres
Convenção sobre a Escravatura
Convenção sobre as Armas Químicas
Convenção sobre Diversidade Biológica
Convenção sobre o Estatuto dos Apátridas
Convenção-Quadro das Nações Unidas sobre a Mudança do Clima
Estratégia Global para a Conservação de Plantas
Convenção de Viena sobre Direito dos Tratados
Convenção de Viena sobre Relações Diplomáticas
Declaração Universal dos Direitos Humanos
Declaração das Nações Unidas sobre os Direitos dos Povos Indígenas
Declaração de Roma
Declaração sobre orientação sexual e identidade de gênero das Nações Unidas
Regras de Mandela
Regras de Bangkok
Regras de Pequim
Cooperação Sul-Sul
Terceiro-mundismo
Sul global
País em desenvolvimento
País subdesenvolvido
Países pobres altamente endividados
Pequenos Estados insulares em desenvolvimento
Mercados emergentes
Países recentemente industrializados
Economia de transição
Teoria dos Mundos
Primeiro Mundo
Segundo Mundo
Terceiro Mundo
Quarto Mundo
Descolonização
Guerra Fria
Neocolonialismo
Multipolaridade
Conferência Mundial contra o Racismo
Globalização
BRICS
BASIC (grupo de países)
BRIC
Fórum de Diálogo Índia-Brasil-África do Sul
Próximos Onze
"Organização dos Estados de África, Caraíbas e Pacífico"
Banco Asiático de Investimento em Infraestrutura
Banco Asiático de Desenvolvimento
Fundo Monetário Árabe
Banco do Sul
Modelo dos gansos voadores
Sistema Global de Preferências Comerciais entre Países em Desenvolvimento
Nova Ordem Econômica Internacional
Nova Ordem Mundial da Informação e Comunicação
Medicamento genérico
Biossimilar
Grupo dos 77
Grupo dos 15
G20 (países em desenvolvimento)
Grupo dos 24
Grupo dos Onze
Movimento dos Países Não Alinhados
União Africana
Associação de Nações do Sudeste Asiático
Plano Colombo
Conferência de Bandungue
Comunidade de Estados Latino-Americanos e Caribenhos
Zona de Paz e Cooperação do Atlântico Sul
Associação Sul-Asiática para a Cooperação Regional
Aliança dos Pequenos Estados Insulares
Divisão norte-sul
Relatório Brandt
Sistema financeiro mundial
Comércio justo
Prémios Princesa das Astúrias
José López Portillo
Enrique Valentín Iglesias García
Belisario Betancur
Grupo de Contadora
Raúl Alfonsín
Universidade de Salamanca
Universidade de Coimbra
Javier Pérez de Cuéllar
Óscar Arias
Jacques Delors
Mikhail Gorbatchov
Hans-Dietrich Genscher
Frederik Willem de Klerk
Nelson Mandela
Força de Proteção das Nações Unidas
Yitzhak Rabin
Yasser Arafat
Mário Soares
Helmut Kohl
Unidade Revolucionária Nacional Guatemalteca
Emma Bonino
Graça Machel
Fatiha Boudiaf
Rigoberta Menchú
Pedro Duque
John Glenn
Chiaki Mukai
Valeri Polyakov
Fernando Henrique Cardoso
Estação Espacial Internacional
Comitê Científico sobre Pesquisa Antártica
Luiz Inácio Lula da Silva
Programa Erasmus
União Europeia
Simone Veil
Al Gore
Centro de Investigação em Saúde de Manhiça
Moçambique
Tanzânia
Mali
Gana
Bill Drayton
Movimento Internacional da Cruz Vermelha e do Crescente Vermelho
Sociedade Max Planck
Programa Fulbright
Wikipédia
Acordo de Paris (2015)
The Hispanic Society of America
Sal Khan
Khan Academy
GAVI Alliance
Camfed
Ellen MacArthur
Iniciativa Medicamentos para Doenças Negligenciadas
Base Virtual Internacional de Autoridade
Bibsys
Biblioteca Nacional da República Argentina
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Catálogo de autoridades de nomes e títulos da Catalunha
CiNii
Encyclopædia Britannica
Bibliotheca Alexandrina
Faceted Application of Subject Terminology
Gemeinsame Normdatei
Global Research Identifier Database
Dicionário Histórico da Suíça
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
Biblioteca Nacional da Dieta
Biblioteca Nacional da Austrália
Biblioteca Nacional da China
Biblioteca Nacional da Grécia
Sistema Universitário de Documentação
Enciclopédia Treccani
Biblioteca Nacional do Brasil
Descritores em Ciências da Saúde
Biblioteca Nacional de Portugal
Union List of Artist Names
Open Library
Biblioteca Nacional de Israel
Pontifícia Universidade São Tomás de Aquino
Medical Subject Headings
Sistema Unificado de Linguagem Médica
