Porto (transporte)
The Guardian
Metro do Porto
Transportes do Porto
Aeroporto Internacional Francisco Sá Carneiro
Península Ibérica
STCP
Funicular dos Guindais
Comboios de Portugal
Aveiro
Guimarães
Penafiel
Linha A (Metro do Porto)
Linha B (Metro do Porto)
Linha C (Metro do Porto)
Linha D (Metro do Porto)
Linha F (Metro do Porto)
Autoestrada
Via de Cintura Interna
Fotografia aérea
A20 (autoestrada)
Valença (Portugal)
A28 (autoestrada)
Estarreja
A29 (autoestrada)
A1 (autoestrada)
Bragança (Portugal)
A4 (autoestrada)
A3 (autoestrada)
Terminal Rodoviário do Campo 24 de Agosto
Terminal Rodoviário do Parque das Camélias (cidade do Porto)
Centro Coordenador de Transportes de Arouca
Centro Coordenador de Transportes de São João da Madeira
Ponte das Barcas
Ponte pênsil D. Maria II
Ponte da Arrábida
Ponte de D. Maria Pia
Gustave Eiffel
Ponte de São João
Ponte do Freixo
Ponte do Infante
"Henrique, Duque de Viseu"
Hospital de Santo António
Hospital de São João
Instituto Português de Oncologia Francisco Gentil
Grande Porto
Universidade Católica Portuguesa
Universidade Lusíada do Porto
Universidade Fernando Pessoa
Universidade Portucalense
Universidade Lusófona do Porto
Instituto Politécnico do Porto
Universidade do Minho
Universidade de Trás-os-Montes e Alto Douro
"Organização das Nações Unidas para a Educação, a Ciência e a Cultura"
Critérios de seleção de Património Mundial
Lista do Património Mundial na Europa
DJ
São João do Porto
Alho-porro
Descobrimentos portugueses
Restaurante
Bacalhau à Gomes de Sá
Caldo Verde
Francesinha
Sanduíche
Queijo
Vitivinícola
Região demarcada
Vinho verde
Pavilhão Rosa Mota
Jardins do Palácio de Cristal
Livraria Lello
Museu de Arte Contemporânea (Fundação de Serralves)
Parque de Serralves
Casa do Infante
Casa-Museu Fernando de Castro
Casa-Museu Guerra Junqueiro
Casa-Museu Marta Ortigão Sampaio
Casa-Oficina António Carneiro
Alfândega Nova (Porto)
Museu de Transportes e Comunicações
Museu do Carro Eléctrico
Passeio Alegre
Museu Nacional de Soares dos Reis
Museu do Vinho do Porto
Museu da Indústria
Museu de História Natural (Porto)
Museu do Papel Moeda
Gabinete de Numismática - Casa Tait
Museu de Arte Sacra e Arqueologia
Museu da Misericórdia do Porto
"Museu Nacional da Imprensa, Jornais e Artes Gráficas"
Centro Português de Fotografia
Museu Romântico da Quinta da Macieirinha
Museu Militar do Porto
Castelo do Queijo
Fundação Engenheiro António de Almeida
Fundação Dr. António Cupertino de Miranda
Rem Koolhaas
Teatro Rivoli
Teatro Nacional São João
Teatro Sá da Bandeira
Coliseu do Porto
Cine-Teatro Batalha
Teatro do Campo Alegre
Teatro Helena Sá e Costa
Escola Superior de Música e Artes do Espetáculo
Estádio do Bessa Século XXI
Futebol
Circuito Urbano da Boavista
Rosa Mota
Maratona
Jogos Olímpicos de Verão de 1988
Jogos Olímpicos de Verão de 1984
Maratona do Porto
Atletismo
Red Bull Air Race World Series
Hipismo
WTCC
Tiago Monteiro
Fórmula 1
Jack Brabham
Cooper Car Company
Coventry Climax
Stirling Moss
Vanwall
Estádio do Dragão
Elétricos do Porto
Lista de arruamentos do Porto
Diocese do Porto
Wayback Machine
International Standard Book Number
José Júlio Gonçalves Coelho
Instituto de Meteorologia
Geografia de Portugal
Diário de Notícias (Portugal)
Wikimedia
Sintra
Cascais
Loures
Amadora
Almada
Oeiras (Portugal)
Seixal
Odivelas
Santa Maria da Feira
Vila Franca de Xira
Vila Nova de Famalicão
Leiria
Setúbal
Barcelos
Funchal
Cidade global
Londres
Nova Iorque
Hong Kong
Paris
Área Central de Singapura
Tóquio
Sydney
Milão
Pequim
Madrid
Moscou
Seul
Toronto
Bruxelas
Buenos Aires
Mumbai
Kuala Lumpur
Chicago
Varsóvia
São Paulo
Zurique
Amesterdão
Cidade do México
Jacarta
Dublin
Banguecoque
Taipei
Istambul
Roma
Frankfurt am Main
Estocolmo
Praga
Viena
Budapeste
Atenas
Caracas
Los Angeles
Auckland
Santiago (Chile)
Washington DC
Melbourne
Joanesburgo
Atlanta
Barcelona
São Francisco (Califórnia)
Manila
Bogotá
Tel Aviv
Nova Deli
Dubai
Bucareste
Oslo
Berlim
Helsínquia
Genebra
Copenhage
Riade
Hamburgo
Cairo
Luxemburgo (cidade)
Bangalore
Dallas
Cidade do Kuwait
Boston
Munique
Jeddah
Miami
Lima
Kiev
Houston
Guangzhou
Beirute
Karachi
Dusseldorf
Sófia
Montevidéu
Nicósia
Rio de Janeiro
Cidade de Ho Chi Minh
Montreal
Nairóbi
Bratislava
Cidade do Panamá
Chennai
Brisbane
Casablanca
Denver
Quito
Stuttgart
Vancouver
Zagreb
Manama
Cidade da Guatemala
Cidade do Cabo
San José (Califórnia)
Minneapolis
Santo Domingo
Seattle
Ljubliana
Shenzhen
Perth (Austrália)
Calcutá
Guadalajara (México)
Antuérpia
Filadélfia
Roterdão
Amã
Portland (Oregon)
Lagos (Nigéria)
Detroit
Manchester
Wellington
Riga
Guaiaquil
Edimburgo
San Salvador
São Petersburgo
Tallinn
Port Louis
San Diego
Islamabad
Birmingham
Doha
Calgary
Almaty
Colombo
Globalization and World Cities Research Network
Arouca
Espinho (Portugal)
Oliveira de Azeméis
Paredes
Póvoa de Varzim
Santo Tirso
São João da Madeira
Trofa
Vale de Cambra
Valongo
Vila do Conde
Amarante (Portugal)
Baião (Portugal)
Felgueiras
Lousada
Marco de Canaveses
Paços de Ferreira
Florença
Glásgua
Dublim
Copenhaga
Salonica
Veimar
Avinhão
Bergen
Bolonha
Cracóvia
Reiquiavique
Santiago de Compostela
Bruges
Salamanca
Graz
Génova
Lille
Cork
Patras
Sibiu
Liverpool
Stavanger
Linz
Vilnius
Essen
Pécs
Turku
Maribor
Cassóvia
Marselha
Uma (Suécia)
Mons
Plzeň
San Sebastián
Breslávia
Aarhus
Pafos (cidade)
Leeuwarden
Valeta
Matera
Plovdiv
Rijeka
Galway
Kaunas
Esch-sur-Alzette
Novi Sad
Veszprém
Timișoara
Elêusis
Tartu
Bodø
Bad Ischl
Distrito de Aveiro
Distrito de Beja
Beja
Distrito de Braga
Distrito de Bragança
Distrito de Castelo Branco
Castelo Branco
Distrito de Coimbra
Distrito de Évora
Évora
Distrito de Faro
Faro
Distrito da Guarda
Guarda
Distrito de Leiria
Distrito de Lisboa
Distrito de Portalegre
Portalegre (Portugal)
Distrito de Santarém
Santarém (Portugal)
Distrito de Setúbal
Distrito de Viana do Castelo
Viana do Castelo
Distrito de Vila Real
Vila Real
Distrito de Viseu
Viseu
Porto
Base Virtual Internacional de Autoridade
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Catálogo de autoridades de nomes e títulos da Catalunha
Encyclopædia Britannica
Faceted Application of Subject Terminology
Gemeinsame Normdatei
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
Arquivos Nacionais e Administração de Documentos
Sistema Universitário de Documentação
Enciclopédia Treccani
Biblioteca Nacional do Brasil
Instituto Nacional de Estatística (Portugal)
OpenStreetMap
MusicBrainz
GeoNames
Getty Thesaurus of Geographic Names
TripAdvisor
