Catedral de Vilnius
Henry Holland
Warwickshire
Friedrich Gilly
Pesto (cidade)
Santa Sofia
Istambul
Gloucestershire
Museu Britânico
Herefordshire
Carlton House
Saint George's Hall
Liverpool
John Soane
Templo
St George's Hall
Basílica civil
Harvey Lonsdale Elmes
Charles Robert Cockerell
Sir John Soane's Museum
Regent's Park
John Nash (arquiteto)
Oxford
Cambridge
Leeds
Glasgow
Karl Friedrich Schinkel
Carl Gotthard Langhans
Porta de Brandeburgo
Porta de Brandemburgo
Berlim
Métopa
Friso
Tríglifo
Downing College
Propileu
Thomas Harrison (arquiteto)
"Frederico, o Grande"
Neue Wache
Finlândia
Altes Museum
Leo von Klenze
Gliptoteca de Munique
Stoa
Templo de Valhala
Ratisbona
Mitologia nórdica
Periptero
Baixo-relevo
Munique
Arquitetura neoclássica na Itália
Catedral de Novara
Reino de Itália (1861–1946)
Vítor Emanuel II
Piazza di Spagna
Fonte de Trevos
Piemonte
Filippo Juvarra
Bernardo Antonio Vittone
Reino de Nápoles
Ferdinando Fuga
Luigi Vanvitelli
Palácio Real de Caserta
Véneto
Forlì
Emília-Romanha
Basílica de São Francisco de Paula
Basílica de Santo Ambrósio e São Carlos
Arquitetura neoclássica na Rússia
Andrejan Zacharov
Almirantado de São Petersburgo
São Petersburgo
Bartolomeo Rastrelli
Palácio de Inverno
"Catarina, a Grande"
Jean-Baptiste Michel Vallin de La Mothe
Academia de Artes da Rússia
Giacomo Quarenghi
Charles Cameron
Palácio de Catarina
Tsarskoye Selo
Palácio de Pavlovsk
Catedral de Nossa Senhora de Cazã
Andrejan Dmitrievič Zacharov
Catedral de Santo Isaac
Auguste de Montferrand
Carlo Rossi
Palácio Mikhailovsky
Moscovo
Kremlin de Moscovo
Domenico Gilardi
Karl Rossi
Catedral de Copenhaga
Europa Setentrional
Dinamarca
Nicolas-Henri Jardin
Palácio de Amalienborg
Catedral de Roskilde
Frederico IV da Dinamarca
Christian Frederik Hansen
Helsínquia
Praça do Senado (Helsínquia)
Universidade de Helsínquia
Abóbada em cruzaria
Arquitetura neoclássica em Portugal
Período pombalino
Portugal
Igreja de São Roque (Lisboa)
Lisboa
D. João V
Nicola Salvi
José da Costa e Silva
Bolonha
Teatro Nacional de S. Carlos
Palácio Nacional da Ajuda
Francesco Saverio Fabri
Coimbra
Museu da Ciência da Universidade de Coimbra
Porto
Hospital de Santo António
John Carr
Praça da Ribeira (Porto)
Rio Douro
Feitoria Inglesa
John Whitehead
Palácio da Bolsa
Carlos Amarante
Igreja da Trindade (Porto)
Academia de Atenas (moderna)
Espanha
Viena
Johann Bernhard Fischer von Erlach
Austria
Pronau
Pórtico
Coluna cóclida
Fuste
Coluna de Trajano
Theseustempel
Polónia
Lituânia
Comunidade das Duas Nações
Antonio Corazzi
Varsóvia
Praga
Hungria
Vác
Budapeste
Bélgica
Países Baixos
Roterdão
Amesterdão
Haia
Leeuwarden
Atenas
Zappeion
Wroclaw
Universidade de Virgínia
Estilo Georgiano
Thomas Jefferson
Monticello
Virgínia
Maison Carrée
Nimes
Rotunda (arquitetura)
Richmond (Virgínia)
Robert Mills
William Strickland
Filadélfia
Coluna de Washington
Baltimore
Second Bank of the United States
Lanterna (arquitetura)
Thomas Walter
Columbus (Ohio)
Charles Follen McKim
Universidade Columbia
Nova Iorque
Edifício da Suprema Corte dos Estados Unidos
Wall Street
Lincoln Memorial
Abraham Lincoln
Henry Bacon
Jefferson Memorial
Frank Lloyd Wright
Casa da Cascata
Suprema Corte dos Estados Unidos
Cass Gilbert
Woolworth Building
Arranha-céus
John Russell Pope
Cidade de Vicenza e Villas de Palladio no Véneto
Templo grego
Rio Potomac
Neoclassicismo no Brasil
Capitólio Nacional da Colômbia
Palácio de La Moneda
Santiago
Chile
Cabildo colonial
Montevideu
Uruguai
Tomás Toribio
Brasil
Grandjean de Montigny
Teatro de Santa Isabel
Recife
Theatro Nossa Senhora da Paz
Belém (Pará)
Independência da América Espanhola
Bogotá
Eduskuntatalo
Monumento a Vítor Emanuel II da Itália
Fascismo
Arquitetura racionalista
Marcello Piacentini
Movimento Moderno
Sony Building (Nova Iorque)
Adolf Hitler
Albert Speer
Führer
Volkshalle
União Soviética
China
Auguste Perret
Estocolmo
Gunnar Asplund
International style
Ludwig Mies van der Rohe
Pós-modernismo
Nova arquitetura clássica
Philip Johnson
Arquitetura da Grécia Antiga
Arquitetura da Roma Antiga
Jean-Jacques Lequeu
Língua italiana
International Standard Book Number
Casa editrice Giuseppe Laterza & figli
David Watkin (historiador)
Biblioteca Nacional Central de Florença
Biblioteca Nacional da Espanha
Encyclopædia Britannica
Gemeinsame Normdatei
JSTOR
Número de controle da Biblioteca do Congresso
