Linha do Equador
Toscana
Ilha de Elba
Mar Tirreno
Sicília
Estreito da Sicília
Tunísia
Mar Adriático
Bálcãs
Mar Jônico
Calábria
Ilhas Jônicas
Golfo de Sidra
Líbia
Mar Egeu
Mar Trácio
Macedônia do Norte
Trácia
Mar Mirtoico
Cíclades
Peloponeso
Mar de Creta
Creta
Mar da Líbia
Mar de Mármara
Estreito de Dardanelos
Estreito de Bósforo
Anatólia
Cáucaso
Mar de Azov
Ucrânia
Crimeia
Península de Taman
Estreito de Kerch
Mar Levantino
Egito
Levante (Mediterrâneo)
Passagem do Noroeste
Estreito de Davis
Estreito de Bering
Baía de Baffin
Groenlândia
Baía de Hudson
Baía de James
Ontário
Quebec
Mar do Labrador
Golfo de São Lourenço
Golfo do México
Baía de Campeche
Mexicanos
Campeche
Tabasco
Veracruz
Golfo da Venezuela
Mar dos Sargaços
Lista de baías do Brasil
Mar Argentino
Atlântico Sul
Canal do Panamá
Grande Porção de Lixo do Atlântico Norte
História Atlântica
Organização do Tratado do Atlântico Norte
Zona de Paz e Cooperação do Atlântico Sul
História da região do Mediterrâneo
Temperatura do oceano
INMET
Região
Magrebe
Norte de África
África Central
África Austral
África Ocidental
África Oriental
África subsariana
Cone Sul
América Latina
América Anglo-Saxônica
Ásia
Ásia Central
Ásia Oriental
Extremo Oriente
Ásia Setentrional
Sibéria
Ásia Meridional
Subcontinente indiano
Sudeste Asiático
Sudoeste Asiático
Europa Central
Leste Europeu
Europa Setentrional
Europa meridional
Médio Oriente
Arábia
Oceania
Australásia
Melanésia
Micronésia
Polinésia
Região polar
Ártico
Oceanos
