Luciano Bivar
Marcelo Álvaro Antônio
Laranja (indivíduo)
Secretaria-Geral da Presidência da República
Folha de Pernambuco
Zero Hora
Yahoo! News
Fundação Getúlio Vargas
Estadão
Época (revista)
O Estado de S.Paulo
Gazeta do Povo
Grupo Folha
R7
International Standard Serial Number
International Standard Book Number
OCLC
Facebook
Instagram
Twitter
YouTube
Lista de partidos políticos brasileiros extintos
Sexta República Brasileira
Partido Trabalhista Brasileiro (1979)
Partido Social Trabalhista (1996)
Partido Social Cristão
Partido Liberal (1985)
Partido Comunista - Seção Brasileira da Internacional Comunista
Partido dos Aposentados da Nação
Partido Geral dos Trabalhadores
Partido Social Democrático (1987)
Partido de Reedificação da Ordem Nacional
Partido Republicano da Ordem Social
Partido do Povo Brasileiro
Partido Trabalhista Renovador Brasileiro
Partido Municipalista Comunitário
Partido Humanista (Brasil)
Partido Tancredista Nacional
Partido Municipalista Brasileiro
Partido Nacionalista (Brasil)
Partido Liberal Brasileiro
Partido Socialista Agrário e Renovador Trabalhista
Partido Comunitário Nacional
Partido da Nova República
Partido Reformador Trabalhista
Partido Nacionalista Democrático
Partido Renovador Progressista
Partido Democrático Independente
Partido Social Progressista (1987)
Partido Nacional dos Aposentados do Brasil
Partido Nacional dos Aposentados
Partido Humanista Nacional
Partido Socialista (Brasil)
Partido Democrático Nacional (Brasil)
Partido do Movimento de Unificação dos Trabalhadores
Partido do Povo (Brasil)
Partido Liberal Progressista
Partido da Democracia Cristã do Brasil
Partido do Trabalhador Sertanejo
Partido do Solidarismo Libertador
Partido Comunitário Solidariedade
Partido Brasileiro de Mulheres
Partido Estudantil Brasileiro
Partido Socialista Unido
Partido de Ação Progressista
Partido Nacionalista dos Trabalhadores
Partido Democrata (1988–1991)
Partido Liberal Humanista
Partido das Reformas Sociais
Partido da Ação Social
Partido Socialista do Brasil
Partido Trabalhista Comunitário
Partido Municipalista Social Democrático
Partido Parlamentarista Nacional
Partido Liberal Trabalhista
Partido Cívico de Desenvolvimento Nacional
Partido Comunista (Brasil)
Partido Ecológico Social
Partido Nacionalista dos Trabalhadores Brasileiros
Partido Liberal Cristão
Partido da Frente Socialista
