Bandeira do Uruguai
Gini
Desigualdade social
México
Política do Uruguai
Presidente do Uruguai
Democracia representativa
Sufrágio universal
Bicameralismo
Representação proporcional
Referendo
Privatização
Socialismo
Comunismo
Sociais-democratas
Freedom House
Economist Intelligence Unit
Tratado Constitutivo da Unasul
União de Nações Sul-Americanas
Cristina Kirchner
Dilma Rousseff
Relações entre Argentina e Uruguai
Ilhas Malvinas
Celulose
Esgoto
Gualeguaychú
Relações entre Brasil e Uruguai
Ilha Brasileira
Masoller
Afluente
Rio Quaraí
De facto
Missão das Nações Unidas para a estabilização no Haiti
Venezuela
Mercosul
Alí Rodríguez Araque
Secretário-geral da Unasul
Néstor Kirchner
Barril (unidade)
Petróleo
Estado palestino
Oriente Médio
M41 Walker Bulldog
Força Aérea Uruguaia
Homossexualidade
Orientação sexual
Per capita
Forças de paz das Nações Unidas
ONU
Haiti
MINUSTAH
MONUC
República Democrática do Congo
Índia
Paquistão
Subdivisões do Uruguai
Departamento (divisão administrativa)
Divisão dos poderes
Departamento de Artigas
Departamento de Cerro Largo
Departamento de Colônia
Durazno (departamento)
Departamento de Flores
Trinidad (Uruguai)
Departamento de Florida
Departamento de Maldonado
Departamento de Montevidéu
Departamento de Paysandú (Uruguai)
Departamento de Río Negro (Uruguai)
Departamento de Rivera
Rivera (Uruguai)
Departamento de Rocha
Departamento de Salto
Departamento de San José (Uruguai)
Departamento de Treinta y Tres
Economia do Uruguai
Comércio
Agricultura
Dólar dos Estados Unidos
Arroz
Soja
Milho
Cevada
Trigo
Cana-de-açúcar
Carne bovina
Mel
Leite de vaca
Indústria
Banco Mundial
Exportação
Grau de investimento
Software
Livre mercado
Dívida externa
Praça Independência (Montevidéu)
PIB
Fundo Monetário Internacional
Dívida governamental
Laticínio
Forragem
Organização das Nações Unidas para Alimentação e Agricultura
Cavalo
Abelha
Marmelo
Punta del Este
Conrad Punta del Este Resort & Casino
Dólar
Patrimônio Mundial
UNESCO
País em desenvolvimento
Huffington Post
Aposentadoria
Aeroporto Internacional de Carrasco
Contêiner
Cais
Navio
Nueva Palmira
Rafael Viñoly
PLUNA
Aeroporto Internacional Capitan Corbeta CA Curbelo
Administración de Ferrocarriles del Estado
Transporte ferroviário no Uruguai
Tonelada
Estrada
Rodovia
Comércio internacional
Mercado Comum do Sul
Ruta 10 (Uruguai)
Ruta 1 (Uruguai)
Ruta 5 (Uruguai)
Educação no Uruguai
Universidade da República
Jardim de infância
Ensino primário
Ensino secundário
Ensino superior
Pós-graduação
Educação pública
Programa Internacional de Avaliação de Alunos
Organização para a Cooperação e Desenvolvimento Econômico
One Laptop per Child
Laptop
Organização Mundial da Saúde
Cuba
Represa de Salto Grande
Energia renovável
Energia eólica
Watt
Energia hidroelétrica
Energia térmica
Biomassa
Hidrologia
Culinária do Uruguai
Literatura do Uruguai
José Enrique Rodó
Modernismo
Espiritualidade
Materialismo
Florencio Sánchez
Juan Zorrilla de San Martín
Poesia épica
Juana de Ibarbourou
Delmira Agustini
Idea Vilariño
Horacio Quiroga
Juan Carlos Onetti
Mario Benedetti
Eduardo Galeano
As Veias Abertas da América Latina
Jorge Majfud
Histórias em quadrinhos
Crítica social
Casapueblo
Carlos Páez Vilaró
Tombuctu
Míconos
Juan Manuel Blanes
Pós-impressionista
Pedro Figari
Leandro Silva Delgado
Whisky (filme)
Juan Pablo Rebella
Pablo Stoll
Los Shakers
Rock uruguaio
Gaúcho
Tango
La Cumparsita
Gerardo Matos Rodríguez
Candombe
Violão
Julio Sosa
Carlos Gardel
Nacionalidade
Exército francês
Primeira Guerra Mundial
Rock and roll
Beatles
La Vela Puerca
No Te Va Gustar
El Cuarteto de Nos
Estádio Centenário
Futebol
Ilhas Britânicas
Jogos Olímpicos de 1924
Paris
Jogos Olímpicos de 1928
Amsterdã
Copa do Mundo FIFA
Copa do Mundo FIFA de 1950
Seleção Brasileira de Futebol
Seleção Uruguaia de Futebol
Copa do Mundo FIFA de 1930
Maracanaço
Copa América
Copa do Mundo FIFA de 2010
África do Sul
Diego Forlán
Bola de Ouro
FIFA
Seleção Espanhola de Futebol
Basquetebol
Federação Internacional de Basquetebol
Jogos Olímpicos
Jogos Olímpicos de 1952
Jogos Olímpicos de 1956
Helsinque
Melbourne
Seleção Uruguaia de Rugby
Rally
Gonzalo Rodríguez (automobilista)
Fórmula 1
1 de janeiro
Ano novo
6 de janeiro
Dia Mundial da Criança
Dia de Reis
27 de fevereiro
28 de fevereiro
Carnaval
13 de março
14 de março
Semana
Turismo
19 de abril
1 de maio
Dia do Trabalhador
18 de maio
Batalha
Pedra
19 de junho
Nascimento
José Artigas
Juramento da Constituição
Declaração de Independência
12 de outubro
Dia das Américas
2 de novembro
Dia dos Fiéis Defuntos
25 de dezembro
Natal
Lista de Estados soberanos
Lista de Estados soberanos e territórios dependentes da América
Missões diplomáticas do Uruguai
Província Cisplatina
Língua de sinais do Uruguai
Wayback Machine
Universo Online
Programa das Nações Unidas para o Desenvolvimento
O Estado de S. Paulo
BBC
Central Intelligence Agency
UOL
International Standard Serial Number
Digital object identifier
Instituto Brasileiro de Geografia e Estatística
Uol
Portal Terra
CIA World Factbook
NASDAQ
Fórum Econômico Mundial
The Independent
El Observador (Uruguai)
Espectador
Banco Interamericano de Desenvolvimento
El País
International Standard Book Number
Hino nacional do Uruguai
Cultura do Uruguai
Desporto no Uruguai
Religião no Uruguai
Lista de rios do Uruguai
Turismo no Uruguai
Cidadania do Mercosul
Cronologia do Mercado Comum do Sul
Bandeira do Mercado Comum do Sul
Direito do Mercado Comum do Sul
Relações externas do Mercado Comum do Sul
Estados-membros do Mercosul
Bolívia
Colômbia
Equador
Peru
Comissão de Comércio do Mercosul
Conselho do Mercado Comum
Comissão de Representantes Permanentes do Mercosul
Fundo para a Convergência Estrutural do Mercosul
Reuniões do Conselho do Mercado Comum
Foro Consultivo Econômico-Social
Grupo Mercado Comum
Parlamento do Mercosul
Presidência Rotativa Pro-tempore do Mercosul
Secretaria do Mercosul
Boletim Oficial do Mercosul
Tribunal Permanente de Revisão do Mercosul
Palacete Villa Rosalba
Alto Representante-Geral do MERCOSUL
Comissão Parlamentar Conjunta
Tratado de Assunção
Declaração de Iguaçu
"Tratado de Integração, Cooperação e Desenvolvimento"
Protocolo de Olivos
Protocolo de Ouro Preto
Protocolo Constitutivo do Parlamento do Mercosul
Protocolo de Ushuaia
Integração sul-americana
Associação Mercosul de Normalização
Nomenclatura Comum do Mercosul
Placas de identificação de veículos no Mercosul
Sistema de Pagamentos em Moeda Local
Foro Empresarial União Europeia-Mercosul
Mercocidades
Países da América
Antígua e Barbuda
Bahamas
Barbados
Belize
Costa Rica
Dominica
El Salvador
Granada (país)
Guatemala
Guiana
Honduras
Jamaica
Nicarágua
Panamá
República Dominicana
Santa Lúcia
São Cristóvão e Neves
São Vicente e Granadinas
Trindade e Tobago
Lista de países da América
Anguila
Aruba
Bermudas
Curaçau
Groenlândia
Guadalupe
Ilhas Caimão
Ilhas Geórgia do Sul e Sanduíche do Sul
Ilhas Virgens Britânicas
Ilhas Virgens dos Estados Unidos
Martinica
Monserrate (ilha)
Países Baixos Caribenhos
Bonaire
Saba
Santo Eustáquio (Países Baixos)
Porto Rico
São Bartolomeu (coletividade)
São Martinho (França)
São Martinho (Países Baixos)
São Pedro e Miquelão
Turcas e Caicos
Organização dos Estados Americanos
Bandeira da Organização dos Estados Americanos
Carta da Organização dos Estados Americanos
Carta Democrática Interamericana
Estrutura da Organização dos Estados Americanos
Assembleia Geral da Organização dos Estados Americanos
Secretaria-geral da Organização dos Estados Americanos
Organização Pan-Americana da Saúde
Junta Interamericana de Defesa
Tratado Interamericano de Assistência Recíproca
Sistema Interamericano de Proteção aos Direitos Humanos
Convenção Americana sobre Direitos Humanos
Comissão Interamericana de Direitos Humanos
Corte Interamericana de Direitos Humanos
Instituto Interamericano da Criança
Cúpula das Américas
Capital Americana da Cultura
Pan-americanismo
Estados-membros da União de Nações Sul-Americanas
Bandeira da União de Nações Sul-Americanas
Banco do Sul
Conselho de Defesa Sul-Americano
Conselho Energético Sul-Americano
Conselho de Saúde Sul-Americano
Instituto Sul-Americano de Governo em Saúde
Parlamento Sul-Americano
Presidente da União de Nações Sul-Americanas
Secretário-geral da União de Nações Sul-Americanas
Declaração de Cusco
Cúpula Sul-Americana
4.ª Cúpula da Unasul
Cúpula América do Sul - África
Cúpula América do Sul - Países Árabes
II Cúpula América do Sul - Países Árabes
Iniciativa para a Integração da Infraestrutura Regional Sul-Americana
Corredor bioceânico
Estrada do Pacífico
Ferrovia Transoceânica
Rodovia Pan-Americana
Anel Energético Sul-Americano
Gás de Camisea
Gasoduto Transcaribenho
Grande Gasoduto do Sul
Conferência Ibero-americana
Andorra
Cabo Verde
Filipinas
Guiné Equatorial
Moçambique
Timor-Leste
Secretaria-Geral Ibero-Americana
Secretaria de Cooperação Ibero-americana
Associação de Bibliotecas Nacionais Ibero-americanas
Conferência de Autoridades Audiovisuais e Cinematográficas Iberoamericanas
Comunidade Ibero-americana de Nações
"Organização dos Estados Ibero-americanos para Educação, Ciência e Cultura"
União de Cidades Capitais Ibero-americanas
Ibero-América
Dinastia Filipina
Base Virtual Internacional de Autoridade
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Catálogo de autoridades de nomes e títulos da Catalunha
Encyclopædia Britannica
Faceted Application of Subject Terminology
Gemeinsame Normdatei
Dicionário Histórico da Suíça
International Standard Name Identifier
KulturNav
Número de controle da Biblioteca do Congresso
Arquivos Nacionais e Administração de Documentos
Biblioteca Nacional da Dieta
Biblioteca Nacional da Grécia
Sistema Universitário de Documentação
Biblioteca Nacional do Brasil
Descritores em Ciências da Saúde
Biblioteca Nacional de Portugal
Biblioteca Nacional de Israel
Pontifícia Universidade São Tomás de Aquino
OpenStreetMap
MusicBrainz
GeoNames
Getty Thesaurus of Geographic Names
Taxonomia
Medical Subject Headings
Sistema Unificado de Linguagem Médica
