Ordem do Mérito Cultural
Tarsila do Amaral
Ticiano
Tintoretto
Vincent van Gogh
Paolo Veronese
Johannes Vermeer
A Balsa da Medusa
A Criação de Adão
A Liberdade guiando o povo
A Noite Estrelada
A Persistência da Memória
A Última Ceia (Leonardo da Vinci)
Abaporu
Anunciação (El Greco)
Caminhante sobre o mar de névoa
Escola de Atenas
"Impressão, nascer do sol"
Mona Lisa
Nenúfares (série de Monet)
O Casamento em Caná
O Grito
O Nascimento de Vênus
Saturno devorando um filho
Tempestade no mar da Galileia
Vênus ao espelho
Visitação (Ghirlandaio)
Base Virtual Internacional de Autoridade
Biblioteca Apostólica Vaticana
Bibsys
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Encyclopædia Britannica
Faceted Application of Subject Terminology
Gemeinsame Normdatei
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
MusicBrainz
Biblioteca Real dos Países Baixos
Rijksbureau voor Kunsthistorische Documentatie
Sistema Universitário de Documentação
Universidade Federal de Santa Catarina
Biblioteca Nacional de Portugal
Union List of Artist Names
Open Library
Biblioteca Nacional de Israel
Biblioteca Nacional da Polónia
Rijksmuseum
