Academia Brasileira de Letras
Léa Garcia
Matheus Nachtergaele
Base Virtual Internacional de Autoridade
Biblioteca Nacional da França
Biblioteca Virtual Miguel de Cervantes
Faceted Application of Subject Terminology
Gemeinsame Normdatei
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
Biblioteca Real dos Países Baixos
Sistema Universitário de Documentação
Enciclopédia Treccani
Itaú Cultural
Museu da Pessoa
Universidade Federal de Santa Catarina
AllMovie
AlloCiné
Cinémathèque Française
