História da arte
Gala Éluard Dalí
Paul Delvaux
Robert Desnos
Marcel Duchamp
Leonor Fini
Valentine Hugo
Wifredo Lam
Philip Lamantia
Jacqueline Lamba
Michel Leiris
Dora Maar
Joyce Mansour
André Masson
Lee Miller
Henry Moore
Desmond Morris
Joan Miró
Pierre Naville
Vítězslav Nezval
Méret Oppenheim
Benjamín Palencia
Roland Penrose
Francis Ponge
Raymond Queneau
Man Ray
Georges Sadoul
Philippe Soupault
Yves Tanguy
Dorothea Tanning
Toyen
Tristan Tzara
Roger Vitrac
Unica Zürn
Dau Al Set
Cinema surrealista
Humor absurdo
Expressionismo abstrato
Arte postal
Color Field
Construtivismo
Cubismo cézanniano
Cubofuturismo
De Stijl
Devětsil
Mir Iskusstva
Neoimpressionismo
Nouveau réalisme
Raionismo
Vorticismo
Acmeísmo
Cyberpunk
Hungry generation
Imagismo russo
Literatura experimental
Nouveau roman
OBERIU
Oulipo
Poesia language
Poesia visual
Poetry slam
Ultraísmo
Zaum
Dogma 95
Teatro do absurdo
Teatro épico
Arte pós-moderna
Fluxus
Futurismo russo
Internacional Situacionista
Letrismo
Neodadaísmo
Neoísmo
Pós-modernismo
Primitivismo
Realismo social
Simbolismo russo
Arte móvel pré-histórica
Arte da Grécia Antiga
Escultura do Renascimento italiano
Arte da Antiguidade
Arte persa
Arte nabateia
Arte cita
Classicismo
Arte copta
Arte helenística
Arte greco-budista
Arte da Roma Antiga
Arte pré-colombiana
Arte tolteca
Arte macedônica
Arte hiberno-saxónica
Arte das Astúrias
Arte hispano-muçulmana
Arte moçárabe
Arte gótica
Arte na Idade Moderna
Nazarenos (arte)
Irmandade Pré-Rafaelita
Die Brücke (grupo artístico)
Pós-modernidade
Arte bruta
Arte cinética
Arte informal
Arte povera
Arte urbana
Body art
Combine (pintura)
Graffiti
Instalação (arte)
Internet art
Land Art
Performance (arte)
Transvanguarda
História da arte ocidental
História da arte (disciplina)
História da animação
Antropologia da arte
História da dança
Desenho
História da fotografia
Gravura
Retrato
História do vestuário e dos têxteis
Arte sacra
Canto gregoriano
Catacumba de Comodila
Catacumba de Priscila
Representação de Jesus na arte
Ascensão de Jesus
Cinco Santas Chagas
Jesus carregando a cruz
Crucificação de Jesus (arte)
Jesus se despedindo de sua mãe
Jesus entre os doutores
Lamentação de Cristo
Natividade de Cristo na arte
Paixão (cristianismo)
Pietà
Vida de Cristo
Representação de Deus no Cristianismo
Anjo arcabuzeiro
Halo (iconografia religiosa)
Iconóstase
Jacó Luta Com o Anjo
Leão de São Marcos
Vida da Virgem
Coroação de Maria
Madona
Virgem Amamentando
Nove da Fama
Orbe (joia)
Pantocrator
Pintura religiosa
Relicário
Cinto de Tomé
Teótoco de Vladimir
Tetramorfos
Transi
Nudez
Nu artístico
Arte erótica
História da nudez
Nudez heroica
Nu masculino na história da fotografia
Arte erótica em Pompeia e Herculano
História das representações eróticas
Afrodite
Eros
Graças
Vênus (mitologia)
Tesauro de Arte e Arquitetura
Biblioteca Nacional Central de Florença
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Encyclopædia Britannica
Gemeinsame Normdatei
JSTOR
Número de controle da Biblioteca do Congresso
Biblioteca Nacional da Dieta
Biblioteca Técnica Nacional de Praga
