Oligoceno
Connochaetes taurinus
Chiru
Caprinae
Bovinos
Antilopinae
Ammotragus lervia
Budorcas taxicolor
Capra
Cabra-selvagem
Capra caucasica
Capra falconeri
Íbex
Capra nubiana
Capra pyrenaica
Íbex-siberiano
Tahr
Hemitragus hylocrius
Hemitragus jayakari
Hemitragus jemlahicus
Goral
Naemorhedus baileyi
Naemorhedus caudatus
Naemorhedus goral
Capricornis milneedwardsii
Oreamnos americanus
Boi-almiscarado
Ovis
Argali
Ovelha
Carneiro-selvagem
Carneiro-de-dall
Muflão
Ovis nivicola
Urial
Pseudois
Pseudois nayaur
Rupicapra
Camurça-dos-pirineus
Camurça
Boselaphini
Tetracerus quadricornis
Boselaphus tragocamelus
Bovini
Búfalo
Búfalo-asiático
Bubalus depressicornis
Bubalus mindorensis
Bos
Bos javanicus
Gauro
Iaque
Gado bovino
Bos sauveli
Zebu
Pseudonovibos spiralis
Saola
Búfalo-africano
Bisonte
Bisão-americano
Bisonte-europeu
Strepsicerotini
Tragelaphus
Sitatunga
Inhala
Imbabala
Tragelaphus buxtoni
Tragelaphus imberbis
Cudo
Tragelaphus eurycerus
Elande
Taurotragus derbianus
Antilopini
Ammodorcas clarkei
Cabra-de-leque
Antilope cervicapra
Gazela
Gazella gazella
Gazella spekei
Gazela-dorcas
Gazella bennettii
Gazela-de-thomson
Eudorcas rufifrons
Nanger dama
Gazela-de-grant
Nanger soemmerringii
Gazella cuvieri
Gazella leptoceros
Gazella subgutturosa
Gazela-girafa
Procapra
Procapra gutturosa
Procapra picticaudata
Procapra przewalskii
Saiga
Neotragini
Dorcatragus megalotis
Dik-dik
Madoqua guentheri
Madoqua kirkii
Madoqua piacentinii
Madoqua saltiana
Neotragus
Neotragus pygmaeus
Antílope-salta-rochas
Ourebia ourebi
Raphicerus
Raphicerus campestris
Raphicerus melanotis
Raphicerus sharpei
Suina
Suidae
Babyrousa
Babyrousa babyrussa
Babyrousa celebensis
Babyrousa togeanensis
Hylochoerus meinertzhageni
Phacochoerus
Javali-africano
Phacochoerus africanus
Porcula salvania
Potamochoerus
Potamochoerus larvatus
Potamochoerus porcus
Sus
Sus ahoenobarbus
Sus barbatus
Sus bucculentus
Sus cebifrons
Sus celebensis
Sus oliveri
Sus philippensis
Javali
Sus verrucosus
Tayassuidae
Queixada
Parachoerus wagneri
Caititu
Pecari maximus
Tylopoda
Camelidae
Lama (gênero)
Lhama
Guanaco
Vicunha
Alpaca
Camelo
Dromedário
Camelo-bactriano
Cetartiodactyla
Hippopotamidae
Hippopotamus
Hipopótamo-comum
Hipopótamo-pigmeu
Mamíferos
Cavalo
Elefante
Leão
Leão (heráldica)
Lobo
Tigre
Ursidae
Aves
Águia (heráldica)
Cisne
Galinha
Gralha-calva
Pavão
Pelicano
Columbidae
Alerião
Basilisco
Biscione
Cocatrice
Dragão
Grifo
Manticora
Merleta
Fênix
Pégaso (heráldica)
Salamandra (elemental)
Unicórnio
Serpe
Peixe
Coryphaenidae
Lúcio (peixe)
Salmão
Abelha
Sapo
Formiga
Serpente
Vieira (molusco)
Tesauro de Arte e Arquitetura
Biblioteca Nacional Central de Florença
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Encyclopædia Britannica
Gemeinsame Normdatei
Número de controle da Biblioteca do Congresso
Taxonomia
Enciclopédia da Vida
Organização Europeia e Mediterrânica para a Proteção das Plantas
Fauna Europaea
Fossilworks Paleobiology Database
Global Biodiversity Information Facility
INaturalist
ITIS
Mammal Species of the World
National Biodiversity Network
National Center for Biotechnology Information
World Register of Marine Species
Medical Subject Headings
Sistema Unificado de Linguagem Médica
