23 de outubro
Partido Democrático Trabalhista
Leonel Brizola
O Estado de S. Paulo
Ganância
Pepsi
Golpes de Estado na Nigéria
Arthur Ashe
Diretas Já
Cenário
1 de janeiro
1995
1999
Fernando Henrique Cardoso
Rafael Greca
Lei Pelé
Zumbi dos Palmares
Congresso Nacional do Brasil
Desigualdade racial
Luís Eduardo Magalhães
Partido da Frente Liberal
Emicida
Racismo no Brasil
Jornadas de Junho
Bill Clinton
Embaixador da Boa Vontade da UNESCO
SOS Children's Villages International
David Cameron
10 Downing Street
Ricardo Teixeira
Presidente da FIFA
Fórum Econômico Mundial
Fulham Football Club
Premier League
Rim
Vladimir Putin
Hospital Israelita Albert Einstein
Infecção urinária
Olimpíadas de 2016
Rio de Janeiro
Governo federal do Brasil
The Guardian
Ronald Reagan
José Sarney
Johan Cruyff
Franz Beckenbauer
Bobby Charlton
ITV
Corriere della Sera
Sunday Express
Zico
Michel Platini
Diego Maradona
Romário
Copa do Mundo FIFA de 1994
José Mourinho
Alfredo Di Stéfano
Michelangelo
Homero
Dante Alighieri
Luis Fernando Verissimo
Rachel de Queiroz
Vinicius de Moraes
Fernando Sabino
Nobel de Literatura
Mario Vargas Llosa
Eduardo Galeano
Prêmio Laureus do Esporte Mundial
Nelson Mandela
Jesus
Andy Warhol
Quinze minutos de fama
Time 100: The Most Important People of the Century
Museu Pelé
Ordem do Mérito Militar
Cavaleiro Celibatário
Palácio de Buckingham
Final da Copa do Mundo FIFA de 2006
Claudia Schiffer
Sheffield
Sheffield Football Club
Bramall Lane
Copa do Mundo FIFA de 2006
Major League Soccer
Copa do Mundo de Clubes da FIFA de 2011
Candidatura do Rio de Janeiro para os Jogos Olímpicos de Verão de 2016
Associação de Comitês Olímpicos Nacionais da África
Cerimônia de encerramento dos Jogos Olímpicos de Verão de 2012
Jogos Olímpicos de Verão de 2016
Pelé na cultura popular
Instituto Brasileiro de Geografia e Estatística
Bebida alcoólica
Cigarro
Marketing esportivo
Instituto de Tecnologia de Massachusetts
Rivalidade Pelé–Maradona
El Gráfico
Drogadição
Diario Clarín
Lista de títulos e prêmios recebidos por Pelé
Lista de gols de Pelé pela Seleção Brasileira de Futebol
Forças Armadas Brasileiras
Gerd Müller
FC Bayern München
As (jornal)
Norman Whiteside
Seleção Norte-Irlandesa de Futebol
Copa do Mundo FIFA de 1982
Goal.com
Registro civil
ESPN
BBC
BBC News
La Gazzetta dello Sport
Japan Times
A Noite
History Channel
Trivela (revista)
Universo Online
Terceiro Tempo
ABC News
International Standard Serial Number
Terra Networks
The Independent
Pelé (documentário)
Netflix
Mauro Beting
Lance!
Portal Terra
Wayback Machine
ESPN Brasil
The Observer
Revista Veja
Marca (jornal)
Rowman & Littlefield
International Standard Book Number
Bloomsbury
OCLC
Simon and Schuster
Wikimedia
Gol de placa
Centro de Treinamento Rei Pelé
Copa Pelé
Desafio Pelé de Futebol Internacional Sub-17
Estádio Edson Arantes do Nascimento
Estádio Rei Pelé
Pele FC
O Rei Pelé
A Marcha
Isto É Pelé
Fuga para a Vitória
Os Trapalhões e o Rei do Futebol
Pelé Eterno
Pelé: O Nascimento de uma Lenda
Pelé's Soccer
Pelé!
Pelé II: World Tournament Soccer
"A Verdade sobre Pelé: As Fantasias, os Exageros, o Mito e a História de um Desertor"
Pelé (álbum)
Turma do Pelezinho
Pelezinho
Ginga (álbum)
Dondinho
Edinho (futebolista nascido em 1970)
FIFA 100
Campeonato Paulista de Futebol de 1958
Laércio José Milani
Agenor Gomes
Veludo (futebolista)
Dalmo Gaspar
Nelson Vaz Feijó
João Batista Carlos Dias
Hélvio Piteira
Getúlio Santos da Silva
Afonso Vidal
Jair Rosa Pinto
Urubatão Calvo Nunes
Zito (futebolista)
Álvaro Valente
Marcílio Guerra
Pagão (futebolista)
"Ramiro (futebolista, nascido em 1933)"
Lula (treinador de futebol)
Irno Lubke
Calvet (futebolista)
Mauro Ramos (futebolista)
Marcos Cortez
José Carlos Silvério
Chico Formiga
Mengálvio
Airton Diogo
Cláudio Olinto de Carvalho
Ney Blanco
Angelo Sormani
Tite (futebolista)
Zezinho (futebolista)
Campeonato Paulista de Futebol de 1961
Carlos Pierin
Silas Ferreira de Souza
Luis Gonzaga Figueiró
Olavo Martins de Oliveira
Roberto Bocaleri
Coutinho (futebolista)
Zague
Raul Donazar Calvet
Mauro Ramos de Oliveira
José Ely de Miranda
Capitão
Mengálvio Pedro Figueiró
Paulo César Araújo
Ismael Mafra Cabral
Osvaldo Rossi
Campeonato Brasileiro de Futebol de 1962
Toninho Guerreiro
Copa Libertadores da América de 1962
Cabralzinho
Campeonato Brasileiro de Futebol de 1963
Theodorico Haroldo de Oliveira
Joel Camargo
Geraldo Antônio Martins
Benedito Batista
Almir Pernambuquinho
Geraldino
João Modesto
Gonçalo Gonçalves
Peixinho (futebolista)
Campeonato Brasileiro de Futebol de 1964
Aparecido Pereira de Andrade
Orlando Peçanha
Salomão Sales Couto
Abel Verônico
Orlando Peçanha de Carvalho
Campeonato Paulista de Futebol de 1967
Cláudio César de Aguiar Mauriz
José Ramos Delgado
Oberdan Nazareno Vilain
Rildo da Costa Menezes
José Roberto Bougleaux
Douglas da Silva Franklin
Jonas Eduardo Américo
Silva Batuta
Wilson Tergal
Antoninho Fernandes
Campeonato Paulista de Futebol de 1968
Almiro Antônio Gonçalves
Walter Ferraz de Negreiros
Alexandre de Carvalho Kaneco
Luiz Guilherme Werneck
Campeonato Brasileiro de Futebol de 1968 (Torneio Roberto Gomes Pedrosa)
Emerson Marçal
Paulo Roberto Davoli
Amauri da Silva
Manoel Maria (futebolista)
Campeonato Paulista de Futebol de 1969
Djalma Dias
Luiz Paes Leme (futebolista)
Roberto de Oliveira
Campeonato Paulista de Futebol de 1973
Agustín Cejas
Vicente (futebolista)
Brecha (futebolista)
Jair da Costa
Carlos Bianque da Silva
Hermes da Rocha Freitas Júnior
Marinho Peres
Alcindo Martha de Freitas
Nenê Belarmino
Ronaldo Barsotti de Freitas
Cláudio Adão
Hélio Pires
Copa do Mundo FIFA de 1950
José Lázaro Robles
Copa do Mundo FIFA de 1954
Copa do Mundo FIFA de 1978
Copa do Mundo FIFA de 1986
Paulo Silas
Copa do Mundo FIFA de 1990
Raí
Rivaldo
Copa do Mundo FIFA de 1998
Copa do Mundo FIFA de 2002
Ronaldinho Gaúcho
Kaká
Copa do Mundo FIFA de 2010
Neymar
Copa do Mundo FIFA de 2014
Copa do Mundo FIFA de 2022
Copa do Mundo de 1958
Carlos José Castilho
Dino Sani
Zagallo
Valdemar Rodrigues Martins
Zózimo (futebolista)
Moacir Claudino Pinto
Nílton De Sordi
Joel Antônio Martins
José João Altafini
Edvaldo Alves de Santa Rosa
José Macia
Campeonato Sul-Americano de Futebol 1959 (Argentina)
Antônio Evanil da Silva
Paulinho de Almeida
Sidney Colônia Cunha
Décio Esteves
Henrique Frade
Paulo Valentim
Copa do Mundo de 1962
Jair Marinho
Jurandir de Freitas
Altair Gomes de Figueiredo
Zequinha (futebolista)
Amarildo
Copa do Mundo de 1966
José Maria Fidélis
Brito (futebolista)
Paulo Henrique Souza de Oliveira
Haílton Corrêa de Arruda
Denílson Custódio Machado
Antônio Lima dos Santos
Wálter Machado da Silva
Paraná (futebolista)
Félix Miélli Venerando
Wilson Piazza
Marco Antônio Feliciano
Ado (futebolista)
Roberto Miranda (futebolista)
Baldocchi
José de Anchieta Fontana
Everaldo Marques da Silva
Paulo Cézar Lima
Dadá Maravilha
José Maria Rodrigues Alves
Emerson Leão
