Ilha de Moçambique
Unipartidarismo
Marxismo
Cuba
União Soviética
Anticomunista
Resistência Nacional Moçambicana
Rodésia
Apartheid
Nelson Mandela
Direitos humanos
Terrorismo
Secessão
Congresso Nacional Africano
União Nacional Africana do Zimbábue
Tupolev Tu-134
Montes Libombos
Nações Unidas
VOR
Inteligência militar
Rio Limpopo
Joaquim Chissano
Capitalismo
Constituição da República de Moçambique
Multipartidário
Livre mercado
Acordo Geral de Paz
Comunidade de Santo Egídio
Forças de manutenção da paz das Nações Unidas
Direito de asilo
África subsaariana
Afonso Dhlakama
Imagem de satélite
Geografia de Moçambique
Turquia
Rifte Africano Oriental
Monte Binga
Fronteira Moçambique-Zimbabwe
Costa
África Austral
Canal de Moçambique
Comores
Planalto
Planície
Recife
Grande Vale do Rifte
Aluvião
Savana
Vale
Rio
Brachystegia
Chimanimani
ISimangaliso Wetland Park
Parque Nacional da Gorongosa
Classificação climática de Köppen-Geiger
Clima tropical
Índico
Chuva
Demografia de Moçambique
Zambézia
Macuas
Shona (povo)
Tsongas
Macondes
WaYao
Tongas
Chopes
Nguni
Zulus
Bantos
Brancos
Indianos
Chineses
Lista de cidades de Moçambique
Matola
Províncias de Moçambique
Gurué
Maputo (província)
Maxixe (Moçambique)
Inhambane
Sofala (província)
Lichinga
Niassa (província)
Nampula (província)
Pemba
Cabo Delgado (província)
Chimoio
Manica (província)
Angoche
Nacala Porto
Dondo (Moçambique)
Quelimane
Cuamba
Mocuba
Montepuez
Tete (província)
Chócue (cidade)
Gaza (província)
Xai-Xai
Chibuto
Português moçambicano
Línguas de Moçambique
Etnia
Língua franca
Língua suaíli
Língua maconde
Ciyao
Língua nianja
Lago Maláui
Língua chona
Língua ndau
Língua xítsua
Língua chope
Língua ronga
Língua zulu
Língua suázi
Cuazulo-Natal
Língua hindi
Índia Portuguesa
Crioulos de base portuguesa
Religião em Moçambique
Igreja Católica em Moçambique
Sem religião
Islamismo
Animismo
Islão
Irreligião
Igreja Católica Romana
Diocese
Arquidiocese
Mesquita
Catedral
Protestantismo
Congregação Cristã em Moçambique
Assembleia de Deus
Batistas do Sétimo Dia
Adventistas do Sétimo Dia
Igreja Anglicana
Igreja Metodista
Igreja Presbiteriana
Igreja Unida de Cristo
Igreja de Jesus Cristo dos Santos dos Últimos Dias
Fé Bahá'í
Igreja Católica
Religião mundial
Muçulmano
Sufismo
Xiitas
Ismaelitas
Política de Moçambique
Assembleia da República de Moçambique
Governo
Presidente da República
Eleição
Guerra de desestabilização de Moçambique
Presidente
RENAMO
Movimento Democrático de Moçambique
Armando Guebuza
Missões diplomáticas de Moçambique
Moscovo
Rússia
Superpotência
Guerra Fria
Estados Unidos
Ian Smith
Acordo de Nkomati
Presidente do Brasil
Dilma Rousseff
Países ocidentais
Escandinávia
Império Soviético
Banco Mundial
Fundo Monetário Internacional
Suécia
Noruega
Dinamarca
Islândia
Finlândia
Países Baixos
Itália
Movimento Não Alinhado
Organizações internacionais
Organização da Unidade Africana
Comunidade para o Desenvolvimento da África Austral
Organização da Conferência Islâmica
Anglofonia
Comunidade de Países de Língua Portuguesa
Lusofonia
Relações entre Brasil e Moçambique
Subdivisões de Moçambique
Lista de postos administrativos de Moçambique
Inhambane (província)
Inhambane (cidade)
Distritos de Moçambique por ordem alfabética
Posto administrativo
Localidade (Moçambique)
Lista de municípios de Moçambique por ordem alfabética
Economia de Moçambique
Exportação
Banco de Moçambique
Dólar estadunidense
Rand
Sul-africano
Euro
Língua inglesa
Livre comércio
UNICEF
Desnutrição
Refugiados
Subsistência
BBC
Crise da dívida pública da Zona Euro
Zona Euro
Privatização
Aduana
Corrupção política
Peculato
Tráfico de influência
Índice de Percepção de Corrupção
Transparência Internacional
Agência dos Estados Unidos para o Desenvolvimento Internacional
HIV
Antirretroviral
Taxa de fecundidade
Mortalidade infantil
Guerra de Independência de Moçambique
Organização Mundial da Saúde
Países em desenvolvimento
Guerra civil moçambicana
Fundo de População das Nações Unidas
Obstetrícia
Objectivos de Desenvolvimento do Milénio
ONU
Parteira
Chinde (distrito)
Epidemia
UNAIDS
SIDA
ONG
Insegurança alimentar
Relatório de Desenvolvimento Humano
Programa das Nações Unidas para o Desenvolvimento
Síndrome da imunodeficiência adquirida
Praga biológica
Gafanhoto Vermelho
Rio Púnguè
Desastre natural
Seca
Inundação
Efeito estufa
Mudança do clima
Agricultura familiar
Guerra Civil de Moçambique
Ensino primário
Portos e Caminhos de Ferro de Moçambique
Ponte Maputo–Katembe
Ponte suspensa
Locomotiva a vapor
Linhas Aéreas de Moçambique
Sentido de circulação de tráfego
Timor-Leste
Nacala
Zimbabué
Bitola japonesa
Botswana
Serule
Arte
Escultura
Makonde
Pintura
Batik
Malangatana
Música
Timbila chope
Património Mundial
Música de Moçambique
Marimba
Xilofone
Reggae
Calipso (gênero musical)
Caribe
Marrabenta
Fado
Samba
Bossa nova
Maxixe
Ébano
Totem
Malangatana Ngwenya
Alberto Chissano
Mia Couto
Rui de Noronha
Noémia de Sousa
José Craveirinha
Prêmio Literário Internacional Neustadt
Caucasianos
Gastronomia de Portugal
Culinária do Brasil
Mandioca
Castanha de caju
Pão francês
Especiaria
Tempero
Cebola
Loureiro
Alho
Coentro
Páprica
Pimenta
Pimentão
Cana-de-açúcar
Milho
Milheto
Arroz
Sorgo
Batata
Prego (culinária)
Rissole
Kebab
Pudim
Rádio Moçambique
Alfabetização
Rádio (telecomunicações)
Televisão de Moçambique
Soico Televisão
TV Miramar (Moçambique)
Eusébio
Campeonato do Mundo de 1966
Selecção portuguesa de futebol
Maria de Lurdes Mutola
Medalha de bronze
Jogos Olímpicos de Verão de 1996
Atlanta
Medalha de ouro
Jogos Olímpicos de Verão de 2000
Austrália
Basquetebol
Futebol
Atletismo
Clarisse Machanguana
WNBA
Selecção Moçambicana de Futebol
Copa das Nações Africanas
Ano-Novo
Josina Machel
Lista do património edificado em Moçambique
Literatura de Moçambique
Lista dos partidos políticos de Moçambique
Português de Moçambique
Lista dos responsáveis pela administração colonial de Moçambique
Língua ajaua
Língua xona
Nhúngue
Guitonga (língua)
PubMed Identifier
Chinese Academy of Social Sciences
International Standard Serial Number
Open University
JSTOR
Lonely Planet
International Standard Book Number
Wikimedia
Moçambique
Império Monomotapa
Tráfico árabe de escravos
Lista de governadores coloniais de Moçambique
Operação das Nações Unidas em Moçambique
Inundações em Moçambique em 2000
Ciclone Idai
Postos administrativos de Moçambique
Lista de áreas de conservação em Moçambique
Eleições em Moçambique
Forças Armadas de Defesa de Moçambique
Governo de Moçambique
Segurança alimentar em Moçambique
Turismo em Moçambique
Lista de países
Argélia
Benim
Botsuana
Burquina Fasso
Burundi
Cabo Verde
Camarões
Chade
República do Congo
Costa do Marfim
Djibuti
Egito
Eritreia
Etiópia
Gabão
Gâmbia
Gana
Guiné
Guiné-Bissau
Guiné Equatorial
Lesoto
Libéria
Líbia
Mali
Marrocos
Maurícia
Mauritânia
Namíbia
Níger
Nigéria
República Centro-Africana
República Democrática do Congo
Ruanda
São Tomé e Príncipe
Senegal
Serra Leoa
Seicheles
Somália
Sudão
Sudão do Sul
Togo
Tunísia
Uganda
Ilha de Alborão
Ilhéu de Alhucemas
Canárias
Ceuta
Ilhas Chafarinas
Melilha
Ilhéu de Vélez de la Gomera
Maiote
Reunião (departamento)
Socotorá
Pantelária
Ilhas Pelágias
Região Autónoma da Madeira
"Santa Helena, Ascensão e Tristão da Cunha"
Saara Ocidental
Somalilândia
Banco do Geyser
Bassas da Índia
Ilha Europa
Ilhas Gloriosas
Ilha de João da Nova
Ilha Tromelin
Pan-africanismo
Afro (moeda)
Regiões da União Africana
Assembleia da União Africana
Comissão da União Africana
Parlamento Pan-africano
Banco Central Africano
Fundo Monetário Africano
Carta Africana dos Direitos Humanos e dos Povos
Alargamento da União Africana
Estados-membros da União Africana
Quênia
República Árabe Saaraui Democrática
Estados membros da Comunidade dos Países de Língua Portuguesa
Andorra
Argentina
Canadá
Catar
Chéquia
Chile
Conferência Ibero-americana
Eslováquia
França
Geórgia
Grécia
Hungria
Irlanda
Japão
Luxemburgo
Organização dos Estados Ibero-americanos
Paraguai
Peru
Reino Unido
Romênia
Sérvia
Uruguai
Assistência Médica Internacional
Associação das Universidades de Língua Portuguesa
Associação dos Comités Olímpicos de Língua Oficial Portuguesa
Fundação Calouste Gulbenkian
Fundação Champalimaud
Fundação Luso-Americana
Fundação Luso-Brasileira
Fundação Mário Soares
Fundação Oriente
Fundação Oswaldo Cruz
Fundação Roberto Marinho
Instituto Histórico e Geográfico Brasileiro
Médicos do Mundo
Sociedade de Geografia de Lisboa
Real Gabinete Português de Leitura
Universidade Estadual de Campinas
Universidade Federal da Bahia
Universidade Federal do Rio de Janeiro
Universidade Lusófona de Humanidades e Tecnologias
Cronologia da história de Portugal
Reino de Portugal
"Reino Unido de Portugal, Brasil e Algarves"
Implantação da República Portuguesa
Souira Kedima
Alcácer-Ceguer
Arzila (Marrocos)
Azamor
Mazagão (Marrocos)
Essaouira
Safim
Agadir
Tânger
Ouadane
Acra
Ano-Bom
Arguim
Cabinda (província)
Província Ultramarina de Cabo Verde
Elmina
Bioko
Costa do Ouro (colónia de Portugal)
Melinde
Mombaça
Ruínas de Quilua Quisiuani e de Songo Mnara
Fortaleza de São João Baptista de Ajudá
Província Ultramarina de São Tomé e Príncipe
Zanzibar
Ziguinchor
Barém
Ormuz
Mascate
Bandar Abbas
Soar
Ceilão Português
Laquedivas
Maldivas
Baçaim
Bombaim sob domínio português
Calecute
Cananor
Chaul
Chatigão
Cochim
Cranganor
Dadrá e Nagar-Aveli
Damão
Diu
Goa
Ugulim
Negapatão
Paliacate
Coulão
Salsete
Masulipatão
Mangalore
Surrate
Tuticorim
São Tomé de Meliapor
Ilhas Banda
Flores (Indonésia)
Macau português
Província ultramarina
Macáçar
Malaca Portuguesa
Ilhas Molucas
Amboíno
Ternate (Indonésia)
Tidore
Nagasáqui portuguesa
Tamão
Timor Português
Terra Nova
Labrador
Nova Escócia
Brasil Colônia
Barbados
Província Cisplatina
Colônia de Caiena e Guiana
Colônia do Sacramento
Arquipélago
Atlântico Norte
Subdivisões de Portugal
Ilhas Adjacentes
Regiões autónomas de Portugal
Djibouti
Haiti
Afeganistão
Bangladesh
Camboja
Iémen
Laos
Myanmar
Nepal
Ilhas Salomão
Kiribati
Tuvalu
Partido Independente de Moçambique
Socialismo
História do movimento socialista no Brasil
História do socialismo no Canadá
História do movimento socialista nos Estados Unidos
Bandeira vermelha
Socialismo africano
Socialismo árabe
Britain's Road to Socialism
Via birmanesa para o socialismo
Socialismo com características chinesas
Sionismo trabalhista
Sandinismo
Revolução Bolivariana
República Popular de Angola
República Popular do Benim
República Popular do Congo
Derg
República Democrática Popular da Etiópia
República Democrática Somali
Governo Revolucionário Popular de Granada
Nicarágua
Venezuela
República Democrática do Afeganistão
Kampuchea Democrático
República Popular do Kampuchea
China
República Socialista Soviética da Pérsia
Governo Popular do Azerbaijão
República de Mahabad
Coreia do Norte
República Popular da Mongólia
República Popular de Tuva
Vietname
Vietnã do Norte
República do Vietname do Sul
República Democrática do Iêmen
Iêmen do Sul
Estado de Wa
República Socialista Popular da Albânia
República Soviética da Baviera
República Soviética de Bremen
República Popular da Bulgária
República Socialista da Checoslováquia
República Democrática da Finlândia
Alemanha Oriental
República Soviética Húngara
República Popular da Hungria
República Popular da Polónia
Romênia socialista
República Soviética Eslovaca
República Socialista Federativa da Iugoslávia
Base Virtual Internacional de Autoridade
Bibsys
Museu Britânico
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Grande Enciclopédia Soviética
CiNii
Encyclopædia Britannica
Faceted Application of Subject Terminology
Gemeinsame Normdatei
Dicionário Histórico da Suíça
International Standard Name Identifier
KulturNav
Número de controle da Biblioteca do Congresso
Arquivos Nacionais e Administração de Documentos
Biblioteca Nacional da Dieta
Biblioteca Nacional da Austrália
Sistema Universitário de Documentação
Enciclopédia Treccani
Biblioteca Nacional do Brasil
Biblioteca Nacional de Portugal
OpenStreetMap
MusicBrainz
GeoNames
Getty Thesaurus of Geographic Names
Taxonomia
Medical Subject Headings
Sistema Unificado de Linguagem Médica
