Japão
Escalada esportiva nos Jogos Olímpicos
Esgrima nos Jogos Olímpicos
Futebol nos Jogos Olímpicos
Ginástica nos Jogos Olímpicos
Golfe nos Jogos Olímpicos
Halterofilismo nos Jogos Olímpicos
Handebol nos Jogos Olímpicos
Hipismo nos Jogos Olímpicos
Hóquei sobre a grama nos Jogos Olímpicos
Lutas nos Jogos Olímpicos
Natação nos Jogos Olímpicos
Natação artística nos Jogos Olímpicos
Pentatlo moderno nos Jogos Olímpicos
Polo aquático nos Jogos Olímpicos
Remo nos Jogos Olímpicos
Rugby sevens nos Jogos Olímpicos
Saltos ornamentais nos Jogos Olímpicos
Skate nos Jogos Olímpicos
Surfe nos Jogos Olímpicos
Taekwondo nos Jogos Olímpicos
Tênis nos Jogos Olímpicos
Tênis de mesa nos Jogos Olímpicos
Tiro nos Jogos Olímpicos
Tiro com arco nos Jogos Olímpicos
Triatlo nos Jogos Olímpicos
Vela nos Jogos Olímpicos
Voleibol nos Jogos Olímpicos
Voleibol de praia nos Jogos Olímpicos
Jogos Olímpicos de Inverno
Biatlo nos Jogos Olímpicos
Bobsleigh nos Jogos Olímpicos
Combinado nórdico nos Jogos Olímpicos
Curling nos Jogos Olímpicos
Esqui alpinismo
Esqui alpino nos Jogos Olímpicos
Esqui cross-country nos Jogos Olímpicos
Esqui estilo livre nos Jogos Olímpicos
Hóquei no gelo nos Jogos Olímpicos
Luge nos Jogos Olímpicos
Patinação artística nos Jogos Olímpicos
Patinação de velocidade nos Jogos Olímpicos
Patinação de velocidade em pista curta nos Jogos Olímpicos
Salto de esqui nos Jogos Olímpicos
Skeleton nos Jogos Olímpicos
Snowboard nos Jogos Olímpicos
Beisebol nos Jogos Olímpicos
Cabo de guerra nos Jogos Olímpicos
Caratê nos Jogos Olímpicos
Críquete nos Jogos Olímpicos de Verão de 1900
Croquet nos Jogos Olímpicos de Verão de 1900
Jeu de paume nos Jogos Olímpicos de Verão de 1908
Lacrosse nos Jogos Olímpicos
Motonáutica nos Jogos Olímpicos de Verão de 1908
Pelota basca nos Jogos Olímpicos de Verão de 1900
Polo nos Jogos Olímpicos
Raquetes nos Jogos Olímpicos de Verão de 1908
Roque nos Jogos Olímpicos de Verão de 1904
Rugby nos Jogos Olímpicos
Softbol nos Jogos Olímpicos
Esportes de demonstração
Bandy
Boliche
Corfebol
Corrida em cadeira de rodas nos Jogos Olímpicos
Esqui aquático
Esqui de velocidade
Futebol americano nos Jogos Olímpicos
Futebol australiano
Hóquei em patins nos Jogos Olímpicos de Verão de 1992
Ice stock sport
Planadorismo nos Jogos Olímpicos de Verão de 1936
Pesäpallo
Skijöring
Voo à vela
Balonismo nos Jogos Olímpicos de Verão de 1900
Boules
Columbofilia nos Jogos Olímpicos de Verão de 1900
Competições artísticas nos Jogos Olímpicos
Desportos a motor nos Jogos Olímpicos de Verão de 1900
Futebol gaélico
Hurling
Motociclismo
Pesca
Salvamento
Torneio de wushu nos Jogos Olímpicos de Verão de 2008
Judô nos Jogos Olímpicos de Verão de 1964
Judô nos Jogos Olímpicos de Verão de 1972
Judô nos Jogos Olímpicos de Verão de 1976
Judô nos Jogos Olímpicos de Verão de 1980
Judô nos Jogos Olímpicos de Verão de 1984
Judô nos Jogos Olímpicos de Verão de 1988
Judô nos Jogos Olímpicos de Verão de 1992
Judô nos Jogos Olímpicos de Verão de 1996
Judô nos Jogos Olímpicos de Verão de 2000
Judô nos Jogos Olímpicos de Verão de 2004
Judô nos Jogos Olímpicos de Verão de 2008
Judô nos Jogos Olímpicos de Verão de 2012
Judô nos Jogos Olímpicos de Verão de 2016
Judô nos Jogos Olímpicos de Verão de 2020
Judô nos Jogos Olímpicos de Verão de 2024
Medalhistas olímpicos do judô
