Triângulo (jiu-jitsu)
Sumô
Artes marciais coreanas
Hapkidô
Haidong gumdo
Taekwondo
Tangsudo
Sipalki
Muay boran
Muay thai
Krabi krabong
Artes marciais vietnamitas
Viet vo dao
Qwan ki do
Eskrima
Krav magá
KAPAP
Boxe
Esgrima
Artes Marciais Históricas Europeias
Kickboxing americano
Jeet kune do
Luta greco-romana
Capoeira
Keysi
Savate
Submission wrestling
Jogo do pau
Pancrácio
Dan (artes marciais)
Dojo
Hakama
Shihan
Chi kung
Samurai
Ninja
Flavio Behring
São Paulo (estado)
Vale Tudo Japan
Pancrase
Pride FC
Zona Norte (Rio de Janeiro)
1937
Obi (artes marciais)
Bento Ribeiro (bairro do Rio de Janeiro)
1950
1954
Academia Nova União
Paraná
Atleta
Leonardo Santos
Educação
Universidade Gama Filho
CBJJ
Brasileiros
1996
2007
Estados Unidos da América
Abu Dhabi Combat Club Submission Wrestling World Championship
Portugal
1997
Discoteca
São Pedro do Estoril
1998
Capoeira (arte marcial)
2000
Nocaute
2001
Rio de Janeiro (estado)
Grão-mestre
Imigração
Medalha
Prata
2003
Ouro
Bronze
Lisboa
2004
Europa
Américas
Ásia
George Gracie
Confederação Brasileira de Jiu-Jítsu
Ir para cima
International Standard Book Number
Londres
Wayback Machine
Editora Saraiva
Editora Record
2008
Wikimedia
Combate corpo a corpo
Defesa pessoal
Kickboxing
Luta de rua
Silat
Tiro com arco
Wrestling
África do Sul
Angola
Egito
Tahtib
Madagáscar
Nigéria
Senegal
Luta senegalesa
Síria
Somália
Sudão
Argentina
Esgrima crioula
Bolívia
Tinku
Aipenkuit
Huka-huka
Idjassú
Luta marajoara
Maculelê
Seiwakai
Canadá
Colômbia
Equador
Chun kuk do
Kajukenbo
Kickboxing bando
Haiti
Peru
Rumi maki
Vacón
Venezuela
Camboja
Bokator
Pradal Serey
Shaolin do Norte
Choy lay fut
Hung gar
Lau gar
Louva-a-deus do norte
Louva-a-deus do sul
Nan quan
Piguaquan
Garra de águia
Zui quan
Neijia
Wudang quan
Neigong
Suai jiao
Coreia do Sul
Geon gon kwan
Gongkwon yusul
Hankido
Hankumdo
Hapkido
Hoi jeon moo sool
Soo bahk do
Subak
Taekkyeon
Filipinas
Artes marciais filipinas
Arnis
Kombatan
Yaw-yan
Artes marciais indianas
Gatka
Kabaddi
Kalari payattu
Malla khra
Mushti yuddha
Vajra mushti
Indonésia
Pencak silat
Budō
Jōdō
Iaidō
Kendō
Kyūdō
Naginata-dō
Shōrinji kenpō
Battōjutsu
Hojōjutsu
Iaijutsu
Kyujutsu
Kyusho-jitsu
Shurikenjutsu
Sōjutsu
Kickboxing japonês
Shoot boxing
Tegumi
Laos
Muay Lao
Malásia
Silat melayu
Tomoi
Myanmar
Bando (arte marcial)
Lethwei
Naban
Thaing
Mongólia
Paquistão
Rússia
Buza (arte marcial)
Tailândia
Turquia
Uzbequistão
Vietname
Vovinam
Alemanha
Musado
Nindokai
Espanha
França
Canne de combat
Francombat
Gouren
Kinomichi
Reino Unido
Bartitsu
Boxe com as mãos nuas
Collar-and-elbow
Combate em ambientes confinados
Wrestling de Lancashire
Grécia
Pále
Pigmaquia
Luta Greco-romana
Islândia
Glíma
Itália
Kick jitsu
Galhofa
Romênia
Sérvia
Suíça
Ucrânia
Austrália
Nova Zelândia
Samoa Americana
Golpe (artes marciais)
Adithada
Kenpo
Muay lao
Pradal serey
Agarramento
Lucha libre
Puroresu
Arnis moderno
Battojutsu
Jodô
Kyudô
Ryukyu kobudô
Artes marciais híbridas
Hung Ga
Xingyiquan
Ringue
War Fighting
Base Virtual Internacional de Autoridade
Gemeinsame Normdatei
Número de controle da Biblioteca do Congresso
