Lista de Estados soberanos
Uzbequistão
Vietnã
Acrotíri e Deceleia
Ilhas Ashmore e Cartier
Ilhas Cocos (Keeling)
Ilha Christmas
Território Britânico do Oceano Índico
Hong Kong
Macau
Lista de estados com reconhecimento limitado
Abecásia
República Turca de Chipre do Norte
Estado da Palestina
Cisjordânia
Faixa de Gaza
Ossétia do Sul
Taiwan
Europa
Albânia
Alemanha
Andorra
Áustria
Bélgica
Bielorrússia
Bósnia e Herzegovina
Bulgária
Chéquia
Croácia
Dinamarca
Eslováquia
Eslovénia
Espanha
Estónia
Finlândia
Grécia
Hungria
República da Irlanda
Itália
Letónia
Liechtenstein
Lituânia
Luxemburgo
Macedónia do Norte
Malta
Moldávia
Mónaco
Montenegro
Noruega
Polónia
Portugal
Reino Unido
Roménia
San Marino
Sérvia
Suécia
Suíça
Ucrânia
Vaticano
Gibraltar
Guernsey
Jersey
Ilha de Man
Ilhas Faroé
Åland
Kosovo
Transnístria
Oceania
Austrália
Arquipélago Juan Fernández
Ilha de Páscoa
Estados Federados da Micronésia
Havaí
Atol Palmyra
Fiji
Ilhas Marshall
Ilhas Salomão
Ilhas Ogasawara
Nauru
Nova Zelândia
Palau
Papua-Nova Guiné
Quiribáti
Samoa
Tonga
Tuvalu
Vanuatu
Ilha Baker
Ilhas Cook
Guam
Ilha Howland
Ilha Jarvis
Atol Johnston
Recife Kingman
Ilhas do Mar de Coral
Marianas Setentrionais
Atol Midway
Ilha do Natal
Niue
Ilha Norfolque
Nova Caledónia
Ilhas Pitcairn
Polinésia Francesa
Samoa Americana
Toquelau
Ilha Wake
Wallis e Futuna
