Reino de Portugal
Processo Revolucionário em Curso
Forças Armadas de Portugal
Império
Idade Antiga
Império de Axum
Civilização cartaginesa
História da China
Dinastia Chin
Dinastia Han
Dinastia Jin (265-420)
Dinastia Wei do Norte
Reino de Cuxe
Antigo Egito
Império Antigo
Império Médio
Império Novo
História da Grécia
Liga de Delos
Macedónia Antiga
Reino Ptolemaico
Império Selêucida
Hititas
História da Índia
Império Gupta
Império Cuchana
Império Mahamegavana
Império Máuria
Mesopotâmia
Império Acádio
Assíria
Império Neoassírio
Império Neobabilônico
Império Paleobabilônico
História do Irão
Império Aquemênida
Império Medo
Império Parta
Império Sassânida
Império Romano
Império Romano do Ocidente
Império Bizantino
Teotihuacan
Xiongnu
Idade Média
Império Etíope
Sultanato de Adal
Império Angevino
Califado
Califado Abássida
Império Aiúbida
Califado de Córdova
Califado Fatímida
Califado Omíada
Califado Ortodoxo
Civilização asteca
Império do Benim
Império de Niceia
Império de Trebizonda
Império de Bornu
História da Bulgária
Primeiro Império Búlgaro
Segundo Império Búlgaro
Império de Canem
Império Carolíngio
Dinastia Sung
Dinastia Sui
Dinastia Tang
Dinastia Yuan
Império do Gana
Império Gasnévida
Goturcos
Hunos
Sultanato de Ifate
Império Inca
Império Chola
Sultanato de Déli
Império Pala
Império Quemer
Império Latino
Império de Majapait
Império do Mali
Sultanato Mameluco do Cairo
Império do Mar do Norte
Califado Almóada
Império Almorávida
Califado Idríssida
Império Merínida
Império Mongol
Canato de Chagatai
Canato da Horda Dourada
Ilcanato
Império de Oió
Império Buída
Império Corásmio
Império Safárida
Império Samânida
Império Taírida
Dinastia Timúrida
Sacro Império Romano-Germânico
Turcos seljúcidas
Império Seljúcida
Sultanato de Rum
Império Sérvio
Império Songai
Império Serivijaia
Idade Moderna
Idade Contemporânea
História da Alemanha
Império Alemão
Alemanha Nazista
Império Austríaco
Áustria-Hungria
Império do Brasil
Império Centro-Africano
Dinastia Ming
Dinastia Qing
Império Coreano
História da França
Primeiro Império Francês
Segundo Império Francês
História do Haiti
Império do Haiti (1804-1806)
Império do Haiti (1849-1859)
Império Marata
Império Mogol
Império Sique
Império do Japão
Sultanato Saadiano
Dinastia alauita
História do México
Primeiro Império Mexicano
Segundo Império Mexicano
Império Otomano
Império Afexárida
Dinastia Pahlavi
Império Cajar
Império Safávida
Império Zande
Império Russo
História da Somália
Movimento dervixe somali
Império Sueco
Império Tu'i Tonga
Império de Uadai
Império colonial
Império colonial alemão
Império Belga
Império Britânico
Império colonial dinamarquês
Império Espanhol
Expansão ultramarina dos Estados Unidos
Império colonial francês
Império Italiano
Império Colonial Neerlandês
Império colonial sueco
Lista dos maiores impérios
