Fundação pública
Avenida Rio Branco (Rio de Janeiro)
Avenida Rodrigues Alves
Avenida Vieira Souto
Grajaú-Jacarepaguá
Linha Amarela (Rio de Janeiro)
Linha Vermelha (Rio de Janeiro)
Via Binário do Porto
Academia Brasileira de Letras
Biblioteca Parque Estadual
Biblioteca Nacional do Brasil
Canecão
Casa França-Brasil
Casa Museu Eva Klabin
Centro Cultural Banco do Brasil (Rio de Janeiro)
Centro Cultural Correios (Rio de Janeiro)
Centro Cultural Light
Ecomuseu de Santa Cruz
Centro Luiz Gonzaga de Tradições Nordestinas
Museu Naval (Rio de Janeiro)
Lista de museus e centros culturais do Rio de Janeiro
Aterro do Flamengo
Bosque da Barra
Campo de Santana (Rio de Janeiro)
Jardim Botânico do Rio de Janeiro
Jardim Zoológico do Rio de Janeiro
Parque da Cidade (Rio de Janeiro)
Parque Ecológico Chico Mendes
Parque Eduardo Guinle
Parque Estadual da Chacrinha
Reserva Florestal do Grajaú
Parque Estadual da Pedra Branca
Parque Lage
Parque Madureira Mestre Monarco
Passeio Público (Rio de Janeiro)
Quinta da Boa Vista
Parque Natural Municipal de Marapendi
Catedral de São Sebastião do Rio de Janeiro
Igreja Batista Atitude
Templo da Glória do Novo Israel
Igreja de Nossa Senhora da Apresentação
Igreja Nossa Senhora do Brasil (Rio de Janeiro)
Igreja de Nossa Senhora da Candelária
Igreja de Nossa Senhora da Glória do Outeiro
Igreja de Nossa Senhora do Carmo da Antiga Sé
Igreja de Nossa Senhora do Carmo da Lapa do Desterro
Igreja da Ordem Terceira do Carmo (Rio de Janeiro)
Igreja da Ordem Terceira de São Francisco da Penitência
Convento de Santo Antônio (Rio de Janeiro)
Igreja de Nossa Senhora da Penha (Rio de Janeiro)
Igreja de Nossa Senhora da Lapa dos Mercadores
Igreja de Nossa Senhora do Rosário e São Benedito (Rio de Janeiro)
Igreja de Santa Luzia (Rio de Janeiro)
Igreja de Santa Rita de Cássia (Rio de Janeiro)
Igreja de São Francisco de Paula (Rio de Janeiro)
Igreja do Santíssimo Sacramento da Antiga Sé
Mosteiro de São Bento (Rio de Janeiro)
Primeira Igreja Batista do Rio de Janeiro
Igreja Presbiteriana do Rio de Janeiro
Igreja Metodista do Catete
Base Virtual Internacional de Autoridade
Global Research Identifier Database
Istituto centrale per il catalogo unico delle biblioteche italiane e per le informazioni bibliografiche
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
ResearchGate
Sistema Universitário de Documentação
Biblioteca Nacional de Portugal
GeoNames
