Triássico Superior
Didelphimorphia
Didelfiídeos
Caenolestidae
Dromiciops gliroides
Dasycercus
Dasyuroides byrnei
Dasyurus
Myoictis
Parantechinus apicalis
Phascolosorex
Diabo-da-tasmânia
Rato-marsupial-australiano
Phascogale
Ningaui
Sminthopsis
Planigale
Mirmecóbio
Peramelidae
Thylacomyidae
Burramyidae
Petaurus
Phalanger
Canguru
Coala
Vombate
Afrotheria
Afrosoricida
Tenreco
Chrysochloridae
Macroscelidea
Musaranho-elefante
Porco-formigueiro
Hyracoidea
Hírax
Proboscidea
Elefante
Sirenia
Dugongo
Xenarthra
Cingulata
Pilosa
Folivora
Tamanduá
Euarchontoglires
Scandentia
Tupaia
Dermoptera
Colugo
Primates
Lêmure
Galago
Perodicticinae
Lorinae
Tarsius
Macaco
Homem
Rato
Lêmingue
Hamster
Esquilo
Castor
Arganaz
Geomyidae
Ctenodactylidae
Hystricidae
Ctenomys
Ratazana-do-capim
Eretizontídeos
Chinchila
Pacarana
Capivara
Porquinho-da-índia
Preá
Cutia
Octodontidae
Capromyidae
Lagomorpha
Lebre
Coelho
Ochotona
Laurasiatheria
Eulipotyphla
Ouriço
Mussaranho
Toupeira
Solenodonte
Pholidota
Pangolim
Carnivora
Urso
Doninha
Perissodactyla
Cavalo
Rinoceronte
Anta
Artiodactyla
Porco
Camelus
Hipopótamo
Veado
Búfalo
Gazela
Girafa
Cetacea
Cachalote
Erinaceomorpha
Soricomorpha
Insectivora
Artiodáctilos
Cetartiodactyla
Wikimedia
Lista das novas espécies de mamíferos 2004-2007
Lista de mamíferos de Portugal
Lista de mamíferos do Brasil
Lista de mamíferos pré-históricos
Escala de tempo geológico
Taxonomia de Wilson e Reeder
International Standard Serial Number
Digital object identifier
UOL
Amniota
Australosphenida
Metatheria
Ameridelphia
Notoryctes
Boreoeutheria
Perissodáctilos
Roedores
Lagomorfos
Colugos
Animal
Bilateria
Deuterostomia
Cephalochordata
Ascidiacea
Larvacea
Thaliacea
Craniata
Myxini
Cyclostomata
Lampreia
Gnatostomados
Chondrichthyes
Osteichthyes
Actinopterygii
Sarcopterygii
Celacanto
Dipnoicos
Tetrápodes
Sauropsida
Diapsida
Lepidosauria
Sphenodontida
Escamados
Archelosauria
Testudinata
Archosauria
Crocodylia
Agnatha
Reptilia
Anapsida
Parafiléticos
Tesauro de Arte e Arquitetura
Biblioteca Nacional Central de Florença
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Encyclopædia Britannica
Gran Enciclopedia Aragonesa
Gemeinsame Normdatei
JSTOR
Número de controle da Biblioteca do Congresso
Arquivos Nacionais e Administração de Documentos
Biblioteca Nacional da Dieta
Biblioteca Técnica Nacional de Praga
Taxonomia
Enciclopédia da Vida
Organização Europeia e Mediterrânica para a Proteção das Plantas
Fauna Europaea
Fossilworks Paleobiology Database
Global Biodiversity Information Facility
INaturalist
ITIS
National Center for Biotechnology Information
Plazi
World Register of Marine Species
ZooBank
Medical Subject Headings
Sistema Unificado de Linguagem Médica
