Pseudónimo
Daniel Galera
Edney Silvestre
Luis Fernando Verissimo
José Castello
Edival Lourenço
Chico Lopes
Evandro Affonso Ferreira
Victor Heringer
Michel Laub
Veronica Stigger
Maria Valéria Rezende
João Anzanello Carrascoza
Julián Fuks
Sheyla Smanioto
Carol Bensimon
Tiago Ferro
Itamar Vieira Junior
Jeferson Tenório
Micheliny Verunschk
Ruy Castro
Prêmio Jabuti de Literatura
Jorge Medauar
Dalton Trevisan
Ricardo Ramos
Julieta de Godoy Ladeira
João Antônio
Marcos Rey
Holdemar Menezes
Luiz Vilela
Elias José
Caio Porfírio Carneiro
Regina Célia Colônia
Domingos Pellegrini Júnior
Autran Dourado
Caio Fernando Abreu
Charles Kiefer
Diogo Mainardi
Otto Lara Rezende
Vilma Arêas
Nelson Rodrigues
Hilda Hilst
Regina Rheda
Victor Giudice
Marina Colasanti
Antônio Carlos Villaça
Raduan Nassar
João Inácio Padilha
Raimundo Carrero
Marçal Aquino
Ignácio de Loyola Brandão
Rodolfo Konder
Luiz Nassif
Fernando Bonassi
Alcione Araújo
Marcelino Freire
Ferreira Gullar
Fabrício Carpinejar
Sidney Rocha
Luis Fernando Veríssimo
Carol Rodrigues
Natalia Borges Polesso
Força Expedicionária Brasileira
1.ª Divisão de Exército
1.º Batalhão de Infantaria Mecanizado (Escola)
11.º Batalhão de Infantaria de Montanha
1.º Esquadrão de Cavalaria Leve
20.º Grupo de Artilharia de Campanha Leve
Constantino Marochi
Morto em combate
Adamastor Baptista Pereira
Alberto Martins Torres
Afonso Augusto de Albuquerque Lima
Altair Franco Ferreira
Amaury Kruel
Ângelo Apolônio
Apollo Miguel Rezk
Ferido em combate
Araken de Oliveira
Carlos de Meira Mattos
Celso Furtado
Cordeiro de Farias
Divaldo Medrado
Elza Cansanção Medeiros
Fortunato Câmara de Oliveira
Paula Cidade
Gastão Jacinto Gomes
Ifigênio de Freitas Bahiense
Golbery do Couto e Silva
Hélio Langsch Keller
Hugo de Abreu
Humberto Castelo Branco
Jacob Gorender
José Perácio
Mário Travassos
Mascarenhas de Morais
Max Wolff Filho
Murilo Paiva
Nero Moura
Nestor da Silva
Olympio Falconière da Cunha
Pedro de Lima Mendes
Plínio Pitaluga
Roberto Pessoa Ramos
Rui Moreira Lima
Salomão Malina
Silvino Castor da Nóbrega
Waldemar Levy Cardoso
Euclides Zenóbio da Costa
Batalha de Castelnuovo
Batalha de Collecchio
Batalha de Monte Castello
Batalha de Bolonha
Batalha de Montese
Batalha de Fornovo di Taro
Batalha do Atlântico
Cruz de Aviação
Cruz de Bravura
Cruz de Combate
Cruz Naval
Cruz de Sangue
Medalha de Campanha
Medalha da Campanha do Atlântico Sul
Medalha da Campanha da Itália
Medalha de Guerra
Medalha Sangue do Brasil
Medalha de Serviços de Guerra
Medalha de Serviços Relevantes
Forte de Copacabana
Museu da Força Expedicionária Brasileira (Campo Grande)
Museu do Expedicionário
Museu da Força Expedicionária Brasileira (Belo Horizonte)
Museu da Força Expedicionária Brasileira (Petrópolis)
Cemitério de Pistoia
Rampa (Natal)
Senta a Pua! (documentário)
Serviço Especial de Mobilização de Trabalhadores para a Amazônia
Soldados da Borracha
A Cobra Fumou
Base Virtual Internacional de Autoridade
Bibsys
Biblioteca Nacional da República Argentina
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Biblioteca Virtual Miguel de Cervantes
Catálogo de autoridades de nomes e títulos da Catalunha
CiNii
Biblioteca Digital para a Literatura Holandesa
Dialnet
Discogs
Encyclopædia Britannica
Faceted Application of Subject Terminology
Gemeinsame Normdatei
Find a Grave
Istituto centrale per il catalogo unico delle biblioteche italiane e per le informazioni bibliografiche
International Standard Name Identifier
KulturNav
Número de controle da Biblioteca do Congresso
Biblioteca Nacional da Dieta
Biblioteca Nacional da China
Biblioteca Nacional da Grécia
Biblioteca Real dos Países Baixos
Sistema Universitário de Documentação
Biblioteca Nacional do Brasil
Itaú Cultural
Universidade Federal de Santa Catarina
Biblioteca Nacional de Portugal
IMDb
Open Library
Biblioteca Nacional da Polónia
