Pedro II
Latim
Língua francesa
Língua alemã
Língua inglesa
Língua italiana
Língua castelhana
Língua grega
Língua árabe
Língua hebraica
Sânscrito
Língua chinesa
Língua occitana
Língua tupi
Marco Aurélio
Alexandre Herculano
Royal Society
Academia de Ciências da Rússia
Académie des Sciences
Pedro I da Rússia
Louis Agassiz
John Greenleaf Whittier
Michel Eugène Chevreul
Alexander Graham Bell
Arthur de Gobineau
Frédéric Mistral
Alessandro Manzoni
Camilo Castelo Branco
James Cooley Fletcher
Nação
Instituto Histórico e Geográfico Brasileiro
Colégio Pedro II
Escola de Belas Artes da Universidade Federal do Rio de Janeiro
Instituto Pasteur
Bayreuth Festspielhaus
Recife
Revolução Praieira
Província do Espírito Santo
Província da Bahia
Província de Sergipe
Província de Alagoas
Província de Pernambuco
Província da Paraíba
Liberdades civis
Liberdade de expressão
William Dougal Christie
Questão Christie
Diplomacia das canhoneiras
Francisco Solano López
Mato Grosso
Mato Grosso do Sul
Rio Grande do Sul
Uruguaiana
Edward Thornton
Vitória do Reino Unido
Estátua equestre
Fala do trono
Pedro Américo
Era dourada
Lei do Ventre Livre
Auguste Mariette
Necrópole de Gizé
Esfinge de Guizé
Palácio de Alvor-Pombal
Espanha
Grã-Bretanha
Bélgica
Alemanha
Áustria
Itália
Egito
Grécia
Suíça
França
Coburgo
Questão religiosa
Padroado
Bula pontifícia
Concílio Vaticano I
Maçonaria
Ateísmo
Anticlericalismo
José Maria da Silva Paranhos
Evolução
Santa Sé
Estados Unidos
Nova Iorque
São Francisco (Califórnia)
Nova Orleães
"Washington, D.C"
Toronto
Canadá
Dinamarca
Suécia
Finlândia
Império Russo
Império Otomano
Terra Santa
Países Baixos
Ulysses S. Grant
Exposição Universal de 1876
Thomas Edison
Declínio e queda de Pedro II do Brasil
Direitos da mulher
Positivismo
Família imperial brasileira
Casa da Princesa Isabel
Milão
Extrema unção
Abolição da escravatura no Brasil
Potência emergente
Republicanismo
Título nobiliárquico
Guarda Nacional (Brasil)
Atentado de Julho de 1889
O Occidente
Quintino Bocaiuva
Benjamin Constant (militar)
Golpe de Estado
Morte e funeral de Pedro II do Brasil
Porto
Manuel Joaquim Alves Machado
Rio Sena
Pneumonia
Le Petit Journal
Funeral de Estado
Igreja de la Madeleine
Francisco II das Duas Sicílias
Isabel II de Espanha
"Luís Filipe, Conde de Paris"
Marie François Sadi Carnot
Institut de France
Dinastia Qing
Império do Japão
Império Qajar
Panteão dos Braganças
Legado de Pedro II do Brasil
Sua Alteza Imperial
Sua Majestade Imperial
Imperial Ordem de Nosso Senhor Jesus Cristo
Imperial Ordem de São Bento de Avis
Imperial Ordem de Sant'Iago da Espada
Ordem Nacional do Cruzeiro do Sul
Imperial Ordem de Pedro Primeiro
Imperial Ordem da Rosa
Segundo Império Mexicano
Áustria-Hungria
Ordem de Leopoldo (Bélgica)
Reino da Romênia
Ordem do Elefante
Ordem de São Januário
Ordem de São Fernando e do Mérito
Segundo Império Francês
Legião de Honra
Reino da Grécia
Ordem do Tosão de Ouro
Reino Unido
Ordem da Jarreteira
Ordem Soberana e Militar de Malta
Vaticano
Ordem Equestre do Santo Sepulcro de Jerusalém
Ducado de Parma e Placência
Ordem de Nossa Senhora da Conceição de Vila Viçosa
"Ordem Militar da Torre e Espada, do Valor, Lealdade e Mérito"
Reino da Prússia
Ordem da Águia Negra
Reino de Itália (1861–1946)
Ordem da Anunciação
Reinos Unidos da Suécia e Noruega
Ordem do Serafim
"Gastão de Orléans, Conde d'Eu"
Luís Augusto de Saxe-Coburgo-Gota
Pedro Afonso de Bragança e Bourbon
João V de Portugal
Pedro III de Portugal
"Maria Ana de Áustria, Rainha de Portugal"
José I de Portugal
Maria I de Portugal
Mariana Vitória de Bourbon
Carlos III de Espanha
Carlos IV de Espanha
Maria Amália da Saxónia
Carlota Joaquina de Bourbon
Filipe I de Parma
Maria Luísa de Parma
Luísa Isabel de França
Francisco I do Sacro Império Romano-Germânico
Leopoldo II do Sacro Império Romano-Germânico
Maria Teresa de Áustria
Maria Luísa de Espanha
Maria Amália da Saxônia
Maria Leopoldina de Áustria
Fernando I das Duas Sicílias
Maria Teresa da Sicília
Maria Carolina da Áustria
UOL
Washington D.C.
International Standard Book Number
Cambridge
Eduardo Bueno
Ática (editora)
Pedro Calmon
OCLC
Companhia das Letras
Francisco Doratioto
Stanford
HarperCollins
Luis Martins
Brasiliense (editora)
Ricardo Henrique Salles
Lilia Moritz Schwarcz
As Barbas do Imperador
Thomas Skidmore
Ronaldo Vainfas
Objetiva (editora)
Hélio Viana
Editora Melhoramentos
Wikimedia
Dinastia de Avis
Lista de imperadores do Brasil
Proclamação da República do Brasil
República Velha
Censo demográfico do Brasil de 1872
Forças Armadas do Império do Brasil
Armada Imperial Brasileira
Exército Imperial Brasileiro
Voluntários da Pátria
Hino da Independência do Brasil
Hino Nacional Brasileiro
História do Império do Brasil
Primeiro reinado
Segundo reinado
Dia do Fico
Independência do Brasil
Noite da agonia
Questão Militar
Política do Império do Brasil
Abolicionismo no Brasil
Conselho de Estado (Brasil)
Gabinete do Império do Brasil
Monarquismo no Brasil
Parlamentarismo às avessas
Lista de primeiros-ministros do Brasil
Províncias do Império do Brasil
Eleições diretas no Império do Brasil
Partido Conservador (Brasil)
Liga Progressista
Partido Liberal Exaltado
Partido Moderado (Brasil)
Partido Regressista
Partido Restaurador
Poder Moderador do Brasil
Coroa Imperial do Brasil
Cetro Imperial
Nobreza do Império do Brasil
Imperial Cidade
Imperatriz do Brasil
Economia do Império do Brasil
Real (antiga moeda brasileira)
Ciclo do café
Ciclo da borracha
Fundição Ipanema
Banco do Brasil
Caixa Econômica Federal
Sociedade Auxiliadora da Indústria Nacional
São Paulo Railway
Companhia Mogiana de Estradas de Ferro
Companhia Paulista de Estradas de Ferro
Estabelecimento de Fundição e Estaleiros da Ponta d'Areia
Estrada de Ferro da Bahia ao São Francisco
Estrada de Ferro Minas e Rio
Estrada de Ferro Oeste de Minas
Estrada de Ferro Recife ao São Francisco
Viação Férrea Sapucaí
Ato Adicional de 1834
Carta imperial
Código Criminal de 1830
Código do Processo Criminal de 1832
Constituição brasileira de 1824
Constituição da mandioca
Assembleia Constituinte do Brasil de 1823
Decreto Imperial do Brasil 523 de 20 de Julho de 1847
Lei Áurea
Lei dos Sexagenários
Lei Saraiva
Ordenações Filipinas
Galés (pena)
"Reino Unido de Portugal, Brasil e Algarves"
Família Imperial Brasileira
Paula do Brasil
Francisca de Bragança
Maria Amélia de Bragança
"Isabel, Princesa Imperial do Brasil"
Pedro de Alcântara de Orléans e Bragança
Luís Maria Filipe de Orléans e Bragança
Antônio Gastão de Orléans e Bragança
Pedro Augusto de Saxe-Coburgo e Bragança
Augusto Leopoldo de Saxe-Coburgo e Bragança
José Fernando de Saxe-Coburgo-Gota
Luís Gastão de Saxe-Coburgo-Gota
Ramo de Petrópolis
Ramo de Vassouras
Ramo de Saxe-Coburgo e Bragança
Príncipe do Grão-Pará
Pretendente
Pedro Henrique de Orléans e Bragança
Luiz Gastão de Orléans e Bragança
Bertrand de Orléans e Bragança
Pedro de Alcântara Gastão de Orléans e Bragança
Base Virtual Internacional de Autoridade
Biblioteca Apostólica Vaticana
Bibsys
Museu Britânico
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Catálogo de autoridades de nomes e títulos da Catalunha
Consortium of European Research Libraries
CiNii
Encyclopædia Britannica
Faceted Application of Subject Terminology
Gemeinsame Normdatei
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
Arquivos Nacionais e Administração de Documentos
Biblioteca Nacional da Grécia
Notable Names Database
Biblioteca Real dos Países Baixos
Sistema Universitário de Documentação
Museu da Nova Zelândia Te Papa Tongarewa
Enciclopédia Treccani
WikiTree
Biblioteca Nacional do Brasil
Itaú Cultural
Universidade Federal de Santa Catarina
Biblioteca Nacional de Portugal
Open Library
Biblioteca Nacional de Israel
Palazzo Castellani (Florença)
Biblioteca Nacional da Polónia
Biblioteca Nacional do País de Gales
