Geórgia (Estados Unidos)
Túnel de Roki
Batalha do vale Kodori
Zugdidi
Senaki
Poti
Frota do Mar Negro
Geografia da Geórgia
Suanécia
Transcaucásia
Ibéria Interior
Cáucaso Menor
Lista de países por ponto mais alto
Chkhara
Monte Kazbek
Javaquécia
Lista de rios da Geórgia
Rio Rioni
Rio Cura
Lago alpino
Cáucaso
Humidade
Clima subtropical
Verão
Inverno
Neve
Clima continental
Ásia Central
Mar Cáspio
Mesquécia
Msnm
Vertebrados
Pássaro
Répteis
Anfíbios
Urso-pardo
Lobo
Lince
Leopardo-persa
Faisão-comum
Invertebrados
Aranha
World Wide Fund for Nature
Demografia da Geórgia
Línguas indo-europeias
Línguas turcomanas
Línguas semíticas
Abecazes
Ossetas
Armênios
Azeris
Gregos pônticos
Judeus
Russos
Ossétia do Norte
Turcos mesquécios
Transferências populacionais na União Soviética
Kutaisi
Sucumi
Samtredia
Igreja Ortodoxa da Geórgia
Catolicismo na Geórgia
Catolicismo
Judaísmo
Islão
Nino da Geórgia
Patriarcado Ecumênico de Constantinopla
Liberdade religiosa
Cristianismo
Igreja Apostólica Armênia
Islamismo
Igreja Católica
Xiismo
Sunismo
Hemichis
Região da Anatólia Oriental
Testemunhas de Jeová
Língua osseta
Alfabeto georgiano
Língua suana
Língua mingrélia
Língua laz
Língua russa
Língua armênia
Língua azeri
Farnabazo I da Ibéria
Irakli Garibashvili
Poder Legislativo
Parlamento da Geórgia
Freedom House
Missões diplomáticas da Geórgia
Nações Unidas
Organização Mundial do Comércio
Japão
Uruguai
Coreia do Sul
Israel
Sri Lanka
Ucrânia
Comunidade dos Estados Independentes
Comunidade dos Países de Língua Portuguesa
África
Egito
Cuba
América
América do Sul
Argentina
Oceania
Nova Zelândia
Portugal
Brasil
Venezuela
Nicarágua
Vaticano
Ordem Soberana e Militar de Malta
Observadores da Assembleia Geral das Nações Unidas
Oleoduto Bacu-Tiblíssi-Ceyhan
Parceria para a Paz
Forças Armadas da Geórgia
Força Internacional de Assistência para Segurança
Hino nacional da Geórgia
Bandeira nacional
Brasão de armas
Bagrationi
Hino nacional
Leão (heráldica)
Santo padroeiro
Dragão
Homofobia
Direitos humanos
Subdivisões da Geórgia
Ossétia do Norte-Alânia
Oblast Autônomo da Ossétia do Sul
Aslan Abashidze
Economia da Geórgia
Exportação
Rota da Seda
Economia planificada
Mercado livre
Ex-repúblicas soviéticas
Banco Mundial
Fundo Monetário Internacional
Marco alemão
Telavi
Taxa de desemprego
Trigo
Cevada
Milho
Feijão
Tabaco
Girassol
Soja
Batata
Melão
Chá
Uva
Nascente (hidrografia)
Património Mundial
"Organização das Nações Unidas para a Educação, a Ciência e a Cultura"
Catedral de Bagrati
Mosteiro de Guelati
Educação na Geórgia
Universidade Estatal de Tiblíssi
Esperança de vida
Pneumonia
Asfixia
Malformação congénita
Aparelho circulatório
Neoplasia
Sistema respiratório
Sistema digestivo
Rússia Europeia
Oriente Próximo
Autoestrada
Bitola padrão
Aeroporto Internacional de Tiblíssi
Watt-hora
Repórteres Sem Fronteiras
Internet
Cultura da Geórgia
Grécia clássica
Shota Rustaveli
Nikoloz Baratashvili
Ilia Chavchavadze
Vazha-Pshavela
Niko Pirosmani
George Balanchine
Mukhran Machavariani
Mosteiro de Iviron
Polifonia
Voyager Golden Record
Voyager 2
Flauta
Gaita de fole
Harpa
Alaúde
Otar Iosseliani
Mingrélios
Khinkali
Khachapuri
Imerícia
Grécia
Estádio Boris Paichadze
Futebol
Basquete
Rugby
Judô
Halterofilismo
Luta greco-romana
Polo (esporte)
Federação Internacional do Automóvel
Seleção Soviética de Basquetebol Masculino
Otar Korkia
Mikhail Korkia
Zurab Sakandelidze
Levan Moseshvili
BC Dinamo Tbilisi
Euroliga
National Basketball Association
Jake Tsakalidis
Nikoloz Tskitishvili
Tornike Shengelia
Zaza Pachulia
Seleção Georgiana de Basquetebol
EuroBasket
1 de janeiro
Ano novo
7 de janeiro
Natal
19 de janeiro
Batismo
Jesus Cristo
3 de março
Dia das Mães
8 de março
Dia Internacional da Mulher
Sexta-feira Santa
Domingo de Ressurreição
Semana Santa
9 de maio
Fascismo
23 de maio
Santo André
Apóstolo
Dia da Independência
28 de agosto
Teótoco
14 de outubro
23 de novembro
Dia de São Jorge
Ásia
Europa
Lista de Estados soberanos
Lista de Estados soberanos e territórios dependentes da Ásia
Lista de Estados soberanos e territórios dependentes da Europa
Springer Science+Business Media
Open Democracy
International Standard Book Number
Oxford University Press
BBC News
Der Spiegel
International Standard Serial Number
Digital object identifier
The New York Times
Grande Enciclopédia Soviética
Cinema da Geórgia
Culinária da Geórgia
Esporte da Geórgia
Afeganistão
Arábia Saudita
Bangladesh
Bahrein
Brunei
Butão
Camboja
Catar
Cazaquistão
China
Chipre
Coreia do Norte
Emirados Árabes Unidos
Filipinas
Iémen
Índia
Indonésia
Irã
Iraque
Jordânia
Kuwait
Laos
Líbano
Maldivas
Malásia
Mongólia
Myanmar
Nepal
Omã
Paquistão
Quirguistão
Singapura
Síria
Tajiquistão
Tailândia
Timor-Leste
Turquemenistão
Uzbequistão
Vietnã
Lista de estados com reconhecimento limitado
República Turca de Chipre do Norte
Estado da Palestina
Cisjordânia
Faixa de Gaza
Taiwan
Acrotíri e Deceleia
Ilhas Ashmore e Cartier
Ilhas Cocos (Keeling)
Ilha Christmas
Território Britânico do Oceano Índico
Hong Kong
Macau
Lista de países
Albânia
Alemanha
Andorra
Áustria
Bielorrússia
Bósnia e Herzegovina
Bulgária
Chéquia
Croácia
Dinamarca
Eslováquia
Eslovénia
Espanha
Estónia
Finlândia
França
Hungria
República da Irlanda
Islândia
Itália
Letónia
Liechtenstein
Lituânia
Luxemburgo
Macedónia do Norte
Malta
Moldávia
Mónaco
Montenegro
Noruega
Países Baixos
Polónia
Roménia
San Marino
Sérvia
Suécia
Suíça
Gibraltar
Guernsey
Jersey
Ilha de Man
Ilhas Faroé
Åland
Kosovo
Transnístria
Reacção internacional à declaração de independência do Kosovo de 2008
Reconhecimento internacional da independência da Abecásia e Ossétia do Sul
Conflitos no Cáucaso
Conflito do Alto Carabaque
Guerra de Nagorno-Karabakh
Conflito georgiano-abecásio
Guerra na Abecásia (1992–1993)
Guerra na Abecásia de 1998
Conflito georgiano-osseta
Guerra na Ossétia do Sul em 1991-1992
Conflito na Ossétia do Norte de 1992
Conflito russo-checheno
Primeira Guerra da Chechênia
Segunda Guerra na Chechênia
Invasão do Daguestão de 1999
Guerra Civil na Inguchétia
Insurgência no Cáucaso Norte
Base Virtual Internacional de Autoridade
Biblioteca Nacional da República Argentina
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Catálogo de autoridades de nomes e títulos da Catalunha
CiNii
Encyclopædia Britannica
Faceted Application of Subject Terminology
Gemeinsame Normdatei
Dicionário Histórico da Suíça
KulturNav
Número de controle da Biblioteca do Congresso
Arquivos Nacionais e Administração de Documentos
Biblioteca Nacional da Dieta
Biblioteca Nacional da Grécia
Sistema Universitário de Documentação
Enciclopédia Treccani
Biblioteca Nacional do Brasil
Descritores em Ciências da Saúde
Biblioteca Nacional de Israel
Biblioteca Nacional da Eslováquia
OpenStreetMap
MusicBrainz
GeoNames
Getty Thesaurus of Geographic Names
TripAdvisor
Medical Subject Headings
Sistema Unificado de Linguagem Médica
