Logotipo
Comunidade das Nações
Três Espaços Linguísticos
Organização dos Estados Ibero-Americanos
Organização Internacional da Francofonia
Universidade Estadual de Campinas
Revista brasileira de política internacional
International Standard Serial Number
Digital object identifier
Agência Lusa
Wayback Machine
RTP
Facebook
Ministério das Relações Exteriores (Brasil)
Estados membros da Comunidade dos Países de Língua Portuguesa
Assistência Médica Internacional
Associação das Universidades de Língua Portuguesa
Associação dos Comités Olímpicos de Língua Oficial Portuguesa
Fundação Calouste Gulbenkian
Fundação Champalimaud
Fundação Luso-Americana
Fundação Luso-Brasileira
Fundação Mário Soares
Fundação Oriente
Fundação Oswaldo Cruz
Fundação Roberto Marinho
Instituto Histórico e Geográfico Brasileiro
Médicos do Mundo
Sociedade de Geografia de Lisboa
Real Gabinete Português de Leitura
Universidade Federal da Bahia
Universidade Federal do Rio de Janeiro
Universidade Lusófona de Humanidades e Tecnologias
Comité Olímpico Angolano
Comitê Olímpico do Brasil
Comité Olímpico Cabo-Verdiano
Comité Olímpico da Guiné-Bissau
Comité Olímpico e Desportivo de Macau
Comité Olímpico Nacional de Moçambique
Comité Olímpico de Portugal
Comité Olímpico de São Tomé e Príncipe
Comité Olímpico Nacional de Timor-Leste
Comité Olímpico Nacional da Guiné Equatorial
Comité Olímpico Nacional do Sri Lanka
Jogos da Lusofonia
Jogos da Lusofonia de 2006
Jogos da Lusofonia de 2009
Jogos da Lusofonia de 2014
Jogos da Lusofonia de 2017
História da língua portuguesa
Língua galego-portuguesa
Reforma Ortográfica de 1907
Reforma Ortográfica de 1911
Acordo Ortográfico de 1931
Formulário Ortográfico de 1943
Acordo Ortográfico de 1945
Reforma Ortográfica de 1971
Reforma Ortográfica de 1973
Geografia da língua portuguesa
Lusofonia
Lista de países onde o português é língua oficial
Lista de organizações internacionais que têm o português como língua oficial
Língua portuguesa em África
Língua portuguesa na Espanha
Ortografia da língua portuguesa
Alfabeto português
Aportuguesamento
Uso do hífen conforme o Acordo Ortográfico de 1990
Fonologia da língua portuguesa
Processo do vocalismo átono do português europeu
Gramática da língua portuguesa
Declinação na língua portuguesa
Léxico da língua portuguesa
Versões da língua portuguesa
Antroponímia da língua portuguesa
Lista de exónimos portugueses
Literatura lusófona
Diferenças entre o castelhano e o português
Diferenças entre o galego e o português
Dialetos da língua portuguesa
Português europeu
Dialeto açoriano
Dialeto alentejano
Dialeto algarvio
Dialeto barranquenho
Dialeto estremenho
Dialeto madeirense
Dialeto transmontano
Xalimego
Judeu-português
Português oliventino
Português de Angola
Dialeto benguelense
Dialeto luandense
Dialeto sulista (Angola)
Dialeto huambense
Português cabo-verdiano
Português da Guiné-Bissau
Português da Guiné Equatorial
Português de Moçambique
Português de São Tomé e Príncipe
Português brasileiro
Dialeto baiano
Dialeto brasiliense
Dialeto caipira
Dialeto carioca
Dialeto da costa norte
Dialeto florianopolitano
Dialeto fluminense
Dialeto gaúcho
Dialeto nordestino
Dialeto mineiro
Dialeto neutro
Amazofonia
Dialeto paulistano
Dialeto recifense
Dialeto rurbano
Dialeto da serra amazônica
Dialeto sertanejo
Dialeto sulista (Brasil)
Português de Goa
Português de Macau
Português de Timor-Leste
Pajubá
Llanito
Portinglês
Portunhol
Base Virtual Internacional de Autoridade
Biblioteca Nacional da França
Gemeinsame Normdatei
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
Biblioteca Nacional da Austrália
Sistema Universitário de Documentação
Biblioteca Nacional do Brasil
Biblioteca Nacional de Portugal
