Franca
Assembleia dos Estados Gerais
Estamento
Terceiro estado
Assembleia Nacional Constituinte Francesa (1789)
Liberdade de expressão
Liberdade de imprensa
Tomada da Bastilha
Igreja Católica Romana
Constituição Civil do Clero
Fuga de Varennes
Jornada de 10 de Agosto de 1792
Prússia
Massacres de Setembro de 1792
Assembleia Nacional Legislativa (Revolução Francesa)
Comuna de Paris (1792)
Convenção (Revolução Francesa)
Sufrágio universal
Primeira República Francesa
República Holandesa
Áustria
República de Mainz
Napoleão Bonaparte
Grande Armée
Era napoleônica
Guerras Napoleônicas
18 de brumário
Consulado (Revolução Francesa)
Primeiro Império Francês
Batalha de Jena–Auerstedt
Batalha de Austerlitz
Sistema métrico
Código Napoleônico
Declaração dos Direitos do Homem
Campanha da Rússia (1812)
Restauração francesa
Governo dos Cem Dias
Batalha de Waterloo
Revolução de Julho
Monarquia de Julho
Segunda República Francesa
Revoluções de 1848
Presidente da República Francesa
Napoleão III de França
Segundo Império Francês
Guerra da Crimeia
Segunda intervenção francesa no México
Segunda Guerra de Independência Italiana
Ducado de Saboia
Condado de Nice
Reino da Sardenha
Guerra Franco-Prussiana
Terceira República Francesa
Lista dos maiores impérios
Império Britânico
França metropolitana
Belle Époque
Secularismo
Poilu
Aliados (Primeira Guerra Mundial)
Primeira Guerra Mundial
Adolf Hitler
Torre Eiffel
Batalha de França
Segunda Guerra Mundial
Tríplice Entente
Impérios Centrais
Entreguerras
Frente Popular
Alemanha nazista
Ocupação da França pela Alemanha nazista
França de Vichy
Estado fantoche
França Livre
Exílio
Charles de Gaulle
Londres
Campos de extermínio
Campos de concentração nazistas
Aliados (Segunda Guerra Mundial)
Batalha da Normandia
Operação Dragão
Resistência Francesa
Potências do Eixo
Governo Provisório da República Francesa
Quarta República Francesa
Indochina francesa
Viet Minh
Batalha de Dien Bien Phu
Anti-imperialismo
Guerra de Independência Argelina
Tortura
Argélia
Pied-noir
Quinta República Francesa
Parlamento Europeu
Estrasburgo
Desemprego
Dívida pública
Supranacional
Tratado de Maastricht
Zona do Euro
Tratado de Lisboa (2007)
Terrorismo islâmico
Massacre do Charlie Hebdo
Ataques de novembro de 2015 em Paris
Geografia da França
Imagem de satélite
Chamonix-Mont-Blanc
Monte Branco
Latitude
Paralelo 41 N
Paralelo 51 N
Hemisfério norte
Dunquerque
Longitude
Meridiano 6 W
Hemisfério ocidental
Meridiano 10 E
Hemisfério oriental
Clima temperado
América Central
América do Sul
Oceano Índico
Antártida
Departamento de ultramar
Coletividade de ultramar
Brasil
Suriname
Antilhas Holandesas
São Martinho (França)
Cordilheira
Alpes
Maciço Central
Pirenéus
Altitude
Nível do mar
Mont Blanc
Fronteira França-Itália
Rio Sena
Rio Loire
Rio Garona
Rio Ródano
Terra de Adélia
Terra
Zona econômica exclusiva
Estados Unidos
Austrália
Classificação climática de Köppen
Temperatura
Clima mediterrâneo
Clima oceânico
Pluviosidade
Inverno
Verões
Clima continental
Clima alpino
Neve
Grau Celsius
Brest (França)
Falésia
Calcário
Normandia
Étretat
Mediterrânea
Lavanda
Provença
Saboia
Íbex
Vinhos da França
Alsácia
Châtenois (Baixo Reno)
Bora-Bora
Polinésia Francesa
Calanches de Piana
Demografia da França
França ultramarina
CIA World Factbook
Lista de países e territórios por índice de urbanização
Ilha de França
Lyon
Esperança de vida
Qualidade de vida
Saúde
Lista das cidades mais populosas da França
Divisões administrativas da França
Rennes
Provença-Alpes-Costa Azul
Champanha-Ardenas
Ródano-Alpes
Le Havre
Alta Normandia
Toulouse
Midi-Pirenéus
Saint-Étienne
Nice
Toulon
Nantes
País do Loire
Grenoble
Angers
Montpellier
Languedoque-Rossilhão
Dijon
Borgonha
Bordéus
Aquitânia
Lille
Norte-Passo de Calais
Le Mans
Lígures
Iberos
Bascos
Germanos
Burgúndios
Viquingues
Sarracenos
África
Ásia
Ano
Cidadania
População
Lei
Etnia
Religião
Imigração
Magrebe
Portugal
Polónia
África Subsaariana
Chineses
Turcos (nacionalidade)
Vietname
Ciganos
Religião na França
Catolicismo na França
Catedral de Notre-Dame de Reims
Catedral
Católica romana
Reis da França
Liberdade de religião
Catolicismo romano
Irreligião
Igreja Católica na França
Igreja Ortodoxa
Pentecostalismo
Islã na França
Budismo
Judaísmo
Eurobarômetro
Catolicismo
Agnosticismo
Ateísmo
Ateu
Islamismo
Pew Research Center
Siquismo
Islão
Organização Internacional da Francofonia
Idade Média
Língua catalã
Língua bretã
Língua corsa
Língua occitana
Língua provençal
Franco-provençal
Língua basca
Alsaciano
Palácio do Eliseu
Residência oficial
Palácio Bourbon
Palácio do Luxemburgo
Política da França
Poder executivo
Parlamento da França
Renascimento (partido político francês)
Chefe de estado
Primeiro-ministro da França
Eleição legislativa da França em 2017
Édouard Philippe
Bicameral
Deputado
Senador
Colégio eleitoral
Eleição presidencial da França em 2017
Frente Nacional (França)
Esquerda política
Partido Socialista Francês
Direita política
Reagrupamento para a República
União por um Movimento Popular
Família romano-germânica de direitos
Jurisprudência
Estado de direito
Código de Napoleão
Direito privado
Direito público
Lei religiosa
Blasfêmia
Sodomia
Ordem pública
Homossexualidade
Anistia Internacional
Nicabe
Comunidade LGBT
União civil
Casamento homossexual
Racismo
Sexismo
Antissemitismo
Missões diplomáticas da França
Conselho de Segurança da ONU
Secretariado da Comunidade do Pacífico
Associação dos Estados do Caribe
Organizações internacionais
OCDE
"Organização das Nações Unidas para a Educação, a Ciência e a Cultura"
Organização Internacional de Polícia Criminal
Escritório Internacional de Pesos e Medidas
Forças de manutenção da paz das Nações Unidas
Costa do Marfim
Chade
Mali
Movimento Nacional de Libertação do Azauade
Rebelião tuaregue (2012)
Conflito no norte do Mali
Islâmicos
Ansar Dine
Ajuda humanitária
Japão
Reino Unido
África subsaariana
França e as armas de destruição em massa
Charles de Gaulle (R91)
Navio-almirante
Marinha Nacional Francesa
Dassault Rafale
Força Aérea da França
Força paramilitar
Gendarmaria Nacional (França)
Comandante-em-chefe
Exército Francês
Marinha Francesa
Força Aérea Francesa
Paramilitar
Forças armadas
Tratado de Interdição Completa de Ensaios Nucleares
Tratado de Não Proliferação de Armas Nucleares
Dólar
China
Arma nuclear
Mísseis balísticos
Míssil ar-superfície
Dassault-Breguet Mirage 2000
Dassault-Breguet Super Étendard
Porta-aviões
Indústria bélica
Indústria aeroespacial
MBDA Exocet
AMX-56 Leclerc
Eurofighter
Eurocopter Tiger
Classe Aquitaine
Veículo aéreo não tripulado
Dassault nEUROn
Airbus A400M Atlas
Exportação
Regiões da França
Departamentos da França
Arrondissements da França
Cantões da França
Comuna francesa
Altos da França
Normandia (região francesa)
Grande Leste
Borgonha-Franco-Condado
Centro-Vale do Loire
Nova Aquitânia
Auvérnia-Ródano-Alpes
Occitânia (região francesa)
Guadalupe
Martinica
Mayotte
Reunião (departamento)
Golfo da Biscaia
Mar Lígure
Nova Caledônia
Ilha de Clipperton
Corsica
Arrondissements
Comunas da França
Marseille
Língua picarda
Língua neerlandesa
Língua francoprovençal
Língua galo
Orleães
Ajaccio
Língua alemã
Língua normanda
Ruão
Poitevin-Saintongeais
Departamento ultramarino
Crioulo antilhano
Crioulo da Guiana Francesa
Crioulo de Reunião
Maiote
Língua shimaore
Língua malgaxe
Economia da França
La Défense
Centro financeiro
Airbus
PIB
Fortune Global 500
Franco francês
Economia mista
Ferrovia
Eletricidade
Aviões
Usinas nucleares
Telecomunicações
Orange S.A.
Air France
Espaçoporto
Centro Espacial da Guiana
Banco Mundial
Importação
Dólar dos Estados Unidos
Euronext Paris
Amsterdã
Euronext
Bolsa de Nova Iorque
NYSE Euronext
Bolsa de valores
AXA
Fortune (revista)
BNP Paribas
Crédit Agricole
Monte Saint-Michel
Costa Azul
Patrimônio Mundial da UNESCO
Museu do Louvre
Musée d'Orsay
Impressionismo
Beaubourg
Arte contemporânea
Disneyland Paris
Parque temático
Riviera Francesa
Côte d'Azur
Iate
Vale do Loire
Patrimônio Mundial
Amboise
Blois
Chinon
Saumur
Tours
Museu de Orsay
Arco do Triunfo (França)
Centro Georges Pompidou
Castelo de Chambord
Sainte-Chapelle
Puy de Dôme
Museu Picasso (Paris)
Carcassonne
Energia nuclear
Usina Nuclear de Cattenom
Viaduto de Millau
Lista das autoestradas da França
Béziers
TGV
Cize (Ain)
Bolozon
Dióxido de carbono
Energia hidroelétrica
Energia eólica
Energia solar fotovoltaica
Biomassa
Transporte ferroviário
SNCF
Comboio de alta velocidade
Thalys
Eurostar
Túnel da Mancha
Metropolitano
Bonde
Ônibus
Rodovia
Estrada
Auto-estrada
Pedágio
Renault
Peugeot
Citroën
Motor a diesel
Gasolina
Gás de petróleo liquefeito
Ponte da Normandia
Aeroporto
Aeroporto de Paris-Charles de Gaulle
Cidade
Porto (transporte)
Canal du Midi
Universidade de Estrasburgo
Liceu
Jules Ferry
Ensino primário
Ensino secundário
Ensino superior
Programa Internacional de Avaliação de Alunos
Sistema educacional
Pré-escola
Ensino fundamental
Ensino médio
Universidade
Ariane 5
Sistema de lançamento descartável
Airbus Defence and Space
Papa Silvestre II
Ábaco
Esfera armilar
Algarismos indo-arábicos
Relógio
Europa do norte
Europa ocidental
Universidade de Paris
Mundo ocidental
René Descartes
Racionalismo
Blaise Pascal
Probabilidade
Mecânica de fluidos
Revolução científica
Académie des Sciences
"Georges-Louis Leclerc, conde de Buffon"
Antoine Lavoisier
Oxigênio
Combustão
Denis Diderot
Jean le Rond d'Alembert
Revolução Industrial
Augustin Fresnel
Óptica
Nicolas Léonard Sadi Carnot
Termodinâmica
Louis Pasteur
Microbiologia
Henri Poincaré
Henri Becquerel
Pierre Curie
Marie Curie
Radioatividade
Paul Langevin
Luc Montagnier
HIV
AIDS
Laureados com o Nobel por país
Prêmio Nobel
Medalha Fields
Hospital da Salpêtrière
Doenças crônicas
Câncer
Fibrose cística
Expectativa de vida
Países desenvolvidos
Epidemia
Obesidade
Culinária da França
Junk food
Cultura da França
Marianne
A Liberdade Guiando o Povo
Eugène Delacroix
UNESCO
Património Mundial
Claude Monet
Pré-História
Nicolas Poussin
Claude Lorrain
Rococó
Antoine Watteau
François Boucher
Jean-Honoré Fragonard
Jacques-Louis David
Romanticismo
Théodore Géricault
Escola de Barbizon
Jean-François Millet
Gustave Courbet
Frédéric Auguste Bartholdi
Estátua da Liberdade
Auguste Rodin
O pensador
Simbolismo
Camille Pissarro
Édouard Manet
Edgar Degas
Auguste Renoir
Paul Cézanne
Paul Gauguin
Toulouse-Lautrec
Georges Seurat
Fauvismo
Henri Matisse
André Derain
Maurice de Vlaminck
Mona Lisa
Palácio do Louvre
Museu d'Orsay
Museu da Orangerie
Arte moderna
Grand Palais
Literatura francesa
Molière
Comédia
Sátira
Victor Hugo
Luís Vaz de Camões
William Shakespeare
François Rabelais
Gargantua e Pantagruel
Michel de Montaigne
Ensaios
Madame de La Fayette
La Princesse de Clèves
Romance psicológico
Jean de La Fontaine
Fabulista
A Cigarra e a Formiga
Jean Racine
Verso alexandrino
Tibério Cláudio César Britânico
Pierre Corneille
Dramaturgo
Literatura ocidental
Le Misanthrope
L'Avare
Le Malade imaginaire
Le Bourgeois Gentilhomme
O Sobrinho de Rameau
Ignorância
Obscurantismo
Charles Perrault
O Gato de Botas
Cinderela
A Bela Adormecida
Barba Azul
Charles Baudelaire
Paul Verlaine
Arthur Rimbaud
Stéphane Mallarmé
Gêneros literários
Romantismo
Shakespeare
Dante
Homero
Les Misérables
Prix Goncourt
Prêmio literário
Marcel Proust
Louis-Ferdinand Céline
Albert Camus
Jean-Paul Sartre
Antoine de Saint Exupéry
Le Petit Prince
Prêmios Nobel de Literatura
Patrick Modiano
Daft Punk
French house
Música da França
Canto gregoriano
Liturgia
Polifonia
Ars Antiqua
Juramentos de Estrasburgo
A Canção de Rolando
Trovador
Ars Nova
Edith Piaf
Mireille Mathieu
Dalida
Charles Aznavour
Serge Gainsbourg
Gilbert Becaud
Luís IX da França
Monólito
Monumento megalítico
Pont du Gard
Catedral de Chartres
Amiens
Catedral de Notre-Dame de Paris
Renascimento
Castelo de Blois
Palácio de Fontainebleau
Barroca
Louvre
Panthéon de Paris
Modernismo
Gustave Eiffel
Le Corbusier
Le Figaro
Le Parisien
Le Monde
L'Équipe
Metro International
Ouest-France
Le Nouvel Observateur
L'Express
Marie Claire
Elle
Le Canard enchaîné
Charlie Hebdo
Paris Match
Office de Radiodiffusion Télévision Française
Cinema da França
Auguste e Louis Lumière
Cinema
Nouvelle vague
Festival de Cannes
Hollywood
Mundo desenvolvido
Cultura dos Estados Unidos
Israel
Manteiga
Azeite
Cassoulet
Chucrute
Quiche
Bife borgonhesa
Tapenade
Champanhe (vinho)
Vinho de Bordéus
Bourgogne
Beaujolais (vinho)
Camembert
Roquefort (queijo)
Brie
Guia Michelin
Cerveja
Rum
Tour de France
Grandes Voltas
Stade de France
Copa do Mundo FIFA de 1998
UEFA
Jogos Olímpicos
Jogos Olímpicos de 1900
Jogos Olímpicos de 1924
Jogos Olímpicos de Inverno
Jogos Olímpicos de Inverno de 1924
Jogos Olímpicos de Inverno de 1968
Jogos Olímpicos de Inverno de 1992
Futebol
Copa do Mundo FIFA
Copa do Mundo FIFA de 1938
Seleção Francesa de Futebol
Copa do Mundo FIFA de 1958
Copa do Mundo FIFA de 1986
Saint-Denis (Seine-Saint-Denis)
Lens (Pas-de-Calais)
Seleção Brasileira de Futebol
Copa do Mundo FIFA de 2018
Seleção Croata de Futebol
Futebol nos Jogos Olímpicos
Copa do Mundo de Futebol Feminino de 2011
Campeonato Europeu de Futebol de 2016
Seleção Portuguesa de Futebol
Tênis
Roland Garros
Copa Davis
René Lacoste
Jo-Wilfried Tsonga
Alain Prost
Natação
Alain Bernard
Frédérick Bousquet
Laure Manaudou
Camille Muffat
Jean Boiteux
Alain Mimoun
Marie-José Perec
Renaud Lavillenie
Teddy Riner
Ano-Novo
Páscoa
Dia do Trabalho
1945
Quinta-feira da Ascensão
Pentecostes
1789
1790
Assunção de Nossa Senhora
Dia de Todos os Santos
1918
Natal
Terra Adélia
Franco CFP
Sistema do Tratado da Antártica
Fernand Braudel
Wayback Machine
Fundo Monetário Internacional
Programa das Nações Unidas para o Desenvolvimento
International Standard Book Number
International Monetary Fund
OCLC
Simon & Schuster
Isidoro de Sevilha
Etymologiae
Enciclopédia Britânica
BBC News
Stanford University Press
International Standard Serial Number
JSTOR
Digital object identifier
Ministério dos Negócios Estrangeiros (França)
Jewish Virtual Library
Carlos X da França
Comissão Europeia
Amnesty International
Telegraph
INSEE
The World Factbook
CIA
Centro Espacial de Kourou
Agência Espacial Europeia
UNCTAD
The Daily Telegraph
Grande Enciclopédia Larousse
CNRS
Agence France Presse
The Times
The Financial Times
Governo do Brasil
Wikimedia
Brasão de armas da França
Hino nacional da França
Desporto na França
Educação na França
Governo da França
Lista de ilhas da França
Lista de rios da França
Saúde na França
Subdivisões da França
Estados-membros da União Europeia
Bulgária
Chéquia
Chipre
Croácia
Dinamarca
Eslováquia
Eslovénia
Estónia
Finlândia
Grécia
Hungria
República da Irlanda
Letónia
Lituânia
Malta
Países Baixos
Romênia
Suécia
Alargamento da União Europeia
Adesão da Albânia à União Europeia
Adesão da Bósnia e Herzegovina à União Europeia
Adesão do Cossovo à União Europeia
Adesão da Islândia à União Europeia
Adesão da Macedónia do Norte à União Europeia
Adesão de Moldávia à União Europeia
Adesão de Montenegro à União Europeia
Adesão da Sérvia à União Europeia
Adesão da Turquia à União Europeia
Adesão da Ucrânia à União Europeia
Gronelândia
Saída do Reino Unido da União Europeia
História da União Europeia
Comunidade Europeia do Carvão e do Aço
Comunidade Económica Europeia
Comunidade Europeia da Energia Atómica
Instituições da União Europeia
Conselho Europeu
Conselho da União Europeia
Conselho dos Negócios Estrangeiros
Tribunal de Justiça da União Europeia
Tribunal Geral da União Europeia
Banco Central Europeu
Tribunal de Contas Europeu
Agências da União Europeia
Eurojust
Europol
Frontex
Agência Europeia do Ambiente
Agência Europeia de Reconstrução
Centro Europeu de Prevenção e Controlo das Doenças
Serviço Europeu de Ação Externa
Política da União Europeia
Eleições na União Europeia
Partido político europeu
Integração europeia
Euroceticismo
Relações internacionais da União Europeia
Eurodeputado
Direito da União Europeia
Acervo comunitário
Jornal Oficial da União Europeia
Lei da concorrência da União Europeia
Diretiva (União Europeia)
Lei dos Direitos de Autor da União Europeia
Mercado comum da União Europeia
Procedimento legislativo da União Europeia
Regulamento (União Europeia)
Tratados da União Europeia
Derrogações na União Europeia
Acordo de Schengen
Geografia da União Europeia
Fronteiras da União Europeia
Pontos extremos da União Europeia
Lista de cidades da União Europeia por população
Lista das áreas urbanas da União Europeia
Regiões ultraperiféricas da União Europeia
Economia da União Europeia
Política Agrícola Comum da União Europeia
Orçamento da União Europeia
Banco Europeu de Investimento
Fundo Europeu de Investimento
Zona Euro
Política de desenvolvimento regional da União Europeia
Galileo
Cultura da União Europeia
Cidadania da União Europeia
Passaporte da União Europeia
Demografia da União Europeia
Carta de condução europeia
Instituto Europeu da Inovação e da Tecnologia
Línguas da União Europeia
The European Library
Símbolos da União Europeia
Estatísticas da União Europeia
Lista de Conselhos Europeus
Presidência do Conselho da União Europeia
Nomenclatura das Unidades Territoriais para Fins Estatísticos
Placas de identificação de veículos na Europa
Forças armadas da União Europeia
Supranacionalismo
Euroesfera
Lista de países
Albânia
Arménia
Azerbaijão
Bielorrússia
Bósnia e Herzegovina
Cazaquistão
Geórgia
Islândia
Liechtenstein
Macedónia do Norte
Moldávia
Mónaco
Montenegro
Noruega
Roménia
San Marino
Sérvia
Turquia
Vaticano
Acrotíri e Deceleia
Gibraltar
Guernsey
Jersey
Ilha de Man
Ilhas Faroé
Åland
Abecásia
Kosovo
Ossétia do Sul
República Turca de Chipre do Norte
Transnístria
Reacção internacional à declaração de independência do Kosovo de 2008
Reconhecimento internacional da independência da Abecásia e Ossétia do Sul
G20
Lista de países-membros do G20
África do Sul
Arábia Saudita
Argentina
Canadá
Coreia do Sul
Índia
Indonésia
México
Reuniões de cúpula do G20
1ª reunião de cúpula do G20
2ª reunião de cúpula do G20
4ª reunião de cúpula do G20
5.ª reunião de cúpula do G20
7ª reunião de cúpula do G20
8.ª reunião de cúpula do G20
9.ª reunião de cúpula do G20
10.ª reunião de cúpula do G20
11.ª reunião de cúpula do G20
12.ª reunião de cúpula do G20
13.ª reunião de cúpula do G20
14.ª reunião de cúpula do G20
15.ª reunião de cúpula do G20
16.ª reunião de cúpula do G20
17.ª reunião de cúpula do G20
18.ª reunião de cúpula do G20
19.ª reunião de cúpula do G20
Lista de líderes do G20
Região administrativa especial
Hong Kong
Macau
Irlanda
Nova Zelândia
Singapura
Taiwan
Comitê de Ajuda ao Desenvolvimento
Base Virtual Internacional de Autoridade
Bibsys
Biblioteca Nacional da França
Grande Enciclopédia Soviética
CiNii
Encyclopædia Britannica
Faceted Application of Subject Terminology
Gemeinsame Normdatei
Dicionário Histórico da Suíça
KulturNav
Número de controle da Biblioteca do Congresso
Arquivos Nacionais e Administração de Documentos
Biblioteca Nacional da Dieta
Biblioteca Nacional da Austrália
Sistema Universitário de Documentação
Biblioteca Nacional do Brasil
Descritores em Ciências da Saúde
Biblioteca Nacional de Portugal
Open Library
Biblioteca Nacional de Israel
OpenStreetMap
MusicBrainz
GeoNames
Getty Thesaurus of Geographic Names
TripAdvisor
Taxonomia
Medical Subject Headings
