Partido Socialista Brasileiro (1932)
Eleições estaduais no Acre em 2022
Janilson Leite
Eleições estaduais em Alagoas em 2022
Rodrigo Cunha
Davi Davino Filho
Eleições estaduais no Amazonas em 2022
Eleições estaduais no Amapá em 2022
Eleições estaduais na Bahia em 2022
Otto Alencar
Eleições estaduais no Ceará em 2022
Roberto Cláudio
Érika Amorim
Domingos Filho
Eleições distritais no Distrito Federal em 2022
Leandro Grass
Eleições estaduais no Espírito Santo em 2022
Rose de Freitas
Ricardo Ferraço
Eleições estaduais em Goiás em 2022
Eleições estaduais no Maranhão em 2022
Carlos Brandão
Eleições estaduais em Minas Gerais em 2022
Alexandre Kalil
Alexandre Silveira
André Quintão
Eleições estaduais em Mato Grosso do Sul em 2022
Tereza Cristina
Barbosinha
Eleições estaduais em Mato Grosso em 2022
Mauro Mendes
Wellington Fagundes
Otaviano Pivetta
Eleições estaduais no Pará em 2022
Helder Barbalho
Manoel Pioneiro
Eleições estaduais na Paraíba em 2022
Pollyanna Dutra
Eleições estaduais em Pernambuco em 2022
Danilo Cabral
Teresa Leitão
Luciana Santos
Eleições estaduais no Piauí em 2022
Rafael Fonteles
Wellington Dias
Themístocles Filho
Eleições estaduais no Paraná em 2022
Álvaro Dias
Eleições estaduais no Rio de Janeiro em 2022
Marcelo Freixo
Alessandro Molon
César Maia
Eleições estaduais no Rio Grande do Norte em 2022
Rafael Motta
Eleições estaduais em Rondônia em 2022
Daniel Pereira
Acir Gurgacz
Eleições estaduais em Roraima em 2022
Teresa Surita
Romero Jucá
Édio Lopes
Eleições estaduais no Rio Grande do Sul em 2022
Vicente Bogo
Eleições estaduais em Santa Catarina em 2022
Décio Lima
Dário Berger
Eleições estaduais em Sergipe em 2022
Rogério Carvalho
Valadares Filho
Eleições estaduais em São Paulo em 2022
Fernando Haddad
Márcio França
Lúcia França
Eleições estaduais no Tocantins em 2022
Ronaldo Dimas
Carlos Amastha
Eleições estaduais no Brasil em 2018
Eleições estaduais no Acre em 2018
Marcus Alexandre
Jorge Viana
Ney Amorim
Eleições estaduais em Alagoas em 2018
João Henrique Caldas
Benedito de Lira
Eleições estaduais no Amazonas em 2018
David Almeida
Serafim Corrêa
Chico Preto
Eleições estaduais no Amapá em 2018
Janete Capiberibe
Camilo Capiberibe
Eleições estaduais na Bahia em 2018
Rui Costa (político)
Jacques Wagner
Marcelo Nilo
Alex Lima
Fabiola Mansur
Marcelinho Veiga
Marquinho Viana
João Leão
Angelo Coronel
Eleições estaduais no Ceará em 2018
Camilo Santana
Eunício Oliveira
Denis Bezerra
Audic Mota
Izolda Cela
Eleições distritais no Distrito Federal em 2018
Rodrigo Rollemberg
Leila do Vôlei
José Gomes
Roosevelt Vilela
Chico Leite
Eleições estaduais no Espírito Santo em 2018
Marcos do Val
Felipe Rigoni
Bruno Lamas
Sergio Majeski
Jacqueline Moraes
Eleições estaduais em Goiás em 2018
Vanderlan Cardoso
Elias Vaz
Lissauer Vieira
Marconi Perillo
Eleições estaduais no Maranhão em 2018
Weverton Rocha
Bira do Pindaré
Marcelo Tavares Silva
Eliziane Gama
Eleições estaduais em Minas Gerais em 2018
Fernando Pimentel
Emidinho Madeira
Júlio Delgado
Vilson da FETAEMG
Roberto Andrade
Jô Moraes
Miguel Corrêa
Eleições estaduais de Mato Grosso do Sul em 2018
Reinaldo Azambuja
Nelsinho Trad
Murilo Zauith
Eleições estaduais em Mato Grosso em 2018
Pedro Taques
Nilson Leitão
Eleições estaduais no Pará em 2018
Márcio Miranda
Flexa Ribeiro
Cássio Andrade
José Megale
Eleições estaduais na Paraíba em 2018
Veneziano Vital do Rêgo
Gervásio Maia
Adriano Galdino
Cida Ramos
Estela Bezerra
Yasnaia Pollyana Werton Feitosa
Lígia Feliciano
Luiz Couto
Eleições estaduais em Pernambuco em 2018
Paulo Câmara
Humberto Costa
Gonzaga Patriota
Tadeu Alencar
Adalto dos Santos
Jarbas Vasconcelos
Eleições estaduais no Piauí em 2018
Luciano Nunes Santos Filho
Wilson Martins
Átila Lira
Gustavo Neiva
Robert Rios Magalhães
Eleições estaduais no Paraná em 2018
Cida Borghetti
Alex Canziani
Aliel Machado
Alexandre Curi
Artagão Junior
Jonas Guimarães
Luiz Claudio Romanelli
Tiago Amaral
Beto Richa
Eleições estaduais no Rio de Janeiro em 2018
Pedro Fernandes Neto
José Bonifácio Ferreira Novellino
Doutor Julianelli
Eleições estaduais no Rio Grande do Norte em 2018
Robinson Faria
Geraldo Melo
Eleições estaduais em Rondônia em 2018
Mauro Nazif
Carlos Magno Ramos
Eleições estaduais em Roraima em 2018
Suely Campos
Ângela Portela
Luciano Castro
Eleições estaduais no Rio Grande do Sul em 2018
José Ivo Sartori
Beto Albuquerque
Liziane Bayer
Dalciso Oliveira
Franciane Bayer
José Paulo Cairoli
José Fogaça
Eleições estaduais em Santa Catarina em 2018
Gelson Merisio
Esperidião Amin
Rodrigo Coelho
Bruno André de Souza
Laércio Schuster
Nazareno Martins
João Paulo Kleinübing
Raimundo Colombo
Eleições estaduais em Sergipe em 2018
Luciano Pimentel
Eleições estaduais em São Paulo em 2018
Maurren Maggi
Jefferson Campos
Luiz Flávio Gomes
Rodrigo Agostinho
Rosana Valle
Barros Munhoz
Carlos Cezar
Ed Thomas
Rafa Zimbaldi
Rafael Silva (político)
Roberto Engler
Vinícius Camarinha
Eleições estaduais no Tocantins em 2018
Vicentinho Alves
Ataídes Oliveira
Eleição presidencial no Brasil em 1989
Eleição presidencial no Brasil em 1994
Aloizio Mercadante
Cidadania (partido político)
Partido Socialista dos Trabalhadores Unificado
Eleição presidencial no Brasil em 1998
Partido Democrático Trabalhista
Partido Comunista Brasileiro
Eleição presidencial no Brasil em 2002
Anthony Garotinho
José Antônio Figueiredo de Almeida Silva
Partido Geral dos Trabalhadores
Eleição presidencial no Brasil em 2006
José Alencar
Eleição presidencial no Brasil em 2010
Movimento Democrático Brasileiro (1980)
Partido Liberal (2006)
Partido Social Cristão
Podemos (Brasil)
Eleição presidencial no Brasil em 2014
Marina Silva
Partido Republicano Progressista (1989)
Partido Pátria Livre
Partido Social Liberal
Aécio Neves
Eleição presidencial no Brasil em 2018
Federação Brasil da Esperança
Solidariedade (partido político)
Federação PSOL REDE
Avante
Agir (Brasil)
Partido Republicano da Ordem Social
BBC Brasil
Poder360
Stanford University Press
International Standard Book Number
Facebook
Instagram
Twitter
YouTube
Jamil Haddad
Partidos políticos no Brasil
Brasil
Progressistas
Rede Sustentabilidade
Partido Renovação Democrática
Democracia Cristã (Brasil)
Partido Renovador Trabalhista Brasileiro
Partido da Causa Operária
Partido Novo
Mobilização Nacional
Partido da Mulher Brasileira
União Brasil
Partido Socialismo e Liberdade
Partido Social Democrático (2011)
Unidade Popular (Brasil)
Lista de partidos políticos brasileiros extintos
Retorno do pluripartidarismo no Brasil
Lista de fundações partidárias do Brasil
Fundo Partidário
Posicionamentos dos partidos brasileiros
Base Virtual Internacional de Autoridade
Número de controle da Biblioteca do Congresso
Tribunal Superior Eleitoral
