Novembro
Batalha das Ardenas
Massacre de Malmedy
1945
República de Honduras
Estados-membros das Nações Unidas
1947
Boeing B-47 Stratojet
1950
North American F-86 Sabre
1956
Estados Unidos da América
Fernando de Noronha
1957
SM-65 Atlas
1960
Haile Selassie
Etiópia
Golpe de Estado na Etiópia em 1960
1961
Tragédia do Gran Circus Norte-Americano
Niterói
1967
Harold Holt
Primeiro-ministro da Austrália
1969
Project Blue Book
Objeto voador não identificado
1989
Revolução Romena de 1989
Timișoara
Partido Comunista Romeno
Fernando Collor
Luiz Inácio Lula da Silva
Eleição presidencial no Brasil em 1989
1994
Protocolo de Ouro Preto
Tratado de Assunção
Mercado Comum do Sul
1997
Movimento Revolucionário Túpac Amaru
Lima
Yakovlev Yak-42
Aeroporto de Salonica-Macedónia
Salonica
1999
Rede Ferroviária Federal
2002
Segunda Guerra do Congo
Governo de Transição da República Democrática do Congo
2003
Brian Binnie
2006
Sport Club Internacional
Futbol Club Barcelona
Copa do Mundo de Clubes da FIFA de 2006
2010
Mohamed Bouazizi
Autoimolação
Revolução Tunisina
Primavera Árabe
2014
Cuba
Relações entre Cuba e Estados Unidos
2020
A Caipirinha
Tarsila do Amaral
Arte Brasileira
Ludwig van Beethoven
Joaquim da Prússia
Érico Veríssimo
Papa Francisco
Milla Jovovich
Katheryn Winnick
Manu Ríos
"Jaime, Conde de Wessex"
1239
Kujō Yoritsugu
1256
1267
Go-Uda
1324
1487
Cristóbal de Laguardia
1491
1493
Paracelso
1541
1554
1619
Ruperto do Reno
1682
1706
Émilie du Châtelet
1749
1734
1816
1737
John Almon
1805
Domenico Cimarosa
1801
1770
1827
1778
Humphry Davy
1829
1791
Samuel Amsler
1849
1797
Joseph Henry
1878
1800
"Bernardo II, Duque de Saxe-Meiningen"
1882
1802
Francisco Carlos da Áustria
1824
John Kerr
1835
Alexander Emanuel Agassiz
1910
1842
Sophus Lie
1899
1843
Antônio Lemos
1913
1868
José Comas y Solá
1937
1874
William Lyon Mackenzie King
1876
Afrânio Peixoto
1881
Yngvar Bryn
Edward Russell Ayrton
1914
1890
1920
1893
Erwin Piscator
1966
1894
David Butler
1979
Arthur Fiedler
1898
Loren Murchison
António Cruz Caldas
1975
1900
Katina Paxinou
1973
Mary Cartwright
1998
Erskine Caldwell
1987
1904
Paul Cadmus
1905
Simo Häyhä
Bento Munhoz da Rocha
1906
Fernando Lopes-Graça
1908
Willard Frank Libby
1980
Raymond Louviot
1909
Alcides Malandro Histórico
1911
André Claveau
1912
Fritz Klingenberg
Willy Huber
1916
Paulo Emílio Sales Gomes
1977
1918
Dusty Anderson
2007
Kenneth E. Iverson
2004
1921
Amin al-Hafiz
2009
William Arthur Ward
1922
Mario Rigamonti
1949
José Lutzemberger
Tião Macalé
1993
1927
Adolfo Grosso
1929
Frances Dafoe
2016
1930
Armin Mueller-Stahl
Bob Guccione
1931
Fernando Legal
2023
1934
Ray Wilson (futebolista)
2018
1936
Jaime Lerner
2021
Sergio Jiménez
Peter Snell
2019
1940
Nicolae Lupescu
2017
1942
Paul Butterfield
Muhammadu Buhari
Carlos Buttice
Bernard Hill
Ferenc Bene
Ernie Hudson
Mwanza Mukombo
2001
1946
Eugene Levy
Martin Smith
Mykola Azarov
Wes Studi
Anders Björner
1948
Carlos Seidl
Darryl Way
Kemal Kılıçdaroğlu
Paul Rodgers
Sotiris Kaiafas
Carlton Barrett
1951
Colleen O'Connor
1952
Renê Simões
1953
Bill Pullman
Alexander Beliavsky
1955
Edmond Enoka
Gilliard
Peter Farrelly
Amado Carrillo Fuentes
Elżbieta Witek
1958
Mike Mills
1959
Gregg Araki
Tarako (atriz)
Moreno Argentin
Víctor Hugo Basabe
1962
Ademir Bernardes de Alcântara
1963
Jón Kalman Stefánsson
Valeri Liukin
Juliet Aubrey
Yuko Arimori
Gigi D'Agostino
1968
Paul Tracy
Claudio Suárez
Chuck Lidell
Robinah Nabbanja
1970
Michael Mols
Seo Jung-Won
Stella Tennant
Darío Muchotrigo
1971
Cory Witherill
Ignacio Carlos González
Artur Petrosyan
1972
Claire Forlani
Laurie Holden
Iván Pedroso
David Belenguer
Paula Radcliffe
1974
Marissa Ribisi
Giovanni Ribisi
Sarah Paulson
André Heller
Susanthika Jayasinghe
1976
Patrick Müller
Nir Davidovich
Kim Sang-Sik
Liedson
Oxana Fedorova
Ramiro Amarelle
Arnaud Clement
1978
Manny Pacquiao
Eric Ejiofor
Ryan Key
Ryan Hunter-Reay
Rafael Schmitz
Sebastián Beccacece
Ronald García
1981
Tim Wiese
1982
Boubacar Sanogo
Dynamo
1983
Chidi Odiah
Sébastien Ogier
Wassiou Oladipupo
1984
Sahara Davenport
2012
1985
Martín Ricca
1986
Emma Bell
Heissler Guillén
Fabrizio Crestani
Gauthier Klauss
1988
Jin Sun-yu
Yann Sommer
Thaísa Moreno
David Rudisha
Jessi
André Ayew
Taylor York
1990
Henri Anier
Natália Melcon
Abderrazak Hamdallah
Graham Rogers
1991
Tom Walker
1992
Andrew Nabbout
Emmanuel Daniel
Bia Zaneratto
Ryu Seung-woo
Evgenia Tarasova
Nat Wolff
Raffaele Marciello
Fernando Sobral
1995
Fleur Jong
1996
Elizaveta Tuktamysheva
João Menezes
Shoma Uno
Martin Ødegaard
Samuel Sosa
2000
Wesley Fofana
Abde Ezzalzouli
Gaia Giovannini
Guilherme Seta
Castello Lukeba
Stefania Liberakakis
Matthew Richards
693
Begga de Landen
615
910
1187
Papa Gregório VIII
1110
1195
Balduíno V de Hainaut
1150
1471
"Isabel de Portugal, Duquesa da Borgonha"
1397
1644
"Antão de Almada, 7.º conde de Avranches"
1573
1663
Ana de Sousa
Frederica de Schlieben
1757
1830
Simon Bolívar
1783
1847
Maria Luísa de Áustria
1860
Desidéria Clary
1877
Louis d'Aurelle de Paladines
1804
Leopoldo II da Bélgica
1917
Elizabeth Garrett Anderson
1836
Manuel Gomes da Costa
1863
1933
Thubten Gyatso
Johannes Nicolaus Brønsted
1879
1964
Victor Franz Hess
1883
Sylvia Telles
Costa e Silva
1902
Amleto Giovanni Cicognani
Mehmet Shehu
Marguerite Yourcenar
Luciano Salce
Dana Andrews
Rex Allen
"Grover Washington, Jr."
1943
Evandro Lins e Silva
2005
Jack Anderson
Jennifer Jones
1919
Chris Henry
Dick Gibson
2011
Cesária Évora
Eva Ekvall
Joãosinho Trinta
Kim Jong-il
Sérgio Britto
1923
Sérgio Borges
Dina Manfredini
1897
Vítor Manuel Trigueiros Crespo
1932
Andrey Shcharbakow
Jeremy Bulloch
2022
Nélida Piñon
Municípios do Brasil
Aparecida (São Paulo)
São Paulo (estado)
Unidades federativas do Brasil
Betim
Minas Gerais
Bom Jardim de Minas
Bueno Brandão
Cachoeirinha (Pernambuco)
Pernambuco
Campina Verde
Brasileiro
Candeias (Minas Gerais)
Carlos Chagas (Minas Gerais)
Carmo da Mata
Conselheiro Pena
Delfim Moreira (Minas Gerais)
Laranjal (Minas Gerais)
Nova Ponte
Perdizes
Soledade de Minas
Daniel
Estúrmio
Jean de Matha
Josep Manyanet i Vives
"Olímpia, a Diaconisa"
Presbiterianismo
Calendário romano
Calendas
Calendário litúrgico
Letra dominical
Semana
Epacta
International Standard Serial Number
Mês
Dia
5 de janeiro
6 de janeiro
7 de janeiro
8 de janeiro
9 de janeiro
10 de janeiro
11 de janeiro
12 de janeiro
13 de janeiro
14 de janeiro
15 de janeiro
16 de janeiro
17 de janeiro
18 de janeiro
19 de janeiro
20 de janeiro
21 de janeiro
22 de janeiro
23 de janeiro
24 de janeiro
25 de janeiro
26 de janeiro
27 de janeiro
28 de janeiro
29 de janeiro
30 de janeiro
31 de janeiro
Fevereiro
1 de fevereiro
2 de fevereiro
3 de fevereiro
4 de fevereiro
5 de fevereiro
6 de fevereiro
7 de fevereiro
8 de fevereiro
9 de fevereiro
10 de fevereiro
11 de fevereiro
12 de fevereiro
13 de fevereiro
14 de fevereiro
15 de fevereiro
16 de fevereiro
17 de fevereiro
18 de fevereiro
19 de fevereiro
20 de fevereiro
21 de fevereiro
22 de fevereiro
23 de fevereiro
24 de fevereiro
25 de fevereiro
26 de fevereiro
27 de fevereiro
28 de fevereiro
29 de fevereiro
Março
1 de março
2 de março
3 de março
4 de março
5 de março
6 de março
7 de março
8 de março
9 de março
10 de março
11 de março
12 de março
13 de março
14 de março
15 de março
16 de março
17 de março
18 de março
19 de março
20 de março
21 de março
22 de março
23 de março
24 de março
25 de março
26 de março
27 de março
28 de março
29 de março
30 de março
31 de março
Abril
1 de abril
2 de abril
3 de abril
4 de abril
5 de abril
6 de abril
7 de abril
8 de abril
9 de abril
10 de abril
11 de abril
12 de abril
13 de abril
14 de abril
15 de abril
16 de abril
17 de abril
18 de abril
19 de abril
20 de abril
21 de abril
22 de abril
23 de abril
24 de abril
25 de abril
26 de abril
27 de abril
28 de abril
29 de abril
30 de abril
Maio
1 de maio
2 de maio
3 de maio
4 de maio
5 de maio
6 de maio
7 de maio
8 de maio
9 de maio
10 de maio
11 de maio
12 de maio
13 de maio
14 de maio
15 de maio
16 de maio
17 de maio
18 de maio
19 de maio
20 de maio
21 de maio
22 de maio
23 de maio
24 de maio
25 de maio
26 de maio
27 de maio
28 de maio
29 de maio
30 de maio
31 de maio
Junho
1 de junho
2 de junho
3 de junho
4 de junho
5 de junho
6 de junho
7 de junho
8 de junho
9 de junho
10 de junho
11 de junho
12 de junho
13 de junho
14 de junho
15 de junho
16 de junho
17 de junho
18 de junho
19 de junho
20 de junho
21 de junho
22 de junho
23 de junho
24 de junho
25 de junho
26 de junho
27 de junho
28 de junho
29 de junho
30 de junho
Julho
1 de julho
2 de julho
3 de julho
4 de julho
5 de julho
6 de julho
7 de julho
8 de julho
9 de julho
10 de julho
11 de julho
12 de julho
13 de julho
14 de julho
15 de julho
16 de julho
17 de julho
18 de julho
19 de julho
20 de julho
21 de julho
22 de julho
23 de julho
24 de julho
25 de julho
26 de julho
27 de julho
28 de julho
29 de julho
30 de julho
31 de julho
Agosto
1 de agosto
2 de agosto
3 de agosto
4 de agosto
5 de agosto
6 de agosto
7 de agosto
8 de agosto
9 de agosto
10 de agosto
11 de agosto
12 de agosto
13 de agosto
14 de agosto
15 de agosto
16 de agosto
17 de agosto
18 de agosto
19 de agosto
20 de agosto
21 de agosto
22 de agosto
23 de agosto
24 de agosto
25 de agosto
26 de agosto
27 de agosto
28 de agosto
29 de agosto
30 de agosto
31 de agosto
Setembro
1 de setembro
2 de setembro
3 de setembro
4 de setembro
5 de setembro
6 de setembro
7 de setembro
8 de setembro
9 de setembro
10 de setembro
11 de setembro
12 de setembro
13 de setembro
14 de setembro
15 de setembro
16 de setembro
17 de setembro
18 de setembro
19 de setembro
20 de setembro
21 de setembro
22 de setembro
23 de setembro
24 de setembro
25 de setembro
26 de setembro
27 de setembro
28 de setembro
29 de setembro
30 de setembro
Outubro
1 de outubro
2 de outubro
3 de outubro
4 de outubro
5 de outubro
6 de outubro
7 de outubro
8 de outubro
9 de outubro
10 de outubro
11 de outubro
12 de outubro
13 de outubro
14 de outubro
15 de outubro
16 de outubro
17 de outubro
18 de outubro
19 de outubro
20 de outubro
21 de outubro
22 de outubro
23 de outubro
24 de outubro
25 de outubro
26 de outubro
27 de outubro
28 de outubro
29 de outubro
30 de outubro
31 de outubro
1 de novembro
2 de novembro
3 de novembro
4 de novembro
5 de novembro
6 de novembro
7 de novembro
8 de novembro
9 de novembro
10 de novembro
11 de novembro
12 de novembro
13 de novembro
14 de novembro
15 de novembro
16 de novembro
17 de novembro
18 de novembro
19 de novembro
20 de novembro
21 de novembro
22 de novembro
23 de novembro
24 de novembro
25 de novembro
26 de novembro
27 de novembro
28 de novembro
29 de novembro
30 de novembro
0 de janeiro
30 de fevereiro
31 de fevereiro
0 de março
