Circa
Pintura na Rússia
Pintura na Suécia
Afresco
Autorretrato
Aguarela
Cerâmica de figuras negras
Cerâmica de figuras vermelhas
Conservação e restauro de pintura
Pintura corporal
Desenho
Pintura digital
Pintura eletrostática
Encáustica
Figurativismo
Pintura de gênero
Gestualismo (pintura)
Gravura
Gravura em metal
Grotesco
Haiga
Pintura histórica
Iconografia
Iluminura
Litografia
Pintura metálica
Micropintura
Mosaico
Natureza-morta
Nu artístico
Pintura de paisagem
Paleta
Panorama
Pintura
Pintura a óleo
Pintura clássica
Pintura religiosa
A Visitação na pintura
Anunciação na pintura
Pintura sobre madeira
Psicopictografia
Retrato
Retrato de doador
Retrato pictórico
Thangka
Têmpera (pintura)
Textura (pintura)
Trompe-l'oeil
Vitral
Xilogravura
Sandro Botticelli
Caravaggio
Paul Cézanne
Leonardo da Vinci
Salvador Dalí
Edgar Degas
Gustave Doré
Albrecht Dürer
El Greco
Frida Kahlo
Francisco de Goya
Wassily Kandinsky
Michelangelo
Claude Monet
Jackson Pollock
Candido Portinari
Rafael
Rembrandt
Pierre-Auguste Renoir
Ticiano
Tintoretto
Vincent van Gogh
Paolo Veronese
Johannes Vermeer
A Balsa da Medusa
A Criação de Adão
A Liberdade guiando o povo
A Noite Estrelada
A Persistência da Memória
A Última Ceia (Leonardo da Vinci)
Anunciação (El Greco)
Caminhante sobre o mar de névoa
Escola de Atenas
Guernica (quadro)
"Impressão, nascer do sol"
Mona Lisa
Nenúfares (série de Monet)
O Casamento em Caná
O Grito
O Nascimento de Vênus
Saturno devorando um filho
Tempestade no mar da Galileia
Vênus ao espelho
Visitação (Ghirlandaio)
Base Virtual Internacional de Autoridade
Bibsys
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Discogs
Encyclopædia Britannica
Faceted Application of Subject Terminology
Gemeinsame Normdatei
Istituto centrale per il catalogo unico delle biblioteche italiane e per le informazioni bibliografiche
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
Museu Nacional Centro de Arte Rainha Sofia
MusicBrainz
Biblioteca Real dos Países Baixos
Rijksbureau voor Kunsthistorische Documentatie
Sistema Universitário de Documentação
Biblioteca Nacional do Brasil
Museu de Arte do Rio Grande do Sul Ado Malagoli
Universidade Federal de Santa Catarina
Biblioteca Nacional de Portugal
Union List of Artist Names
IMDb
Open Library
Palazzo Castellani (Florença)
Rijksmuseum
