Modernismo (teologia)
Friedrich Nietzsche
Søren Kierkegaard
Existencialismo
Sigmund Freud
Carl Gustav Jung
Inconsciente coletivo
França
Salon de Paris
Napoleão III de França
Salon des Refusés
Claude Monet
As Flores do Mal
Baudelaire
Arthur Rimbaud
Conde de Lautréamont
Stéphane Mallarmé
Industrialização
Torre Eiffel
Economia clássica
Balé
Malcolm Bradbury
Tradição
Gustav Mahler
Gustave Flaubert
Combustão interna
Ciências sociais
Realidade
Amadeo de Souza-Cardoso
Dominguez Alvarez
Arnold Schönberg
Wassily Kandinsky
Munique
Pablo Picasso
Georges Braque
Guillaume Apollinaire
Tabula rasa
John Locke
Joseph Conrad
Mário de Andrade
Manifesto da Poesia Pau-Brasil
Cinema
Estética
Porto
Lisboa
Amadeu de Souza-Cardoso
José Malhoa
Paris
Filippo Tommaso Marinetti
Itália
Serguei Eisenstein
Cubofuturismo
Vladimir Maiakovski
Psique
Linguagem não verbal e verbal
Virginia Woolf
James Joyce
T. S. Eliot
Ezra Pound
Wallace Stevens
Marcel Proust
Gertrude Stein
Wyndham Lewis
Hilda Doolittle
Marianne Moore
Franz Kafka
William Faulkner
Igor Stravinsky
Henri Matisse
Piet Mondrian
Le Corbusier
Ludwig Mies van der Rohe
Walter Gropius
Frank Lloyd Wright
Cidade
John Maynard Keynes
Grupo de Bloomsbury
Poesia moderna
Modernismo no Brasil
Modernismo em Portugal
Semana de Arte Moderna
International Standard Book Number
Uma Tarde de Domingo na Ilha de Grande Jatte
A Noite Estrelada
Pelléas et Mélisande (ópera)
Salomé (ópera)
A Alegria de Viver
Les Demoiselles d'Avignon
La Danse (Matisse)
O Pássaro de Fogo
L'après-midi d'un faune (balé)
"Nu Descendo uma Escada, nº 2"
A Sagração da Primavera
Em Busca do Tempo Perdido
A Metamorfose
Fonte (Duchamp)
O Gabinete do Dr. Caligari
Seis Personagens à Procura de um Autor
Ulisses (romance)
The Waste Land
A Montanha Mágica
Bronenosets Potyomkin
The Sun Also Rises
Metrópolis (filme)
A Ópera dos Três Vinténs
O Mestre e Margarida
O Som e a Fúria
Um Cão Andaluz
Villa Savoye
Casa da Cascata
Cidadão Kane
Tramas do Entardecer
"4'33"""
Esperando Godot
Alfred Döblin
André Breton
André Gide
Andrei Biéli
Anton Chekhov
Arthur Koestler
Basil Bunting
D. H. Lawrence
Djuna Barnes
E. M. Forster
Ernest Hemingway
Ford Madox Ford
Guy de Maupassant
Hermann Broch
Hermann Hesse
Italo Svevo
Jaroslav Hašek
John Dos Passos
Katherine Anne Porter
Katherine Mansfield
Knut Hamsun
Maxim Gorky
Miguel de Unamuno
Mikhail Bulgakov
Robert Musil
Thomas Mann
Virgínia Woolf
Amy Lowell
Anna Akhmatova
Blaise Cendrars
Charles Baudelaire
Dylan Thomas
Federico García Lorca
Fernando Pessoa
Giorgos Seferis
H.D.
Hart Crane
Konstantínos Kaváfis
Max Jacob
Mina Loy
Octavio Paz
Odysseas Elytis
Paul Éluard
Paul Valéry
Rainer Maria Rilke
Richard Aldington
Robert Desnos
Robert Lowell
Stefan George
Tristan Tzara
W. B. Yeats
W. H. Auden
Wilfred Owen
William Carlos Williams
Alberto Giacometti
Alexandre Calder
Alfred Sisley
Alfred Stieglitz
Amedeo Modigliani
André Lhote
Auguste Rodin
Balthus
Camille Claudel
Camille Pissarro
Charles Demuth
Constantin Brâncuși
Edgar Degas
Édouard Manet
Édouard Vuillard
Edward Hopper
Edward Steichen
Egon Schiele
Emil Nolde
Ernst Ludwig Kirchner
Fernand Léger
Francis Picabia
Franz Marc
Frida Kahlo
George Bellows
George Grosz
Georges Seurat
Georgia O'Keeffe
Giorgio de Chirico
Grant Wood
Hannah Hoch
Henri de Toulouse-Lautrec
Henri Rousseau
Henry Moore
Jacob Epstein
James Ensor
Jean Arp
Jean Metzinger
Joan Miró
Josef Albers
Juan Gris
Julio González
Kazimir Malevich
Man Ray
Marc Chagall
Marcel Duchamp
Mary Cassatt
Max Ernst
Méret Oppenheim
Natalia Goncharova
Odilon Redon
Oskar Kokoschka
Otto Dix
Paul Cézanne
Paul Gauguin
Paul Klee
Paul Signac
Pierre Bonnard
Pierre-Auguste Renoir
Raoul Dufy
Raoul Hausmann
René Magritte
Robert Delaunay
Salvador Dalí
Sonia Delaunay
Theo van Doesburg
Umberto Boccioni
Vincent Van Gogh
Willem de Kooning
Modernismo (música)
Aaron Copland
Alban Berg
Alexander Scriabin
Anton Webern
Arnold Schoenberg
Arthur Honegger
Béla Bartók
Charles Ives
Claude Debussy
Darius Milhaud
Dmitri Shostakovich
Edgard Varèse
Elliott Carter
Erik Satie
Francis Poulenc
George Antheil
György Ligeti
Harry Partch
Heitor Villa-Lobos
Henri Dutilleux
Henry Cowell
Henryk Górecki
Iannis Xenakis
John Cage
Karol Szymanowski
Krzysztof Penderecki
Kurt Weill
Leoš Janáček
Luciano Berio
Luigi Nono
Luigi Russolo
Milton Babbitt
Nadia Boulanger
Olivier Messiaen
Paul Hindemith
Pierre Boulez
Pierre Schaeffer
Richard Strauss
Sergei Prokofiev
Witold Lutosławski
Alfred Jarry
Antonin Artaud
Arthur Miller
August Strindberg
Bertolt Brecht
Edward Albee
Ernst Toller
Erwin Piscator
Eugène Ionesco
Eugene O'Neill
Frank Wedekind
Friedrich Dürrenmatt
Georg Kaiser
George Bernard Shaw
Henrik Ibsen
Jean Anouilh
Jean Genet
John Osborne
Luigi Pirandello
Maurice Maeterlinck
Maxwell Anderson
Samuel Beckett
Seán O'Casey
Stanisław Ignacy Witkiewicz
Thornton Wilder
Vladimir Mayakovsky
Walter Hasenclever
William Inge
Abel Gance
Agnes Varda
Akira Kurosawa
Alain Resnais
Aleksandr Dovjenko
Andrei Tarkovsky
Anton Giulio Bragaglia
Blake Edwards
Buster Keaton
Carl Theodor Dreyer
Chantal Akerman
Charlie Chaplin
Chris Marker
Chuck Jones
Douglas Sirk
Dziga Vertov
Ed Wood
F. W. Murnau
Federico Fellini
François Truffaut
Frank Tashlin
Fritz Lang
Georg Wilhelm Pabst
Ida Lupino
Ingmar Bergman
Isidore Isou
Jacques Tati
Jacques Tourneur
Jean Cocteau
Jean Epstein
Jean Renoir
Jean Vigo
Jean-Luc Godard
Jiří Trnka
John Cassavetes
John Ford
John Hubley
Josef von Sternberg
Joseph Losey
Jules Dassin
Lev Kuleshov
Luis Buñuel
Marcel Carné
Maya Deren
Michelangelo Antonioni
Nicholas Ray
Norman McLaren
Orson Welles
Oscar Micheaux
Rainer Werner Fassbinder
René Clair
Robert Aldrich
Robert Bresson
Robert J. Flaherty
Robert Wiene
Roberto Rossellini
Samuel Fuller
Satyajit Ray
Sergei Eisenstein
Stan Brakhage
Stanley Kubrick
Tex Avery
Tony Richardson
Victor Sjöström
Vincente Minnelli
Vsevolod Pudovkin
Walter Ruttmann
William Greaves
William Klein
Yasujirō Ozu
Dança Moderna
George Balanchine
Isadora Duncan
Léonide Massine
Loie Fuller
Martha Graham
Mary Wigman
Merce Cunningham
Michel Fokine
Sergei Diaghilev
Vaslav Nijinsky
Adolf Loos
Edward Durell Stone
Eero Saarinen
Erich Mendelsohn
Friedensreich Hundertwasser
Gerrit Rietveld
Gordon Bunshaft
Hans Poelzig
Hector Guimard
Konstantin Melnikov
Louis Kahn
Louis Sullivan
Marcel Breuer
Oscar Niemeyer
Paul Troost
Philip Johnson
Pier Luigi Nervi
Richard Neutra
Rudolf Steiner
Victor Horta
Vladimir Tatlin
Acmeísmo
Armory Show
Art Deco
Arte degenerada
Arte Moderna
Arte Nova
Ballets Russos
Construtivismo (arte)
Dada
Die Brücke (grupo artístico)
Ecomodernismo
Era de Ouro do cinema estadunidense
Escola Ashcan
Estilo Internacional (arquitetura)
Filme experimental
Filme noir
Funcionalismo (arquitetura)
Imagismo
Impressionismo na música
Maximalismo
Metamodernismo
Modernidade
Música expressionista
De Stijl
Neoprimitivismo
Neo-romantismo
Nova Hollywood
Nova Objetividade
Pós-Impressionismo
Pós-modernismo
Quarta dimensão na arte
Segunda Escola Vienense
Tonalismo
Modernismo catalão
Arte móvel pré-histórica
Arte da Grécia Antiga
Escultura do Renascimento italiano
Arte da Antiguidade
Arte persa
Arte nabateia
Arte cita
Classicismo
Arte copta
Arte helenística
Arte greco-budista
Arte da Roma Antiga
Arte pré-colombiana
Arte tolteca
Arte macedônica
Arte hiberno-saxónica
Arte das Astúrias
Arte hispano-muçulmana
Arte moçárabe
Arte gótica
Arte na Idade Moderna
Nazarenos (arte)
Pós-modernidade
Arte bruta
Arte cinética
Arte informal
Arte povera
Arte urbana
Assemblage
Body art
Combine (pintura)
Expressionismo abstrato
Fluxus
Graffiti
Instalação (arte)
Internet art
Land Art
Performance (arte)
Transvanguarda
História da arte ocidental
História da arte (disciplina)
História da animação
Antropologia da arte
História da dança
Desenho
História da fotografia
Gravura
Retrato
História do vestuário e dos têxteis
Arte sacra
Canto gregoriano
Catacumba de Comodila
Catacumba de Priscila
Representação de Jesus na arte
Ascensão de Jesus
Cinco Santas Chagas
Jesus carregando a cruz
Crucificação de Jesus (arte)
Jesus se despedindo de sua mãe
Jesus entre os doutores
Lamentação de Cristo
Natividade de Cristo na arte
Paixão (cristianismo)
Pietà
Vida de Cristo
Representação de Deus no Cristianismo
Anjo arcabuzeiro
Halo (iconografia religiosa)
Iconóstase
Jacó Luta Com o Anjo
Leão de São Marcos
Vida da Virgem
Coroação de Maria
Madona
Virgem Amamentando
Nove da Fama
Orbe (joia)
Pantocrator
Pintura religiosa
Relicário
Cinto de Tomé
Teótoco de Vladimir
Tetramorfos
Transi
Nudez
Nu artístico
Arte erótica
História da nudez
Nudez heroica
Nu masculino na história da fotografia
Arte erótica em Pompeia e Herculano
História das representações eróticas
Afrodite
Eros
Graças
Vênus (mitologia)
Tesauro de Arte e Arquitetura
Biblioteca Nacional Central de Florença
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Encyclopædia Britannica
Faceted Application of Subject Terminology
Número de controle da Biblioteca do Congresso
Biblioteca Nacional da Dieta
Biblioteca Técnica Nacional de Praga
