Língua francesa
Namíbia
Níger
Nigéria
Quénia
República Centro-Africana
República Democrática do Congo
Ruanda
São Tomé e Príncipe
Senegal
Serra Leoa
Somália
Sudão
Sudão do Sul
Tanzânia
Togo
Tunísia
Uganda
Zâmbia
Ilha de Alborão
Ilhéu de Alhucemas
Canárias
Ceuta
Ilhas Chafarinas
Melilha
Ilhéu de Vélez de la Gomera
Maiote
Socotorá
Pantelária
Ilhas Pelágias
Região Autónoma da Madeira
"Santa Helena, Ascensão e Tristão da Cunha"
Saara Ocidental
Somalilândia
Banco do Geyser
Bassas da Índia
Ilha Europa
Ilhas Gloriosas
Ilha de João da Nova
Pan-africanismo
Afro (moeda)
Regiões da União Africana
Assembleia da União Africana
Comissão da União Africana
Parlamento Pan-africano
Banco Central Africano
Fundo Monetário Africano
Carta Africana dos Direitos Humanos e dos Povos
Alargamento da União Africana
Estados-membros da União Africana
Quênia
República Árabe Saaraui Democrática
Base Virtual Internacional de Autoridade
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Encyclopædia Britannica
Faceted Application of Subject Terminology
Gemeinsame Normdatei
International Standard Name Identifier
KulturNav
Número de controle da Biblioteca do Congresso
Arquivos Nacionais e Administração de Documentos
Biblioteca Nacional da Dieta
Biblioteca Nacional da Austrália
Sistema Universitário de Documentação
Enciclopédia Treccani
Biblioteca Nacional de Israel
OpenStreetMap
MusicBrainz
GeoNames
Getty Thesaurus of Geographic Names
Taxonomia
Medical Subject Headings
Sistema Unificado de Linguagem Médica
