Emblema
Lista do Patrimônio Mundial no Paraguai
Lista do Patrimônio Mundial no Peru
Lista do Património Mundial em Portugal
Lista do Patrimônio Mundial no Quênia
Lista do Patrimônio Mundial no Quirguistão
Lista do Patrimônio Mundial no Reino Unido
Lista do Patrimônio Mundial na República Centro-Africana
Lista do Patrimônio Mundial na República Democrática do Congo
Lista do Patrimônio Mundial na Romênia
Lista do Patrimônio Mundial na Rússia
Lista do Patrimônio Mundial nas Seicheles
Lista do Patrimônio Mundial no Senegal
Lista do Patrimônio Mundial em Singapura
Lista do Patrimônio Mundial na Síria
Lista do Patrimônio Mundial no Sri Lanka
Lista do Patrimônio Mundial no Sudão
Lista do Património Mundial na Suécia
Lista do Patrimônio Mundial no Suriname
Lista do Patrimônio Mundial na Tailândia
Lista do Patrimônio Mundial na Tanzânia
Lista do Patrimônio Mundial na Tunísia
Lista do Patrimônio Mundial na Turquia
Lista do Patrimônio Mundial na Ucrânia
Lista do Patrimônio Mundial em Uganda
Lista do Patrimônio Mundial no Uruguai
Lista do Patrimônio Mundial no Vaticano
Lista do Patrimônio Mundial na Venezuela
Lista do Patrimônio Mundial no Vietnã
Lista do Patrimônio Mundial na Zâmbia
Patrimônio Cultural Imaterial da Humanidade
Lista do Património Cultural Imaterial da Humanidade
Lista de Estados signatários da Convenção do Património Cultural Imaterial
Lista do Património Cultural Imaterial da Humanidade na Argentina
Lista do Património Cultural Imaterial da Humanidade no Brasil
Lista do Património Cultural Imaterial da Humanidade no Chile
Lista do Património Cultural Imaterial da Humanidade no México
Lista do Património Cultural Imaterial da Humanidade no Paraguai
Lista do Património Cultural Imaterial da Humanidade em Portugal
Lista do Património Cultural Imaterial da Humanidade no Uruguai
Reserva da biosfera
Rede Mundial de Reservas da Biosfera
Reserva da biosfera transfronteiriça
Conferência da Biosfera
Lista de reservas da biosfera em África
Lista de reservas da biosfera na América Latina e no Caribe
Lista de reservas da biosfera da Ásia e do Pacífico
Lista de reservas da biosfera da Europa
Lista de reservas da biosfera na América do Norte
Relatório MacBride
Quatro pilares da educação
Resolução de Montevidéu
Programa informação para todos
Manifesto da UNESCO para a Biblioteca Pública
Classificação Internacional Normalizada da Educação
Registo da Memória do Mundo
Embaixador da Boa Vontade da UNESCO
Livro Vermelho das Línguas Ameaçadas
Rede Mundial de Geoparques
Programa de Escolas Associadas da UNESCO
UNESCO Courier
Capital Mundial da Arquitetura
História da Organização das Nações Unidas
Sociedade das Nações
Quatro Policiais
Alargamento da Organização das Nações Unidas
Assembleia Parlamentar das Nações Unidas
Bandeira das Nações Unidas
Dia das Nações Unidas
Línguas oficiais da Organização das Nações Unidas
Mandato da ONU
Grupos regionais das Nações Unidas
Geoesquema das Nações Unidas
Sistema das Nações Unidas
Assembleia Geral das Nações Unidas
Presidentes da Assembleia Geral das Nações Unidas
Estados-membros das Nações Unidas
Observadores da Assembleia Geral das Nações Unidas
Resolução da Assembleia Geral das Nações Unidas
Conselho de Direitos Humanos das Nações Unidas
Conferência das Nações Unidas sobre Comércio e Desenvolvimento
Centro de Comércio Internacional
Programa das Nações Unidas para o Desenvolvimento
Programa das Nações Unidas para o Meio Ambiente
Painel Intergovernamental sobre Mudanças Climáticas
Fundo de População das Nações Unidas
Programa das Nações Unidas para os Assentamentos Humanos
Alto-comissariado das Nações Unidas para os Refugiados
Fundo das Nações Unidas para a Infância
Escritório das Nações Unidas sobre Drogas e Crime
Agência das Nações Unidas de Assistência aos Refugiados da Palestina no Próximo Oriente
ONU Mulheres
Programa Alimentar Mundial
Instituto de Pesquisa das Nações Unidas para o Desenvolvimento Social
Universidade das Nações Unidas
UNAIDS
Escritório das Nações Unidas de Serviços para Projetos
Conselho de Segurança das Nações Unidas
Membros permanentes do Conselho de Segurança das Nações Unidas
Reforma do Conselho de Segurança das Nações Unidas
Poder de veto do Conselho de Segurança das Nações Unidas
Lista de vetos do governo dos Estados Unidos no Conselho de Segurança da ONU
Forças de manutenção da paz das Nações Unidas
Lista das missões de manutenção da paz das Nações Unidas
Polícia das Nações Unidas
Resolução do Conselho de Segurança das Nações Unidas
Tribunal Especial para a Serra Leoa
Tribunal Penal Internacional para a ex-Jugoslávia
Tribunal Penal Internacional para o Ruanda
Comissão de Consolidação da Paz das Nações Unidas
Fundo para a Consolidação da Paz das Nações Unidas
Comissão de Estado-Maior
"Comissão das Nações Unidas de Vigilância, Verificação e Inspeção"
Conselho Económico e Social das Nações Unidas
Status Consultivo
Comissão das Nações Unidas para o Desenvolvimento Sustentável
Comissão Estatística das Nações Unidas
Comissão das Nações Unidas de Desenvolvimento Social
Fórum das Nações Unidas para as Florestas
Comissão Econômica para a América Latina e o Caribe
Comissão Econômica das Nações Unidas para a África
Comissão Económica das Nações Unidas para a Europa
Comissão Econômica e Social para a Ásia e o Pacífico
Lista de agências especializadas da Organização das Nações Unidas
Grupo Banco Mundial
Organização Mundial da Saúde
Organização Mundial do Comércio
Agência Internacional de Energia Atómica
Fundo Internacional de Desenvolvimento Agrícola
Organização Internacional para as Migrações
Organização da Aviação Civil Internacional
Organização das Nações Unidas para Alimentação e Agricultura
Organização das Nações Unidas para o Desenvolvimento Industrial
Organização Internacional do Trabalho
Organização Marítima Internacional
Organização Meteorológica Mundial
Organização Mundial de Turismo
Organização Mundial da Propriedade Intelectual
Organização para a Proibição de Armas Químicas
União Internacional de Telecomunicações
União Postal Universal
Secretariado das Nações Unidas
Secretário-geral das Nações Unidas
Sede da Organização das Nações Unidas
Escritório das Nações Unidas em Genebra
Escritório das Nações Unidas em Nairóbi
Escritório das Nações Unidas em Viena
Escritório do Alto-comissário das Nações Unidas para os Direitos Humanos
Escritório das Nações Unidas para Assuntos de Desarmamento
Escritório de Serviços de Supervisão Interna das Nações Unidas
Departamento de Assuntos Econômicos e Sociais das Nações Unidas
Departamento de Assuntos Políticos e de Consolidação da Paz das Nações Unidas
Estrutura da Organização das Nações Unidas
Conselho de Tutela das Nações Unidas
Protetorado das Nações Unidas
Lista das Nações Unidas de territórios não autônomos
Tribunal Internacional de Justiça
Declaração das Nações Unidas
Carta das Nações Unidas
Resolução das Nações Unidas
Lista de anos internacionais da Organização das Nações Unidas
Objetivos de Desenvolvimento do Milênio
Objetivos de Desenvolvimento Sustentável
Convenção da ONU sobre Armas Convencionais
Convenção das Nações Unidas contra a Corrupção
Convenção das Nações Unidas para a Venda Internacional de Mercadorias
Convenção das Nações Unidas para o Combate à Desertificação
Convenção das Nações Unidas relativa ao Estatuto dos Refugiados
Convenção de Londres
Convenção de Modificação Ambiental
Convenção de Viena para a Proteção da Camada de Ozônio
Convenção internacional sobre a eliminação de todas as formas de discriminação racial
Convenção internacional sobre os direitos da criança
Convenção Internacional sobre os Direitos das Pessoas com Deficiência
Convenção das Nações Unidas sobre o Direito do Mar
Convenção sobre a eliminação de todas as formas de discriminação contra as mulheres
Convenção sobre a Escravatura
Convenção sobre as Armas Químicas
Convenção sobre Diversidade Biológica
Convenção sobre o Estatuto dos Apátridas
Convenção-Quadro das Nações Unidas sobre a Mudança do Clima
Estratégia Global para a Conservação de Plantas
Convenção de Viena sobre Direito dos Tratados
Convenção de Viena sobre Relações Diplomáticas
Declaração Universal dos Direitos Humanos
Declaração das Nações Unidas sobre os Direitos dos Povos Indígenas
Declaração de Roma
Declaração sobre orientação sexual e identidade de gênero das Nações Unidas
Regras de Mandela
Regras de Bangkok
Regras de Pequim
Base Virtual Internacional de Autoridade
Biblioteca Apostólica Vaticana
Bibsys
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Catálogo de autoridades de nomes e títulos da Catalunha
CiNii
Encyclopædia Britannica
Bibliotheca Alexandrina
Gemeinsame Normdatei
Global Research Identifier Database
Dicionário Histórico da Suíça
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
Biblioteca Nacional da Dieta
Biblioteca Nacional da Austrália
Biblioteca Nacional da Grécia
Sistema Universitário de Documentação
Enciclopédia Treccani
Biblioteca Nacional do Brasil
Descritores em Ciências da Saúde
Biblioteca Nacional de Portugal
Union List of Artist Names
Open Library
Biblioteca Nacional de Israel
Pontifícia Universidade São Tomás de Aquino
Biblioteca Nacional do México
Biblioteca Nacional do País de Gales
Medical Subject Headings
Sistema Unificado de Linguagem Médica
