Dia do Trabalhador
Vitória do Reino Unido
Grande Exposição
The Crystal Palace
1863
Guerra Civil dos Estados Unidos
Batalha de Chancellorsville
1865
Tratado da Tríplice Aliança
Império do Brasil
Argentina
Uruguai
1875
Alexandra Palace
1886
Estados Unidos
Chicago
1893
Exposição Universal de 1893
1898
Guerra Hispano-Americana
Batalha de Cavite
1900
Barão do Rio Branco
Suíça
Território Federal do Amapá
Araguari
1915
RMS Lusitania
Cidade de Nova Iorque
Atlântico Norte
Irlanda
1919
Munique
República Soviética da Baviera
1930
Plutão
Vesto Slipher
1931
Nova Iorque
1941
Justiça do Trabalho
Getúlio Vargas
Segunda Guerra Mundial
Cerco de Tobruque
1943
Consolidação das Leis do Trabalho
1945
Partisans iugoslavos
Trieste
Força Expedicionária Brasileira
Cronologia do Brasil durante a Segunda Guerra Mundial
Turim
Itália
Adolf Hitler
Chancelaria do Reich
Stalin
Suicídio coletivo de Demmin
Exército Vermelho
1946
Tratado de Paris (1947)
Dodecaneso
1950
Guam
Commonwealth (área insular dos Estados Unidos)
1956
Vacina contra poliomielite
Jonas Salk
Desastre de Minamata
1960
Guerra Fria
Incidente com avião U2 em 1960
Francis Gary Powers
Avião de reconhecimento
Lockheed U-2
União Soviética
1961
Cuba
Fidel Castro
1971
Central Nuclear Almirante Álvaro Alberto
Usinas nucleares
1974
Revolução de 25 de Abril de 1974
Campo de Concentração do Tarrafal
1982
Força Aérea Real
Força Aérea Argentina
Guerra das Malvinas
1994
Morte de Ayrton Senna
Fórmula 1
Ayrton Senna
Grande Prêmio de San Marino de 1994
1999
George Mallory
Monte Everest
SpongeBob SquarePants
Cartunista
Biólogo
Stephen Hillenburg
Nickelodeon
2001
Gloria Macapagal-Arroyo
Joseph Estrada
Distúrbios de 1 de Maio nas Filipinas
2002
OpenOffice.org
2003
Invasão do Iraque em 2003
USS Abraham Lincoln (CVN-72)
George W. Bush
Guerra do Iraque
2004
União Europeia
República Checa
Chipre
Eslováquia
Eslovénia
Estónia
Hungria
Letônia
Lituânia
Malta
2006
Confederação Brasileira de Muaythai Tradicional
Evo Morales
Bolívia
Hidrocarboneto
Petrobrás
2008
China
Ponte da Baía de Hangzhou
2009
Suécia
Casamento entre pessoas do mesmo sexo
2011
Papa João Paulo II
Papa Bento XVI
2019
Naruhito
Akihito
Período Reiwa
Kate Smith
1218
Rodolfo I da Germânia
1291
1225
João de Joinville
1317
1238
Magno VI da Noruega
1280
1285
"Edmundo Fitzalan, 2.º Conde de Arundel"
1326
1527
Johannes Stadius
1579
1591
Johann Adam Schall von Bell
1666
1626
"António Álvares da Cunha, Senhor de Tábua"
1690
1665
Isabel Albertina de Anhalt-Dessau
1706
1731
Ulrica Luísa de Solms-Braunfels
1792
1750
Francisco Antônio de Oliveira Lopes
1794
1759
Jakob Albrecht
1808
1769
"Arthur Wellesley, 1.º Duque de Wellington"
1852
1827
Jules Breton
1906
1828
Adelardo López de Ayala
1879
1829
José de Alencar
1877
1831
Emily Stowe
1903
1846
Jean-Joseph Weerts
1927
Santiago Ramón y Cajal
1934
Jane Calamidade
1868
Afonso Arinos de Melo Franco
1916
Frederico Carlos de Hesse
1940
1872
Sidónio Pais
1918
1874
Romaine Brooks
1970
1880
Eurípedes Barsanulfo
1881
Teilhard de Chardin
1955
1885
Károly Levitzky
1978
1895
Nikolai Yezhov
1896
Herbert Backe
1901
Heinz Roemheld
1985
1902
Henri Hoevenaers
1958
1904
Joel de Oliveira Monteiro
1990
Josephine Dunn
1983
1907
Cantora
Norte-americano
1986
1908
Giovannino Guareschi
1968
1909
Yiannis Ritsos
Endel Puusepp
1996
1912
Azis Simão
1913
Walter Susskind
1980
1914
Rudolf Gellesch
Hoàng Văn Thái
Michael Dillon
1962
Glenn Ford
1917
Danielle Darrieux
2017
John Meredyth Lucas
1922
Predrag Đajić
1979
Otto Lara Resende
1992
Sofia de Oliveira Ferreira
2010
1923
Joseph Heller
Antonio Maria Mucciolo
2012
Fernando Cabrita
2014
1924
Grégoire Kayibanda
1976
1926
Doug Cowie
2021
Albert Zafy
Bernard Vukas
1928
Marcelo Pinto Carvalheira
Antônio Delfim Netto
Desmond Titterington
Azzeddine Laraki
1929
Ralf Dahrendorf
Haroldo de Andrade
Cuauhtémoc Cárdenas
1939
Judy Collins
Fakhruddin Ahmed
Jorge Arrate
1942
Benedito de Lira
Jed Graef
Odilon Polleunis
2023
Rita Coolidge
John Woo
Joanna Lumley
Arthur Max
1947
Danilo Popivoda
1948
Carlos Alberto Sicupira
1949
Stanisław Zając
Jim Clench
Gilson Paulo
Fayez al-Tarawneh
"Paul Teutul, Sr."
John Diehl
1951
Geoff Lees
1952
Iossif Dorfman
Paulo Brant
1953
Mayumi Aoki
Glen Ballard
Tamás Szombathelyi
1954
Ray Parker Jr.
Patrícya Travassos
Bob Lenarduzzi
Rodoljub Roki Vulović
Faustino Fudut Imbali
Ahmad Zia Massoud
Patrice Talon
Miguel Portas
1959
Marcelo Rubens Paiva
Gustavo Ferrín
Peter Mikkelsen
Luis Capurro
Saint-Joseph Gadji-Celi
Hans Simonsson
1963
Laura Carneiro
Guilherme de Luxemburgo
Màrius Serra i Roig
Daniel Carreño
1964
Sarah Chatto
1965
Carlos Machado (ator)
Tiririca
1966
Olaf Thon
Charlie Schlatter
Abdel Hakim Belhadj
1967
Yael Arad
Oliver Bierhoff
D'arcy Wretzky
1969
Wes Anderson
Fernanda Young
Pasquale Gravina
Salvador del Solar
Dave Willis
1972
Julie Benz
Bailey Chase
Ramzi Binalshibh
1973
Oliver Neuville
1975
Christian Manfredini
Aleksey Smertin
Marc-Vivien Foé
Nima Nakisa
Yan (futebolista)
1977
Aurtis Whitley
Isaac Okoronkwo
Ana Claudia Talancón
Inês Henriques
Jan Heylen
1981
Lenílson Batista de Souza
Alyaksandar Hleb
Jamie Dornan
Tommy Robredo
António Alberto Bastos Pimparel
Darijo Srna
Katya Zamolodchikova
Alain Bernard
1984
Mišo Brečko
Chad Mendes
Christian Benítez
2013
Chris Coy
Bruno Martins Teles
Dani Massunguna
Mamadou Samassa
Georges Ambourouet
1987
Shahar Pe'er
Leonardo Bonucci
1988
Anushka Sharma
1989
May Mahlangu
Armindo Fonseca
Alexander Grünwald
Caitlin Stasey
Diego Contento
1991
Abdisalam Ibrahim
Bartosz Salamon
Dellatorre
Matěj Vydra
1993
Jean-Christophe Bahebeck
Jean Deretti
Anastasia Belyakova
Jean-Pierre Nsame
Wallace Oliveira dos Santos
Edgar Ié
Khamzat Chimaev
Krisztián Tóth
1995
Andressinha
François Kamano
1997
Ariel Gade
1998
Mahalia
YNW Melly
2000
Duquesa (cantora)
David Vidales
Lizzy Greene
Charli D'Amelio
2005
Linda Fruhvirtová
Clara Galinari
Edite da Escócia
408
Arcádio
377
1118
1080
1256
Beata Mafalda de Portugal
1195
1277
Estêvão Uresis I
1223
1572
Papa Pio V
1504
1741
"Elizabeth Felton, Condessa de Bristol"
1676
1860
Anders Sandøe Ørsted
1778
1873
David Livingstone
1813
1883
Qorpo Santo
John Newton (engenheiro)
1822
Antonín Dvořák
1841
1920
Margarida de Connaught
1882
Jacques Schneider
1935
Henri Pélissier
1889
Bautista Saavedra Mallea
1870
Joseph Goebbels
1897
Magda Goebbels
Bill Johnston
1894
Josep Maria Jujol
Mike Nazaruk
1921
Oscar Torp
Gustav-Adolf von Zangen
1892
Spike Jones
1911
Antero de Oliveira
Aram Khachaturian
Sérgio Fleury
1933
Francisco Borja do Amaral
Zé Trindade
Djalma Dias
Pierre Bérégovoy
1925
Bo Widerberg
Joel Ivo Catapan
Brian Shawe-Taylor
Cláudio Christovam de Pinho
Miss Elizabeth
José Júlio de Calasans Neto
1932
Big Hawk
Paulo Amaral
Helen Wagner
Pierre Pleimelding
Rodolfo Konder
1938
2015
María Elena Velasco
Dinko Dermendzhiev
2020
Ruy Fausto
Olympia Dukakis
Erik Jayme
Literatura Brasileira
Brioco de Saint-Brieuc
Jeremias
São José
Noite de Santa Valburga
Calendário romano
Calendas
Calendário litúrgico
Letra dominical
Semana
Epacta
Mês
Dia
20 de dezembro
Janeiro
1 de janeiro
2 de janeiro
3 de janeiro
4 de janeiro
5 de janeiro
6 de janeiro
7 de janeiro
8 de janeiro
9 de janeiro
10 de janeiro
11 de janeiro
12 de janeiro
13 de janeiro
14 de janeiro
15 de janeiro
16 de janeiro
17 de janeiro
18 de janeiro
19 de janeiro
20 de janeiro
21 de janeiro
22 de janeiro
23 de janeiro
24 de janeiro
25 de janeiro
26 de janeiro
27 de janeiro
28 de janeiro
29 de janeiro
30 de janeiro
31 de janeiro
Fevereiro
1 de fevereiro
2 de fevereiro
3 de fevereiro
4 de fevereiro
5 de fevereiro
6 de fevereiro
7 de fevereiro
8 de fevereiro
9 de fevereiro
10 de fevereiro
11 de fevereiro
12 de fevereiro
13 de fevereiro
14 de fevereiro
15 de fevereiro
16 de fevereiro
17 de fevereiro
18 de fevereiro
19 de fevereiro
20 de fevereiro
21 de fevereiro
22 de fevereiro
23 de fevereiro
24 de fevereiro
25 de fevereiro
26 de fevereiro
27 de fevereiro
28 de fevereiro
29 de fevereiro
Março
1 de março
2 de março
3 de março
4 de março
5 de março
6 de março
7 de março
8 de março
9 de março
10 de março
11 de março
12 de março
13 de março
14 de março
15 de março
16 de março
17 de março
18 de março
19 de março
20 de março
21 de março
22 de março
23 de março
24 de março
25 de março
26 de março
27 de março
28 de março
29 de março
30 de março
31 de março
1 de abril
2 de abril
3 de abril
4 de abril
5 de abril
6 de abril
7 de abril
8 de abril
9 de abril
10 de abril
11 de abril
12 de abril
13 de abril
14 de abril
15 de abril
16 de abril
17 de abril
18 de abril
19 de abril
20 de abril
21 de abril
22 de abril
23 de abril
24 de abril
25 de abril
26 de abril
27 de abril
2 de junho
3 de junho
4 de junho
5 de junho
6 de junho
7 de junho
8 de junho
9 de junho
10 de junho
11 de junho
12 de junho
13 de junho
14 de junho
15 de junho
16 de junho
17 de junho
18 de junho
19 de junho
20 de junho
21 de junho
22 de junho
23 de junho
24 de junho
25 de junho
26 de junho
27 de junho
28 de junho
29 de junho
30 de junho
Julho
1 de julho
2 de julho
3 de julho
4 de julho
5 de julho
6 de julho
7 de julho
8 de julho
9 de julho
10 de julho
11 de julho
12 de julho
13 de julho
14 de julho
15 de julho
16 de julho
17 de julho
18 de julho
19 de julho
20 de julho
21 de julho
22 de julho
23 de julho
24 de julho
25 de julho
26 de julho
27 de julho
28 de julho
29 de julho
30 de julho
31 de julho
Agosto
1 de agosto
2 de agosto
3 de agosto
4 de agosto
5 de agosto
6 de agosto
7 de agosto
8 de agosto
9 de agosto
10 de agosto
11 de agosto
12 de agosto
13 de agosto
14 de agosto
15 de agosto
16 de agosto
17 de agosto
18 de agosto
19 de agosto
20 de agosto
21 de agosto
22 de agosto
23 de agosto
24 de agosto
25 de agosto
26 de agosto
27 de agosto
28 de agosto
29 de agosto
30 de agosto
31 de agosto
Setembro
1 de setembro
2 de setembro
3 de setembro
4 de setembro
5 de setembro
6 de setembro
7 de setembro
8 de setembro
9 de setembro
10 de setembro
11 de setembro
12 de setembro
13 de setembro
14 de setembro
15 de setembro
16 de setembro
17 de setembro
18 de setembro
19 de setembro
20 de setembro
21 de setembro
22 de setembro
23 de setembro
24 de setembro
25 de setembro
26 de setembro
27 de setembro
28 de setembro
29 de setembro
30 de setembro
Outubro
1 de outubro
2 de outubro
3 de outubro
4 de outubro
5 de outubro
6 de outubro
7 de outubro
8 de outubro
9 de outubro
10 de outubro
11 de outubro
12 de outubro
13 de outubro
14 de outubro
15 de outubro
16 de outubro
17 de outubro
18 de outubro
19 de outubro
20 de outubro
21 de outubro
22 de outubro
23 de outubro
24 de outubro
25 de outubro
26 de outubro
27 de outubro
28 de outubro
29 de outubro
30 de outubro
31 de outubro
Novembro
1 de novembro
2 de novembro
3 de novembro
4 de novembro
5 de novembro
6 de novembro
7 de novembro
8 de novembro
9 de novembro
10 de novembro
11 de novembro
12 de novembro
13 de novembro
14 de novembro
15 de novembro
16 de novembro
17 de novembro
18 de novembro
19 de novembro
20 de novembro
21 de novembro
22 de novembro
23 de novembro
24 de novembro
25 de novembro
26 de novembro
27 de novembro
28 de novembro
29 de novembro
30 de novembro
Dezembro
1 de dezembro
2 de dezembro
3 de dezembro
4 de dezembro
5 de dezembro
6 de dezembro
7 de dezembro
8 de dezembro
9 de dezembro
10 de dezembro
11 de dezembro
12 de dezembro
13 de dezembro
14 de dezembro
15 de dezembro
16 de dezembro
17 de dezembro
18 de dezembro
19 de dezembro
21 de dezembro
22 de dezembro
23 de dezembro
24 de dezembro
25 de dezembro
26 de dezembro
27 de dezembro
28 de dezembro
29 de dezembro
30 de dezembro
31 de dezembro
0 de janeiro
30 de fevereiro
31 de fevereiro
0 de março
