Mapa-múndi
Lista de países que possuem fronteiras terrestres com apenas um país
Lista das extensões litorâneas dos países
Lista de países por ponto mais alto
Lista de pontos mais altos por país
Lista de países por ponto mais a sul
Lista de países por ponto mais a norte
Lista de países por quantidade de armas de fogo
Lista de artilharia por país
Lista de batalhas
Lista de veículos blindados de combate por país
Índice Global da Paz
Lista de forças de operações especiais
Lista de países por gastos militares
Lista de países por índice de poder militar
Lista de países por número de tropas em atividade
BRICS
Lista de membros da Commonwealth
Lista de membros do Comitê Olímpico Internacional
Estados-membros da Comunidade dos Países de Língua Portuguesa
Estados-membros do Estatuto de Roma
Lista de membros da Federação Internacional de Futebol
Lista de países-membros do G20
Estados-membros da Liga Árabe
Estados-membros do Mercosul
Lista de Estados monárquicos atuais por membresia internacional
Estados-membros da Organização dos Estados Americanos
Estados-membros da Organização Internacional do Trabalho
Estados-membros das Nações Unidas
Estados-membros da OTAN
Lista de Estados-membros da Sociedade das Nações
Estados-membros da União de Nações Sul-Americanas
Estados-membros da União Africana
Estados-membros da União Europeia
Lista de chefes de Estado e de governo atuais
Lista das constituições nacionais
Índice de Percepção de Corrupção
Índice de democracia
Quadro de divisões administrativas por país
Lista de chefes de Estado
Lista de países por orçamento governamental
Lista de parlamentos por país
Lista de partidos políticos por país
Lista de serviços de inteligência
Lista de países por sistema de governo
Lista de sistemas de votação por país
Lista de países por tamanho do setor público
Lista de países por consumo de antidepressivos
Lista de países por taxa de prevalência de HIV/AIDS em adultos
Lista de países por taxa de prevalência de obesidade em adultos
Índice de Qualidade de Vida
Lista de países por taxa de suicídio
Símbolo nacional
Etimologia dos nomes dos países
Lista de gentílicos
Lista de grafias alternativas para topónimos relativos a países
Lista de hinos nacionais e regionais
Lista de lemas nacionais
Lista de línguas oficiais
Lista de países que mudaram de nome
Legislação sobre o aborto
Lista dos arranha-céus mais altos do mundo
Lista de países por data de independência ou criação
Diferenças globais entre gêneros
Direitos LGBT no mundo
Índice de educação
Lista de países por índice de alfabetização
Programa Internacional de Avaliação de Alunos
Índice de Proficiência em Inglês da EF
Direito de morrer
Índice Global de Escravidão
Cronologia da abolição da escravidão e servidão
Relatório Mundial da Felicidade
Lista de países por taxa de homicídio intencional
Índice de Liberdade de Imprensa
Freedom in the World
Lista de sítios do Patrimônio Mundial da UNESCO por país
Pena de morte por país
Lista das pessoas mais velhas do mundo
Lista de países por laureados com Nobel per capita
Primeiro Mundo
Segundo Mundo
Terceiro Mundo
Quarto Mundo
Micronacionalismo
Teoria dos três mundos
Países recentemente industrializados
Países pobres altamente endividados
Liberdade econômica
Índice de pobreza humana
Lista de países por índice de pobreza
Terceiro-mundismo
BRIC
G20
Grupo dos 77
Lista de países da África por Índice de Desenvolvimento Humano
Lista de países da América por Índice de Desenvolvimento Humano
Lista de países da Ásia e do Pacífico por Índice de Desenvolvimento Humano
Lista de países da Europa por Índice de Desenvolvimento Humano
