Pleistoceno
Fígado
Armadilha fotográfica
GPS
Parque Nacional de Yellowstone
Hierarquia
Área de vida
Pantanal
Parque Nacional das Emas
Matrilinearidade
Filopatria
Comportamento agonístico
Comportamento sexual
Cuidados parentais
Gato
Urina
Fezes
Ovulação
Sistema de acasalamento
Promiscuidade
Fecundação
Gestação
Pouco preocupante
Convenção sobre o Comércio Internacional das Espécies da Fauna e da Flora Silvestres Ameaçadas de Extinção
Espécie vulnerável
Ministério do Meio Ambiente (Brasil)
Lista de mamíferos ameaçados do Brasil
Instituto Chico Mendes de Conservação da Biodiversidade
Rio de Janeiro (estado)
Espécie em perigo
Espírito Santo (estado)
Criticamente em perigo
Minas Gerais
Efectivo populacional
Bioma
Agropecuária
Cerrado
Urbanização
Caatinga
Desmatamento
Energia eólica
Mineração
Carvão vegetal
Caça furtiva
Costa Rica
Guatemala
Guiana Francesa
Suriname
Guiana
Alberta
Colorado
Oklahoma
Wyoming
Dacota do Sul
Rodovia
Ferrovia
Espécie bandeira
Corredor ecológico
Metapopulação
Corredor Ecológico Mesoamericano
Araguari
Uberlândia
Língua inglesa
Refúgio Nacional de Vida Silvestre Florida Panther
Rio Mississippi
Pantera-da-flórida
Ecologia
Genética
Ecossistema
Felino
Arcansas
Luisiana
Mississipi
Alabama
Geórgia (Estados Unidos)
Tenessi
Carolina do Sul
Reserva Nacional Big Cypress
Consanguinidade
Criptoquirdia
Septo interatrial
Acre (unidade)
Ecologia de paisagem
Pennsylvania
Rio Little Missouri
Dacota do Norte
Nebrasca
Iowa
Ilinóis
Missuri
Indiana
Chicago
Michigan
Wisconsin
Rio Mississipi
Minnesota
Montes Ozark
Arkansas
Missouri
Moche
Cuzco
Cerâmica
Viracocha
Illinois
Cheyennes
Apaches
Cherokees
Mohair
Surplus killing
Parque Nacional do Iguaçu
Superpopulação
Distribuição natural
Animal de estimação
Medula espinal
Ilha Vancouver
Pumapardo
Pernambuco
Região Sul do Brasil
International Standard Book Number
OCLC
União Internacional para Conservação da Natureza
Digital object identifier
Science
PubMed Identifier
International Standard Serial Number
IUCN
IBAMA
Universidade de Brasília
Thames and Hudson
United States Department of Agriculture
Wikimedia
Carnívoros
Animal
Eutheria
Laurasiatheria
Feliformia
Nandinia binotata
Herpestidae
Helogale parvula
Herpestes ichneumon
Herpestes javanicus
Suricata
Hiena
Hiena-malhada
Hiena-castanha
Hiena-riscada
Lobo-da-terra
Felidae
Viverridae
Eupleridae
Felinae
Acinonyx
Caracal
Felis bieti
Gato-da-selva
Gato-de-pallas
Gato-do-deserto
Gato-bravo-de-patas-negras
Gato-bravo
Leopardus braccatus
Leopardus colocolo
Gato-do-mato-grande
Leopardus guigna
Leopardus jacobita
Gato-dos-pampas
Gato-do-mato-pequeno
Gato-maracajá
Serval
Lince-do-canadá
Lince-euroasiático
Lince-ibérico
Pardofelis
Gato-marmorado
Gato-vermelho-de-bornéu
Gato-bravo-dourado-da-ásia
Gato-leopardo
Gato-de-iriomote
Gato-de-cabeça-chata
Prionailurus rubiginosus
Prionailurus viverrinus
Gato-dourado-africano
Leão
Panthera onca
Tigre
Leopardo-das-neves
Neofelis
Leopardo-nebuloso
Pantera-nebulosa-de-bornéu
Paradoxurinae
Binturong
Paradoxurus hermaphroditus
Hemigalinae
Prionodontidae
Prionodon pardicolor
Viverrinae
Civeta-africana
Genetta
Geneta de Angola
Gineta
Poiana
Fossa (animal)
Fossa fossana
Salanoia durrelli
Caniformia
Ursidae
Ailuropoda melanoleuca
Panda-gigante
Helarctos malayanus
Melursus ursinus
Tremarctos ornatus
Ursus
Urso-negro
Urso-polar
Urso-negro-asiático
Mefitídeos
Conepatus
Zorrilho
Jaritataca
Mephitis mephitis
Spilogale gracilis
Spilogale putorius
Procionídeos
Olingo
Bassaricyon alleni
Bassaricyon beddardi
Bassaricyon gabbii
Bassariscus
Bassarisco
Bassariscus sumichrasti
Quati-de-nariz-branco
Quati-de-cauda-anelada
Jupará
Procyon
Procyon lotor
Ailuridae
Panda-vermelho
Otariidae
Lobo-marinho
Leão-marinho
Pinípedes
Lobo-marinho-da-nova-zelândia
Lobo-marinho-de-galápagos
Lobo-marinho-antártico
Lobo-marinho-australiano
Arctocephalus townsendi
Arctocephalus tropicalis
Callorhinus ursinus
Eumetopias jubatus
Neophoca cinerea
Leão-marinho-da-patagônia
Phocarctos hookeri
Morsa
Foca
Foca-de-crista
Foca-barbuda
Halichoerus grypus
Histriophoca fasciata
Foca-leopardo
Foca-de-weddell
Lobodon carcinophagus
Elefante-marinho
Mirounga angustirostris
Elefante-marinho-do-sul
Monachus
Foca-monge-do-mediterrâneo
Foca-monge-do-havaí
Foca-da-groenlândia
Phoca
Foca-comum
Pusa
Foca-anelada
Nerpa
Canídeos
Mustelídeos
Atelocynus microtis
Canis
Canis adustus
Chacal-dourado
Chacal-de-dorso-negro
Lobo-vermelho
Lobo-etíope
Cerdocyon thous
Cão-selvagem-asiático
Lycalopex
Lycalopex culpaeus
Lycalopex fulvipes
Raposa-cinzenta-argentina
Graxaim-do-campo
Lycalopex sechurae
Raposa-do-campo
Lycaon pictus
Nyctereutes
Cão-guaxinim
Otócion
Cachorro-vinagre
Urocyon
Raposa-cinzenta
Raposa-das-ilhas
Vulpes
Vulpes bengalensis
Vulpes cana
Raposa-do-cabo
Raposa-das-estepes
Vulpes ferrilata
Raposa-do-ártico
Vulpes macrotis
Vulpes pallida
Vulpes rueppellii
Raposa-veloz
Feneco
Lontra
Aonyx
Lontra-anã-oriental
Lontra-marinha
Lontra-norte-americana
Chugungo
Lontra-neotropical
Lontra-europeia
Lontra-de-nariz-peludo
Ariranha
Mustelinae
Texugo
Arctonyx
Irara
Furão-pequeno
Furão-grande
Glutão
Marta (animal)
Martes americana
Fuinha
Martes gwatkinsii
Martes martes
Zibelina
Meles
Meles anakuma
Texugo-europeu
Ratel
Mustela
Doninha-amazônica
Mustela altaica
Arminho
Mustela eversmanii
Mustela frenata
Mustela itatsi
Vison-europeu
Mustela nigripes
Doninha-anã
Tourão
Mustela sibirica
Vison-americano
Doninha-de-nuca-branca
Texugo-americano
Toirão-jaspeado
Vormela peregusna
Tesauro de Arte e Arquitetura
Grande Enciclopédia Soviética
Encyclopædia Britannica
Gemeinsame Normdatei
Número de controle da Biblioteca do Congresso
Arquivos Nacionais e Administração de Documentos
Biblioteca Nacional da Dieta
Taxonomia
Animal Diversity Web
Enciclopédia da Vida
Fossilworks Paleobiology Database
Global Biodiversity Information Facility
INaturalist
ITIS
União Internacional para a Conservação da Natureza
National Center for Biotechnology Information
Convenção sobre o Comércio Internacional das Espécies Silvestres Ameaçadas de Extinção
Sistema Unificado de Linguagem Médica
