Ulisses Guimarães (Itumbiara)
José Martiniano Pereira de Alencar
Antônio Paulino Limpo de Abreu
Bento de Oliveira Braga
Venâncio Henriques de Resende
Antônio Maria de Moura
Cândido José de Araújo Viana
Joaquim Marcelino de Brito
Segundo reinado
Pedro II do Brasil
Manuel Inácio Cavalcanti de Lacerda
José Joaquim Fernandes Torres
Francisco Muniz Tavares
Dias de Carvalho
Antônio Pinto Chichorro da Gama
Gabriel Mendes dos Santos
José Ildefonso de Sousa Ramos
Maciel Monteiro
Brás Carneiro Nogueira da Costa e Gama
Pedro Francisco de Paula Cavalcanti e Albuquerque
Zacarias de Góis e Vasconcelos
Francisco José Furtado
Camilo Maria Ferreira Armond
Saldanha Marinho
Francisco de Paula da Silveira Lobo
Joaquim Otávio Nébias
Inocêncio Marques de Araújo Góis
Manuel Francisco Correia
Paulino José Soares de Sousa
Martinho Álvares da Silva Campos
Martim Francisco Ribeiro de Andrada (filho)
João Ferreira de Moura
José Rodrigues de Lima Duarte
Antônio Moreira de Barros
Manuel Alves de Araújo
Franklin Dória
André Augusto de Pádua Fleury
Domingos de Andrade Figueira
Gomes de Castro
Henrique Pereira de Lucena
Primeira República Brasileira
Cronologia da Primeira República Brasileira
João da Mata Machado
Bernardino de Campos (político)
João Lopes Ferreira Filho
Francisco de Assis Rosa e Silva
Artur César Rios
Carlos Vaz de Melo
Francisco de Paula Oliveira Guimarães
Carlos Peixoto
Sabino Barroso
Astolfo Dutra Nicácio
Bueno Brandão (político)
Arnolfo Azevedo
Sebastião do Rêgo Barros
Antônio Carlos Ribeiro de Andrada (IV)
Cronologia da Segunda República Brasileira
Cronologia da Terceira República Brasileira
Pedro Aleixo
Honório Fernandes Monteiro
Samuel Duarte
Cirilo Júnior
Nereu Ramos
Carlos Luz
Olavo Bilac Pinto
Adauto Lúcio Cardoso
João Batista Ramos
José Bonifácio Lafayette de Andrada
Geraldo Freire
Ernesto Pereira Lopes
Flávio Marcílio
Célio Borja
Marco Maciel
Nelson Marchezan
Ibsen Pinheiro
Inocêncio de Oliveira
Luís Eduardo Magalhães
Michel Temer
Aécio Neves
Efraim Morais
João Paulo Cunha
Severino Cavalcanti
José Thomaz Nonô
Aldo Rebelo
Arlindo Chinaglia
Marco Maia
Henrique Eduardo Alves
Eduardo Cunha
Waldir Maranhão
Rodrigo Maia
Arthur Lira
Conselho de ministros
Vice-presidente do Brasil
Lista de primeiros-ministros do Brasil
Francisco Brochado da Rocha
Hermes Lima
Lista de ministros da Aeronáutica do Brasil
Clóvis Monteiro Travassos
Reinaldo Joaquim Ribeiro de Carvalho Filho
Anísio Botelho
Lista de ministros da Agricultura do Brasil
Armando Monteiro Filho
Renato Costa Lima
José Ermírio de Moraes
Osvaldo Lima Filho
Lista de ministros da Educação do Brasil
Antônio Ferreira de Oliveira Brito
Roberto Lira
Darcy Ribeiro
Teotônio Monteiro de Barros
Paulo de Tarso Santos
Júlio Furquim Sambaqui
Lista de ministros da Fazenda do Brasil
Walther Moreira Salles
Tancredo de Almeida Neves
Henrique Domingos Ribeiro Barbosa
Miguel Calmon du Pin e Almeida Sobrinho
San Tiago Dantas
Carvalho Pinto
Hélio Bicudo
Ney Neves Galvão
Waldyr Ramos Borges
Lista de ministros do Exército do Brasil
João de Segadas Viana
Nélson de Melo
Amaury Kruel
Jair Dantas Ribeiro
Lista de ministros da Justiça do Brasil
Alfredo Nasser
João Mangabeira
Carlos Molinari Cairoli
Abelardo de Araújo Jurema
Lista de ministros da Marinha do Brasil
Ângelo Nolasco de Almeida
Heitor Doyle Maia
Pedro Paulo de Araújo Suzano
Sílvio Borges de Sousa Mota
Paulo Mário da Cunha Rodrigues
Lista de ministros de Minas e Energia do Brasil
Gabriel Passos
Eliezer Batista
Lista de ministros do Planejamento do Brasil
Celso Furtado
Lista de ministros das Relações Exteriores do Brasil
Afonso Arinos de Melo Franco (sobrinho)
Evandro Lins e Silva
João Augusto de Araújo Castro
Lista de ministros da Saúde do Brasil
Estácio Souto Maior
Manuel Cordeiro Vilaça
Eliseu Paglioli
Paulo Pinheiro Chagas
Wilson Fadul
Lista de ministros do Trabalho do Brasil
André Franco Montoro
Benjamin Eurico Cruz
Almino Monteiro Álvares Afonso
Amaury de Oliveira e Silva
Lista de ministros dos Transportes do Brasil
Virgílio Távora
Hélio de Almeida
Expedito Machado da Ponte
Lista de ministros da Casa Civil do Brasil
Hugo de Araújo Faria
Osvaldo de Araújo Mota
Peri Constant Bevilacqua
Lista de ministros do Gabinete de Segurança Institucional do Brasil
Albino Silva
Argemiro de Assis Brasil
Base Virtual Internacional de Autoridade
Faceted Application of Subject Terminology
Gemeinsame Normdatei
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
Centro de Pesquisa e Documentação de História Contemporânea do Brasil
Universidade Federal de Santa Catarina
