Trincheira
Esforço de guerra
Liga de Autogoverno de Toda a Índia
Exército indiano
Indianos
Estado principesco
Guerra de trincheiras
Armas Químicas na Primeira Guerra Mundial
Royal Ulster Rifles
Batalha de Somme
Arame farpado
Artilharia
Metralhadora
Corrida para o mar
Ducado da Lorena
Segunda Batalha de Ypres
Convenção da Haia
Cloro
Gás venenoso
Batalha de Flers-Courcelette
Batalha do Somme
Batalha de Verdun
Cruiser Mk II
Batalha de Vimy Ridge
Motins do exército francês (1917)
Ofensiva Nivelle
Batalha de Arras (1917)
Batalha de Vimy
Corpo Canadense
Terceira Batalha de Ypres
Guerra submarina irrestrita
Cruzador
Contratorpedeiro
Cruzador blindado
SMS Scharnhorst
SMS Gneisenau (1906)
Cruzador rápido
SMS Nürnberg (1906)
SMS Leipzig (1905)
SMS Dresden (1907)
Batalha de Coronel
Batalha das Malvinas
Batalha de Más a Tierra
Frota de Alto-Mar
Bloqueio naval
Direito internacional
Águas internacionais
Batalha da Jutlândia
Reinhard Scheer
Grande Frota
"John Jellicoe, 1.º Conde Jellicoe"
Tower Bridge
Londres
Armistício de Compiègne
RMS Lusitania
U-boot
Hidrofone
Carga de profundidade
Atlântico Norte
Porta-aviões
HMS Furious (47)
Sopwith Camel
Zepelim
Tondern
Bulgária durante a Primeira Guerra Mundial
Frente da Macedônia
Búlgaros
Belgrado
August von Mackensen
Principado da Albânia
Batalha do Kosovo
Adriático
Batalha de Mojkovac
Grécia
Salônica
Constantino I da Grécia
Elefthérios Venizélos
Rei da Grécia
Cisma Nacional
Atenas
Noemvriana
Alexandre da Grécia
Macedônia (região)
Bitola (Macedónia)
Ofensiva de Monastir
Leibnitz
Estíria
Batalha de Dobro Pole
Budapeste
Constantinopla
Kaiser
"Leopoldo, príncipe da Baviera"
Cáucaso
Índia
Canal de Suez
Limpeza étnica
Armênios
Gregos
Assírios
Genocídio armênio
Genocídio grego
Genocídio assírio
ANZAC
Cerco de Kut
Bagdá
Curdas
Turcomanas
Batalha de Romani
Força expedicionária egípcia
Península do Sinai
Batalha de Magdhaba
Batalha de Rafa
Palestina (região)
Enver Pasha
Ásia central
Batalha de Sarikamish
Pérsia
Irã
Baku
Mar Cáspio
Azeris
Qashqais
Tangistanis
Luros
Khamseh
Nikolai Yudenich
Geórgia dentro do Império Russo
Revolução de Fevereiro
Exército Russo do Cáucaso
Batalha de Meca
Meca
Damasco
Fakhri Pasha
Cerco de Medina
Senussi
Líbia italiana
Egito britânico
Guerra de guerrilha
Campanha Senussi
Batalhas do rio Isonzo
Bolonha
Trento (província autónoma)
Litoral austríaco
Rijeka
Dalmácia
Tunísia
Tirol do Sul
Tratado de Londres (1915)
Tirol
Marechal de campo
Ljubljana
Kaiserschützen
Standschützen
Alpini
Asiago
Verona
Pádua
Batalha de Asiago
Rio Isonzo
Trieste
Batalha de Doberdò
Sexta Batalha do Isonzo
Gorizia
Banjšice
Batalha de Caporetto
Kobarid
Rio Piave
Exército italiano
Batalha do Rio Piave
Batalha de Vittorio Veneto
Marinha Italiana
Pula (Itália)
"Estado dos Eslovenos, Croatas e Sérvios"
Armistício de Villa Giusti
Enrico Millo
Campanha Romena
Joseph Joffre
Batalha de Mărăşeşti
Romênia
Transilvânia
Banato
Hungria
Batalha de Bucareste
Bucareste
Moldávia
Revolução de Outubro
Bessarábia
Bolchevique
Tratado de Bucareste (1918)
Cárpatos
Alexandru Marghiloman
Herdeiro presuntivo
Cerco de Przemyśl
Leste da Europa
Reino da Galícia e Lodoméria
Primeira Batalha dos Lagos Masurianos
Varsóvia
Vladivostok
Exército Branco
Tratado de Brest-Litovsk
Revolução Russa de 1917
Ofensiva Brusilov
Czar
Rasputin
Petrogrado
Governo Provisório Russo
Soviete de Petrogrado
Vladimir Lênin
Suíça
Jacob Schiff
Partido Bolchevique
Revolução de Novembro
Ucrânia
Operação Faustschlag
Finlândia
Países Bálticos
Ofensiva da Primavera
Guerra Civil Russa
Arkhangelsk
Legião Checoslovaca
Tchecoslováquia
Rússia
Bolcheviques
Ferrovia Transiberiana
Sibéria
Ecaterimburgo
Execução da família Romanov
Não passarão!
Presidente dos Estados Unidos
Lloyd George
Haut-Rhin
Estado-Maior General da Alemanha
Chanceler
Clemenceau
Sixto de Bourbon-Parma
Monte Scopus
Batalha de Jerusalém
Primeira Batalha de Gaza
Segunda Batalha de Gaza
Força Expedicionária Egípcia
Edmund Allenby
Batalha de Beersheba
Jerusalém
Friedrich Kreß von Kressenstein
Otto Liman von Sanders
Vale do Jordão
Yeomanry
Batalha de Megido (1918)
Tulcarém
Batalha de Tabsor
Batalha de Nablus (1918)
Lanceiro
Vale de Jezreel
Nazaré
Afula
Bete-Seã
Jenin
Haifa
Daraa
Rio Jordão
Hejaz
Samakh
Tiberíades
Mar da Galileia
Salt (Jordânia)
Amã
Armistício de Mudros
Alepo
Entrada dos Estados Unidos na Primeira Guerra Mundial
Arthur Zimmermann
México
Telegrama Zimmermann
Texas
Novo México
Arizona
Casus belli
Militarismo
Congresso dos Estados Unidos
Porto-riquenhos
Marinha dos Estados Unidos
Scapa Flow
Cobh
Irlanda
Marine
França
Forças Expedicionárias Americanas
Afro-americanos
Cruz de Guerra 1914-1918 (França)
Château-Thierry
Batalha de Belleau
Operação Michael
Saint-Quentin
Infiltração (militar)
Oskar von Hutier
Stosstruppen
Canhão ferroviário
Krupp AG
Philippe Pétain
Batalha de La Lys
Canal da Mancha
Terceira Batalha de Aisne
Segunda Batalha do Marne
Reims
Ofensiva dos Cem Dias
Transcaucásia
República Democrática da Armênia
República Democrática do Azerbaijão
República Democrática da Geórgia
República Democrática Federativa Transcaucasiana
Batalha de Sardarabad
República de Weimar
Vaux-devant-Damloup
Batalha do Canal du Nord
Batalha de Amiens
Oberste Heeresleitung
Spa (Liège)
Áustria
"Ruperto, Príncipe Herdeiro da Baviera"
Maximiliano de Baden
Carlos da Áustria
Países Baixos
Berlim
Armistício
Ofensiva Meuse-Argonne
Champanhe (província)
Batalha de Cambrai (1918)
Derrame
Marinha alemã
Kiel
Chanceler da Alemanha
Monarquia constitucional
Philipp Scheidemann
República
Compiègne
Alemanha Nazi
Armistício de 22 de junho de 1940
Saloniki
Praga
Zagrebe
Trento
Udine
Bandeira branca
Casa de Habsburgo
Ocupação Aliada da Renânia
Dolchstoßlegende
Gripe espanhola de 1918
Judeus
Socialistas
Brasil na Primeira Guerra Mundial
Lista de presidentes do Brasil
Venceslau Brás
Nilo Peçanha
Minas Gerais
Delfim Moreira
Brasil
Torpedo
Submarino
Indenização
Cargueiro
Arresto
Espanha
Ruy Barbosa
Sindicalismo
Monteiro Lobato
Exército Brasileiro
Marinha do Brasil
Força Aérea Real
Sargento
Exército francês
Divisão Naval em Operações de Guerra
Dakar
Mediterrâneo
Estreito de Gibraltar
Portugal na Primeira Guerra Mundial
Porto
Aliados
Angola
Moçambique
Corpo Expedicionário Português
Tamagnini de Abreu
Flandres
Causas da Segunda Guerra Mundial
Lenda da punhalada pelas costas
Período entreguerras
Douaumont
Pandemia
Gripe espanhola
Kansas
Aristocracia
Casa de Hohenzollern
Habsburgos
Romanov
Dinastia Otomana
Tratado de Versalhes
Líbano
Fome russa de 1921
Harbin
Libras esterlinas
Esmirna
Turquia
Tifo epidêmico
Malária
Gripe de 1918
Lobby
Chaim Weizmann
Declaração Balfour
Sionismo
Rússia czarista
Pogrom
Guerra Greco-Turca (1919-1922)
Mustafa Kemal
Troca de populações entre a Grécia e a Turquia
Tratado de Lausanne
Gregos pônticos
Dissolução da Áustria-Hungria
Conferência de Paz de Paris (1919)
Quatorze Pontos
Mutatis mutandis
Nazismo
Teoria de conspiração
Quinta-Feira Negra
Grande Depressão
Galeria dos Espelhos
Sucessão de estados
Iugoslávia
Romênia Maior
Tratado de Saint-Germain-en-Laye
Tratado de Trianon
Reino da Hungria
Húngaros
Estônia
Letônia
Lituânia
Anatólia
Protetorado
República da Turquia
Tratado de Sèvres
Movimento Nacional Turco
Guerra de independência turca
Departamento de Guerra dos Estados Unidos
Belle Époque
Geração Perdida
Reação aguda ao estresse
Transtorno de estresse pós-traumático
Paul Fussell
Itália Fascista
Ascensão de Hitler ao poder
Machtergreifung
Nacionalismo italiano
Gabriele d'Annunzio
Irredentismo italiano
Partido Liberal Italiano
Paolo Boselli
Sociedade Dante Alighieri
Benito Mussolini
Leonida Bissolati
Partido Socialista Italiano
Greve geral
Irredentismo
Fascismo
Adolf Hitler
Partido Nazista
Língua alemã
Extrema-direita
Extrema-esquerda
Comunismo
Genocídio
Holocausto
Alemanha nazista
Renânia
Gustav Stresemann
Itália fascista
Aviação na Primeira Guerra Mundial
TCG Yavuz
Comunicações sem fio
Carro blindado
Aeronave
Canhões
Morteiro
Obus
Batalha de Cambrai (1917)
Síntese de Haber-Bosch
Fixação de nitrogênio
Pólvora
Guerra química
Gás mostarda
Fosgênio
Máscara de gás
Convenções da Haia (1899 e 1907)
U-Boot
Kaiserliche Marine
Ilhas Britânicas
Dirigíveis
Aviões
Italianos
Líbia
Reconhecimento em força
Fotografia aérea
Apoio aéreo aproximado
Armas antiaéreas
Caça (aeronave)
Bombardeiro estratégico
Zeppelin
Hangar
John Singer Sargent
Balões
Para-quedas
Míssil ar-ar
Inglaterra
Bandeira dos Estados Unidos
Helmut Brümmer-Patzig
Crimes de guerra
Cidade Livre de Danzig
Armas químicas na Primeira Guerra Mundial
Armas químicas
Zona de assentamento judeu na Rússia
Genocídio Armênio
Austro-húngaros
Deportações
Execuções em massa
Síria
Marcha da morte
Associação Internacional de Estudiosos de Genocídio
Pogroms
Atirador especial
Franceses
Belgas
Lovaina
Refugiado
Quatro Grandes
Veteranos da Primeira Guerra Mundial ainda vivos
Lista de aviões dos países aliados na Primeira Guerra Mundial
Lista de aviões dos países dos Impérios Centrais na Primeira Guerra Mundial
Lista de ases da aviação da Primeira Guerra Mundial com 20 ou mais vitórias
International Standard Book Number
OCLC
International Standard Serial Number
Digital object identifier
American Heritage
National Archives and Records Administration
Moscou
Nova Iorque
Encyclopaedia Judaica
R. J. Rummel
Universidade Estadual do Paraná
"Little, Brown and Company"
Clarendon Press
Indiana University Press
CRC Press
Niall Ferguson
David Fromkin
Martin Gilbert
JSTOR
Online Computer Library Center
Council on Foreign Relations
The Journal of American History
Barbara Tuchman
Robert K. Massie
Scielo
Wikimedia
Campanha do Sudoeste da África
Campanha da África Ocidental (Primeira Guerra Mundial)
Império Colonial Francês
Vietnã
Itália
História dos Estados Unidos (1865-1918)
História da República da China (1912—1949)
Japão na Primeira Guerra Mundial
Alemanha
Cronologia da Primeira Guerra Mundial
Revolução Mexicana
Guerra ítalo-turca
Primeira Guerra dos Balcãs
Segunda Guerra dos Balcãs
Batalha de Stallupönen
Batalha de Gumbinnen
Batalha da Galícia
Batalha de Trindade
Primeira Batalha de Ypres
Trégua de Natal
Batalha de Neuve Chapelle
Grande Retirada (Rússia)
Campanha da Sérvia (Primeira Guerra Mundial)
Batalha de Loos
Ofensiva de Erzurum
Ofensiva do Lago Naroch
Ofensiva Monastir
Ofensiva de Kerensky
Terceira batalha de Gaza
Armistício de Erzincan
Tratado de Brest-Litovski
Frente Macedônia
Batalha do Lys
Armistício com a Bulgária
Campanha alemã em Angola
Conspiração Hindu-Alemã
Revolta da Páscoa
Guerra civil finlandesa
Guerra de Independência da Ucrânia
Guerra Armeno-Azeri
Guerra Georgiano-Armênia
Guerra húngaro-romena de 1919
Revolta na Grande Polônia (1918-1919)
Guerra de Independência da Estônia
Guerra de Independência da Letônia
Guerras de Independência da Lituânia
Guerra polaco-soviética
Guerra de Independência da Irlanda
Guerra de Independência Turca
Guerra polaco-lituana
Invasão soviética da Geórgia
Guerra Civil Irlandesa
Lista de batalhas da Primeira Guerra Mundial
Cavalos na Primeira Guerra Mundial
Gás venenoso na Primeira Guerra Mundial
Guerra de trincheira
Mortos na Primeira Guerra Mundial
Gripe Espanhola
Primeira Guerra Mundial na cultura popular
Acordo Sykes-Picot
Acordo de Saint-Jean-de-Maurienne
Tratado de Neuilly-sur-Seine
Tratado de Versailles
Consequências da Primeira Guerra Mundial
Nazifascismo
Crise de 29
Neo-otomanismo
Bolchevismo
Plano de guerra vermelho
Ocupação austro-húngara da Sérvia
Ocupação da Albânia pela Bulgária
Ocupação alemã de Luxemburgo durante a Segunda Guerra Mundial
Ober Ost
Administração do Território do Inimigo Ocupado
Administração da Armênia Ocidental
Biblioteca Nacional Central de Florença
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Encyclopædia Britannica
Gran Enciclopedia Aragonesa
Gemeinsame Normdatei
Dicionário Histórico da Suíça
KulturNav
Número de controle da Biblioteca do Congresso
Arquivos Nacionais e Administração de Documentos
Biblioteca Nacional da Dieta
Enciclopédia Treccani
Descritores em Ciências da Saúde
Medical Subject Headings
Sistema Unificado de Linguagem Médica
