Novembro
Korabl-Sputnik 3
1964
Malawi
República do Malawi
Malta
República de Malta
Reinos da Comunidade de Nações
República da Zâmbia
Estados-membros das Nações Unidas
Guerra do Vietnã
Lyndon B. Johnson
Vietnã do Norte
1971
Guerra Civil Cambojana
Khmer Vermelho
Primavera Croata
Jugoslávia
Liga dos Comunistas da Jugoslávia
1973
Papua Nova Guiné
1974
TWA
Boeing 727
Aeroporto Internacional de Dulles
Northwest Orient Airlines
Aeroporto Internacional John F. Kennedy
1976
República de Angola
1981
Voo Inex-Adria Aviopromet 1308
McDonnell Douglas MD-80
Córsega
1984
Demonstração de Impacto Controlado
1986
Museu D'Orsay
François Mitterrand
1988
Benazir Bhutto
Primeiro-ministro do Paquistão
Muçulmano
1989
Mikhail Gorbatchov
Papa João Paulo II
Revolução Russa de 1917
Tentativa de golpe de Estado nas Filipinas em 1989
Corazón Aquino
Alemanha Oriental
1990
Eurotúnel
Canal da Mancha
1991
Referendo da Independência da Ucrânia em 1991
2000
Vicente Fox Quesada
Presidente do México
História do México
2009
Tratado de Lisboa (2007)
2019
Coronavírus
Wuhan
2020
Radiotelescópio de Arecibo
Madalena da França
Étienne-Maurice Falconet
Nikolai Lobachevsky
Gueorgui Júkov
Woody Allen
Bette Midler
Pablo Escobar
1081
Luís VI de França
1137
1083
Ana Comnena
1153
1438
"Pedro II, Duque de Bourbon"
1503
1443
1495
1521
Takeda Shingen
1573
1530
Bernardino Realino
1616
1580
Nicolas-Claude Fabri de Peiresc
1637
1716
1791
1734
Adam Kazimierz Czartoryski
1823
1743
Martin Heinrich Klaproth
1817
1792
1856
Karl Schenk
1895
1831
Maria Amélia de Bragança
1853
1844
Alexandra da Dinamarca
1925
1857
Samuel M. Ralston
1886
Rex Stout
1975
Zhu De
1890
Etta McDaniel
1946
Henry Williamson
1977
1896
Gueorgui Jukov
1912
Minoru Yamasaki
1921
Nestor de Holanda
1970
1922
Vsevolod Bobrov
1979
1923
Morris (ilustrador)
2001
Martin Rodbell
1998
1929
Roberto Luna
2022
Alfred Moisiu
1930
Hermanfrid Schubart
1932
Matt Monro
1985
1933
Lou Rawls
2006
Billy Paul
2016
1935
1937
Vaira Vīķe-Freiberga
1940
Richard Pryor
2005
1944
John Densmore
Michael W. Hagee
Pierre Arditi
1945
Gilbert O'Sullivan
Ladislav Petráš
1947
Alain Bashung
1949
Sebastián Piñera
1993
1951
Jaco Pastorius
1987
Obba Babatundé
Treat Williams
2023
Walcyr Carrasco
Adhemar de Campos
1953
Anselmo Vasconcelos
1956
Julee Cruise
1957
Chris Poland
Javier Aguirre
1961
Jeremy Northam
Abdullah Al-Deayea
1963
Gorete Milagres
Marco Greco
Salvatore Schillaci
1965
Mika Lins
1967
Nestor Carbonell
1968
Anders Holmertz
Sarah Silverman
Stephanie Finochio
Emily Mortimer
1972
Stanton Barrett
Francisco José Rodrigues da Costa
Mario Domínguez
Brad Delson
Luis Díaz (piloto)
Luiz Alberto da Silva Oliveira
1982
Diego Cavalieri
1983
Lucas Silveira
Emiliano Viviano
Janelle Monáe
DeSean Jackson
Im Si-wan
Milton Caraglio
Zoë Kravitz
Tyler Joseph
Chanel Iman
1994
Day & Lara
1997
Jung Chae-yeon
Andrés Colorado
1999
Renato Andrew
Sophia Flörsch
217
"Judá, o Príncipe"
135
660
Elígio de Noyon
588
969
Fujiwara no Morotada
920
1018
Dietmar de Merseburgo
975
1049
Ermesinda de Foix
1015
1135
Henrique I de Inglaterra
1068
1241
Isabel da Inglaterra (1214–1241)
1214
1374
Magno IV da Suécia
1316
1433
Go-Komatsu
1377
1455
Lorenzo Ghiberti
1378
1483
Carlota de Saboia
1441
Papa Leão X
1475
"Margarida de Áustria, Duquesa de Saboia"
1480
1575
Diogo de Paiva de Andrade
1528
1633
Isabel Clara Eugênia da Espanha
1566
Miguel de Vasconcelos
1590
1740
John Abernethy
1680
1825
Alexandre I da Rússia
1777
1835
Nicolas Anselme Baptiste
1761
1865
Abraham Emanuel Fröhlich
1796
1866
George Everest
1790
1908
Alberto Sampaio
1841
Juhan Liiv
1864
Aleister Crowley
1875
Vittorio Emanuele Orlando
1860
J. B. S. Haldane
1892
Antonio Segni
1891
David Ben-Gurion
Roelof Frankot
1911
George Joseph Stigler
1992
Athiê Jorge Coury
1904
Stéphane Grappelli
Filinto Ramalho
1917
Pavel Sadyrin
1942
Mário Vilela
Jack Colvin
2007
Manoel Carlos Karam
Éva Szörényi
Donald Washington Sr.
Shilendra Kumar Singh
2010
Alojz Srebotnjak
1931
Charles N. Millican
1916
Fritz Caspari
1914
Adriaan Blaauw
Shahla Jahed
Helen Boatwright
Richard P. Myers
Hillard Elkins
2011
Christa Wolf
2012
Jovan Belcher
2013
Martin Sharp
Antônio Lino
1943
2014
Jorgeh Ramos
2015
Jim Loscutoff
2017
Fredy Schmidtke
2018
Zhang Ouying
Shelley Morrison
1936
Eduardo Lourenço
2021
Noemi Gerbelli
Ercole Baldini
Sandra Day O'Connor
Rogério Cezar de Cerqueira Leite
Imigrante
Numismática
Dia da Bandeira
Esperança (Paraíba)
Irapuã (São Paulo)
Sapé
São Simão (Goiás)
Serra Preta
Votorantim
Charles de Foucauld
Edmundo Campion
Marie-Clémentine Anuarite Nengapeta
Naum
Simão de Cirene
Calendário romano
Calendas
Calendário litúrgico
Letra dominical
Semana
Epacta
International Standard Serial Number
Digital object identifier
Mês
Dia
5 de janeiro
6 de janeiro
7 de janeiro
8 de janeiro
9 de janeiro
10 de janeiro
11 de janeiro
12 de janeiro
13 de janeiro
14 de janeiro
15 de janeiro
16 de janeiro
17 de janeiro
18 de janeiro
19 de janeiro
20 de janeiro
21 de janeiro
22 de janeiro
23 de janeiro
24 de janeiro
25 de janeiro
26 de janeiro
27 de janeiro
28 de janeiro
29 de janeiro
30 de janeiro
31 de janeiro
Fevereiro
1 de fevereiro
2 de fevereiro
3 de fevereiro
4 de fevereiro
5 de fevereiro
6 de fevereiro
7 de fevereiro
8 de fevereiro
9 de fevereiro
10 de fevereiro
11 de fevereiro
12 de fevereiro
13 de fevereiro
14 de fevereiro
15 de fevereiro
16 de fevereiro
17 de fevereiro
18 de fevereiro
19 de fevereiro
20 de fevereiro
21 de fevereiro
22 de fevereiro
23 de fevereiro
24 de fevereiro
25 de fevereiro
26 de fevereiro
27 de fevereiro
28 de fevereiro
29 de fevereiro
Março
1 de março
2 de março
3 de março
4 de março
5 de março
6 de março
7 de março
8 de março
9 de março
10 de março
11 de março
12 de março
13 de março
14 de março
15 de março
16 de março
17 de março
18 de março
19 de março
20 de março
21 de março
22 de março
23 de março
24 de março
25 de março
26 de março
27 de março
28 de março
29 de março
30 de março
31 de março
Abril
1 de abril
2 de abril
3 de abril
4 de abril
5 de abril
6 de abril
7 de abril
8 de abril
9 de abril
10 de abril
11 de abril
12 de abril
13 de abril
14 de abril
15 de abril
16 de abril
17 de abril
18 de abril
19 de abril
20 de abril
21 de abril
22 de abril
23 de abril
24 de abril
25 de abril
26 de abril
27 de abril
28 de abril
29 de abril
30 de abril
Maio
1 de maio
2 de maio
3 de maio
4 de maio
5 de maio
6 de maio
7 de maio
8 de maio
9 de maio
10 de maio
11 de maio
12 de maio
13 de maio
14 de maio
15 de maio
16 de maio
17 de maio
18 de maio
19 de maio
20 de maio
21 de maio
22 de maio
23 de maio
24 de maio
25 de maio
26 de maio
27 de maio
28 de maio
29 de maio
30 de maio
31 de maio
Junho
1 de junho
2 de junho
3 de junho
4 de junho
5 de junho
6 de junho
7 de junho
8 de junho
9 de junho
10 de junho
11 de junho
12 de junho
13 de junho
14 de junho
15 de junho
16 de junho
17 de junho
18 de junho
19 de junho
20 de junho
21 de junho
22 de junho
23 de junho
24 de junho
25 de junho
26 de junho
27 de junho
28 de junho
29 de junho
30 de junho
Julho
1 de julho
2 de julho
3 de julho
4 de julho
5 de julho
6 de julho
7 de julho
8 de julho
9 de julho
10 de julho
11 de julho
12 de julho
13 de julho
14 de julho
15 de julho
16 de julho
17 de julho
18 de julho
19 de julho
20 de julho
21 de julho
22 de julho
23 de julho
24 de julho
25 de julho
26 de julho
27 de julho
28 de julho
29 de julho
30 de julho
31 de julho
Agosto
1 de agosto
2 de agosto
3 de agosto
4 de agosto
5 de agosto
6 de agosto
7 de agosto
8 de agosto
9 de agosto
10 de agosto
11 de agosto
12 de agosto
13 de agosto
14 de agosto
15 de agosto
16 de agosto
17 de agosto
18 de agosto
19 de agosto
20 de agosto
21 de agosto
22 de agosto
23 de agosto
24 de agosto
25 de agosto
26 de agosto
27 de agosto
28 de agosto
29 de agosto
30 de agosto
31 de agosto
Setembro
1 de setembro
2 de setembro
3 de setembro
4 de setembro
5 de setembro
6 de setembro
7 de setembro
8 de setembro
9 de setembro
10 de setembro
11 de setembro
12 de setembro
13 de setembro
14 de setembro
15 de setembro
16 de setembro
17 de setembro
18 de setembro
19 de setembro
20 de setembro
21 de setembro
22 de setembro
23 de setembro
24 de setembro
25 de setembro
26 de setembro
27 de setembro
28 de setembro
29 de setembro
30 de setembro
Outubro
1 de outubro
2 de outubro
3 de outubro
4 de outubro
5 de outubro
6 de outubro
7 de outubro
8 de outubro
9 de outubro
10 de outubro
11 de outubro
12 de outubro
13 de outubro
14 de outubro
15 de outubro
16 de outubro
17 de outubro
18 de outubro
19 de outubro
20 de outubro
21 de outubro
22 de outubro
23 de outubro
24 de outubro
25 de outubro
26 de outubro
27 de outubro
28 de outubro
29 de outubro
30 de outubro
31 de outubro
1 de novembro
2 de novembro
3 de novembro
4 de novembro
5 de novembro
6 de novembro
7 de novembro
8 de novembro
9 de novembro
10 de novembro
11 de novembro
12 de novembro
13 de novembro
14 de novembro
15 de novembro
16 de novembro
17 de novembro
18 de novembro
19 de novembro
20 de novembro
21 de novembro
22 de novembro
23 de novembro
24 de novembro
25 de novembro
26 de novembro
27 de novembro
28 de novembro
29 de novembro
30 de novembro
0 de janeiro
30 de fevereiro
31 de fevereiro
0 de março
