Cachorro-do-mato
Lobo-vermelho
Lobo-etíope
Cerdocyon thous
Lycalopex
Lycalopex culpaeus
Lycalopex fulvipes
Raposa-cinzenta-argentina
Graxaim-do-campo
Lycalopex sechurae
Raposa-do-campo
Lycaon pictus
Nyctereutes
Cão-guaxinim
Otócion
Urocyon
Raposa-cinzenta
Raposa-das-ilhas
Vulpes
Vulpes bengalensis
Vulpes cana
Raposa-do-cabo
Raposa-das-estepes
Vulpes ferrilata
Raposa-do-ártico
Vulpes macrotis
Vulpes pallida
Vulpes rueppellii
Raposa-veloz
Raposa-vermelha
Feneco
Lontra
Aonyx
Lontra-anã-oriental
Lontra-marinha
Lontra-norte-americana
Chugungo
Lontra-neotropical
Lontra-europeia
Lontra-de-nariz-peludo
Ariranha
Mustelinae
Texugo
Arctonyx
Irara
Furão-pequeno
Furão-grande
Glutão
Marta (animal)
Martes americana
Fuinha
Martes gwatkinsii
Martes martes
Zibelina
Meles
Meles anakuma
Texugo-europeu
Ratel
Mustela
Doninha-amazônica
Mustela altaica
Arminho
Mustela eversmanii
Mustela frenata
Mustela itatsi
Vison-europeu
Mustela nigripes
Doninha-anã
Tourão
Mustela sibirica
Vison-americano
Doninha-de-nuca-branca
Texugo-americano
Toirão-jaspeado
Vormela peregusna
Grande Enciclopédia Soviética
Encyclopædia Britannica
Taxonomia
Animal Diversity Web
Enciclopédia da Vida
Fossilworks Paleobiology Database
Global Biodiversity Information Facility
INaturalist
ITIS
Mammal Species of the World
National Center for Biotechnology Information
Convenção sobre o Comércio Internacional das Espécies Silvestres Ameaçadas de Extinção
