Lema
Editora da Universidade Federal da Bahia
Educação na Bahia
Lista de instituições de ensino superior da Bahia
Universidades estaduais da Bahia
Universidade do Estado da Bahia
Universidade Estadual de Feira de Santana
Universidade Estadual do Sudoeste da Bahia
Universidade Estadual de Santa Cruz
Universidade Federal do Sul da Bahia
Universidade da Integração Internacional da Lusofonia Afro-Brasileira
Universidade Federal do Vale do São Francisco
Escola Bahiana de Medicina e Saúde Pública
Centro Universitário Estácio da Bahia
Faculdades Integradas Olga Mettig
Sociedade Padrão de Ensino Superior
Faculdade Maria Milza
Faculdade Independente do Nordeste
Faculdade da Região Sisaleira
Faculdade do Sul da Bahia
Faculdade Baiana de Direito
Instituto de Ensino Superior Juvêncio Terra
Faculdade Pitágoras de Teixeira de Freitas
Centro Universitário Ruy Barbosa Wyden
Universidade Católica do Salvador
Faculdade Adventista da Bahia
Universidade Salvador
Centro Universitário UniFTC
Centro Universitário Jorge Amado
Centro Universitário Maria Milza
União Metropolitana de Educação e Cultura
Centro Universitário Social da Bahia
Universidade Salgado de Oliveira
Centro Educacional Carneiro Ribeiro
IFBA Campus Barreiras
Instituto Federal Baiano
Instituto Federal da Bahia
Academia da Polícia Civil do Estado da Bahia
Colégio Militar de Salvador
Instituto de Educação Anísio Teixeira
Secretaria da Educação do Estado da Bahia
Universidade Federal do Acre
Universidade Federal de Rondônia
Universidade Federal de Roraima
Universidade Federal do Amapá
Universidade Federal do Amazonas
Universidade Federal do Pará
Universidade Federal do Oeste do Pará
Universidade Federal do Tocantins
Universidade Federal Rural da Amazônia
Universidade Federal do Sul e Sudeste do Pará
Universidade Federal do Norte do Tocantins
Universidade do Estado do Amazonas
Universidade Estadual do Amapá
Universidade do Estado do Pará
Universidade Estadual de Roraima
Universidade Estadual do Tocantins
Universidade de Gurupi
Universidade Federal da Paraíba
Universidade Federal do Cariri
Universidade Federal de Alagoas
Universidade Federal de Campina Grande
Universidade Federal de Pernambuco
Universidade Federal de Sergipe
Universidade Federal do Ceará
Universidade Federal do Maranhão
Universidade Federal do Piauí
Universidade Federal do Rio Grande do Norte
Universidade Federal Rural de Pernambuco
Universidade Federal Rural do Semi-Árido
Universidade Federal do Delta do Parnaíba
Universidade Federal do Agreste de Pernambuco
Universidade Estadual de Alagoas
Universidade Estadual de Ciências da Saúde de Alagoas
Universidade Estadual do Ceará
Universidade Estadual Vale do Acaraú
Universidade Regional do Cariri
Universidade Estadual do Maranhão
Universidade Estadual da Região Tocantina do Maranhão
Universidade Estadual da Paraíba
Universidade de Pernambuco
Universidade Estadual do Piauí
Universidade do Estado do Rio Grande do Norte
Universidade de Brasília
Universidade Federal de Goiás
Universidade Federal de Jataí
Universidade Federal de Catalão
Universidade Federal da Grande Dourados
Universidade Federal de Mato Grosso do Sul
Universidade Federal de Mato Grosso
Universidade Federal de Rondonópolis
Universidade Estadual de Goiás
Universidade do Estado de Mato Grosso
Universidade Estadual de Mato Grosso do Sul
Universidade do Distrito Federal Jorge Amaury
Universidade de Rio Verde
Universidade Federal de Alfenas
Universidade Federal de Itajubá
Universidade Federal de Juiz de Fora
Universidade Federal de Lavras
Universidade Federal de Minas Gerais
Universidade Federal de Ouro Preto
Universidade Federal de São Carlos
Universidade Federal de São João del-Rei
Universidade Federal de São Paulo
Universidade Federal de Uberlândia
Universidade Federal de Viçosa
Universidade Federal do ABC
Universidade Federal do Espírito Santo
Universidade Federal do Estado do Rio de Janeiro
Universidade Federal do Rio de Janeiro
Universidade Federal do Triângulo Mineiro
Universidade Federal dos Vales do Jequitinhonha e Mucuri
Universidade Federal Fluminense
Universidade Federal Rural do Rio de Janeiro
Universidade do Estado de Minas Gerais
Universidade Estadual de Montes Claros
Universidade do Estado do Rio de Janeiro
Universidade Estadual do Norte Fluminense Darcy Ribeiro
Universidade de São Paulo
Universidade Estadual de Campinas
Universidade Estadual Paulista
Universidade Virtual do Estado de São Paulo
Universidade Aberta Capixaba
Universidade de Taubaté
Universidade Municipal de São Caetano do Sul
Universidade Federal da Fronteira Sul
Universidade Federal da Integração Latino-Americana
Universidade Federal de Ciências da Saúde de Porto Alegre
Universidade Federal de Pelotas
Universidade Federal de Santa Catarina
Universidade Federal de Santa Maria
Universidade Federal do Pampa
Universidade Federal do Paraná
Universidade Federal do Rio Grande
Universidade Federal do Rio Grande do Sul
Universidade Tecnológica Federal do Paraná
Universidade Estadual de Londrina
Universidade Estadual de Maringá
Universidade Estadual do Paraná
Universidade Estadual de Ponta Grossa
Universidade Estadual do Centro-Oeste
Universidade Estadual do Norte do Paraná
Universidade Estadual do Oeste do Paraná
Universidade Estadual do Rio Grande do Sul
Universidade do Estado de Santa Catarina
Universidade Regional de Blumenau
Lista de instituições comunitárias de ensino superior do Brasil
Lista de universidades privadas do Brasil
Comunidade dos Países de Língua Portuguesa
Estados membros da Comunidade dos Países de Língua Portuguesa
Angola
Cabo Verde
Guiné-Bissau
Guiné Equatorial
Moçambique
Portugal
São Tomé e Príncipe
Timor-Leste
Andorra
Argentina
Canadá
Catar
Chéquia
Chile
Conferência Ibero-americana
Costa do Marfim
Eslováquia
Estados Unidos
França
Geórgia
Grécia
Hungria
Índia
Irlanda
Itália
Japão
Luxemburgo
Maurícia
Namíbia
Organização dos Estados Ibero-americanos
Paraguai
Peru
Reino Unido
Romênia
Senegal
Sérvia
Turquia
Uruguai
Assistência Médica Internacional
Associação das Universidades de Língua Portuguesa
Associação dos Comités Olímpicos de Língua Oficial Portuguesa
Fundação Calouste Gulbenkian
Fundação Champalimaud
Fundação Luso-Americana
Fundação Luso-Brasileira
Fundação Mário Soares
Fundação Oriente
Fundação Oswaldo Cruz
Fundação Roberto Marinho
Instituto Histórico e Geográfico Brasileiro
Médicos do Mundo
Sociedade de Geografia de Lisboa
Real Gabinete Português de Leitura
Universidade Lusófona de Humanidades e Tecnologias
Base Virtual Internacional de Autoridade
Bibsys
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
CiNii
Gemeinsame Normdatei
Global Research Identifier Database
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
Biblioteca Nacional da Austrália
ResearchGate
Sistema Universitário de Documentação
Biblioteca Nacional do Brasil
Cadastro Nacional da Pessoa Jurídica
E-MEC
Itaú Cultural
Biblioteca Nacional de Portugal
Biblioteca Nacional de Israel
