5 de março
Joaquim Antônio da Silva Callado
Leopoldo Miguez
Alfredo Keil
Viriato Figueira da Silva
Henrique Oswald
Catulo da Paixão Cearense
Alexandre Levy
Alberto Nepomuceno
Anacleto de Medeiros
Tomás Vaz de Borba
Vianna da Motta
Antônio Francisco Braga
David de Souza
António Fragoso
Música contemporânea
Francisco de Lacerda
Luís Costa
Glauco Velásquez
Ruy Coelho
Luís de Freitas Branco
Luciano Gallet
Cláudio Carneyro
Brasílio Itiberê da Cunha Luz
Oscar Lorenzo Fernández
Francisco Mignone
Mário de Sampayo Ribeiro
Frederico de Freitas
Armando José Fernandes
Radamés Gnattali
Fernando Lopes-Graça
Mozart Camargo Guarnieri
César Guerra-Peixe
Manuel Ferreira de Faria
Claudio Santoro
Gilberto Mendes
Artur Ribeiro
Joly Braga Santos
Carlos Paredes
Sequeira Costa
David Sequeira
Mário Ficarelli
Constança Capdeville
Marlos Nobre
Jorge Peixinho
António Victorino de Almeida
Emmanuel Nunes
José Antônio Rezende de Almeida Prado
Carlos Azevedo
Nestor de Hollanda Cavalcanti
Pedro Caldeira Cabral
António Pinho Vargas
José Carlos Amaral Vieira
Ernesto Rodrigues
Miguel Azguime
António Chagas Rosa
Isabel Soveral
João Paulo Esteves da Silva
Eurico Carrapatoso
Eugénio Amorim
Sérgio Azevedo
Bernardo Sassetti
Nuno Côrte-Real
Pedro Faria Gomes
Diogo da Costa Ferreira
Base Virtual Internacional de Autoridade
AllMusic
Bibsys
Museu Britânico
Biblioteca Nacional da República Argentina
Biblioteca Nacional do Chile
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Biblioteca Virtual Miguel de Cervantes
Catálogo de autoridades de nomes e títulos da Catalunha
CiNii
Discogs
Encyclopædia Britannica
Faceted Application of Subject Terminology
Gemeinsame Normdatei
Find a Grave
Internet Broadway Database
Istituto centrale per il catalogo unico delle biblioteche italiane e per le informazioni bibliografiche
International Music Score Library Project
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
MusicBrainz
Biblioteca Nacional da Dieta
Biblioteca Nacional da Austrália
Biblioteca Nacional da Grécia
Notable Names Database
Biblioteca Real dos Países Baixos
Sistema Universitário de Documentação
Enciclopédia Treccani
WikiTree
Biblioteca Nacional do Brasil
Dicionário Cravo Albin da Música Popular Brasileira
Itaú Cultural
Portal Musica Brasilis
Biblioteca Nacional de Portugal
IMDb
Open Library
Biblioteca Nacional de Israel
Biblioteca Nacional da Polónia
AllMovie
AlloCiné
