Agosto
"Maria Ana de Áustria, Rainha de Portugal"
1754
1707
"Georges-Louis Leclerc, conde de Buffon"
1788
1726
François-André Danican Philidor
1795
"Mary Pelham, Condessa de Chichester"
1862
1811
"Carlos Antônio, Príncipe de Hohenzollern"
1885
1815
John McDouall Stuart
1866
1817
Luísa de Hesse-Cassel
1898
1819
Thomas A. Hendricks
1832
Emilio Castelar
1899
1836
August Toepler
1912
1840
Sisowath Sirik Matak
1842
Johannes Zukertort
1888
Isabel de Anhalt
1933
1859
Juan Campisteguy
1937
1867
1926
1868
Branca de Espanha
1949
1870
Alexandre Ivanovich Kuprin
1938
1872
Carlos Magalhães de Azeredo
1963
1889
Otávio Tarquínio de Sousa
1959
1891
Roscoe Karns
1894
Gala Éluard Dalí
1982
Jacques Vaché
1919
1896
Iwar Beckman
1971
1900
Taylor Caldwell
1985
1905
Eric John Underwood
1980
Olle Källgren
1983
1909
Elia Kazan
2003
Fryderyk Scherfke
1910
Lee Wallard
Todor Zhivkov
1998
Fred Moore (animador)
1952
Renato Bizzozero
1994
1913
Anthony Quayle
1989
1914
James Van Allen
2006
1917
John Cornforth
2013
Alfred Schild
2007
1924
Leonard Rosenman
2008
Erich Juskowiak
Ed e Lorraine Warren
Riad Salamuni
2002
Carlos Romero (futebolista)
Nívio Gabrich
1981
1929
Bobby Johnstone
2001
Yves Lacoste
T. P. McKenna
2011
Kenny Howard
1992
1930
Julio Abbadie
2014
Balduíno I da Bélgica
1993
1931
Josep Lluís Núñez
2018
Paul Getty
1934
Omar Karami
1935
Abdou Diouf
Buddy Holly
Dadeus Grings
Brian Hart
Pavel Lyubimov
2010
1939
David Griggs
Dario Argento
Abdurrahman Wahid
2009
Gabriele Veneziano
1943
Lena Valaitis
Ariclê Perez
1944
José Roberto Wright
Bora Milutinović
Camille K
1946
Francisco Varela
1947
Bebeto (cantor)
Graham Young
1990
Ederaldo Gentil
2012
1948
Susan Blakely
Gloria Gaynor
Carlos Lehder
1950
Julie Kavner
Mário Sérgio Pontes de Paiva
1951
Chrissie Hynde
Morris Albert
Paulo Markun
Voyn Voynov
José Nazar
Ami Aspelund
António Menezes Cordeiro
1954
Chaim Zaher
Shirley Carvalhaes
Doug Bradley
Michael Emerson
Francisco Guterres
1955
Mira Furlan
1956
Diane Warren
Michael Feinstein
Marcelo Mansfield
1957
Jermaine Stewart
1958
Goran Hadžić
Thierry Peponnet
Drew Weissman
1960
Rabie Yassin
Phillip Rhee
Blota Filho
Leroi Moore
József Szájer
1962
Jennifer Egan
Andrew Granville
Eazy-E
1995
Éric Di Meco
Neerja Bhanot
W. Earl Brown
1964
Andy Hug
2000
María Fernanda Espinosa
Pio Vargas
1991
Darko Pančev
Andreas Thom
Catalina Botero
Mart'nália
Guto Ferreira
Tomáš Skuhravý
1966
Thelmo Fernandes
Toby Jones
1967
Kelvin Burt
Jean-Michel Monin
1968
Kakhaber Tskhadadze
Marcel Desailly
Angie Everhart
Rudy Galindo
Tom Everett Scott
Rodrigo Maranhão
Sílvio Criciúma
Maria Beltrão
Briana Scurry
Shane Mosley
1972
Jean-Jacques Tizié
Mariane Dombrova
Slug (músico)
Pablo Lavallén
1973
Alex Kurtzman
Catarina Martins
Stéphane Henchoz
Jair Xavier de Brito
Jean-Noël Ferrari
Pánfilo Escobar
Mario Frick
1975
Norifumi Abe
Harold Wallace
Rachel Ripani
Renato Sobral
1976
Oliver Hudson
Mohamed Barakat
Castanheira (futebolista)
Fedde le Grand
Victor Karpenko
Wellington Monteiro
Devon Sawa
1979
Pavol Hochschorner
Peter Hochschorner
Flávia Assis
Owen Pallett
Emre Belözoğlu
Javad Nekounam
Alassane Ouédraogo
Gabriel Milito
Raj Bhavsar
Gökhan Zan
Emese Szász-Kovács
Vladimir Kara-Murza
Athena Karkanis
Paul McCoy
Antonia Campbell-Hughes
David Dawson
Mehmet Topuz
1984
Vera Zvonareva
João Miranda de Souza Filho
Nikola Drinčić
Luiza Valdetaro
Alyssa Diaz
Alyona Lanskaya
Daniel Dalcin
Aurimas Lankas
Denis Istomin
Jodie Turner-Smith
Fanny Fischer
Dragoș Grigore
1987
Evan Rachel Wood
Aleksandra Wozniak
Robert Snodgrass
Bruno Fornaroli
Oleg Samsonov
Aurea
Yancy Medeiros
1988
Arnar Smárason
Paul Iacono
Victoria Marinova
Luis Ovalle
Kevin Love
Jonathan Majors
Hugh Mitchell
Fedor Klimov
Boualem Khoukhi
Valentin Porte
Marion (futebolista)
Martin Hinteregger
Alexey Lutsenko
Kento Yamazaki
Elinor Barker
Demetrius Jackson
Marlon Santos (futebolista)
Jailson Marques Siqueira
Donovan Mitchell
Gustavo Mosquito
Daiane Limeira
Dean-Charles Chapman
Roberto Alvarado
Ernan Siluane
Ariarne Titmus
Jason Dupasquier
Vanderlan
251
Sima Yi
179
355
Silvano (usurpador)
859
Xuanzong II
810
1134
Afonso I de Aragão
1073
1151
"Godofredo V, Conde de Anjou"
1129
1312
Fernando IV de Castela
1285
1354
Andrea Dandolo
1306
1362
Joana de Inglaterra
1321
1458
Maria de Castela
1401
1464
"Frederico II, Eleitor da Saxônia"
1559
Robert Estienne
1503
1573
"Joana de Áustria, Princesa de Portugal"
1536
1750
Albertina de Brandemburgo-Schwedt
1712
1779
John Armstrong
1709
1871
Mehmed Emin Aali
1874
Lourenço José Maria Boaventura de Almada Cirne Peixoto
1818
William Holman Hunt
1827
1915
Saturnino Arouck
José Orozco
1883
António dos Santos Graça
1882
Karen Blixen
Spring Byington
1886
Keith Moon
Cid Pinheiro Cabral
Rodney Robert Porter
Mobutu Sese Seko
Gino Malvestio
Uziel Gal
2004
Miriam Pires
Estefânia de Windisch-Grätz
Sergio Endrigo
Rui Viotti
Miltinho (cantor)
1928
António Barbosa de Melo
Kwon Ri-se
Mac Miller
Bernard Shaw
2023
Raimundo Varela
Fabio Arruda
Dia da Independência (Brasil)
Ipanema (Minas Gerais)
Itabirito
Cataguases
Luz (Minas Gerais)
Teófilo Otoni
Arganil
Faro
Vendas Novas
Clodoaldo (santo)
Regina de Alésia
Calendário romano
Idos
Calendário litúrgico
Letra dominical
Semana
Epacta
International Standard Serial Number
Mês
Dia
20 de dezembro
Janeiro
1 de janeiro
2 de janeiro
3 de janeiro
4 de janeiro
5 de janeiro
6 de janeiro
7 de janeiro
8 de janeiro
9 de janeiro
10 de janeiro
11 de janeiro
12 de janeiro
13 de janeiro
14 de janeiro
15 de janeiro
16 de janeiro
17 de janeiro
18 de janeiro
19 de janeiro
20 de janeiro
21 de janeiro
22 de janeiro
23 de janeiro
24 de janeiro
25 de janeiro
26 de janeiro
27 de janeiro
28 de janeiro
29 de janeiro
30 de janeiro
31 de janeiro
Fevereiro
1 de fevereiro
2 de fevereiro
3 de fevereiro
4 de fevereiro
5 de fevereiro
6 de fevereiro
7 de fevereiro
8 de fevereiro
9 de fevereiro
10 de fevereiro
11 de fevereiro
12 de fevereiro
13 de fevereiro
14 de fevereiro
15 de fevereiro
16 de fevereiro
17 de fevereiro
18 de fevereiro
19 de fevereiro
20 de fevereiro
21 de fevereiro
22 de fevereiro
23 de fevereiro
24 de fevereiro
25 de fevereiro
26 de fevereiro
27 de fevereiro
28 de fevereiro
29 de fevereiro
Março
1 de março
2 de março
3 de março
4 de março
5 de março
6 de março
7 de março
8 de março
9 de março
10 de março
11 de março
12 de março
13 de março
14 de março
15 de março
16 de março
17 de março
18 de março
19 de março
20 de março
21 de março
22 de março
23 de março
24 de março
25 de março
26 de março
27 de março
28 de março
29 de março
30 de março
31 de março
Abril
1 de abril
2 de abril
3 de abril
4 de abril
5 de abril
6 de abril
7 de abril
8 de abril
9 de abril
10 de abril
11 de abril
12 de abril
13 de abril
14 de abril
15 de abril
16 de abril
17 de abril
18 de abril
19 de abril
20 de abril
21 de abril
22 de abril
23 de abril
24 de abril
25 de abril
26 de abril
27 de abril
28 de abril
29 de abril
30 de abril
Maio
1 de maio
2 de maio
3 de maio
4 de maio
5 de maio
6 de maio
7 de maio
8 de maio
9 de maio
10 de maio
11 de maio
12 de maio
13 de maio
14 de maio
15 de maio
16 de maio
17 de maio
18 de maio
19 de maio
20 de maio
21 de maio
22 de maio
23 de maio
24 de maio
25 de maio
26 de maio
27 de maio
28 de maio
29 de maio
30 de maio
31 de maio
Junho
1 de junho
2 de junho
3 de junho
4 de junho
5 de junho
6 de junho
7 de junho
8 de junho
9 de junho
10 de junho
11 de junho
12 de junho
13 de junho
14 de junho
15 de junho
16 de junho
17 de junho
18 de junho
19 de junho
20 de junho
21 de junho
22 de junho
23 de junho
24 de junho
25 de junho
26 de junho
27 de junho
28 de junho
29 de junho
30 de junho
Julho
1 de julho
2 de julho
3 de julho
4 de julho
5 de julho
6 de julho
7 de julho
8 de julho
9 de julho
10 de julho
11 de julho
12 de julho
13 de julho
14 de julho
15 de julho
16 de julho
17 de julho
18 de julho
19 de julho
20 de julho
21 de julho
22 de julho
23 de julho
24 de julho
25 de julho
26 de julho
27 de julho
28 de julho
29 de julho
30 de julho
31 de julho
1 de agosto
2 de agosto
3 de agosto
4 de agosto
5 de agosto
6 de agosto
7 de agosto
8 de agosto
9 de agosto
10 de agosto
11 de agosto
12 de agosto
13 de agosto
14 de agosto
15 de agosto
16 de agosto
17 de agosto
18 de agosto
19 de agosto
20 de agosto
21 de agosto
22 de agosto
23 de agosto
24 de agosto
25 de agosto
26 de agosto
27 de agosto
28 de agosto
29 de agosto
30 de agosto
31 de agosto
6 de outubro
7 de outubro
8 de outubro
9 de outubro
10 de outubro
11 de outubro
12 de outubro
13 de outubro
14 de outubro
15 de outubro
16 de outubro
17 de outubro
18 de outubro
19 de outubro
20 de outubro
21 de outubro
22 de outubro
23 de outubro
24 de outubro
25 de outubro
26 de outubro
27 de outubro
28 de outubro
29 de outubro
30 de outubro
31 de outubro
Novembro
1 de novembro
2 de novembro
3 de novembro
4 de novembro
5 de novembro
6 de novembro
7 de novembro
8 de novembro
9 de novembro
10 de novembro
11 de novembro
12 de novembro
13 de novembro
14 de novembro
15 de novembro
16 de novembro
17 de novembro
18 de novembro
19 de novembro
20 de novembro
21 de novembro
22 de novembro
23 de novembro
24 de novembro
25 de novembro
26 de novembro
27 de novembro
28 de novembro
29 de novembro
30 de novembro
Dezembro
1 de dezembro
2 de dezembro
3 de dezembro
4 de dezembro
5 de dezembro
6 de dezembro
7 de dezembro
8 de dezembro
9 de dezembro
10 de dezembro
11 de dezembro
12 de dezembro
13 de dezembro
14 de dezembro
15 de dezembro
16 de dezembro
17 de dezembro
18 de dezembro
19 de dezembro
21 de dezembro
22 de dezembro
23 de dezembro
24 de dezembro
25 de dezembro
26 de dezembro
27 de dezembro
28 de dezembro
29 de dezembro
30 de dezembro
31 de dezembro
0 de janeiro
30 de fevereiro
31 de fevereiro
0 de março
