Partido Republicano (Estados Unidos)
Aluísio Mendes
Gilberto Aparecido Abramo
Lafayette Andrada
Samuel Viana
Murilo Galdino
Wilson Santiago
Augusto Coutinho
Ossesio Silva
Jadyel Alencar
Diego Alexsander Garcia
Jorge Braz
Rosângela Gomes
Luciano Vieira
Thiago Flores
José Francisco Lopes de Albuquerque
Gabriel Mota
Defensor Stélio Dener
Carlos Gomes da Silva
Franciane Bayer
Jorge Goetten
Gustinho Ribeiro
Maria Rosas
Milton Vieira (político)
Vinicius Carvalho
Ricardo Ayres
Toinho Andrade
Jhonatan de Jesus
Tribunal de Contas da União
Lista de deputados federais do Brasil da 53.ª legislatura
Lista de deputados federais do Brasil da 54.ª legislatura
Lista de deputados federais do Brasil da 55.ª legislatura
Lista de deputados federais do Brasil da 56.ª legislatura
Lista de deputados federais do Brasil da 57.ª legislatura
Eleições estaduais no Brasil em 2022
Eleições estaduais no Acre em 2022
Mara Rocha
Eleições estaduais em Alagoas em 2022
Rui Palmeira
Eleições estaduais no Amazonas em 2022
Wilson Lima
Eleições estaduais no Amapá em 2022
Clécio Luís
Davi Alcolumbre
Eleições estaduais na Bahia em 2022
ACM Neto
Cacá Leão
Eleições estaduais no Ceará em 2022
Capitão Wagner
Raimundo Matos
Eleições distritais no Distrito Federal em 2022
Eleições estaduais no Espírito Santo em 2022
Eleições estaduais em Goiás em 2022
Gustavo Mendanha
João Campos de Araújo
Heuler Cruvinel
Eleições estaduais no Maranhão em 2022
Weverton Rocha
Roberto Rocha
Eleições estaduais em Minas Gerais em 2022
Carlos Viana
Eleições estaduais em Mato Grosso do Sul em 2022
Tereza Cristina (política)
Barbosinha
Eleições estaduais em Mato Grosso em 2022
Mauro Mendes
Wellington Fagundes
Otaviano Pivetta
Eleições estaduais no Pará em 2022
Helder Barbalho
Beto Faro
Flexa Ribeiro
Manoel Pioneiro
Eleições estaduais na Paraíba em 2022
João Azevêdo
Pollyanna Dutra
Eleições estaduais em Pernambuco em 2022
Danilo Cabral
Teresa Leitão
Luciana Santos
Eleições estaduais no Piauí em 2022
Eleições estaduais no Paraná em 2022
Ratinho Júnior
Darci Piana
Eleições estaduais no Rio de Janeiro em 2022
Cláudio Castro
Romário
Thiago Pampolha
Eleições estaduais no Rio Grande do Norte em 2022
Fátima Bezerra
Carlos Eduardo Alves
Walter Alves
Eleições estaduais em Rondônia em 2022
Marcos Rocha (político)
Mariana Carvalho
Eleições estaduais em Roraima em 2022
Antônio Denarium
Hiran Gonçalves
Eleições estaduais no Rio Grande do Sul em 2022
Onyx Lorenzoni
Eleições estaduais em Santa Catarina em 2022
Carlos Moisés
Celso Maldaner
Udo Döhler
Eleições estaduais em Sergipe em 2022
Fábio Mitidieri
Laércio Oliveira
Eleições estaduais em São Paulo em 2022
Tarcísio Gomes de Freitas
Marcos Pontes
Felicio Ramuth
Eleições estaduais no Tocantins em 2022
Wanderlei Barbosa
Dorinha Rezende
Eleições estaduais no Brasil em 2018
Eleições estaduais no Acre em 2018
Marcus Alexandre
Jorge Viana
Manuel Marcos
Juliana Rodrigues de Oliveira
Ney Amorim
Eleições estaduais em Alagoas em 2018
Rodrigo Cunha
Severino Pessôa
Benedito de Lira
Eleições estaduais no Amazonas em 2018
Omar Aziz
Plínio Valério
Alberto Cavalcante Neto
Arthur Virgílio Bisneto
Eleições estaduais no Amapá em 2018
Waldez Góes
Lucas Barreto
Aline Gurgel
Jaime Nunes
Eleições estaduais na Bahia em 2018
José Ronaldo
Jutahy Magalhães Júnior
João Roma
Jurailton Santos
Irmão Lázaro
Eleições estaduais no Ceará em 2018
Camilo Santana
Eunício Oliveira
David Durand
Izolda Cela
Eleições distritais no Distrito Federal em 2018
Rogério Rosso
Cristovam Buarque
Martins Machado
Rafael Delmasso
Eleições estaduais no Espírito Santo em 2018
Carlos Manato
Magno Malta
Eleições estaduais em Goiás em 2018
Daniel Vilela
Vanderlan Cardoso
Alysson Francisco de Lima
Eleições estaduais no Maranhão em 2018
Flávio Dino
Cléber Verde
José Gentil Rosa
Carlos Brandão Junior
Eliziane Gama
Eleições estaduais em Minas Gerais em 2018
Adalclever Lopes
Fábio Cherem
Lafayette Luiz Doorgal de Andrada
Carlos Henrique Alves
Charles Santos
Mauro Tramonte
Eleições estaduais de Mato Grosso do Sul em 2018
Odilon de Oliveira
Eleições estaduais em Mato Grosso em 2018
Adilton Sachetti
Maria Lúcia Cavalli Neder
Eleições estaduais no Pará em 2018
Jader Barbalho
Vavá Martins
Fábio Freitas
Lúcio Vale
Zequinha Marinho
Eleições estaduais na Paraíba em 2018
Veneziano Vital do Rêgo
Nabor Wanderley
Lígia Feliciano
Luiz Couto
Eleições estaduais em Pernambuco em 2018
Armando Monteiro
José Mendonça Filho
Sílvio Costa Filho
William Brígido
Eleições estaduais no Piauí em 2018
José Pessoa Leal
Frank Aguiar
Gessivaldo Isaías de Carvalho Silva
Eleições estaduais no Paraná em 2018
Oriovisto Guimarães
Aroldo Martins
Luizão Goulart
Alexandre Amaro
Eleições estaduais no Rio de Janeiro em 2018
Wagner Montes
Carlos Macedo (bispo)
Danniel Librelon
Tia Ju
Marcelo Delaroli
Miro Teixeira
Eleições estaduais no Rio Grande do Norte em 2018
Robinson Faria
Geraldo Melo
Eleições estaduais em Rondônia em 2018
Expedito Júnior
Marcos Rogério
Eleições estaduais em Roraima em 2018
Eleições estaduais no Rio Grande do Sul em 2018
Eduardo Leite
Luis Carlos Heinze
Fran Somensi
Sergio Peres
Ranolfo Vieira Júnior
Mário Bernd
Eleições estaduais em Santa Catarina em 2018
Gelson Merisio
Esperidião Amin
Hélio Francisco da Costa
Sergio Motta
João Paulo Kleinübing
Raimundo Colombo
Eleições estaduais em Sergipe em 2018
Eduardo Amorim
André Moura
Heleno Silva
Eleições estaduais em São Paulo em 2018
João Dória
Mara Gabrilli
Milton Vieira Pinto
Benedito Roberto Alves
Edna Macedo
Jorge Wilson
Altair Moraes
Gilmaci Santos
Sebastião Santos
Wellington Moura
Rodrigo Garcia
Ricardo Tripoli
Eleições estaduais no Tocantins em 2018
Mauro Carlesse
Carlos Eduardo Torres Gomes
César Halum
Eleição presidencial no Brasil em 2006
Partido dos Trabalhadores
Partido Comunista do Brasil
Eleição presidencial no Brasil em 2010
Movimento Democrático Brasileiro (1980)
Partido Socialista Brasileiro (1985)
Partido Social Cristão
Partido Trabalhista Cristão
Podemos (Brasil)
Eleição presidencial no Brasil em 2014
Partido Social Democrático (2011)
Partido Republicano da Ordem Social
Eleição presidencial no Brasil em 2018
Geraldo Alckmin
Partido da Social Democracia Brasileira
Ana Amélia Lemos
Solidariedade (partido político)
Democratas (Brasil)
Partido Trabalhista Brasileiro (1979)
Cidadania (partido político)
Walter Braga Netto
Congresso em Foco
Universidade Federal do Rio de Janeiro
Cientista política
Universidade Federal do Paraná
Facebook
Instagram
Twitter
YouTube
Partidos políticos no Brasil
Partido Socialista dos Trabalhadores Unificado
Rede Sustentabilidade
Partido Comunista Brasileiro
Partido Renovação Democrática
Democracia Cristã (Brasil)
Partido Renovador Trabalhista Brasileiro
Partido da Causa Operária
Partido Novo
Mobilização Nacional
Partido da Mulher Brasileira
Agir (Brasil)
Partido Verde (Brasil)
União Brasil
Avante
Unidade Popular (Brasil)
Lista de partidos políticos brasileiros extintos
Retorno do pluripartidarismo no Brasil
Lista de fundações partidárias do Brasil
Posicionamentos dos partidos brasileiros
