Estados Unidos
Oscar 1991
Oscar 1992
Oscar 1994
Oscar 1995
Oscar 1996
Oscar 1997
Oscar 1998
Oscar 1999
Oscar 2000
Oscar 2001
Oscar 2002
Oscar 2004
Oscar 2005
Oscar 2009
Oscar 2010
Oscar 2011
Oscar 2012
Oscar 2013
Oscar 2014
Oscar 2015
Oscar 2016
Oscar 2017
Oscar 2018
Óscar 2019
Oscar 2021
Oscar 2022
Oscar 2023
Oscar 2025
Lista de filmes que receberam mais de dez indicações para os prêmios Oscar
Lista de indicações brasileiras ao Oscar
Lista de nomeações portuguesas ao Óscar
Lista de atores com dois ou mais Oscars nas categorias de atuação
Lista de atores nomeados para dois prémios da Academia no mesmo ano
Lista de afro-americanos indicados ao Oscar
Lista de pessoas LGBT indicadas ao Oscar
Lista dos indicados ao Oscar de melhor filme internacional
Lista de atores indicados ao Oscar por atuações em língua não-inglesa
Lista de representantes brasileiros para o Oscar de melhor filme internacional
Lista de representantes portugueses para o Óscar de melhor filme internacional
Temporada do Oscar
Agressão de Will Smith a Chris Rock
Le notti di Cabiria
Mon oncle
Orfeu Negro
Jungfrukällan
Såsom i en spegel
Les dimanches de Ville d'Avray
8½
"Ontem, Hoje e Amanhã"
Obchod na korze
Un homme et une femme
Ostře sledované vlaky
Guerra e Paz (1966)
Z (filme)
Indagine su un cittadino al di sopra di ogni sospetto
Il giardino dei Finzi-Contini
Le charme discret de la bourgeoisie
A Noite Americana
Amarcord
Dersu Uzala
La Victoire en chantant
La Vie devant soi
Préparez vos mouchoirs
O Tambor (filme)
Moskva slezam ne verit
Mephisto (filme)
Volver a empezar (filme)
Fanny e Alexander
La diagonale du fou
A História Oficial
De Aanslag
A Festa de Babette
"Pelle, o Conquistador"
Nuovo Cinema Paradiso
Reise der Hoffnung
Mediterraneo (filme)
Indochine (filme)
Belle Époque (filme)
Sol Enganador
Antonia (filme de 1995)
Kolja
Karakter
A Vida É Bela
Tudo sobre Minha Mãe
O Tigre e o Dragão (filme)
Ničija Zemlja
Nirgendwo in Afrika
Mar Adentro
Tsotsi
Das Leben der Anderen
Die Fälscher
Okuribito
O Segredo dos Seus Olhos
Hævnen
Jodaeiye Nader az Simin
Amor (2012)
A Grande Beleza
Ida (filme)
Saul fia
Forushande
Una mujer fantástica
Roma (filme de 2018)
Druk
Doraibu mai kā
Im Westen nichts Neues (filme)
The Zone of Interest
Lista de inscrições ao Oscar de melhor filme estrangeiro em 1999
Lista de inscrições ao Oscar de melhor filme estrangeiro em 2004
Lista de inscrições ao Oscar de melhor filme estrangeiro em 2013
Lista de inscrições ao Oscar de melhor filme estrangeiro em 2014
Lista de inscrições ao Oscar de melhor filme estrangeiro em 2015
Lista de inscrições ao Oscar de melhor filme estrangeiro em 2016
Lista de inscrições ao Oscar de Melhor Filme Estrangeiro em 2017
Lista de inscrições ao Oscar de melhor filme estrangeiro em 2018
Lista de inscrições ao Oscar de melhor filme internacional em 2019
Lista de inscrições ao Oscar de melhor filme internacional em 2020
Lista de inscrições ao Oscar 2021 de melhor filme internacional
Lista de inscrições ao Oscar 2022 de melhor filme internacional
Lista de inscrições ao Oscar 2023 de melhor filme internacional
Lista de inscrições ao Oscar 2024 de melhor filme internacional
Lista de inscrições ao Oscar 2025 de melhor filme internacional
Lista de representantes da África do Sul ao Oscar de melhor filme internacional
Lista de representantes da Argentina para o Oscar de melhor filme internacional
Lista de representantes da Bolívia ao Oscar de melhor filme internacional
Lista de representantes do Chile para o Oscar de melhor filme internacional
Lista de representantes de Cuba ao Oscar de melhor filme Internacional
Lista de representantes do México ao Oscar de melhor filme internacional
Lista de representantes do Suriname ao Oscar de melhor filme internacional
Lista de representantes da Armênia ao Oscar de melhor filme internacional
Lista de representantes do Butão ao Oscar de melhor filme internacional
Lista de representantes do Cazaquistão ao Oscar de melhor filme internacional
Lista de representantes da Coreia do Sul ao Oscar de melhor filme internacional
Lista de representantes da Índia ao Oscar de melhor filme internacional
Lista de representantes japoneses para o Oscar de melhor filme internacional
Lista de representantes da Alemanha ao Oscar de melhor filme internacional
Lista de representantes da Albânia ao Oscar de melhor filme internacional
Lista de representantes da Áustria ao Oscar de melhor filme internacional
Lista de representantes da Dinamarca ao Oscar de melhor filme internacional
Lista de representantes da Espanha ao Oscar de melhor filme internacional
Lista de representantes da França ao Oscar de melhor filme internacional
Lista de representantes da Hungria ao Oscar de melhor filme internacional
Lista de representantes da Itália ao Oscar de melhor filme internacional
Lista de representantes dos Países Baixos ao Oscar de melhor filme internacional
Lista de representantes da Polônia ao Oscar de melhor filme internacional
Lista de representantes da República Tcheca ao Oscar de melhor filme internacional
Lista de representantes da Romênia ao Oscar de melhor filme internacional
Lista de representantes da Rússia ao Oscar de melhor filme internacional
Lista de representantes da Suécia ao Oscar de melhor filme internacional
Lista de representantes da Suíça ao Oscar de melhor filme internacional
Lista de representantes da Austrália ao Oscar de melhor filme internacional
Lista de representantes do Afeganistão ao Oscar de melhor filme internacional
Lista de representantes da Arábia Saudita ao Oscar de melhor filme internacional
Lista de representantes do Irã ao Oscar de melhor filme internacional
Lista de representantes da Palestina ao Oscar de melhor filme internacional
Lista de representantes da Checoslováquia ao Oscar de melhor filme internacional
Lista de representantes da União Soviética ao Oscar de melhor filme internacional
