Unidades federativas do Brasil
Região Metropolitana do Médio Sertão
Região Metropolitana de Natal
Região Metropolitana de Palmeira dos Índios
Região Metropolitana de Patos
Região Metropolitana do Recife
Região Metropolitana do São Francisco
Região Metropolitana de São Luís
Região Metropolitana do Sertão
Região Metropolitana de Sobral
Região Metropolitana de Sousa
Região Metropolitana do Sudoeste Maranhense
Região Metropolitana do Vale do Paraíba
Região Metropolitana do Vale do Piancó
Região Metropolitana da Zona da Mata
Região Metropolitana de Belém
Região Metropolitana de Boa Vista
Região Metropolitana Central
Região Metropolitana de Gurupi
Região Metropolitana de Macapá
Região Metropolitana de Manaus
Região Metropolitana de Palmas
Região Metropolitana de Porto Velho
Região Metropolitana de Santarém
Região Metropolitana do Sul de Roraima
Região Metropolitana da Baixada Santista
Região Metropolitana de Belo Horizonte
Região Metropolitana de Campinas
Região Metropolitana de Jundiaí
Região Metropolitana de Piracicaba
Região Metropolitana de Ribeirão Preto
Região Metropolitana do Rio de Janeiro
Região Metropolitana de São José do Rio Preto
Região Metropolitana de São Paulo
Região Metropolitana de Sorocaba
Região Metropolitana do Vale do Aço
Região Metropolitana do Vale do Paraíba e Litoral Norte
Região Metropolitana de Vitória
Região Metropolitana do Alto Vale do Itajaí
Região Metropolitana de Apucarana
Região Metropolitana Carbonífera
Região Metropolitana de Cascavel
Região Metropolitana de Chapecó
Região Metropolitana do Contestado
Região Metropolitana de Curitiba
Região Metropolitana do Extremo Oeste
Região Metropolitana de Florianópolis
Região Metropolitana da Foz do Rio Itajaí
Região Metropolitana de Lages
Região Metropolitana de Londrina
Região Metropolitana de Maringá
Região Metropolitana do Norte-Nordeste Catarinense
Região Metropolitana de Porto Alegre
Região Metropolitana da Serra Gaúcha
Região Metropolitana de Toledo
Região Metropolitana de Tubarão
Região Metropolitana de Umuarama
Região Metropolitana do Vale do Itajaí
Região integrada de desenvolvimento
Região Integrada de Desenvolvimento do Distrito Federal e Entorno
Região Integrada de Desenvolvimento da Grande Teresina
Aglomeração Urbana de Franca
Aglomeração urbana do Litoral Norte
Aglomeração urbana do Sul
Lista de regiões metropolitanas brasileiras por IDH
Lista de projetos de lei de criação de unidades regionais no Brasil
Base Virtual Internacional de Autoridade
Faceted Application of Subject Terminology
Biblioteca Nacional do Brasil
OpenStreetMap
