Estados Unidos
20 de maio
1918
Divisão de Aeronáutica Militar
24 de maio
Serviço Aéreo do Exército dos Estados Unidos
2 de julho
1926
Corpo Aéreo do Exército dos Estados Unidos
20 de junho
1941
Década de 2000
2005
2022
2007
Demissão
Guerra do Golfo
1991
2008
5 de junho
Robert Gates
Bomba nuclear
Boeing B-52 Stratofortress
Minot Air Force Base
Taiwan
24 de outubro
Bombardeiro
26 de junho
2009
23 de julho
Veículo aéreo não tripulado
2047
Cientista
Armas hipersônicas de longo alcance
Década de 2020
Década de 2030
Década de 2040
Caças de sexta geração
Lockheed SR-71 Blackbird
Avião de reconhecimento
Guerra Fria
Lockheed F-117 Nighthawk
Avião furtivo
Expedição Pancho Villa
Primeira Guerra Mundial
Guerra da Coreia
Guerra do Vietnã
Operação Eagle Claw
1980
Invasão de Granada
Granada (país)
1983
Operação El Dorado Canyon
Líbia
1986
Invasão do Panamá pelos Estados Unidos em 1989
Panamá
1989
1990
Operação Southern Watch
Zonas de exclusão aérea no Iraque
1992
2003
Operação Força Deliberada
Organização do Tratado do Atlântico Norte
1995
Bósnia e Herzegovina
Operação Northern Watch
1997
Operação Raposa do Deserto
1998
Intervenção militar na Iugoslávia em 1999
Guerra do Afeganistão (2001–2021)
Operação Liberdade Duradoura
2001
2014
Operação Sentinela da Liberdade
2015
2021
Guerra do Iraque
2011
2010
Zona de exclusão aérea
Força-Tarefa Conjunta Combinada — Operação Resolução Inerente
Estado Islâmico do Iraque e do Levante
Operação Serval
Douglas C-54 Skymaster
Bloqueio de Berlim
1948
1956
1957
1975
1993
1996
Dezembro
2004
Abril
14 de janeiro
22 de março
12 de março
1 de maio
17 de setembro
Piloto (aviação)
Incidente de armas nucleares da Força Aérea dos Estados Unidos de 2007
Junho
The Washington Post
Individualismo
Major-general
Igualitarismo
Tripulação
Government Accountability Office
Força Aérea Real
Esquadrão
30 de setembro
2006
Força Aérea Numerada
Virginia
Texas
Luisiana
Base Aérea Wright-Patterson
Ohio
Base aérea Robins
Geórgia (Estados Unidos)
Flórida
Scott Air Force Base
Illinois
Forças Aéreas do Pacífico
Havaí
Base aérea de Ramstein
Renânia-Palatinado
Alemanha
Base aérea Andrews
Maryland
Novo México
Academia da Força Aérea dos Estados Unidos
Air Force Academy
Colorado
Poder aéreo
Comando e Controle
Médico
Enfermeiro
Loadmaster
Distintivo de Aviador dos Estados Unidos
Suboficial
Oficial (militar)
General
Henry H. Arnold
San Antonio
Capitão
Major
Tenente-coronel
Coronel
Tenente-general
General de brigada
Primeiro-tenente
Segundo-tenente
Subtenente
1959
Sargento
Década de 1960
Cabo (militar)
1976
1994
Alamares
1 de outubro
2018
Lackland Air Force Base
Base Aérea de Maxwell
Montgomery (Alabama)
Alabama
Medicina
Direito
Religião
Biologia
Gestão hospitalar
1 de junho
1 de julho
1962
Caça de ataque
Frente de batalha
Embraer EMB-314 Super Tucano
Lockheed AC-130
Northrop Grumman B-2 Spirit
Bombardeio tático
Década de 1990
Rockwell B-1 Lancer
Década de 1980
Northrop Grumman B-21 Raider
Avião cargueiro
Aeronave de transporte militar
Espaço aéreo
Lockheed C-130 Hercules
Lockheed C-5 Galaxy
Bell Boeing V-22 Osprey
Alenia C-27J Spartan
Dornier 328
Beechcraft Super King Air
Boeing E-3 Sentry
Alerta Aéreo Antecipado
Guerra eletrónica
Interferência
Northrop Grumman E-8 Joint STARS
Lockheed EC-130
Lockheed Martin F-22 Raptor
Caça de superioridade aérea
Dogfight
Caça-bombardeiro
General Dynamics F-16
Esquadrão de Demonstração Aérea da USAF (Thunderbirds)
McDonnell Douglas F-4 Phantom II
McDonnell Douglas F-15 Eagle
McDonnell Douglas F-15E Strike Eagle
Boeing F-15EX Eagle II
Busca e salvamento
Área 51
McDonnell Douglas KC-10 Extender
Boeing KC-135 Stratotanker
MC-12 Liberty
Beale Air Force Base
General Atomics MQ-9 Reaper
Infiltração (militar)
AGM-114 Hellfire
Veículo aéreo não tripulado de combate
General Atomics MQ-1 Predator
Tratado de Céus Abertos
2002
Lockheed U-2
Aeronave de vigilância
Boeing RC-135
AeroVironment RQ-11 Raven
Avião de treinamento
Raytheon T-1 Jayhawk
Northrop T-38 Talon
Planador
Bell UH-1 Iroquois
Boeing VC-25
Força Aérea Um
Monte Rushmore
Vice-presidente dos Estados Unidos
Boeing C-32
Air Force Two
Learjet 35
Boeing C-40 Clipper
Ciclone tropical
Tufão
Lockheed WC-130
CASA CN-235
Grob G 120TP
Mil Mi-17
Departamento de Estado dos Estados Unidos
Council on Foreign Relations
Governo dos Estados Unidos
Câmara dos Representantes dos Estados Unidos
PBS
Bloomsbury Publishing Plc
International Standard Book Number
McFarland & Company
Smithsonian (revista)
The New York Times
Reuters
CBS
National Public Radio
NBC
Brookings Institution
Guarda Nacional dos Estados Unidos
CNN
Atlantic Council
Time (revista)
Los Angeles Times
Associated Press
RAND Corporation
Sierra Nevada Corporation
The Salt Lake Tribune
Business Insider
Flight Global
Universo Online
The Economic Times
Flying (revista)
Secretário do Exército dos Estados Unidos
Secretário da Marinha dos Estados Unidos
Força aérea
Força Aérea da Abecásia
Força Aérea Afegã
Força Aérea da África do Sul
Força Aérea da Albânia
Força Aérea Alemã
Força Aérea Nacional de Angola
Força Aérea Real Saudita
Força Aérea Argelina
Força Aérea Argentina
Força Aérea Arménia
Força Aérea Real Australiana
Força Aérea da Áustria
Força Aérea do Azerbaijão
Força Aérea de Bangladesh
Real Força Aérea do Barém
Força Aérea da Bielorrússia
Componente Aérea do Exército Belga
Força Aérea Boliviana
Força Aérea Brasileira
Força Aérea da Bulgária
Real Força Aérea Canadiana
Força Aérea do Catar
Força Aérea da Chéquia
Força Aérea Chilena
Força Aérea do Exército Popular de Libertação
Força Aérea Colombiana
Força Aérea da Coreia do Norte
Força Aérea da Coreia do Sul
Força Aérea e de Defesa Aérea da Croácia
Força Aérea de Cuba
Força Aérea Real Dinamarquesa
Força Aérea do Egito
Força Aérea de El Salvador
Força Aérea da Eslováquia
Força Aérea da Eslovénia
Força Aérea Espanhola
Força Aérea da Estônia
Força Aérea da Finlândia
Exército do Ar Francês
Força Aérea Grega
Força Aérea da Hungria
Força Aérea Indiana
Força Aérea da Indonésia
Força Aérea do Irão
Força Aérea do Iraque
Força Aérea da Irlanda
Força Aérea de Israel
Força Aérea da Itália
Força Aérea de Autodefesa do Japão
Força Aérea Real da Jordânia
Força Aérea do Kuwait
Força Aérea da Líbia
Força Aérea da Lituânia
Força Aérea do Luxemburgo
Força Aérea da Malásia
Força Aérea Real Marroquina
Força Aérea do México
Força Aérea da Moldávia
Força Aérea do Mónaco
Força Aérea da Nigéria
Força Aérea da Noruega
Força Aérea da Nova Zelândia
Real Força Aérea Neerlandesa
Força Aérea do Paquistão
Força Aérea do Paraguai
Força Aérea do Peru
Força Aérea da Polónia
Força Aérea Portuguesa
Força Aérea do Quénia
Real Força Aérea
Força Aérea da Roménia
Força Aérea Russa
Força Aérea de San Marino
Força Aérea da Sérvia
Força Aérea de Singapura
Força Aérea da Síria
Força Aérea da Suécia
Força Aérea da Suíça
Força Aérea da Tailândia
Força Aérea de Taiwan
Força Aérea Tunisiana
Força Aérea Turca
Força Aérea da Ucrânia
Força Aérea do Uganda
Força Aérea do Uruguai
Força Aérea da Venezuela
Força Aérea do Vietname
Luftwaffe
Força Aérea Checoslovaca
Luftstreitkräfte
Força Aérea do Império Austro-Húngaro
Regia Aeronautica
Forças de aviação do Império Otomano
Serviço Aéreo da Rússia Imperial
Força Aérea Jugoslava
Real Força Aérea Jugoslava
Força Aérea Eslovaca (1939-1945)
Força Aérea Insurgente da Eslováquia
Força Aérea da República Espanhola
Força Aérea da Sérvia e Montenegro
Força Aérea Soviética
Base Virtual Internacional de Autoridade
Bibsys
Museu Britânico
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
CiNii
Encyclopædia Britannica
Faceted Application of Subject Terminology
Gemeinsame Normdatei
Global Research Identifier Database
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
MusicBrainz
Biblioteca Nacional da Austrália
Sistema Universitário de Documentação
Biblioteca Nacional de Portugal
IMDb
Open Library
Biblioteca Nacional de Israel
