Bandeira das Nações Unidas
Conselho de Tutela das Nações Unidas
Palau
Haia
Países Baixos
Língua oficial
On-line
Resoluções do Conselho de Segurança das Nações Unidas
Rússia
Poder de veto do Conselho de Segurança das Nações Unidas
Sede da ONU
De facto
Portugal
Franklin D. Roosevelt
Noruega
Europa
Suécia
Birmânia
Ásia
Kurt Waldheim
Áustria
Javier Pérez de Cuéllar
Peru
América do Sul
Egito
África
Gana
Coreia do Sul
Comunidade dos Países de Língua Portuguesa
Palácio da Paz
Corte Permanente de Justiça Internacional
Academia de Direito Internacional de Haia
Direito internacional
Crimes de guerra
Tribunal Penal Internacional
Genocídio
Banco Mundial
Fundo Monetário Internacional
Palácio das Nações
Genebra
Suíça
Comissão das Nações Unidas para os Direitos Humanos
Ilhas Marshall
Bielorrússia
Irã
Venezuela
Europa Oriental
América Latina
Caribe
Europa Ocidental
América do Norte
Oceania
Turquia
Agência Internacional de Energia Atómica
Organização das Nações Unidas para a Alimentação e a Agricultura
Organização Mundial da Saúde
Fome
Desnutrição
FAO
Itália
Roma
AIEA
Argentina
OACI
Organização da Aviação Civil Internacional
Canadá
Montreal
IFAD
Fundo Internacional de Desenvolvimento Agrícola
Togo
OIT
Organização Internacional do Trabalho
Organização Marítima Internacional
FMI
"Washington, D.C."
Bulgária
Kristalina Gueorguieva
UIT
União Internacional de Telecomunicações
Paris
Audrey Azoulay
UNIDO
Organização das Nações Unidas para o Desenvolvimento Industrial
OMT
Organização Mundial do Turismo
Espanha
Madrid
Geórgia
UPU
União Postal Universal
Berna
Quénia
David Malpass
OMS
Etiópia
Tedros Adhanom
OMPI
Organização Mundial da Propriedade Intelectual
Austrália
OMM
Organização Meteorológica Mundial
Saara Ocidental
Sudão do Sul
Lista de Estados soberanos
Estado não reconhecido
Vaticano
Santa Sé
Estado da Palestina
Ilhas Cook
Niue
Estado associado
Nova Zelândia
Conferência das Nações Unidas sobre Comércio e Desenvolvimento
Argel
Forças de manutenção da paz das Nações Unidas
Lista das missões de manutenção da paz das Nações Unidas
Missão das Nações Unidas na República Democrática do Congo
Grupo de Observadores Militares das Nações Unidas para Índia e Paquistão
Jammu e Caxemira
Genocídio em Bangladesh em 1971
Regime do Khmer Vermelho
Massacre de Srebrenica
Guerra Civil da Somália
Abuso sexual de menor
Abuso sexual
Libéria
Sudão
Burundi
Costa do Marfim
Surto de cólera no Haiti de 2010
Linha Verde (Chipre)
Invasão turca de Chipre
Autometralhadora
Arma nuclear
Tratado do Espaço Exterior
Tratado de Não Proliferação de Armas Nucleares
Tratado sobre a Proibição da Colocação de Armas Nucleares e Outras Armas de Destruição em Massa no Leito do Mar e no Fundo do Oceano
Convenção sobre as Armas Biológicas
Convenção sobre as Armas Químicas
Tratado de Ottawa
Agência Internacional de Energia Atômica
Organização para a Proibição de Armas Químicas
Tratado de Interdição Completa de Ensaios Nucleares
Eleanor Roosevelt
Declaração Universal dos Direitos Humanos
René Cassin
Pacto Internacional dos Direitos Civis e Políticos
"Pacto Internacional dos Direitos Econômicos, Sociais e Culturais"
Convenção sobre a eliminação de todas as formas de discriminação contra as mulheres
Convenção internacional sobre os direitos da criança
Declaração sobre os Direitos dos Povos Indígenas
Declaração sobre orientação sexual e identidade de gênero das Nações Unidas
LGBT
Direitos da mulher
Fundo de Desenvolvimento das Nações Unidas para a mulher
Instituto Internacional de Pesquisas e Capacitação para o Progresso da Mulher
Objetivos de Desenvolvimento do Milênio
Programa das Nações Unidas para o Desenvolvimento
Índice de Desenvolvimento Humano
Lista de países por Índice de Desenvolvimento Humano
Organização das Nações Unidas para Alimentação e Agricultura
UNICEF
Acordos de Bretton Woods
Varíola
Poliomielite
Oncocercose
Lepra
UNAIDS
AIDS
Fundo de População das Nações Unidas
Saúde sexual
Planejamento familiar
Movimento Internacional da Cruz Vermelha e do Crescente Vermelho
Alto Comissariado das Nações Unidas para os Refugiados
Comitê Especial da Descolonização
Programa das Nações Unidas para o Meio Ambiente
ECO-92
Rio de Janeiro (cidade)
Brasil
Painel Intergovernamental sobre Mudanças Climáticas
Aquecimento global
Protocolo de Quioto
Conferência das Nações Unidas sobre as Mudanças Climáticas de 2015
Acordo de Paris (2015)
Mudanças climáticas
Datas comemorativas
Dia da Terra
Porcentagem
México
Arábia Saudita
Produto nacional bruto
Dívida externa
Renda per capita
Países menos desenvolvidos
Secretário de Estado dos Estados Unidos
Cordell Hull
Lester B. Pearson
Comitê Francês de Libertação Nacional
Charles de Gaulle
George W. Bush
François Hollande
Alan Dershowitz
Logotipo
Assembleia Parlamentar das Nações Unidas
Nações G4
Índia
Reforma do Conselho de Segurança das Nações Unidas
Divisão norte-sul
Laissez-faire
Terrorismo
Escritório de Serviços de Supervisão Interna da ONU
Conselho de Direitos Humanos
Metas de desenvolvimento do milênio
Boinas azuis
Direitos da criança
Direitos da Mulher
ONU Mulheres
Tratado da Antártida
País
Língua castelhana
Lord Byron
A Peregrinação de Childe Harold
International Standard Book Number
Universidade de São Paulo
Wayback Machine
The New York Times
The Washington Post
BBC News
The Daily Telegraph
CNN
Palácio do Planalto
The Huffington Post
Associated Press
UOL
BBC Brasil
The Baltimore Sun
Indiana University Press
Jewish Telegraphic Agency
The Independent
The Atlantic
Paul Kennedy
Wikcionário
Sociedade das Nações
Quatro Policiais
Alargamento da Organização das Nações Unidas
Dia das Nações Unidas
Línguas oficiais da Organização das Nações Unidas
Mandato da ONU
Grupos regionais das Nações Unidas
Geoesquema das Nações Unidas
Presidentes da Assembleia Geral das Nações Unidas
Resolução da Assembleia Geral das Nações Unidas
Centro de Comércio Internacional
Programa das Nações Unidas para os Assentamentos Humanos
Alto-comissariado das Nações Unidas para os Refugiados
Escritório das Nações Unidas sobre Drogas e Crime
Agência das Nações Unidas de Assistência aos Refugiados da Palestina no Próximo Oriente
Instituto de Pesquisa das Nações Unidas para o Desenvolvimento Social
Universidade das Nações Unidas
Escritório das Nações Unidas de Serviços para Projetos
Membros permanentes do Conselho de Segurança das Nações Unidas
Lista de vetos do governo dos Estados Unidos no Conselho de Segurança da ONU
Polícia das Nações Unidas
Resolução do Conselho de Segurança das Nações Unidas
Tribunal Especial para a Serra Leoa
Tribunal Penal Internacional para a ex-Jugoslávia
Tribunal Penal Internacional para o Ruanda
Comissão de Consolidação da Paz das Nações Unidas
Fundo para a Consolidação da Paz das Nações Unidas
Comissão de Estado-Maior
"Comissão das Nações Unidas de Vigilância, Verificação e Inspeção"
Status Consultivo
Comissão das Nações Unidas para o Desenvolvimento Sustentável
Comissão Estatística das Nações Unidas
Comissão das Nações Unidas de Desenvolvimento Social
Fórum das Nações Unidas para as Florestas
Comissão Econômica para a América Latina e o Caribe
Comissão Econômica das Nações Unidas para a África
Comissão Económica das Nações Unidas para a Europa
Comissão Econômica e Social para a Ásia e o Pacífico
Lista de agências especializadas da Organização das Nações Unidas
Grupo Banco Mundial
Organização Mundial do Comércio
Organização Internacional para as Migrações
Organização Mundial de Turismo
Escritório das Nações Unidas em Nairóbi
Escritório das Nações Unidas em Viena
Escritório do Alto-comissário das Nações Unidas para os Direitos Humanos
Escritório das Nações Unidas para Assuntos de Desarmamento
Escritório de Serviços de Supervisão Interna das Nações Unidas
Departamento de Assuntos Econômicos e Sociais das Nações Unidas
Departamento de Assuntos Políticos e de Consolidação da Paz das Nações Unidas
Protetorado das Nações Unidas
Lista das Nações Unidas de territórios não autônomos
Resolução das Nações Unidas
Lista de anos internacionais da Organização das Nações Unidas
Objetivos de Desenvolvimento Sustentável
Convenção da ONU sobre Armas Convencionais
Convenção das Nações Unidas contra a Corrupção
Convenção das Nações Unidas para a Venda Internacional de Mercadorias
Convenção das Nações Unidas para o Combate à Desertificação
Convenção das Nações Unidas relativa ao Estatuto dos Refugiados
Convenção de Londres
Convenção de Modificação Ambiental
Convenção de Viena para a Proteção da Camada de Ozônio
Convenção internacional sobre a eliminação de todas as formas de discriminação racial
Convenção Internacional sobre os Direitos das Pessoas com Deficiência
Convenção das Nações Unidas sobre o Direito do Mar
Convenção sobre a Escravatura
Convenção sobre Diversidade Biológica
Convenção sobre o Estatuto dos Apátridas
Convenção-Quadro das Nações Unidas sobre a Mudança do Clima
Estratégia Global para a Conservação de Plantas
Convenção de Viena sobre Direito dos Tratados
Convenção de Viena sobre Relações Diplomáticas
Declaração das Nações Unidas sobre os Direitos dos Povos Indígenas
Declaração de Roma
Regras de Mandela
Regras de Bangkok
Regras de Pequim
Henri Dunant
Frédéric Passy
Élie Ducommun
Charles Albert Gobat
William Randal Cremer
Instituto de Direito Internacional
Bertha von Suttner
Theodore Roosevelt
Ernesto Teodoro Moneta
Louis Renault (jurista)
Klas Pontus Arnoldson
Fredrik Bajer
Auguste Marie François Beernaert
Estournelles de Constant
Gabinete Internacional Permanente para a Paz
Tobias Michael Carel Asser
Alfred Hermann Fried
Elihu Root
Henri La Fontaine
Woodrow Wilson
Léon Bourgeois
Hjalmar Branting
Christian Lous Lange
Fridtjof Nansen
Austen Chamberlain
Charles G. Dawes
Aristide Briand
Gustav Stresemann
Ferdinand Édouard Buisson
Ludwig Quidde
Frank B. Kellogg
Nathan Söderblom
Jane Addams
Nicholas Murray Butler
Ralph Norman Angell Lane
Arthur Henderson
Carl von Ossietzky
Carlos Saavedra Lamas
Robert Cecil
Comitê Internacional Nansen para os Refugiados
Emily Greene Balch
John Raleigh Mott
Conselho da Sociedade dos Amigos
Comitê Americano da Sociedade dos Amigos
John Boyd Orr
Léon Jouhaux
Albert Schweitzer
George Marshall
Dominique Pire
Philip Noel-Baker
Albert Lutuli
Linus Pauling
Federação Internacional das Sociedades da Cruz Vermelha e do Crescente Vermelho
Martin Luther King Jr.
Norman Borlaug
Willy Brandt
Henry Kissinger
Lê Đức Thọ
Seán MacBride
Eisaku Sato
Andrei Sakharov
Betty Williams
Mairead Corrigan
Anistia Internacional
Anwar Al Sadat
Menachem Begin
Madre Teresa de Calcutá
Adolfo Pérez Esquivel
Alva Reimer Myrdal
Alfonso García Robles
Lech Wałęsa
Desmond Tutu
Médicos Internacionais para a Prevenção da Guerra Nuclear
Elie Wiesel
Óscar Arias
Tenzin Gyatso
Mikhail Gorbatchov
Aung San Suu Kyi
Rigoberta Menchú
Nelson Mandela
Frederik Willem de Klerk
Yasser Arafat
Shimon Peres
Yitzhak Rabin
Joseph Rotblat
Conferências Pugwash sobre Ciência e Negócios Mundiais
Carlos Filipe Ximenes Belo
José Ramos-Horta
Campanha Internacional para a Eliminação de Minas
Jody Williams
John Hume
David Trimble
Médicos sem Fronteiras
Kim Dae-jung
Jimmy Carter
Shirin Ebadi
Wangari Maathai
Mohamed ElBaradei
Muhammad Yunus
Grameen Bank
Al Gore
Martti Ahtisaari
Barack Obama
Liu Xiaobo
Ellen Johnson Sirleaf
Leymah Gbowee
Tawakel Karman
União Europeia
Malala Yousafzai
Kailash Satyarthi
Quarteto para o Diálogo Nacional da Tunísia
Juan Manuel Santos
Campanha Internacional para a Abolição de Armas Nucleares
Denis Mukwege
Nadia Murad
Abiy Ahmed Ali
Maria Ressa
Dmitry Muratov
Ales Bialiatski
Memorial (associação)
Centro de Liberdades Civis
Narges Mohammadi
Confederação Japonesa de Organizações de Vítimas de Bombas A e H
Prémio Sakharov
Alexander Dubček
Mães da Praça de Maio
Taslima Nasrin
Leyla Zana
Salima Ghezali
Ibrahim Rugova
Xanana Gusmão
Nurit Peled-Elhanan
Izzat Ghazzawi
Zacarias Kamwenho
Oswaldo Payá
Damas de Branco
Repórteres sem Fronteiras
Hauwa Ibrahim
Hu Jia
Guillermo Fariñas
Asmaa Mahfouz
Ahmed al-Senussi
Mohamed Bouazizi
Nasrin Sotoudeh
Jafar Panahi
Raif Badawi
Lamiya Aji Bashar
Remoção dos poderes da Assembleia Nacional da Venezuela em 2017
Oleg Sentsov
Ilham Tohti
Protestos na Bielorrússia (2020–2021)
Alexei Navalny
Ucranianos
Mahsa Amini
María Corina Machado
Edmundo González Urrutia
Base Virtual Internacional de Autoridade
Biblioteca Apostólica Vaticana
Bibsys
Museu Britânico
Biblioteca Nacional da República Argentina
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Catálogo de autoridades de nomes e títulos da Catalunha
CiNii
Dialnet
Encyclopædia Britannica
Faceted Application of Subject Terminology
Gemeinsame Normdatei
Global Research Identifier Database
Dicionário Histórico da Suíça
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
Identificador de Entidade Jurídica
Biblioteca Nacional da Dieta
Biblioteca Nacional da Austrália
Biblioteca Nacional da Grécia
Sistema Universitário de Documentação
Enciclopédia Treccani
Biblioteca Nacional do Brasil
Descritores em Ciências da Saúde
Biblioteca Nacional de Portugal
Union List of Artist Names
Open Library
Pontifícia Universidade São Tomás de Aquino
Biblioteca Nacional do País de Gales
Getty Thesaurus of Geographic Names
Medical Subject Headings
