Válvula termiônica
CD-ROM
Pen drive
Buffer (Ciência da computação)
Cairo
Brasil
Disco virtual
E-mail
E/S
Interação homem-computador
Teclado (computador)
Digitalizador
Webcam
Caixa de som
Placa-mãe
Soquete
Placa de vídeo
Rede de área local
Fax-modem
Interface serial
Interface paralela
Dissipador
Fonte de energia
Linguagem de programação
Linguagem de máquina
Línguas naturais
Interpretador
Compilador
Assembly
Linguagem de programação de baixo nível
Prolog
Linguagem de programação de alto nível
Programação imperativa
Processador de texto
Navegador web
FLOPS
Programador
Engenharia de software
Bug
Rato (informática)
Travamento
Exploit (segurança de computadores)
Grace Hopper
Harvard Mark II
Sistema operacional
Rede de computador
Forças Armadas dos Estados Unidos
Defense Advanced Research Projects Agency
ARPANET
World Wide Web
Ethernet
Asymmetric Digital Subscriber Line
Computação óptica
Computação em DNA
Computação quântica
Função computável
Algoritmo de Shor
Máquina abstrata
Reciclagem de computadores
Eleanor Robson
International Standard Book Number
Sistema de numeração sexagesimal
Wayback Machine
Bibcode
PubMed Identifier
Digital object identifier
UNESCO
JSTOR
OCLC
Museu Nacional da História Americana
Science Museum Group
International Standard Serial Number
Edmund F. Robertson
The New York Times
Oxford University Press
Stan Frankel
Brian Randell
Cambridge University Press
John Wiley & Sons
Computer History Museum
American Chemical Society
National Inventors Hall of Fame
World Scientific
NASA
Electrochemical Society
IEEE Xplore
PDA
Ecrã táctil
Aprendizagem de máquina
Ciência da Computação
Inteligência Artificial
Time (magazine)
MIT Press
ArXiv
Digital Equipment Corporation
"Maynard, Massachusetts"
Jack Dongarra
TOP500
Denise Schmandt-Besserat
Wikimedia
Sala de estar
Estante
Poltrona
Radiorreceptor
Relógio
Sofá
Tapete
Telefone
Televisor
Sala de jantar
Aparador
Cadeira
Mesa
Cozinha
Armário
Batedeira
Espremedor de frutas
Extrator de suco
Faca elétrica
Fogão
Frigorífico
Liquidificador
Máquina de lavar louça
Varinha mágica (eletrodoméstico)
Moedor de pimenta
Pia
Talher
Quarto
Beliche
Cama
Colchão
Cômoda
Criado-mudo
Despertador
Guarda-roupas
Candeeiro
Ventilador
Instalações sanitárias
Banheira
Boxe (banho)
Chuveiro
Escova de dentes
Espelho
Mictório
Penico
Ralo
Torneira
Vaso sanitário
Área de serviço
Aspirador
Balde
Lixeira
Eletrodoméstico
Máquina de lavar roupa
Máquina de secar roupa
Rodo
Tanque de lavar roupa
Vassoura
Cadeado
Chave
Desentupidor
Gaveta
Janela
Lucarna
Maçaneta
Porta
Caneta óptica
Controlador de jogo
Painel tátil
Mesa digitalizadora
Trackball
Microfone
Placa de som
Altifalante
Monitor de computador
Mídia removível
Disco óptico
Disco blu-ray
Compact disc
Memória flash
Cartão de memória
USB flash drive
Gabinete (informática)
Armazenamento de dados de computador
Unidade de estado sólido
Serial ATA
NVM Express
Disco rígido híbrido
Fonte de alimentação
RAM-CMOS
Modem
Placa de expansão
Porta (informática)
Conector TRS
DisplayPort
High-Definition Multimedia Interface
Thunderbolt (interface)
USB
FireWire
PS/2
Digital Visual Interface
Conector VGA
Tesauro de Arte e Arquitetura
Biblioteca Nacional Central de Florença
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Encyclopædia Britannica
Faceted Application of Subject Terminology
Gemeinsame Normdatei
Dicionário Histórico da Suíça
Número de controle da Biblioteca do Congresso
Arquivos Nacionais e Administração de Documentos
Biblioteca Nacional da Dieta
Biblioteca Técnica Nacional de Praga
Enciclopédia Treccani
Descritores em Ciências da Saúde
Medical Subject Headings
Sistema Unificado de Linguagem Médica
