Língua hindi
Carne
Diclofenaco
Áreas protegidas
Parques nacionais
Reserva da biosfera
Rede Mundial de Reservas da Biosfera
Zona úmida
Convenção sobre as Zonas Húmidas de Importância Internacional
Criminalidade na Índia
Revolução verde
Taxa de alfabetização
Querala
Biar
Razão sexual
Crescimento populacional
Organização Mundial de Saúde
Malária
Línguas da Índia
África
Línguas indo-arianas
Línguas dravídicas
Línguas austro-asiáticas
Línguas tibeto-birmanesas
Ensino médio
Língua canaresa
Língua telugo
Religiões indianas
Censo da Índia de 2011
Islã
Sem religião
Estado laico
Moksha
Alma
Tolerância religiosa
Liberdade de religião
Hindus
Prayagraj
Rio Sarasvati
Diáspora
Mundo ocidental
Filosofia hindu
Ioga
Meditação
Adivinhação
Carma
Reencarnação
Muçulmano
Sul da Ásia
Comunidade Ahmadi
Sufismo
Habitante
Deli
Calcutá
Jaipur
Rajastão
Kanpur
Bangalor
Lucnau
Haiderabade (Telanganá)
Telangana
Nagpur
Amedabade
Indore
Chenai
Tâmil Nadu
Tana (Bombaim)
Bengala Ocidental
Bopal
Surrate
Visagapatão
Andra Pradexe
Varanasi
Pimpri Chinchwad
Pune
Patná
Rashtrapati Bhavan
Supremo Tribunal da Índia
Soberania
Parlamento da Índia
Bicameralismo
Sistema Westminster
Centralismo
Federalismo
Chefe de Estado
Colégio eleitoral
Primeiro-ministro da Índia
Poder executivo
Poder legislativo
Câmara alta
Rajya Sabha
Lok Sabha
Representação proporcional
Anglo-indianos
Poder judiciário
Primeira instância
Direitos humanos
Tribunal de apelação
República parlamentarista
Pluripartidarismo
Partido do Congresso Nacional Indiano
Partido do Povo Indiano
Centro-esquerda
Liberalismo
Conservadorismo
Lal Bahadur Shastri
Indira Gandhi
Estado de exceção
Janata Dal (United)
Rajiv Gandhi
Governo minoritário
P. V. Narasimha Rao
Eleições gerais na Índia em 2009
Manmohan Singh
Missões diplomáticas da Índia
BRICS
9.ª reunião de cúpula do G20
G20
Brisbane
Austrália
História da descolonização de África
Descolonização da Ásia
Movimento Não Alinhado
Forças de manutenção da paz das Nações Unidas
Guerra civil do Seri Lanca
Golpe de Estado
Relações entre Índia e Paquistão
Guerras indo-paquistanesas
Guerra de Independência de Bangladexe
União Soviética
Rússia
Israel
França
Associação Sul-Asiática para a Cooperação Regional
Organização Mundial do Comércio
Organização das Nações Unidas
Cúpula do Leste Asiático
G8+5
América do Sul
Associação de Nações do Sudeste Asiático
Japão
Coreia do Sul
Forças armadas da Índia
Índia e as armas de destruição em massa
Agni (míssil)
Desfile militar
596 (teste nuclear)
Armas nucleares
Smiling Buddha
Pokhran-II
Tratado de Interdição Completa de Ensaios Nucleares
Tratado de Não Proliferação de Armas Nucleares
Tríade nuclear
Sukhoi/HAL FGFA
Porta-aviões
Submarino nuclear
INS Vikramaditya
Marinha da Índia
HAL Tejas
Caça (aeronave)
Hindustan Aeronautics
Bangalore
Guerra Fria
Estados Unidos
União Europeia
Pacto nuclear entre os Estados Unidos e a Índia
Agência Internacional de Energia Atómica
Grupo de Fornecedores Nucleares
Canadá
Exército Indiano
Força Aérea Indiana
Lista de países por gastos militares
1 000 000 000
Dólar dos Estados Unidos
Stockholm International Peace Research Institute
Estupro na Índia
Direitos LGBT na Índia
Violência religiosa na Índia
Dalit
Favela
Dharavi
Endogamia
Casta
Patriarcado
Zona urbana
Casamento arranjado
Matrimônio
Divórcio
Casamento infantil
Violência contra a mulher
Caso de estupro coletivo de Deli em 2012
Crime de honra
Ônibus
Homossexualidade
Arunachal Pradexe
Assão
Chatisgar
Região da Capital Nacional (Índia)
Harianá
Himachal Pradexe
Jamu e Caxemira (território da União)
Ladaque
Manipur
Megalaia
Mizorão
Nagalândia
Orissa
Punjab (Índia)
Siquim
Tripurá
Utaracanda
Chandigar
Dadrá e Nagar Aveli e Damão e Diu
Pondicheri
Mapa político
Território da União
Legislatura
Taluca
Aldeia
Panjabe (Índia)
Telanganá
Economia da Índia
Bolsa de Valores de Bombaim
Paridade de poder de compra
República Popular da China
Protecionismo
Corrupção política
Economia de mercado
Balança de pagamentos
Comércio internacional
Investimento estrangeiro direto
Força de trabalho
Setor de serviços
Arroz
Trigo
Oleaginosa
Algodão
Juta
Chá
Cana-de-açúcar
Ovelha
Capra aegagrus hircus
Carro conceito
Tata Motors
Grupo Tata
Arado
Goldman Sachs
BRIC
Brasil
Indústria têxtil
Maquinaria
Indústria química
Siderurgia
Transporte
Cimento
Mineração
Software
Petróleo
Joia
Subnutrição
Criança
Linha de pobreza
Banco Mundial
Paridade do poder aquisitivo
Carestia
África subsariana
Qualidade de vida
Setor público
Desenvolvimento rural sustentável
Síndrome da imunodeficiência adquirida
Desenvolvimento de software
Polar Satellite Launch Vehicle
Mars Orbiter Mission
Organização Indiana de Pesquisa Espacial
Centro Espacial Satish Dhawan
Sonda espacial
Marte (planeta)
Ensino superior
Ciência
Tecnologia
Instituto Indiano de Tecnologia de Madras
Kharagpur
Abul Kalam Azad
Programa espacial
Energia nuclear
Pokharan
Pesquisa e desenvolvimento
Países desenvolvidos
Irã
Países em desenvolvimento
Universidade de Bombaim
Taxila
Nalanda
Raj britânico
Ensino primário
Alfabetização
Crescimento econômico
Ensino secundário
Pós-graduação
Mestrado
Doutoramento
Politécnico
Poliomielite
Esperança de vida
Mortalidade infantil
Instalações sanitárias
Latrina
Saneamento básico
Transporte ferroviário na Índia
Indian Railways
Rio Damodar
Metrô de Deli
Indústria automobilística
Transporte público
Ferrovias Indianas
Autoestrada
Nova Bombaim
Contentor (transporte)
Aeroporto Internacional Indira Gandhi
Aeroporto Internacional de Chhatrapati Shivaji
Porto (transporte)
Cochim
Haldia
Tuticorim
Mormugão
Usina nuclear
Megawatt
Energia renovável
Energia solar
Energia eólica
Combustível fóssil
Carvão mineral
Gás natural
Watt
Central nuclear
Tório
KAMINI
Reator de tório
Energia hidroelétrica
Energia solar fotovoltaica
Biomassa
Cultura da Índia
Harmandir Sahib
Amritsar
Período védico
Circa
Upanixade
Iogassutras
Pluralismo (política)
Indochina
Cor
Estilo (arte)
Sári
Mulher
Dhoti
Homem
Calça
Camisa
Holi
Diwali
Durga Puja
Eid al-Fitr
Festa do Sacrifício
Natal
Vesak
Dia da República
Culinária da Índia
Vindalho
Ervas
Especiaria
Condimentos
Tandur (forno)
Naan
Lentilha
Capsicum
Américas
Guna
Sacrifícios de animais
Védicos
Vaca sagrada
Vegetarianismo
Jainistas
Lactovegetariano
Ovovegetarianismo
Talher
Arte da Índia
Forte Vermelho
Déli
Lista de imperadores mogóis
Absoluto
Shah Jahan
Patrimônio Mundial
UNESCO
Arquitetura indo-sarracena
Kuchipudi
Música indiana
Música clássica indiana
Baul
Bhangra
Kathak
Kathakali
Mohiniyattam
Manipuri
Odissi
Mitologia hindu
Guerra de Kurukshetra
Mahabharata
Mahābhārata
Ramayana
Kālidāsa
Kamasutra
Relação sexual humana
Kabir
Tulsidas
Guru Nanak
Rabindranath Tagore
Guinness World Records
Bollywood
Hollywood
Língua bengali
Língua malaiala
Língua marata
Mídia
Imprensa
Rádio (comunicação)
Internet
Índia nos Jogos Olímpicos
Sachin Tendulkar
Críquete
Kabaddi
Artes marciais indianas
Kalari payattu
Mushti yuddha
Treinador
Xadrez
História do xadrez
Chaturanga
Jogo de tabuleiro
Pachisi
Mármore
Akbar
Equipe Indiana de Copa Davis
Tênis
Tiro esportivo
Jogos Olímpicos
Jogos da Commonwealth
Badminton
Boxe
Wrestling
Futebol
Jogos da Commonwealth de 2010
Estádio Jawaharlal Nehru
Hóquei em campo
Copa do Mundo de Hóquei sobre a Grama Masculino
Copa do Mundo de Críquete
Copa do Mundo de Críquete de 1983
Copa do Mundo de Críquete de 2011
ICC Champions Trophy
Twenty20
Indian Premier League
Jogos Asiáticos
Jogos Asiáticos de 1951
Jogos Asiáticos de 1982
Copa do Mundo de Críquete de 1987
Copa do Mundo de Críquete de 1996
ATP de Chenai
Grande Prêmio da Índia
Jogos Sul-Asiáticos
Dia da República (Índia)
Dia da Independência (Índia)
Ganexa
Relações entre Brasil e Índia
Relações entre a Índia e Portugal
Índia como superpotência emergente
Índia Francesa
Índia Dinamarquesa
Lei da Constituição da Índia (1895)
Afeganistão
Jamu e Caxemira (antigo estado)
Cessar-fogo
CIA Factbook
Central Intelligence Agency
Fundo de População das Nações Unidas
Fundo Monetário Internacional
Microsoft Encarta
Dorling Kindersley
International Standard Book Number
Encyclopædia Britannica
Aventuras na História
Deutsche Welle
Universidade Portucalense Infante D. Henrique
Digital object identifier
UNICEF
OCDE
Wayback Machine
Organisation Internationale des Constructeurs d'Automobiles
The Economist
Nuclear Threat Initiative
International Standard Serial Number
The World Factbook
Biblioteca do Congresso dos Estados Unidos
Nações Unidas
Oxford English Dictionary
Universidade de Oxford
Universidade de Cambridge
Departamento de Agricultura dos Estados Unidos
Reader's Digest
Geological Society of London
União Internacional para a Conservação da Natureza e dos Recursos Naturais
HarperCollins
London School of Economics
The Australian
BBC
BBC News
The Hindu
The Times of India
Universidade da Califórnia
Reuters
RIA Novosti
Oxford University Press
Christian Science Monitor
Organização para a Cooperação e Desenvolvimento Econômico
PricewaterhouseCoopers
Fórum Econômico Mundial
The Wall Street Journal
Transparência Internacional
OMC
Duke University Press
Universidade de Iowa
Time (revista)
Organização Mundial da Saúde
Universidade de Minnesota
Universidade do Havaí
Penguin Books
Universidade de Nova York
Universidade Nacional de Singapura
Cambridge University Press
Universidade de Colúmbia
Universidade de Indiana
John Wiley & Sons
University of Chicago Press
"Organização das Nações Unidas para a Educação, a Ciência e a Cultura"
Springer Science+Business Media
Brill Publishers
Wikimedia
CIA World Factbook
Hino nacional da Índia
Demografia da Índia
Forças Armadas da Índia
Geografia da Índia
Governo da Índia
Política da Índia
Turismo na Índia
Damão e Diu
"Goa, Damão e Diu"
Estado de Haiderabade
Lista de Estados soberanos e territórios dependentes da Ásia
Arábia Saudita
Arménia
Azerbaijão
Bangladesh
Bahrein
Brunei
Catar
Cazaquistão
Chipre
Coreia do Norte
Egito
Emirados Árabes Unidos
Filipinas
Geórgia
Iémen
Iraque
Jordânia
Kuwait
Líbano
Mongólia
Myanmar
Omã
Quirguistão
Singapura
Síria
Sri Lanka
Tajiquistão
Timor-Leste
Turquemenistão
Turquia
Uzbequistão
Lista de estados com reconhecimento limitado
Abecásia
República Turca de Chipre do Norte
Estado da Palestina
Cisjordânia
Faixa de Gaza
Ossétia do Sul
Taiwan
Acrotíri e Deceleia
Ilhas Ashmore e Cartier
Ilhas Cocos (Keeling)
Ilha Christmas
Território Britânico do Oceano Índico
Hong Kong
Macau
Lista de participantes das cúpulas do BRICS
Novo Banco de Desenvolvimento
Acordo de Reserva Contingente dos BRICS
Reuniões de cúpula dos BRICS
Primeira cúpula do BRIC
Segunda cúpula do BRIC
Terceira cúpula do BRICS
Quarta cúpula do BRICS
Quinta cúpula do BRICS
Sexta cúpula do BRICS
Sétima cúpula do BRICS
Oitava cúpula do BRICS
Nona cúpula do BRICS
Décima cúpula do BRICS
Décima primeira cúpula do BRICS
Décima segunda cúpula do BRICS
Décima terceira cúpula do BRICS
Décima quarta cúpula do BRICS
Décima quinta cúpula do BRICS
Relações entre África do Sul e Brasil
Relações entre África do Sul e China
Relações entre África do Sul e Índia
Relações entre África do Sul e Rússia
Relações entre Brasil e China
Relações entre Brasil e Rússia
Relações entre China e Índia
Relações entre China e Rússia
Relações entre Índia e Rússia
Lista de países-membros do G20
África do Sul
Alemanha
Argentina
Itália
México
Reuniões de cúpula do G20
1ª reunião de cúpula do G20
2ª reunião de cúpula do G20
4ª reunião de cúpula do G20
5.ª reunião de cúpula do G20
7ª reunião de cúpula do G20
8.ª reunião de cúpula do G20
10.ª reunião de cúpula do G20
11.ª reunião de cúpula do G20
12.ª reunião de cúpula do G20
13.ª reunião de cúpula do G20
14.ª reunião de cúpula do G20
15.ª reunião de cúpula do G20
16.ª reunião de cúpula do G20
17.ª reunião de cúpula do G20
18.ª reunião de cúpula do G20
19.ª reunião de cúpula do G20
Lista de líderes do G20
Base Virtual Internacional de Autoridade
Biblioteca Apostólica Vaticana
Bibsys
Biblioteca Nacional do Chile
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Grande Enciclopédia Soviética
CiNii
Faceted Application of Subject Terminology
Gemeinsame Normdatei
Dicionário Histórico da Suíça
International Standard Name Identifier
KulturNav
Número de controle da Biblioteca do Congresso
Arquivos Nacionais e Administração de Documentos
Biblioteca Nacional da Dieta
Biblioteca Nacional da Austrália
Sistema Universitário de Documentação
Enciclopédia Treccani
Biblioteca Nacional do Brasil
Biblioteca Nacional de Portugal
Biblioteca Nacional de Israel
OpenStreetMap
MusicBrainz
WOEID
GeoNames
Getty Thesaurus of Geographic Names
TripAdvisor
Medical Subject Headings
Sistema Unificado de Linguagem Médica
