Julho
Alan Stacey
1960
Antoniet
Dickie Hemric
2017
Arnold Koller
1934
Horst Szymaniak
2008
1935
William Friedkin
2023
1936
John McCain
1938
Elliott Gould
Gerry Byrne
Alberto Pagani
Joel Schumacher
2020
1940
Valentín Uriona
1967
Ellen Geer
Ole Ritter
1942
Gottfried John
Eduardo Neves de Castro
Arthur Bruce McDonald
1945
António Assunção
1998
Jean Ragnotti
Karol Jokl
1996
1946
Dimítris Christófias
2019
Jean-Baptiste Bagaza
2016
1947
James Hunt
Temple Grandin
1948
António Francisco dos Santos
Robert Langer
Geraldo Brindeiro
2021
Xaver Kurmann
João Barroso Soares
Edmundo González Urrutia
1952
Deborah Van Valkenburgh
Sanny Åslund
Paulo Reis
1954
Wladimir Rodrigues dos Santos
Frank Hoste
Diamanda Galás
1956
GG Allin
Charalambos Xanthopoulos
2009
Juninho Fonseca
Rebecca de Mornay
Ramón Díaz
Ernesto Rodrigues
Stephen Wolfram
André Christovam
Tony MacAlpine
1961
Cássio Gabus Mendes
Eddie Baza Calvo
1962
Jutta Kleinschmidt
Luciano Bahia
Raúl Fernando Sendic
Edward Allen Bernero
Elizabeth Fraser
Steve Clarke
1964
Jerry de Jong
Delia Fischer
Gerhard Rodax
Flávio Campos
Thomas Wyss
Jiří Růžek
Anton Newcombe
Lucero (artista)
1970
Jacco Eltingh
1971
Carla Gugino
Marco Sandy
Amanda Marshall
Radek Bejbl
1973
Olivier Jacque
Thomas Tuchel
Marcelo Ramos Rodrigues
1974
Marco d'Almeida
Nicola Amoruso
Denis Caniza
Solange Almeida
Kenneth Pérez
Che Bunce
Colin McKay
Jon Dahl Tomasson
Stephen Carr
Pablo Mastroeni
1977
Devean George
Manuel Belleri
John O'Brien
Chris J. Johnson
Celestine Babayaro
Déborah Anthonioz
Vasco Palmeirim
Justine Pasek
Youssoupha
Corina Ungureanu
William Levy
Axel Temataua
1981
Émilie Dequenne
Siarhei Rutenka
Zeng Shaoxuan
Jay Ryan
Vincent Enyeama
Mayana Moura
Carlos Delfino
Talita Antunes
1983
Xabier Prieto
Rui Komatsu
1984
Christian Lell
Gilles Binya
Karim Soltani
Helge Meeuw
1985
Alexander Artemev
Gonzalo Jara
Jeffrey Licon
1986
Lea Michele
Lauren Collins
Jaka Ihbeisheh
Luis Alfredo López
Hajime Isayama
Andrey Amador
Marko Podraščanin
1988
Ivan Radovanović
Agim Ibraimi
Traquina
1990
Nicole Anderson
Patrick van Aanholt
Youssouf M'Changama
Mamadu Candé
Néstor Araujo
August Jensen
1992
Mallu Magalhães
Yago Fernando da Silva
Kalindi
Liam Payne
Lucas Cruikshank
Cris Silva
Ysaline Bonaventure
Amelia Racea
1995
Filip Krovinović
Anastasios Donis
Guilhermina Libanio
Ainsley Maitland-Niles
"Guga (futebolista, 1998)"
Simon Carr
1999
Giorgi Chakvetadze
Julia Grosso
2002
Destiny Chukunyere
1093
"Hugo I, Duque da Borgonha"
1057
1542
Cristóvão da Gama
1515
1543
Maria de Jülich-Berg
1491
1661
Louis Couperin
1626
1676
Luísa Carlota de Brandemburgo
1617
Jacques-Germain Soufflot
1713
1791
"Constança Manuel, Duquesa de Tancos"
1719
1797
Joseph Wright
1734
1837
João Manuel de Lima e Silva
José Maria Latino Coelho
Murade V
1840
Joel Asaph Allen
1838
Georges Sorel
Astrid da Suécia
1905
Vicki Baum
Éamon de Valera
1882
Aílton Brandão Joly
Osvaldo Santiago
1902
Jean Hagen
Solange Bibas
Muhammad Naguib
Naji al-Ali
1937
Moisés Lupion
1908
Ivan Bodin
Félix Guattari
1930
Monique Alves
Alexandre Alves Costa
Claudio Lezcano
Colé Santana
1919
Lance Macklin
Hans Vonk (maestro)
2007
Pierre Messmer
Chaswe Nsofwa
Cayon Gadia
Alcir Portela
Mady Rahl
Chris Connor
1927
Doalcey Bueno de Camargo
2010
Dorina Nowill
Ary Fernandes
1931
2011
Fernando Ferretti (futebolista)
Bruce C. Murray
Gene Wilder
Charlbi Dean
Gamer
Testes nucleares
Aljezur
Banho Santo
Jaguaretama
Joaçaba
Leme
Morrinhos (Goiás)
Dia Nacional da Visibilidade Lésbica
Decapitação de João Batista
Sabina de Roma
Calendário romano
Calendas
Calendário litúrgico
Letra dominical
Semana
Epacta
International Standard Serial Number
Digital object identifier
Mês
Dia
19 de dezembro
Janeiro
1 de janeiro
2 de janeiro
3 de janeiro
4 de janeiro
5 de janeiro
6 de janeiro
7 de janeiro
8 de janeiro
9 de janeiro
10 de janeiro
11 de janeiro
12 de janeiro
13 de janeiro
14 de janeiro
15 de janeiro
16 de janeiro
17 de janeiro
18 de janeiro
19 de janeiro
20 de janeiro
21 de janeiro
22 de janeiro
23 de janeiro
24 de janeiro
25 de janeiro
26 de janeiro
27 de janeiro
28 de janeiro
29 de janeiro
30 de janeiro
31 de janeiro
Fevereiro
1 de fevereiro
2 de fevereiro
3 de fevereiro
4 de fevereiro
5 de fevereiro
6 de fevereiro
7 de fevereiro
8 de fevereiro
9 de fevereiro
10 de fevereiro
11 de fevereiro
12 de fevereiro
13 de fevereiro
14 de fevereiro
15 de fevereiro
16 de fevereiro
17 de fevereiro
18 de fevereiro
19 de fevereiro
20 de fevereiro
21 de fevereiro
22 de fevereiro
23 de fevereiro
24 de fevereiro
25 de fevereiro
26 de fevereiro
27 de fevereiro
28 de fevereiro
29 de fevereiro
Março
1 de março
2 de março
3 de março
4 de março
5 de março
6 de março
7 de março
8 de março
9 de março
10 de março
11 de março
12 de março
13 de março
14 de março
15 de março
16 de março
17 de março
18 de março
19 de março
20 de março
21 de março
22 de março
23 de março
24 de março
25 de março
26 de março
27 de março
28 de março
29 de março
30 de março
31 de março
Abril
1 de abril
2 de abril
3 de abril
4 de abril
5 de abril
6 de abril
7 de abril
8 de abril
9 de abril
10 de abril
11 de abril
12 de abril
13 de abril
14 de abril
15 de abril
16 de abril
17 de abril
18 de abril
19 de abril
20 de abril
21 de abril
22 de abril
23 de abril
24 de abril
25 de abril
26 de abril
27 de abril
28 de abril
29 de abril
30 de abril
Maio
1 de maio
2 de maio
3 de maio
4 de maio
5 de maio
6 de maio
7 de maio
8 de maio
9 de maio
10 de maio
11 de maio
12 de maio
13 de maio
14 de maio
15 de maio
16 de maio
17 de maio
18 de maio
19 de maio
20 de maio
21 de maio
22 de maio
23 de maio
24 de maio
25 de maio
26 de maio
27 de maio
28 de maio
29 de maio
30 de maio
31 de maio
Junho
1 de junho
2 de junho
3 de junho
4 de junho
5 de junho
6 de junho
7 de junho
8 de junho
9 de junho
10 de junho
11 de junho
12 de junho
13 de junho
14 de junho
15 de junho
16 de junho
17 de junho
18 de junho
19 de junho
20 de junho
21 de junho
22 de junho
23 de junho
24 de junho
25 de junho
26 de junho
27 de junho
28 de junho
29 de junho
30 de junho
1 de julho
2 de julho
3 de julho
4 de julho
5 de julho
6 de julho
7 de julho
8 de julho
9 de julho
10 de julho
11 de julho
12 de julho
13 de julho
14 de julho
15 de julho
16 de julho
17 de julho
18 de julho
19 de julho
20 de julho
21 de julho
22 de julho
23 de julho
24 de julho
25 de julho
26 de julho
27 de julho
1 de setembro
2 de setembro
3 de setembro
4 de setembro
5 de setembro
6 de setembro
7 de setembro
8 de setembro
9 de setembro
10 de setembro
11 de setembro
12 de setembro
13 de setembro
14 de setembro
15 de setembro
16 de setembro
17 de setembro
18 de setembro
19 de setembro
20 de setembro
21 de setembro
22 de setembro
23 de setembro
24 de setembro
25 de setembro
26 de setembro
27 de setembro
28 de setembro
29 de setembro
30 de setembro
Outubro
1 de outubro
2 de outubro
3 de outubro
4 de outubro
5 de outubro
6 de outubro
7 de outubro
8 de outubro
9 de outubro
10 de outubro
11 de outubro
12 de outubro
13 de outubro
14 de outubro
15 de outubro
16 de outubro
17 de outubro
18 de outubro
19 de outubro
20 de outubro
21 de outubro
22 de outubro
23 de outubro
24 de outubro
25 de outubro
26 de outubro
27 de outubro
28 de outubro
29 de outubro
30 de outubro
31 de outubro
Novembro
1 de novembro
2 de novembro
3 de novembro
4 de novembro
5 de novembro
6 de novembro
7 de novembro
8 de novembro
9 de novembro
10 de novembro
11 de novembro
12 de novembro
13 de novembro
14 de novembro
15 de novembro
16 de novembro
17 de novembro
18 de novembro
19 de novembro
20 de novembro
21 de novembro
22 de novembro
23 de novembro
24 de novembro
25 de novembro
26 de novembro
27 de novembro
28 de novembro
29 de novembro
30 de novembro
Dezembro
1 de dezembro
2 de dezembro
3 de dezembro
4 de dezembro
5 de dezembro
6 de dezembro
7 de dezembro
8 de dezembro
9 de dezembro
10 de dezembro
11 de dezembro
12 de dezembro
13 de dezembro
14 de dezembro
15 de dezembro
16 de dezembro
17 de dezembro
18 de dezembro
20 de dezembro
21 de dezembro
22 de dezembro
23 de dezembro
24 de dezembro
25 de dezembro
26 de dezembro
27 de dezembro
28 de dezembro
29 de dezembro
30 de dezembro
31 de dezembro
0 de janeiro
30 de fevereiro
31 de fevereiro
0 de março
