Fortaleza
Santo Estêvão (Bahia)
Itatim
Milagres (Bahia)
Brejões
Nova Itarana
Santa Inês
Irajuba
Manoel Vitorino
Poções
Planalto (Bahia)
Cândido Sales
Microrregião Serrana
Divisa Alegre
Águas Vermelhas
Cachoeira de Pajeú
Pedra Azul
Medina (Minas Gerais)
Itaobim
Ponto dos Volantes
Padre Paraíso
Caraí
Catuji
Teófilo Otoni
Itambacuri
Campanário (Minas Gerais)
Jampruca
Frei Inocêncio
Matias Lobato
Alpercata
Engenheiro Caldas
Tarumirim
Dom Cavati
Inhapim
Ubaporanga
Caratinga
Santa Rita de Minas
Santa Bárbara do Leste
São João do Manhuaçu
Orizânia
São Francisco do Glória
Miradouro
Laranjal (Minas Gerais)
Além Paraíba
Belford Roxo
Mesquita (Rio de Janeiro)
Queimados
Itaguaí
Paracambi
Pinheiral
Volta Redonda
Porto Real
Resende (Rio de Janeiro)
Rio-Teresópolis
CCR Nova Dutra
Marginal Tietê
Régis Bittencourt
Queluz (São Paulo)
Lavrinhas
Cruzeiro (São Paulo)
Silveiras (São Paulo)
Cachoeira Paulista
Canas (São Paulo)
Guaratinguetá
Aparecida (São Paulo)
Roseira
Pindamonhangaba
Caçapava
São José dos Campos
Guararema
Santa Isabel (São Paulo)
Taboão da Serra
Embu das Artes
Itapecerica da Serra
São Lourenço da Serra
Juquitiba
Miracatu
Juquiá
Registro (São Paulo)
Pariquera-Açú
Jacupiranga
Cajati (São Paulo)
Barra do Turvo
Campina Grande do Sul
Quatro Barras
Colombo
Pinhais
Fazenda Rio Grande
Mandirituba
Quitandinha
Campo do Tenente
PR-427
Lapa (Paraná)
Rio Negro (Paraná)
Três Barras
Canoinhas
Porto União
SC-419
Itaiópolis
Papanduva
Monte Castelo (Santa Catarina)
Santa Cecília (Santa Catarina)
Ponte Alta do Norte
Curitibanos
Correia Pinto
Florianópolis
Capão Alto
Caxias do Sul
Dois Irmãos
RS-239
Novo Hamburgo
São Leopoldo
Guaíba
BR-471
Concepa
Eldorado do Sul
Camaquã
Arquivo Nacional (Brasil)
Rodovia
Ponte Presidente Dutra (São Paulo)
Região Metropolitana de São Paulo
Região Metropolitana do Rio de Janeiro
Região metropolitana
Riqueza
Vale do Paraíba
Conurbação
Megalópole Rio-São Paulo
Washington Luis
Estrada Rio–São Paulo
Monumento Rodoviário da Rodovia Presidente Dutra
História da industrialização no Brasil
Eurico Gaspar Dutra
Baixada Fluminense
Autoestrada
Trânsito
Governo do estado de São Paulo
Via expressa
Rodovia Ayrton Senna
Rodovia Governador Carvalho Pinto
Concessão pública
Iniciativa privada
NovaDutra S/A
Reflorestamento
Espécie nativa
Espécie introduzida
Matas ciliares
Nascente (hidrografia)
Sustentabilidade
Qualidade do ar
Microclima
Poluição sonora
Estética
Iluminação pública
Pedágio
Serra das Araras
Monumento Rodoviário Belvedere
Viaduto Bulhões
Viaduto Resende
Coordenadas geográficas
Moreira César
SP-065
Rodoanel Mário Covas
Cajati
Rio Negro (município do Paraná)
Departamento Nacional de Estradas de Rodagem
Departamento Nacional de Infraestrutura de Transportes
Edmundo Régis Bittencourt
Juscelino Kubitschek de Oliveira
SP-230
Arteris
FHC
IBAMA
Polícia Rodoviária Federal
Sistema rodoviário do estado do Rio de Janeiro
Sistema rodoviário do estado de São Paulo
O Estado de S.Paulo
IG
Viagem e Turismo
Zero Hora
DNIT
G1
Agência Brasil
Gazeta do Povo
Rodovia radial
BR-010
BR-020
BR-030
BR-050
BR-060
BR-070
BR-080
BR-090
BR-104
BR-110
BR-122
BR-135
BR-146
BR-154
BR-155
BR-156
BR-158
BR-163
BR-174
Rodovia transversal
BR-210
BR-222
BR-226
Rodovia Transamazônica
BR-235
BR-251
BR-272
SC-283
BR-287
Rodovia diagonal
BR-307
BR-308
BR-317
BR-319
BR-342
BR-343
BR-349
BR-352
BR-359
BR-361
BR-363
BR-364
BR-365
BR-367
BR-369
BR-373
BR-374
BR-377
BR-383
Rodovia de ligação
BR-401
BR-402
BR-403
BR-404
BR-405
BR-406
BR-408
BR-409
BR-410
BR-411
BR-412
BR-413
BR-414
BR-416
BR-417
BR-418
BR-419
BR-421
BR-422
BR-423
BR-424
BR-425
BR-426
BR-427
BR-429
BR-430
BR-431
BR-432
BR-433
BR-434
BR-435
BR-437
BR-440
BR-447
BR-450
BR-451
BR-452
BR-454
BR-455
BR-456
BR-457
BR-458
BR-460
BR-461
BR-462
BR-463
BR-464
BR-466
BR-467
BR-468
BR-469
BR-472
BR-473
BR-474
BR-475
BR-477
BR-478
BR-479
BR-480
BR-481
BR-483
BR-484
BR-486
BR-487
BR-488
BR-489
BR-490
BR-491
BR-492
BR-494
BR-496
BR-497
BR-498
BR-499
BR-600
BR-610
Rodovia Rio-Teresópolis
Rodovia Rio-Vitória
Rodovia Rio-Santos
Linha Amarela (Rio de Janeiro)
Ponte Rio-Niterói
TransOeste
TransOlímpica
Via Light
Avenida Rei Pelé
RJ-085
Túnel Santa Bárbara
Avenida Rodrigues Alves
Via Binário do Porto
Avenida Presidente Vargas
Autoestrada Lagoa-Barra
Avenida Brás de Pina
Avenida Dom Hélder Câmara
Lista de rodovias estaduais de São Paulo
SP-8
SP-10
SP-36
SP-42
SP-46
SP-48
SP-50
SP-52
SP-54
SP-56
SP-58
SP-60
SP-62
SP-64
SP-66
SP-68
SP-92
SP-98
SP-102
SP-122
SP-132
SP-148
SP-150
SP-160
SP-176
SP-214
SP-216
SP-222
SP-226
SP-228
SP-234
SP-248
SP-250
SP-252
SP-258
SP-264
SP-266
SP-268
SP-270
SP-272
SP-274
SP-276
SP-278
SP-280
SP-284
SP-294
Rodovia Marechal Rondon
SP-304
SP-306
SP-308
Rodovia Washington Luís
SP-312
SP-316
SP-318
SP-320
SP-322
SP-324
SP-326
SP-328
SP-330
Rodovia Professor Zeferino Vaz
SP-334
SP-336
SP-338
SP-340
SP-342
SP-344
SP-348
SP-350
SP-352
SP-354
SP-360
SP-19
SP-21
SP-23
SP-29
SP-31
SP-39
SP-43
Rodovia Padre Manuel da Nóbrega
SP-57
SP-61
SP-63
SP-73
SP-75
SP-77
SP-79
SP-81
SP-83
SP-91
SP-95
SP-97
SP-99
SP-101
SP-103
SP-105
SP-107
SP-113
SP-121
SP-123
SP-125
SP-127
SP-129
SP-131
SP-133
SP-135
SP-139
SP-141
SP-143
SP-147
SP-151
SP-153
SP-157
SP-165
SP-167
SP-171
SP-181
SP-183
SP-189
SP-191
SP-193
SP-197
SP-201
SP-207
SP-209
SP-211
SP-215
SP-221
SP-225
SP-245
SP-247
SP-249
SP-251
SP-253
SP-255
SP-257
SP-259
SP-261
SP-267
SP-271
SP-273
SP-275
SP-281
SP-287
SP-291
SP-293
SP-303
SP-305
SP-315
SP-317
SP-319
SP-321
SP-323
SP-327
SP-331
SP-333
SP-345
SP-349
SP-351
SP-373
SP-375
SP-377
SP-379
SP-387
SP-413
SP-419
SP-421
SP-423
SP-425
SP-427
SP-437
SP-457
SP-461
SP-463
SP-473
SP-479
SP-483
SP-487
SP-501
SP-527
SP-541
SP-543
SP-557
SP-561
SP-563
SP-595
SP-613
Rodovia dos Bandeirantes
Rodovia Brigadeiro Faria Lima
Rodovia Cândido Portinari
Rodovia Castelo Branco
Rodovia Cônego Domênico Rangoni
Rodovia Dom Pedro I
Rodovia dos Imigrantes
Rodovia José Roberto Magalhães Teixeira
Rodovia dos Tamoios
Rodovia Anchieta
Rodovia Anhanguera
Rodovia Caminho do Mar
Rodovia Dom Gabriel Paulino Bueno Couto
Rodovia Doutor Manuel Hipólito Rego
Rodovia Euclides da Cunha
Rodovia Feliciano Salles da Cunha
Rodovia Hélio Smidt
Rodovia Oswaldo Cruz
Rodovia Raposo Tavares
Rodovia Fernão Dias
AutoBAn
Autopista Fernão Dias
Departamento de Estradas de Rodagem do Estado de São Paulo
Dersa
Ecopistas
Ecovias
EixoSP
CCR NovaDutra
Renovias
CCR RodoAnel
Rodovias das Colinas
Rodovias do Tietê
Rota das Bandeiras
SPMar
SPVias
Tebe
Triângulo do Sol
ViaOeste
Autovias
Centrovias
Vianorte
Lista de rodovias estaduais do Rio de Janeiro
Linha Verde (Rio de Janeiro)
RJ-099
RJ-100
RJ-102
RJ-104
Rodovia Amaral Peixoto
RJ-113
RJ-114
RJ-118
RJ-122
Via Lagos
RJ-127
RJ-145
RJ-148
RJ-149
RJ-158
RJ-160
RJ-162
RJ-163
RJ-165
RJ-168
RJ-178
RJ-192
RJ-214
RJ-230
RJ-238
Arco Metropolitano do Rio de Janeiro
OpenStreetMap
