Padrão
Hong Kong
Lempira
Honduras
Gourde
Haiti
Forint
Hungria
Rupia indonésia
Indonésia
Novo shekel israelense
Israel
Libra manesa
Rupia indiana
Índia
Dinar iraquiano
Iraque
Rial iraniano
Irã
Irão
Coroa islandesa
Islândia
Dólar jamaicano
Jamaica
Dinar jordano
Jordânia
Iene
Japão
Xelim queniano
Quénia
Som
Quirguistão
Riel
Camboja
Franco comoriano
Comores
Won norte-coreano
Coreia do Norte
Won sul-coreano
Coreia do Sul
Dinar do Kuwait
Kuwait
Dólar das Ilhas Cayman
Ilhas Caimã
Tenge
Cazaquistão
Kip
Laos
Libra libanesa
Líbano
Rupia do Sri Lanka
Sri Lanka
Dólar liberiano
Libéria
Loti
Lesoto
Litas
Lats
Dinar líbio
Líbia
Dirham marroquino
Marrocos
Saara Ocidental
Leu moldávio
Moldávia
Ariary
Madagáscar
Dinar macedónio
Macedónia do Norte
Kyat
Myanmar
Tugrik
Mongólia
Pataca
Macau
Região Administrativa Especial
Ouguiya
Mauritânia
Rupia mauriciana
Maurícia
Maldivas
Kwacha do Maláui
Malawi
Peso mexicano
México
Ringgit
Malásia
Metical
Moçambique
Dólar da Namíbia
Namíbia
Naira
Nigéria
Córdoba (moeda)
Nicarágua
Coroa norueguesa
Noruega
Ilha Bouvet
Terra da Rainha Maud
Ilha de Pedro I
Rupia nepalesa
Nepal
Dólar da Nova Zelândia
Nova Zelândia
Ilhas Cook
Niue
Ilhas Pitcairn
Toquelau
Rial omanense
Omã
Balboa (moeda)
Panamá
Nuevo Sol
Peru
Kina
Papua-Nova Guiné
Peso filipino
Filipinas
Rupia paquistanesa
Paquistão
Zloty
Polónia
Guarani (moeda)
Paraguai
Rial do Qatar
Catar
Leu romeno
Romênia
Dinar sérvio
Sérvia
Rublo
Rússia
Abkhazia
Ossétia do Sul
Franco do Ruanda
Ruanda
Riyal
Arábia Saudita
Dólar das Ilhas Salomão
Ilhas Salomão
Rupia das Seicheles
Seicheles
Dinar sudanês
Sudão
Coroa Sueca
Suécia
Dólar de Singapura
Singapura
Libra de Santa Helena
"Santa Helena, Ascensão e Tristão da Cunha"
Leone (moeda)
Serra Leoa
Xelim somali
Somália
Dólar do Suriname
Suriname
Dobra são-tomense
São Tomé e Príncipe
Colón do Salvador
El Salvador
Libra da Síria
Síria
Lilangeni
Essuatíni
Baht
Tailândia
Somoni
Tajiquistão
Manat turcomeno
Turquemenistão
Dinar tunisino
Tunísia
Pa'anga
Tonga
Nova Lira turca
Turquia
Dólar de Trindade e Tobago
Trindade e Tobago
Novo dólar de Taiwan
Taiwan
República da China
Xelim da Tanzânia
Tanzânia
Grívnia
Ucrânia
Xelim ugandês
Uganda
Dólar dos Estados Unidos
Estados Unidos
Guam
Ilhas Marshall
Estados Federados da Micronésia
Marianas Setentrionais
Palau
Timor-Leste
Turcas e Caicos
Ilhas Virgens Americanas
Samoa
Samoa Americana
Território Britânico do Oceano Índico
Uruguai
Peso uruguaio
Som (moeda usbeque)
Uzbequistão
Bolívar soberano
Venezuela
Dong (moeda)
Vietname
Vatu
Vanuatu
Tala (moeda)
Franco CFA central
Camarões
República Centro-Africana
República do Congo
Chade
Guiné Equatorial
Gabão
Prata
Onça Troy
Ouro
Dólar das Caraíbas Orientais
Anguila
Antígua e Barbuda
Dominica
Granada (país)
Monserrate (ilha)
São Cristóvão e Neves
Santa Lúcia
São Vicente e Granadinas
Direitos especiais de saque
International Monetary Fund
International Union of Railways
Franco CFA ocidental
Benim
Burquina Fasso
Costa do Marfim
Guiné-Bissau
Mali
Níger
Senegal
Togo
Paládio
Franco CFP
Polinésia Francesa
Nova Caledônia
Wallis e Futuna
Platina
Rial iemenita
Iémen
Rand
África do Sul
Kwacha zambiano
Zâmbia
Dólar do Zimbábue (2019–2024)
Zimbabwe
Coroa feroesa
Franco francês
Peseta espanhola
Kwanza angolano
Peso ley argentino
Austral (moeda)
Xelim austríaco
Manat azeri
Franco belga
Cruzeiro (1970–1986)
Cruzado (moeda brasileira)
Cruzado novo
Cruzeiro (1990–1993)
Cruzeiro real
Coroa checoslovaca
Peso convertível
Libra cipriota
Marco alemão-oriental
Marco alemão
Sucre (moeda)
Coroa estoniana
Marco finlandês
Ekwele guinéu-equatoriano
Dracma
Peso da Guiné Bissau
Dinar croata
Kuna croata
Libra irlandesa
Lira israelense
Shekel israelense
Lira italiana
Litas lituano
Franco luxemburguês
Lats letão
Franco monegasco
Franco maliano
Uguia
Lira maltesa
Florim neerlandês
Sol (moeda)
Inti
Złoty polonês
Escudo português
Rublo russo
Libra sudanesa
Tolar
Coroa eslovaca
Rublo soviético
Escudo timorense
Lira turca
Lira vaticana
Bolívar venezuelano
Bolívar forte venezuelano
Unidade Monetária Europeia
Dinar iugoslavo
Zaire (moeda)
Dólar do Zimbabwe
International Organization for Standardization
PDF
