22 de setembro
Madeiras
Cordas
Metais
Flauta
Clarineta
Fagote
Trompa
Clarim
Oboé
Trombone
Baixo contínuo
Harmonia (música)
Obbligato
Contraponto (música)
Fuga
Forma sonata
Teoria dos afetos
Tonalidade
Johann Mattheson
Tônica
Dominante (música)
Cadência
Subdominante
Cleofe Person de Mattos
A capella
Teatro João Caetano (Rio de Janeiro)
Debret
Bel canto
Rossini
Castrato
Lisboa
David Perez
Giuseppe Capranica
Haendel
Boemia
Serenata
Seresta
Hino
Laudes
Cantochão
Tenor
Baixo
Liturgia
Responsório
Cantata
Reino de Portugal
Igreja da Candelária
Música romântica
Cromatismo
Ária
Libreto
Gastão Fausto da Câmara Coutinho
Drama
Recitativo
Joaquina Lapinha
Música de câmara
Rabeca
Maria Leopoldina da Áustria
Imperatriz do Brasil
Henrique Bernardelli
Domenico Scarlatti
Adriano Balbi
João Domingos Bomtempo
Marquês de Santo Amaro
Barcarola (música)
Ferdinand Krumholz
Cientificismo
Determinismo
Positivismo
Visconde de Taunay
Guilherme de Mello
Renato de Almeida
Mário de Andrade
Luiz Heitor Corrêa de Azevedo
Oliveira Lima
Bruno Kiefer
Villa Lobos
Era Vargas
Ethos
Racismo
Tabu
Florestan Fernandes
Otto Maria Carpeaux
Pedro II do Brasil
Romantismo
Bento das Mercês
Januário da Cunha Barbosa
Alberto Nepomuceno
Manuel Duarte Moreira de Azevedo
Leopoldo Miguez
Instituto Nacional de Música
Igreja de Santa Cruz dos Militares
Afonso d'Escragnolle Taunay
Carlos Gomes
Ceitil
Revista Brasileira de Música
Mercedes Reis Pequeno
Olinto de Oliveira
Curt Lange
Ave Maria
Funarte
Biblioteca Nacional do Brasil
Academia Brasileira de Música
Correios do Brasil
Música do Brasil
Música barroca
Período clássico (música)
Revivalismo da música antiga
Wayback Machine
Renascimento
Hino Nacional Brasileiro
Acervo da Música Brasileira
Biblioteca Coral de Domínio Público
Lusofonia
Música medieval
Airas Nunes
Martim Codax
Dinis I de Portugal
Música renascentista
Pedro de Escobar
Vasco Pires
Fernão Gomes Correia
Gonçalo de Baena
João de Badajoz
Miguel da Fonseca
Mateus de Aranda
Vicente Lusitano
Bartolomeu Trosilho
Cosme Delgado
Heliodoro de Paiva
Damião de Góis
Ginés de Morata
Diogo Fernandes Formoso
António de Baena
Dom Vicente
Dom Brás
Francisco Velez
Afonso Perea Bernal
Manuel Cardoso (cantochanista)
António Carreira
Francisco de Santa Maria
Aires Fernandes
Dom Bento
Lourenço Ribeiro
Estêvão da Ordem de Cristo
Manuel Mendes (compositor)
Frei António Carreira
António Pinheiro (compositor)
António Fernandes (compositor)
Pedro de Cristo
Manuel Rodrigues Coelho
Francisco Garro
Manuel Leitão de Avilez
Pero de Gamboa
Pedro Talésio
Duarte Lobo
Gaspar Fernandes
António de Oliveira (compositor)
Manuel Cardoso (compositor)
Simão dos Anjos de Gouveia
António Carreira Mourão
Diego de Alvarado
Filipe de Magalhães
João Leite de Azevedo
Estêvão de Brito
Esteban López Morago
Manuel Rebelo (compositor)
Gonçalo Mendes de Saldanha
Francisco de Santiago
Manuel Tavares
Roberto Tornar
Luís das Chagas
D. Agostinho da Cruz
Manuel Machado (compositor)
Nicolau Dias de Velasco
Manuel Correia do Campo (compositor)
Manuel Pousão
Pedro da Esperança
Manuel Correia
Fr. João de Cristo
Raimundo da Conversão
João Álvares Frovo
Marcos Soares Pereira
João IV de Portugal
Fernando de Almeida (compositor)
João Lourenço Rebelo
Pedro da Fonseca Luzio
Francisco da Costa (compositor)
João de Figueiredo Borges
Filipe da Madre de Deus
Francisco Martins (compositor)
Miguel da Natividade
Francisco Barbosa (compositor)
Andrés Botello
"Teodósio, Príncipe do Brasil"
Francisco Luís (compositor)
Diogo Dias Melgás
António Marques Lésbio
António Correa Braga
Matias de Sousa Vilalobos
Tomás Pereira
Pedro de Araújo
Juan Serqueira de Lima
Carlos Seixas
António José da Silva
Lobo de Mesquita
António Teixeira
"Maria Bárbara de Bragança, Rainha de Espanha"
José de Santo António
Abade António da Costa
Pedro António Avondano
João Rodrigues Esteves
Francisco António de Almeida
Luciano Xavier dos Santos
José Joaquim dos Santos
André da Silva Gomes
Jerónimo Francisco de Lima
João de Sousa Carvalho
Francisco Gomes da Rocha
António Leal Moreira
Frei José Marques e Silva
João José Baldi
Música do Romantismo
Joaquim Casimiro
José Maria Xavier
Elias Álvares Lobo
Francisco Raposo Pereira Lima
Augusto Machado
Brasílio Itiberê da Cunha
Joaquim Antônio da Silva Callado
Alfredo Keil
Viriato Figueira da Silva
Henrique Oswald
Catulo da Paixão Cearense
Alexandre Levy
Anacleto de Medeiros
Tomás Vaz de Borba
Vianna da Motta
Antônio Francisco Braga
David de Souza
António Fragoso
Música contemporânea
Francisco de Lacerda
Luís Costa
Glauco Velásquez
Heitor Villa-Lobos
Ruy Coelho
Luís de Freitas Branco
Luciano Gallet
Cláudio Carneyro
Brasílio Itiberê da Cunha Luz
Oscar Lorenzo Fernández
Francisco Mignone
Mário de Sampayo Ribeiro
Frederico de Freitas
Armando José Fernandes
Radamés Gnattali
Fernando Lopes-Graça
Mozart Camargo Guarnieri
César Guerra-Peixe
Manuel Ferreira de Faria
Claudio Santoro
Gilberto Mendes
Artur Ribeiro
Joly Braga Santos
Carlos Paredes
Sequeira Costa
David Sequeira
Mário Ficarelli
Constança Capdeville
Marlos Nobre
Jorge Peixinho
António Victorino de Almeida
Emmanuel Nunes
José Antônio Rezende de Almeida Prado
Carlos Azevedo
Nestor de Hollanda Cavalcanti
Pedro Caldeira Cabral
António Pinho Vargas
José Carlos Amaral Vieira
Ernesto Rodrigues
Miguel Azguime
António Chagas Rosa
Isabel Soveral
João Paulo Esteves da Silva
Eurico Carrapatoso
Eugénio Amorim
Sérgio Azevedo
Bernardo Sassetti
Nuno Côrte-Real
Pedro Faria Gomes
Diogo da Costa Ferreira
Base Virtual Internacional de Autoridade
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Biblioteca Virtual Miguel de Cervantes
Consortium of European Research Libraries
Discogs
Faceted Application of Subject Terminology
Gemeinsame Normdatei
International Music Score Library Project
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
MusicBrainz
Biblioteca Real dos Países Baixos
Sistema Universitário de Documentação
Itaú Cultural
Portal Musica Brasilis
Biblioteca Nacional de Portugal
