Luís Roberto Barroso
Constituição brasileira de 1946
Constituição brasileira de 1967
Constituição brasileira de 1988
Vice-presidente do Brasil
Presidente da Câmara dos Deputados do Brasil
Constituição brasileira de 1934
General-de-exército
Lista de ministros do Exército do Brasil
Pedro Aurélio de Góis Monteiro
Poder legislativo
União Democrática Nacional
Michel Temer
Impeachment de Fernando Collor
Impeachment de Dilma Rousseff
Ato Institucional Número Cinco
Crime de responsabilidade
Ministérios do Brasil
Lista de ministros da Marinha do Brasil
Lista de ministros da Aeronáutica do Brasil
Conselho Nacional do Ministério Público
Procurador-Geral da República
Advogado-Geral da União
G1
Folha de S.Paulo
Centro de Pesquisa e Documentação de História Contemporânea do Brasil
Fundação Getúlio Vargas
International Standard Book Number
Época (revista)
R7
Universo Online
Leoni Ramos
Edmundo Lins
Justiça Federal
Tribunal de Justiça (Brasil)
Justiça do Trabalho do Brasil
Justiça Eleitoral do Brasil
Justiça Militar do Brasil
Justiça Militar da União
Superior Tribunal Militar
Tribunal Superior Eleitoral
Conselho da Justiça Federal
Tribunal Regional Federal da 1.ª Região
Tribunal Regional Federal da 2.ª Região
Tribunal Regional Federal da 3.ª Região
Tribunal Regional Federal da 5.ª Região
Tribunal Regional Federal da 6.ª Região
Tribunal Regional do Trabalho da 1.ª Região
Tribunal Regional do Trabalho da 2.ª Região
Tribunal Regional do Trabalho da 3.ª Região
Tribunal Regional do Trabalho da 4.ª Região
Tribunal Regional do Trabalho da 5.ª Região
Tribunal Regional do Trabalho da 6.ª Região
Tribunal Regional do Trabalho da 7.ª Região
Tribunal Regional do Trabalho da 8.ª Região
Tribunal Regional do Trabalho da 9.ª Região
Tribunal Regional do Trabalho da 11.ª Região
Tribunal Regional do Trabalho da 13.ª Região
Tribunal Regional do Trabalho da 15.ª Região
Tribunal Regional do Trabalho da 22.ª Região
Tribunal Regional Eleitoral de Alagoas
Tribunal Regional Eleitoral do Amapá
Tribunal Regional Eleitoral da Bahia
Tribunal Regional Eleitoral do Ceará
Tribunal Regional Eleitoral do Distrito Federal
Tribunal Regional Eleitoral de Goiás
Tribunal Regional Eleitoral de Mato Grosso do Sul
Tribunal Regional Eleitoral de Minas Gerais
Tribunal Regional Eleitoral da Paraíba
Tribunal Regional Eleitoral do Paraná
Tribunal Regional Eleitoral de Pernambuco
Tribunal Regional Eleitoral do Piauí
Tribunal Regional Eleitoral do Rio de Janeiro
Tribunal Regional Eleitoral do Rio Grande do Sul
Tribunal Regional Eleitoral de Rondônia
Tribunal Regional Eleitoral de Sergipe
Tribunal de Justiça Militar do Estado de Minas Gerais
Tribunal de Justiça do Estado do Acre
Tribunal de Justiça de Alagoas
Tribunal de Justiça do Estado do Amapá
Tribunal de Justiça do Estado do Amazonas
Tribunal de Justiça do Estado da Bahia
Tribunal de Justiça do Estado do Ceará
Tribunal de Justiça do Distrito Federal e dos Territórios
Tribunal de Justiça do Estado do Espírito Santo
Tribunal de Justiça do Estado de Goiás
Tribunal de Justiça do Maranhão
Tribunal de Justiça do Estado de Mato Grosso
Tribunal de Justiça do Estado do Pará
Tribunal de Justiça da Paraíba
Tribunal de Justiça do Estado do Paraná
Tribunal de Justiça do Estado do Piauí
Tribunal de Justiça do Estado do Rio Grande do Norte
Tribunal de Justiça do Estado de Rondônia
Tribunal de Justiça do Estado de Roraima
Tribunal de Justiça de Santa Catarina
Tribunal de Justiça do Estado de Sergipe
Tribunal de Justiça do Estado do Tocantins
Juizados Especiais
Juizado Especial Cível
Juizado Especial Criminal
Juizados Especiais da Fazenda Pública
Juizados da Infância e Juventude
Juizados de Violência Doméstica e Familiar contra a Mulher
Lista de presidentes dos órgãos do poder judiciário do Brasil
Alexandre de Moraes
Nunes Marques
André Mendonça
Cristiano Zanin
Flávio Dino
