Amor
Frederic Edwin Church
John Constable
Thomas Cole
Jean-Baptiste Camille Corot
Pierre Jean David
Johann Heinrich Füssli
Théodore Géricault
Francisco de Goya
Hans Gude
Francesco Hayez
Emanuel Leutze
Samuel Palmer
Manuel de Araújo Porto-Alegre
Fleury François Richard
François Rude
Philipp Otto Runge
Ary Scheffer
Philipp Veit
Antoine Wiertz
Estética
Modernismo
Pós-modernidade
Camp
Comédia
Criatividade
Elegância
Entretenimento
Erotismo
Estilo (arte)
Imaginação
Kitsch
Mimese
Obra de arte
Percepção
Qualidade (filosofia)
Recreação
Vanguarda
Abinavagupta
Alexander Gottlieb Baumgarten
Alexei Losev
Arthur Danto
Arthur Schopenhauer
Clive Bell
David Hume
Friedrich Nietzsche
George Santayana
György Lukács
Hans Urs von Balthasar
Hubert Dreyfus
I. A. Richards
Immanuel Kant
Jacques Maritain
Jean-François Lyotard
John Dewey
José Ortega y Gasset
Louis Lavelle
Martin Heidegger
Nelson Goodman
Oscar Wilde
Paul Klee
Platão
Rabindranath Tagore
Richard Wollheim
R. G. Collingwood
Roger Fry
Roger Scruton
Susanne Langer
Theodor Lipps
Theodor W. Adorno
Tomás de Aquino
Umberto Eco
Arquitetura
Crítica
Escultura
Estética musical
Gastronomia
História da pintura
Humor
Poesia
Tragédia
História da arte
Arte da Pré-História
Arte do Paleolítico
Arte rupestre
Arte móvel pré-histórica
Arte do Neolítico
Arte da Grécia Antiga
Escultura do Renascimento italiano
História do cinema
Arte da Antiguidade
Arte da Mesopotâmia
Arte da Suméria
Arte da Assíria
Arte da Babilônia
Arte persa
Arte nabateia
Arte do Antigo Egito
Arte celta
Arte cita
Arte fenícia
Arte egeia
Arte cicládica
Arte minoica
Arte micénica
Arte copta
Arte etrusca
Arte helenística
Arte greco-budista
Arte da Roma Antiga
Arte paleocristã
Arte pré-colombiana
Arte tolteca
Arte da Idade Média
Arte bizantina
Arte macedônica
Arte sassânida
Arte viking
Arte pré-românica
Arte dos povos germânicos
Arte hiberno-saxónica
Arte anglo-saxónica
Arte das Astúrias
Arte visigótica
Arte merovíngia
Arte carolíngia
Arte otoniana
Arte românica
Arte islâmica
Arte hispano-muçulmana
Arte moçárabe
Arte mudéjar
Arte gótica
Estilo manuelino
Arte na Idade Moderna
Renascimento
Alta Renascença
Maneirismo
Barroco
Rococó
Arte moderna
Irmandade Pré-Rafaelita
Naturalismo
Impressionismo
Pós-impressionismo
Pontilhismo
Divisionismo
Art nouveau
Expressionismo
Fauvismo
Die Brücke (grupo artístico)
Der Blaue Reiter
Arte abstrata
Neoplasticismo
Cubismo
Construtivismo russo
Bauhaus
Suprematismo
Dadaísmo
Surrealismo
Futurismo
Realismo socialista
Arte contemporânea
Arte bruta
Arte cinética
Arte conceptual
Arte informal
Arte povera
Arte urbana
Assemblage
Body art
Combine (pintura)
Expressionismo abstrato
Fluxus
Graffiti
Happening
Hiper-realismo
Instalação (arte)
Internet art
Land Art
Minimalismo
Neoconcretismo
Op art
Performance (arte)
Pop art
Transvanguarda
Videoarte
História da arte ocidental
História da arte (disciplina)
História da animação
Antropologia da arte
História da arquitetura
História da dança
Desenho
História do design
História da escultura
História da fotografia
Gravura
História da música
Retrato
História do teatro
História do vestuário e dos têxteis
Arte sacra
Canto gregoriano
Catacumba de Comodila
Catacumba de Priscila
Representação de Jesus na arte
Ascensão de Jesus
Cinco Santas Chagas
Jesus carregando a cruz
Crucificação de Jesus (arte)
Jesus se despedindo de sua mãe
Jesus entre os doutores
Lamentação de Cristo
Natividade de Cristo na arte
Paixão (cristianismo)
Pietà
Vida de Cristo
Representação de Deus no Cristianismo
Anjo arcabuzeiro
Halo (iconografia religiosa)
Iconóstase
Jacó Luta Com o Anjo
Leão de São Marcos
Vida da Virgem
Coroação de Maria
Madona
Virgem Amamentando
Nove da Fama
Orbe (joia)
Pantocrator
Pintura religiosa
Relicário
Cinto de Tomé
Teótoco de Vladimir
Tetramorfos
Transi
Nudez
Nu artístico
Arte erótica
História da nudez
Nudez heroica
Nu masculino na história da fotografia
Arte erótica em Pompeia e Herculano
História das representações eróticas
Afrodite
Eros
Graças
Vênus (mitologia)
