Senado Federal (Brasil)
CBERS-3
CBERS-4
Satélite de Reentrada Atmosférica
Amazonia 1
AESP-14
GOLDS-UFSC
SGDC
Galileo Solar Space Telescope
Foguete Sonda
VSB-30
Veículo Lançador de Satélites
Acidente de Alcântara
Veículo Lançador de Microssatélite
Programa Cruzeiro do Sul
VS-30
VS-40
VS-50
Fernando de Mendonça
Missão Espacial Completa Brasileira
VLS-1 V01
VLS-1 V02
Garatéa-L
Alcântara Cyclone Space
Satélite Sino-Brasileiro de Recursos Terrestres
Flora Hiperspectral
Lee Archambault
Christopher Ferguson
Kenneth Ham
Gregory C. Johnson
Gregory H. Johnson
William Oefelein
Alan Poindexter
George Zamka
Clayton Anderson
Tracy Caldwell Dyson
Gregory Chamitoff
Timothy Creamer
Michael Foreman
Michael Fossum
Stanley Love
Leland Melvin
Barbara Morgan
John Olivas
Nicholas Patrick
Garrett Reisman
Patricia Robertson
Steven Swanson
Douglas H. Wheelock
Sunita Williams
Léopold Eyharts
Paolo Nespoli
Hans Schlegel
Robert Thirsk
Bjarni Tryggvason
Roberto Vittori
Grupo 16 de Astronautas da NASA
Grupo 18 de Astronautas da NASA
Corpo de astronautas da NASA
Mercury Seven
Grupo 2 de Astronautas da NASA
Grupo 3 de Astronautas da NASA
Grupo 4 de Astronautas da NASA
Grupo 5 de Astronautas da NASA
Grupo 6 de Astronautas da NASA
Grupo 7 de Astronautas da NASA
Grupo 8 de Astronautas da NASA
Grupo 9 de Astronautas da NASA
Grupo 10 de Astronautas da NASA
Grupo 11 de Astronautas da NASA
Grupo 12 de Astronautas da NASA
Grupo 13 de Astronautas da NASA
Grupo 14 de Astronautas da NASA
Grupo 15 de Astronautas da NASA
Grupo 19 de Astronautas da NASA
Grupo 20 de Astronautas da NASA
Grupo 21 de Astronautas da NASA
Grupo 22 de Astronautas da NASA
Grupo 23 de Astronautas da NASA
"Lista de ministros da Ciência, Tecnologia e Inovação do Brasil"
Renato Archer
Luiz Henrique da Silveira
Luiz André Rico Vicente
Ralph Biasi
Roberto Cardoso Alves
Décio Leal
José Goldemberg
Edson Machado de Sousa
Hélio Jaguaribe
José Israel Vargas
Caspar Erich Stemmer
Luiz Carlos Bresser-Pereira
Ronaldo Sardenberg
Roberto Amaral
Eduardo Campos
Sergio Machado Rezende
Aloizio Mercadante
Marco Antonio Raupp
Clelio Campolina Diniz
Aldo Rebelo
Celso Pansera
Emília Maria Silva Ribeiro Curi
Paulo César Alvim
Luciana Santos
Lista de membros do gabinete de Jair Bolsonaro
Vice-presidente do Brasil
Hamilton Mourão
"Ministério da Agricultura, Pecuária e Abastecimento"
Tereza Cristina Corrêa da Costa Dias
Marcos Montes
Ministério da Cidadania
Osmar Terra
Onyx Lorenzoni
João Roma
Ronaldo Vieira Bento
Ministério das Comunicações (Brasil)
Fábio Faria (político)
Ministério da Defesa (Brasil)
Fernando Azevedo e Silva
Braga Netto
Paulo Sérgio Nogueira de Oliveira
Ministério do Desenvolvimento Regional
Gustavo Canuto
Rogério Marinho (político)
Daniel Duarte Ferreira
Ministério da Educação (Brasil)
Ricardo Vélez Rodríguez
Abraham Weintraub
Milton Ribeiro (pastor)
Victor Godoy Veiga
Ministério da Economia (Brasil)
Paulo Guedes
Ministério da Infraestrutura
Tarcísio de Freitas
Marcelo Sampaio
Ministério da Justiça e Segurança Pública (Brasil)
Sergio Moro
André Mendonça
Anderson Torres
Ministério do Meio Ambiente (Brasil)
Ricardo de Aquino Salles
Joaquim Alvaro Pereira Leite
Ministério de Minas e Energia
Bento Albuquerque
Adolfo Sachsida
"Ministério da Mulher, da Família e dos Direitos Humanos"
Damares Alves
Cristiane Britto
Ministério das Relações Exteriores (Brasil)
Ernesto Araújo
Carlos França
Ministério da Saúde (Brasil)
Luiz Henrique Mandetta
Nelson Teich
Eduardo Pazuello
Marcelo Queiroga
Ministério do Trabalho e Previdência (Brasil)
José Carlos Oliveira (político)
Ministério do Turismo (Brasil)
Marcelo Álvaro Antônio
Gilson Machado Neto
Carlos Brito (político brasileiro)
Secretaria de Governo do Brasil
Carlos Alberto dos Santos Cruz
Luiz Eduardo Ramos
Flávia Arruda
Célio Faria Júnior
Secretaria-Geral da Presidência da República
Gustavo Bebianno
Floriano Peixoto Vieira Neto
Jorge Oliveira
Advocacia-Geral da União
José Levi
Bruno Bianco
Casa Civil (Brasil)
Ciro Nogueira
Gabinete de Segurança Institucional da Presidência da República
Augusto Heleno
Controladoria-Geral da União
Wagner Rosário
Lista de bens tombados pelo CODEPAC-Bauru
Casa Aliança Francesa
Casa dos Pioneiros
Casa Lusitana
Casa-Sede da Fazenda Divisa
Beneficência Portuguesa Bauru
Edifício do Automóvel Clube de Bauru
Hotel Cariani
Hotel Estoril
Hotel Milanese
Frontispício do Cemitério da Saudade
Palacete Pagani
Palácio das Cerejeiras
Sede da Fazenda Val de Palmas
Sobrado na rua Batista de Carvalho
Estação Bauru
Museu Ferroviário Regional de Bauru
Parque Zoológico Municipal de Bauru
Parque Vitória Régia (Bauru)
Jardim Botânico Municipal de Bauru
Hospital Estadual de Bauru
Hospital de Reabilitação de Anomalias Crânio-Faciais
Aeródromo de Bauru
Aeroporto de Bauru-Arealva
Sambódromo Municipal de Bauru
Casa de Eny
Museu Histórico Municipal de Bauru
Museu da Imagem e do Som de Bauru
Pinacoteca Municipal de Bauru
Acácio Oliveira
Adylson Godoy
Amilson Godoy
Amilton Godói
Carlos Haraldo Sörensen
Edson Celulari
Chico Dehira
Cida Chaves
Diogo Oliveira (ator)
Dom Mita
Gustavo Haddad
Irany Novah Moraes
Julia Filardi
Luciano Pires
Marciano (cantor)
Mauro Rasi
Rodriguinho (cantor)
Roger Franco
Rogerio Tutti
Solange Theodoro
Thaís Bianca
Tina Kara
Tommy Love
Bauru (sanduíche)
TV Prevê
RecordTV Paulista
TV TEM Bauru
TV Unesp
Casimiro Pinto Neto
Reali Júnior
Luiz Carlos Azenha
Mônica Sousa
Palmirinha
Ulisses Rocha
Centro Universitário de Bauru
Universidade de São Paulo em Bauru
Universidade Estadual Paulista em Bauru
Instituto de Pesquisas Meteorológicas
Faculdade de Odontologia de Bauru da Universidade de São Paulo
SESC Bauru
Faculdade de Engenharia de Bauru
Esporte Clube Noroeste
Estádio Alfredo de Castilho
Parquinho Futebol Clube
Ginásio do Esporte Clube Noroeste
Bauru Atlético Clube
Associação Bauru Basketball Team
Associação Atlética FIB
Associação Vôlei Bauru
Airton Daré
Alecsandro
Antônio Carlos Barbosa
Daniel Castilho
Baroninho
Fernando Henrique dos Anjos
Giovanni Santos
Gui Deodato
Ivair Ferreira
Joice Rodrigues
Júlio César da Silva (futebolista)
Lela
Márcio Saraiva
Mário Sabino Júnior
Max (voleibolista)
Paschoalin
Paula Borgo
Tecão
Toninho Guerreiro
Vágner Rogério Nunes
Welington Wildy Muniz dos Santos
Wellington da Silva Pinto
Key Alves
Eny Cezarino
Lucia Hippolito
Luiz de Carvalho
Ozires Silva
Paulo Villaça
Ronaldo Rebello de Britto Poletti
Valdir Comegno
Alcides Franciscato
Basílio Villani
Clodoaldo Gazzetta
Eduardo Vergueiro de Lorena
Ernesto Monte
Jorge Wilson
José Gomes Duarte
Luís Edmundo Coube
Manuel Bento da Cruz
Mário Bulgarelli
Maurício Picarelli
Nicola Avallone Junior
Nilson Ferreira Costa
Nuno de Assis
Osvaldo Sbeghen
Oswaldo Trevisan
Rodrigo Agostinho
Tidei de Lima
Tuga Angerami
Lista de prefeitos e intendentes de Bauru
Eleição municipal de Bauru em 2012
Eleição municipal de Bauru em 2016
Demografia de Bauru
Rio Batalha
Rio Bauru
Avenida Nações Unidas
Calçadão da Batista
Tilibra
Trem Urbano de Bauru
Base Virtual Internacional de Autoridade
Encyclopædia Britannica
Número de controle da Biblioteca do Congresso
