Lema
Avenida Visconde de Guarapuava
Boca Maldita
Linha Verde (Curitiba)
Praça 19 de Dezembro
Praça do Japão (Curitiba)
Praça Tiradentes (Curitiba)
Rua 24 Horas
Museu
Academia Paranaense de Letras
Biblioteca Augusto Stresser
Biblioteca Pública do Paraná
Gibiteca de Curitiba
Museu da Gravura Cidade de Curitiba
Memorial de Curitiba
Museu de Arte Sacra da Arquidiocese de Curitiba
Museu de Arte Contemporânea do Paraná
Museu do Expedicionário
Museu Municipal de Arte
Museu Nacional do Espiritismo
Museu Oscar Niemeyer
Museu Paranaense
Ópera de Arame
Pedreira Paulo Leminski
Centro Cultural Teatro Guaíra
Teatro Paiol
Teatro Positivo
Parque
Bosque Alemão
Bosque Gutierrez
Bosque Zaninelli
Bosque de Portugal
Bosque do Capão da Imbuia
Bosque do Papa
Jardim Botânico de Curitiba
Jardim Zoológico de Curitiba
Parque Atuba
Parque Barigui (Curitiba)
Parque Diadema (Curitiba)
Parque Iguaçu
Parque Linear Cajuru
Parque Municipal da Barreirinha
Parque Passaúna
Parque São Lourenço
Parque Tanguá
Parque Tingui
Parque dos Tropeiros
Passeio Público (Curitiba)
Shopping center
Shopping Estação
Shopping Mueller
Templo
Catedral Basílica Menor de Nossa Senhora da Luz
Igreja Bom Jesus do Cabral
Igreja da Ordem Terceira de São Francisco das Chagas
Igreja do Rosário (Curitiba)
Igreja Ortodoxa Antioquina São Jorge de Curitiba
Igreja Santa Izabel
Paróquia do Imaculado Coração de Maria (Curitiba)
Transporte
Aeroporto de Bacacheri
Aeroporto Internacional de Curitiba
Estação-tubo
Rede Integrada de Transporte
Rodoferroviária de Curitiba
URBS
Cinema do Paraná
Cultura do Paraná
Demografia do Paraná
Economia do Paraná
Esporte do Paraná
Geografia do Paraná
História do Paraná
Política do Paraná
Televisão no Paraná
Turismo no Paraná
Base Virtual Internacional de Autoridade
Biblioteca Nacional da França
Dialnet
Encyclopædia Britannica
Gemeinsame Normdatei
Global Research Identifier Database
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
Sistema Universitário de Documentação
E-MEC
GeoNames
