Suíça
Gotemburgo
Malmö
Suecos
Lapônia
Imigração
Língua oficial
Língua iídiche
Meänkieli
Lista de cidades da Suécia
Västerås
Örebro
Linköping
Helsingborg
Jönköping
Lund
Religião na Suécia
Luteranismo na Suécia
Catolicismo na Suécia
Catedral de Uppsala
Igreja da Suécia
Jesus Cristo
Ateu
Agnóstico
Taxa
Igreja protestante
Católicos
Pentecostais
Islamismo
Judaísmo
Igreja ortodoxa
Igreja luterana
Santo padroeiro
Rei da Suécia
Santo Érico
Línguas germânicas setentrionais
Língua dinamarquesa
Língua norueguesa
Pronúncia
Ortografia
Noruegueses
Dinamarqueses
Dialeto
Escânia (província)
Língua minoritária
Língua romani
Língua inglesa
Comércio
Legendagem
Dublagem
Programas de televisão
Filme
Ensino secundário
Ciências naturais
Helgeandsholmen
Chefe de Estado
Democracia
Índice de Democracia
Lista de primeiros-ministros da Suécia
Constituição da Suécia
Legislativo
Poder executivo
Poder judiciário
Controle de constitucionalidade
Partido Operário Social-Democrata da Suécia
Reformista
Partido da Esquerda (Suécia)
Sistema político
Eleições legislativas na Suécia em 2006
Partido Moderado (Suécia)
Partido do Centro
Partido Popular - Os Liberais
Os Democratas Cristãos
Fredrik Reinfeldt
Eleições legislativas na Suécia em 2010
Democratas Suecos
Coalizão
Raoul Wallenberg
Folke Bernadotte
Secretário Geral das Nações Unidas
Dag Hammarskjöld
Olof Palme
Carl Bildt
Assembleia Geral das Nações Unidas
Jan Eliasson
Agência Internacional de Energia Atômica
Hans Blix
Forças Armadas da Suécia
JAS 39 Gripen
Força aérea sueca
Exército da Suécia
Força Aérea da Suécia
Marinha da Suécia
De jure
Comandante em chefe
Monarquia da Suécia
Guerra fria
Conscrição
Forças armadas
República Democrática do Congo
Libéria
Líbano
Chade
Conselho Ártico
Conselho da Europa
Fundo Monetário Internacional
Organização para a Segurança e Cooperação na Europa
Conselho de Segurança das Nações Unidas
Banco Mundial
Organização Mundial do Comércio
Corte Penal Internacional
Condados da Suécia
Províncias da Suécia
Regiões históricas da Suécia
Subdivisões da Suécia
Gotalândia
Svealand
Norlândia
Províncias históricas da Suécia
Condado
Arranha-céu
Turning Torso
Exportação
Economia mista
Comunicação
Trabalho (economia)
Hidrelétrica
Madeira
Minério de ferro
Comércio exterior
Emprego
Indústria transformadora
Setor de serviços
Negócios
Manufatura
Volvo
Ericsson
Vattenfall
Skanska (empresa)
Sony Ericsson
SCA
Electrolux
IKEA
Volvo Cars
TeliaSonera
Sandvik
Scania
Hennes & Mauritz
Nordea
Atlas Copco
SKF
Mundo ocidental
Indústria
Áustria
Itália
Empresa pública
Ensino superior
Dólar
Espanha
OCDE
Desregulamentação
Globalização
Produtividade
Fundo de pensão
Europa Ocidental
Imposto
Carga tributária
República da Irlanda
Imposto de renda
Crescimento econômico
Setor industrial
Fórum Econômico Mundial
Índice de Competitividade Mundial
Estadunidense
Universidade de Toronto
Criatividade
Tolerância
Coroa sueca
Euro
Sveriges Riksbank
Banco central
Inflação
Sistema bancário livre
Moeda privada
Alemanha
Reino Unido
Alfred Nobel
Dinamite
Prêmio Nobel
Industrialização
Pesquisa e desenvolvimento
Sociedade
Setor privado
Setor público
Per capita
Revolução científica
Europa continental
Academia Real das Ciências da Suécia
Carlos Lineu
Anders Celsius
Marca
Gustaf Dalén
Lars Magnus Ericsson
Telecomunicações
Jonas Wenström
Corrente alternada
Sérvia
Nikola Tesla
Sistema trifásico
Invenções e inovações suecas
Alta tecnologia
Tetra Brik
Tetra Pak
Omeprazol
Úlcera
AstraZeneca
Automatic Identification System
Transporte marítimo
Aviação civil
Multinacionais
Patente
Estação Central de Estocolmo
Estradas da Suécia
Transporte ferroviário na Suécia
Portos da Suécia
Energia na Suécia
Energia
Electricidade
Watt-hora
Energia nuclear
Biocombustíveis
Turfa
Energia eólica
Biomassa
Calefação
Gasolina
Combustíveis fósseis
Energia hidroelétrica
Energia solar fotovoltaica
Crise do petróleo de 1973
Usina nuclear
Three Mile Island
Energias renováveis
Eficiência energética
Dióxido de carbono
Ponte do Øresund
Malmo
Copenhague
Km
Via expressa
Autoestrada
Ponte de Öresund
Uddevalla
Gävle
Sentido de circulação
Dagen H
Estradas de ferro
Aeroporto
Aeroporto de Arlanda
Aeroporto de Gotemburgo-Landvetter
Aeroporto de Estocolmo-Skavsta
Porto (transporte)
Porto de Gotemburgo
Porto de Malmö
Universidade de Uppsala
Programa Internacional de Avaliação de Alunos
Ginásio (escola)
Universidade
Escolas públicas
Países Baixos
Buffet
Salada
Fruta
Leite
Pão
Água
Faculdade
Universidade de Lund
Universidade de Gotemburgo
Universidade de Estocolmo
Irlanda
Japão
Espaço Econômico Europeu
Cultura da Suécia
August Strindberg
Astrid Lindgren
Selma Lagerlöf
Harry Martinson
Prêmio Nobel de Literatura
Carl Larsson
Anders Zorn
Johan Tobias Sergel
Carl Milles
Mauritz Stiller
Victor Sjöström
Cinema
Ingmar Bergman
Greta Garbo
Ingrid Bergman
Lukas Moodysson
Lasse Hallström
Dolph Lundgren
Anita Ekberg
Alexander Skarsgård
Revolução sexual
Igualdade de género
Sexualidade
Homossexualidade
Fucking Åmål
Lésbica
Casamento entre pessoas do mesmo sexo
União de fato
Adolescente
Idoso
Baby boom
Literatura
Música pop
ABBA
Música da Suécia
Marie Fredriksson
Per Gessle
Roxette
Carola
Tove Lo
Zara Larsson
Lista de recordistas de vendas de discos
Festival Eurovisão da Canção
Waterloo (álbum)
Heavy metal
Death metal
Europe
Yngwie Malmsteen
John Norum
Hammerfall
Ghost (banda)
Opeth
In Flames
Candlemass
Bathory (banda)
Arch Enemy
Sabaton
Måns Zelmerlöw
Euphoria (canção)
Loreen
Música eletrônica
Avicii
Alesso
Eric Prydz
Swedish House Mafia
Axwell
Sebastian Ingrosso
Steve Angello
Desporto na Suécia
Björn Borg
Jogos Olímpicos de Verão de 1912
Hipismo
Jogos Olímpicos de Verão de 1956
Melbourne
Austrália
Jogos Olímpicos de Verão
Lutas nos Jogos Olímpicos
Atletismo
Tiro
Canoagem
Esqui cross-country
Patinação de velocidade
Carolina Klüft
Stefan Holm
Christian Olsson
Patrik Sjöberg
Kajsa Bergqvist
Natação
Arne Berg
Gunnar Larsson
Anders Holmertz
Sarah Sjöström
Therese Alshammar
Copa do Mundo FIFA de 1958
Copa do Mundo de Futebol Feminino de 1995
Seleção Sueca de Futebol Sub-21
Campeonato Europeu de Futebol Sub-21 de 2015
Seleção Portuguesa de Futebol Sub-21
Disputa por pênaltis
Prorrogação
Tênis
Mats Wilander
Stefan Edberg
Copa Davis
Ronnie Peterson
Henrik Larsson
Zlatan Ibrahimović
Anja Paerson
Annika Sörenstam
Magnus Samuelsson
Feriados na Suécia
Ano Novo
Dia dos Reis
Sexta-feira Santa
Páscoa
Dia do trabalhador
Ascensão de Cristo
Pentecostes
Dia da Suécia
Sábado
Solstício de Verão
Dia de São João
Dia de Todos-os-Santos
Dia de Santa Luzia na Suécia
Natal
Missões diplomáticas da Suécia
Era da Liberdade (1718-1772)
Instrumento de Governo (1720)
Relatório de Desenvolvimento Humano
Nationalencyklopedin
Instituto Nacional de Estatística da Suécia
Infopédia
International Standard Book Number
Store norske leksikon
Den Store Danske Encyklopædi
Bonniers uppslagsbok
Eurobarometer
Sveriges Television
Economist Intelligence Unit
Oxford University Press
Wayback Machine
British Broadcasting Corporation
International Standard Serial Number
Msnbc
OCLC
CIA World Factbook
United States Department of State
Suécia
Suécia após a Grande Guerra do Norte
Monarquia absoluta na Suécia
Suécia na primeira metade do séc. XIX
Suécia durante a Primeira Guerra Mundial
Suécia entre as guerras mundiais
Suécia durante a II Guerra Mundial
Suécia no pós-Guerra Fria
Governo da Suécia
Eleições na Suécia
Cooperação internacional
Agências Governamentais da Suécia
Sistema Jurídico da Suécia
Lista de comunas da Suécia
Lista de ilhas da Suécia
Lista de lagos da Suécia
Montanhas da Suécia
Parques nacionais da Suécia
Penínsulas da Suécia
Pontos extremos da Suécia
Rios da Suécia
Agricultura na Suécia
Indústria na Suécia
Mineração na Suécia
Pecuária na Suécia
Pesca da Suécia
Silvicultura na Suécia
Transportes da Suécia
Turismo na Suécia
Bancos da Suécia
Bolsa de Valores de Estocolmo
Marinha sueca
Guarda Nacional Sueca
Hierarquia militar da Suécia
Línguas da Suécia
Educação na Suécia
Lista de jornais da Suécia
Literatura da Suécia
Arte da Suécia
Arquitetura da Suécia
Escultura da Suécia
Pintura na Suécia
Cinema da Suécia
Teatro da Suécia
Culinária da Suécia
Esporte na Suécia
Educação infantil
Lei da Igreja da Suécia
Ordenação de mulheres
"Du gamla, du fria"
Lista de países
Albânia
Andorra
Arménia
Azerbaijão
Bélgica
Bielorrússia
Bulgária
Cazaquistão
Chéquia
Croácia
Eslováquia
Eslovénia
Estónia
França
Geórgia
Grécia
Hungria
Letónia
Liechtenstein
Lituânia
Luxemburgo
Macedónia do Norte
Malta
Moldávia
Mónaco
Montenegro
Polónia
Portugal
Roménia
San Marino
Turquia
Ucrânia
Vaticano
Acrotíri e Deceleia
Gibraltar
Guernsey
Jersey
Ilha de Man
Ilhas Faroé
Åland
Abecásia
Ossétia do Sul
República Turca de Chipre do Norte
Transnístria
Reacção internacional à declaração de independência do Kosovo de 2008
Reconhecimento internacional da independência da Abecásia e Ossétia do Sul
Estados-membros da União Europeia
Romênia
Alargamento da União Europeia
Adesão da Albânia à União Europeia
Adesão da Bósnia e Herzegovina à União Europeia
Adesão do Cossovo à União Europeia
Adesão da Islândia à União Europeia
Adesão da Macedónia do Norte à União Europeia
Adesão de Moldávia à União Europeia
Adesão de Montenegro à União Europeia
Adesão da Sérvia à União Europeia
Adesão da Turquia à União Europeia
Adesão da Ucrânia à União Europeia
Gronelândia
Saída do Reino Unido da União Europeia
História da União Europeia
Comunidade Europeia do Carvão e do Aço
Comunidade Económica Europeia
Comunidade Europeia da Energia Atómica
Instituições da União Europeia
Parlamento Europeu
Comissão Europeia
Conselho Europeu
Conselho da União Europeia
Conselho dos Negócios Estrangeiros
Tribunal de Justiça da União Europeia
Tribunal Geral da União Europeia
Banco Central Europeu
Tribunal de Contas Europeu
Agências da União Europeia
Eurojust
Europol
Frontex
Agência Europeia do Ambiente
Agência Espacial Europeia
Agência Europeia de Reconstrução
Centro Europeu de Prevenção e Controlo das Doenças
Serviço Europeu de Ação Externa
Política da União Europeia
Eleições na União Europeia
Partido político europeu
Integração europeia
Euroceticismo
Relações internacionais da União Europeia
Eurodeputado
Direito da União Europeia
Acervo comunitário
Jornal Oficial da União Europeia
Lei da concorrência da União Europeia
Diretiva (União Europeia)
Lei dos Direitos de Autor da União Europeia
Mercado comum da União Europeia
Procedimento legislativo da União Europeia
Regulamento (União Europeia)
Tratados da União Europeia
Derrogações na União Europeia
Acordo de Schengen
Geografia da União Europeia
Fronteiras da União Europeia
Pontos extremos da União Europeia
Lista de cidades da União Europeia por população
Lista das áreas urbanas da União Europeia
Regiões ultraperiféricas da União Europeia
Economia da União Europeia
Política Agrícola Comum da União Europeia
Orçamento da União Europeia
Banco Europeu de Investimento
Fundo Europeu de Investimento
Zona Euro
Política de desenvolvimento regional da União Europeia
Galileo
Cultura da União Europeia
Cidadania da União Europeia
Passaporte da União Europeia
Demografia da União Europeia
Carta de condução europeia
Instituto Europeu da Inovação e da Tecnologia
Línguas da União Europeia
The European Library
Símbolos da União Europeia
Estatísticas da União Europeia
Lista de Conselhos Europeus
Presidência do Conselho da União Europeia
Nomenclatura das Unidades Territoriais para Fins Estatísticos
Placas de identificação de veículos na Europa
Forças armadas da União Europeia
Supranacionalismo
Euroesfera
País desenvolvido
China
Região administrativa especial
Hong Kong
Macau
Coreia do Sul
Israel
Nova Zelândia
Singapura
Taiwan
Título nobiliárquico
Lista de monarcas soberanos atuais
Monarquia absoluta
Diarquia
Monarquia eletiva
Monarquia federal
Monarquia constituinte
Regência (governo)
Abdicação
Abolição da monarquia
Nobreza
Descolonização
Dinastia
Legitimidade
Oligarquia
Ordem de sucessão
Republicanismo
Monarquia autoproclamada
Soberania
Chhatrapati
Imperador
Rei
Rainha reinante
Príncipe
Rajá
Cã
Czar
Sultão
Xá
Faraó
Monarquias na África
Lista de reis de Essuatíni
Lista de reis do Lesoto
Lista de monarcas de Marrocos
Monarquias na Ásia
Rei do Barém
Lista de monarcas do Butão
Lista de sultões do Brunei
Lista de monarcas do Camboja
Imperador do Japão
Lista de reis da Jordânia
Lista de emires do Kuwait
Yang di-Pertuan Agong
Lista de sultões de Omã
Lista de emires do Catar
Lista de reis da Arábia Saudita
Monarquia da Tailândia
Presidente dos Emirados Árabes Unidos
Monarquias da Europa
Copríncipes de Andorra
Monarquia da Bélgica
Monarquia da Dinamarca
Monarquia de Liechtenstein
Monarquia de Luxemburgo
Monarquia de Mônaco
Monarquia dos Países Baixos
Monarquia de Noruega
Monarquia do Reino Unido
Monarquia da Espanha
Lista de papas
Lista de monarcas de Tonga
Reinos da Comunidade das Nações
Monarquia na Austrália
Monarquia no Canadá
Monarquia na Nova Zelândia
Monarquia de São Cristóvão e Neves
Emirado de Adamawa
Reino de Ancolé
Sultanato de Aussa
Barotselândia
Sultanato de Bagirmi
Império de Canem
Reino de Burundi
Império Centro-Africano
Reino do Daomé
Reino do Egito
Império Etíope
Reino do Congo
Reino da Líbia
Reino de Madagascar
Império do Mali
Mayotte
Reinos Maravi
Moéli
Anjuã
Grande Comore
Reino de Ruanda
Reino da Tunísia
Império de Uassulu
Reino Ieque
Sultanato de Zanzibar
Reino do Zimbabwe
Lista de estados pré-coloniais da África
Reino da Araucânia e Patagônia
Civilização asteca
Império do Brasil
Império do Haiti (1849-1859)
Império Inca
Segundo Império Mexicano
Costa dos Mosquitos
Principado de Trinidad
Treze Colônias
Reino do Afeganistão
Emirado de Bucara
Dinastia Konbaung
Chehab
Reino do Hejaz
Irã Pahlavi
Império Cajar
Reino do Iraque
Emirado de Jabal Xamar
Reino de Cândia (Seri Lanca)
Kathiri
Canato de Quiva
Império Coreano
Canato de Kumul
Reino do Curdistão
Reino do Laos
Manchukuo
Canato da Mongólia
Reino do Nepal
Reino de Ryukyu
Reino de Sarauaque
Estados xãs
Reino de Siquim
Sultanato de Sulu
Reino Árabe da Síria
Tibete (1912–1951)
Reino de Tungning
Reino do Iêmen
Federação da Arábia do Sul
Reino da Albânia (1928-1939)
Reino de Aragão
Reino das Astúrias
Império Austríaco
Áustria-Hungria
Reino da Baviera
Reino da Bósnia
Ducado da Bretanha
Reino da Bulgária
Canato da Crimeia
Reino Arménio da Cilícia
Reino da Córsega (1736)
Reino do Chipre
Reino da Finlândia
Segundo Império Francês
Reino da Galiza
Reino da Geórgia
Império Alemão
Reino da Grécia
Reino Nacérida
Reino de Hanôver
Reino da Hungria
Reino da Islândia
Reino de Imerícia
Reino de Itália (1861–1946)
Reino de Cártlia-Caquécia
Reino da Lituânia (1918)
Reino de Maiorca
Reino de Mann e das Ilhas
Principado da Moldávia
Reino de Montenegro
Reino de Navarra
Neuchâtel (cantão)
Império Otomano
Estados Papais
República das Duas Nações
Reino de Portugal
Reino da Prússia
Reino da Romênia
Reino da Saxônia
Ducado de Saboia
Reino da Escócia
Reino da Sérvia
Reino de Tavolara
Reino das Duas Sicílias
Grão-Ducado da Toscana
Reino da Galícia-Volínia
Ducado do Báltico
Reino da Iugoslávia
Reino de Valência
Reino de Württemberg
Abemama
Reino de Bora Bora
Reino de Fiji
Reino do Havaí
Huahine
Mangareva
Niue
Nuku Hiva
Lista de monarcas de Raiatea
Rapa Iti
Rimatara
Rurutu
Tahuata
Reino do Taiti
Monarquia de Barbados (1966-2021)
Domínio do Ceilão
Domínio da Índia
Índia britânica
Lista de estados principescos da Índia Britânica
Estado Livre Irlandês
Malawi
Estado de Malta
Domínio do Paquistão
Rodésia
União Sul-Africana
Tanganica
Trindade e Tobago
Commonwealth
Comitê de Ajuda ao Desenvolvimento
Upsália
Helsimburgo
Norrköping
Lund (Suécia)
Uma (Suécia)
Gevália
Borås
Södertälje
Eskilstuna
Täby (comuna)
Karlstad
Halmostádio
Växjö
Sundsvália
Lula (Suécia)
Trollhättan
Östersund
Borlänge
Falun
Upplands Väsby
Tumba (Suécia)
Calmar
Skövde
Base Virtual Internacional de Autoridade
Bibsys
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Grande Enciclopédia Soviética
CiNii
Encyclopædia Britannica
Faceted Application of Subject Terminology
Gemeinsame Normdatei
Dicionário Histórico da Suíça
KulturNav
Número de controle da Biblioteca do Congresso
Arquivos Nacionais e Administração de Documentos
Biblioteca Nacional da Dieta
Biblioteca Nacional da Austrália
Sistema Universitário de Documentação
Enciclopédia Treccani
Biblioteca Nacional do Brasil
Descritores em Ciências da Saúde
Biblioteca Nacional de Portugal
Biblioteca Nacional de Israel
Pontifícia Universidade São Tomás de Aquino
OpenStreetMap
MusicBrainz
GeoNames
Getty Thesaurus of Geographic Names
Taxonomia
Medical Subject Headings
Sistema Unificado de Linguagem Médica
